plot : derek zoolander is a male model . 	Translation	Positive	Negative	EmotionRationale
i personally enjoyed it for the most part , cracked up loudly during a couple of specific sequences and loved the derek zoolander character and the unrestrained whipping they released upon the fashion industry . 	i personally enjoyed it for the most part , cracked up loudly during a couple of specific sequences and loved the derek zoolander character and the unrestrained whipping they released upon the fashion industry .	4	-1	 i[0] personally[0] enjoyed[2] it[0] for[0] the[0] most[0] part[0] cracked[0] up[0] loudly[0] during[0] a[0] couple[0] of[0] specific[0] sequences[0] and[0] loved[3] the[0] derek[0] zoolander[0] character[0] and[0] the[0] unrestrained[0] whipping[0] they[0] released[0] upon[0] the[0] fashion[0] industry[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
snap ! 	snap !	1	-1	 snap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was also nice to see several real-life models with small roles in the movie , not taking themselves too seriously . 	it was also nice to see several real-life models with small roles in the movie , not taking themselves too seriously .	2	-1	 it[0] was[0] also[0] nice[1] to[0] see[0] several[0] real[0] life[0] models[0] with[0] small[0] roles[0] in[0] the[0] movie[0] not[0] taking[0] themselves[0] too[0] seriously[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and if you're the type of person who likes celebrity cameos in films , well , don't look any further because dozens of famous faces show up here including vince vaughn , billy zane , winona ryder , christian slater , david duchovny , natalie portman and many , many others . 	and if you're the type of person who likes celebrity cameos in films , well , don't look any further because dozens of famous faces show up here including vince vaughn , billy zane , winona ryder , christian slater , david duchovny , natalie portman and many , many others .	3	-1	 and[0] if[0] you're[0] the[0] type[0] of[0] person[0] who[0] likes[2] celebrity[0] cameos[0] in[0] films[0] well[0] don't[0] look[0] any[0] further[0] because[0] dozens[0] of[0] famous[0] faces[0] show[0] up[0] here[0] including[0] vince[0] vaughn[0] billy[0] zane[0] winona[0] ryder[0] christian[0] slater[0] david[0] duchovny[0] natalie[0] portman[0] and[0] many[0] many[0] others[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i especially liked andy dick's complete make-over as the masseuse . 	i especially liked andy dick's complete make-over as the masseuse .	4	-1	 i[0] especially[0] liked[2][1 LastWordBoosterStrength] andy[0] dick's[0] complete[0] make[0] over[0] as[0] the[0] masseuse[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
hi-larious ! 	hi-larious !	1	-1	 hi[0] larious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but with all films of this type , there is bound to be some stuff that simply doesn't work . 	but with all films of this type , there is bound to be some stuff that simply doesn't work .	1	-1	 but[0] with[0] all[0] films[0] of[0] this[0] type[0] there[0] is[0] bound[0] to[0] be[0] some[0] stuff[0] that[0] simply[0] doesn't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a few particulars which didn't strike my fancy included the bulimia and " orgy " sequence with christine taylor , the break-dance fighting , and i also never get why they use real countries in plots like this ( why not just " make up " a country , instead of zeroing in on a certain people ? ) . 	a few particulars which didn't strike my fancy included the bulimia and " orgy " sequence with christine taylor , the break-dance fighting , and i also never get why they use real countries in plots like this ( why not just " make up " a country , instead of zeroing in on a certain people ?<br> ) .	2	-3	 a[0] few[0] particulars[0] which[0] didn't[0] strike[-1] my[0] fancy[0] included[0] the[0] bulimia[0] and[0] orgy[0] sequence[0] with[0] christine[0] taylor[0] the[0] break[0] dance[0] fighting[-2] and[0] i[0] also[0] never[0] get[0] why[0] they[0] use[0] real[0] countries[0] in[0] plots[0] like[1] this[0] why[0] not[0] just[0] make[0] up[0] a[0] country[0] instead[0] of[0] zeroing[0] in[0] on[0] a[0] certain[0] people[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i also could have done with less of the taylor character in general , since she wasn't all that interesting and seemed to slow things down every now and then ( more zoolander , dude ! ) . 	i also could have done with less of the taylor character in general , since she wasn't all that interesting and seemed to slow things down every now and then ( more zoolander , dude !<br> ) .	2	-1	 i[0] also[0] could[0] have[0] done[0] with[0] less[0] of[0] the[0] taylor[0] character[0] in[0] general[0] since[0] she[0] wasn't[0] all[0] that[0] interesting[1] and[0] seemed[0] to[0] slow[0] things[0] down[0] every[0] now[0] and[0] then[0] more[0] zoolander[0] dude[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but those few missteps were nothing compared to some of the more memorable scenes which definitely did work for me ! 	but those few missteps were nothing compared to some of the more memorable scenes which definitely did work for me !	1	-1	 but[0] those[0] few[0] missteps[0] were[0] nothing[0] compared[0] to[0] some[0] of[0] the[0] more[0] memorable[0] scenes[0] which[0] definitely[0] did[0] work[0] for[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i almost pissed myself during the " gas station " disaster , absolutely adored the " walk-off " contest ( with david bowie as the judge , no less ) and appreciated many of zoolander's moronic one-liners ( " i was a merman . . . a 	i almost pissed myself during the " gas station " disaster , absolutely adored the " walk-off " contest ( with david bowie as the judge , no less ) and appreciated many of zoolander's moronic one-liners ( " i was a merman .<br> .<br> .<br> a	5	-3	 i[0] almost[0] pissed[-2] myself[0] during[0] the[0] gas[0] station[0] disaster[-1] absolutely[0] adored[3][1 LastWordBoosterStrength] the[0] walk[0] off[0] contest[0] with[0] david[0] bowie[0] as[0] the[0] judge[0] no[0] less[0] and[0] appreciated[1] many[0] of[0] zoolander's[0] moronic[-2] one[0] liners[0] i[0] was[0] a[0] merman[0] [[Sentence=-3,5=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[5,-3 max of sentences]]]
merman ! ! " ) . 	merman !<br> !<br> " ) .	1	-1	 merman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i dare you to get his " monkey " photo shoot out of your head after seeing this movie ( " you're a monkey , derek . . . a 	and i dare you to get his " monkey " photo shoot out of your head after seeing this movie ( " you're a monkey , derek .<br> .<br> .<br> a	1	-2	 and[0] i[0] dare[0] you[0] to[0] get[0] his[0] monkey[0] photo[0] shoot[-1] out[0] of[0] your[0] head[0] after[0] seeing[0] this[0] movie[0] you're[0] a[0] monkey[0] derek[0] [[Sentence=-2,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
monkey ! " ) 	monkey !<br> " )	1	-1	 monkey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i also really liked the soundtrack and the pace of the film , both of which zipped and zagged , and established a nice rhythm to it all . 	i also really liked the soundtrack and the pace of the film , both of which zipped and zagged , and established a nice rhythm to it all .	4	-1	 i[0] also[0] really[0] liked[2][1 LastWordBoosterStrength] the[0] soundtrack[0] and[0] the[0] pace[0] of[0] the[0] film[0] both[0] of[0] which[0] zipped[0] and[0] zagged[0] and[0] established[0] a[0] nice[1] rhythm[0] to[0] it[0] all[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
again , it's to note that this movie is dumb and not for everyone , but my guess is that if you laughed at the trailer , you will likely enjoy many of the quips in the actual picture as well . 	again , it's to note that this movie is dumb and not for everyone , but my guess is that if you laughed at the trailer , you will likely enjoy many of the quips in the actual picture as well .	3	-2	 again[0] it's[0] to[0] note[0] that[0] this[0] movie[0] is[0] dumb[-1] and[0] not[0] for[0] everyone[0] but[0] my[0] guess[0] is[0] that[0] if[0] you[0] laughed[1] at[0] the[0] trailer[0] you[0] will[0] likely[0] enjoy[2] many[0] of[0] the[0] quips[0] in[0] the[0] actual[0] picture[0] as[0] well[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if you thought the trailer was dumb , skip this dodo bird and go rent austin powers again or something , a film from which there is an obvious influence here . 	if you thought the trailer was dumb , skip this dodo bird and go rent austin powers again or something , a film from which there is an obvious influence here .	1	-2	 if[0] you[0] thought[0] the[0] trailer[0] was[0] dumb[-1] skip[0] this[0] dodo[0] bird[0] and[0] go[0] rent[0] austin[0] powers[0] again[0] or[0] something[0] a[0] film[0] from[0] which[0] there[0] is[0] an[0] obvious[0] influence[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
blue steel , baby . . . yeah ! ! ! 	blue steel , baby .<br> .<br> .<br> yeah !<br> !<br> !	2	-1	 blue[0] steel[0] baby[1] [[Sentence=-1,2=word max, 1-5]] yeah[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
austin powers ( 7/10 ) - austin powers 2 ( 7/10 ) - deuce bigalow ( 7/10 ) - dude , where's my car ( 7/10 ) - freddy got fingered ( 5/10 ) - jay & silent bob strike back ( 8/10 ) - joe dirt ( 5/10 ) - meet the parents ( 8/10 ) - say it isn't so ( 3/10 ) 	austin powers ( 7/10 ) - austin powers 2 ( 7/10 ) - deuce bigalow ( 7/10 ) - dude , where's my car ( 7/10 ) - freddy got fingered ( 5/10 ) - jay & silent bob strike back ( 8/10 ) - joe dirt ( 5/10 ) - meet the parents ( 8/10 ) - say it isn't so ( 3/10 )	1	-2	 austin[0] powers[0] 7/10[0] austin[0] powers[0] 2[0] 7/10[0] deuce[0] bigalow[0] 7/10[0] dude[0] where's[0] my[0] car[0] 7/10[0] freddy[0] got[0] fingered[0] 5/10[0] jay[0] &[0] silent[0] bob[0] strike[-1] back[0] 8/10[0] joe[0] dirt[-1] 5/10[0] meet[0] the[0] parents[0] 8/10[0] say[0] it[0] isn't[0] so[0] 3/10[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
