assume nothing . 	Translation	Positive	Negative	EmotionRationale
oscar feels he has found the one meant for him , and he is content with the idea of being with amy . 	oscar feels he has found the one meant for him , and he is content with the idea of being with amy .	1	-1	 oscar[0] feels[0] he[0] has[0] found[0] the[0] one[0] meant[0] for[0] him[0] and[0] he[0] is[0] content[0] with[0] the[0] idea[0] of[0] being[0] with[0] amy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , another popular phrase of the 90's is " all good things must come to an end , " and this stays true for oscar as well . 	well , another popular phrase of the 90's is " all good things must come to an end , " and this stays true for oscar as well .	2	-1	 well[0] another[0] popular[0] phrase[0] of[0] the[0] 90's[0] is[0] all[0] good[1] things[0] must[0] come[0] to[0] an[0] end[0] and[0] this[0] stays[0] true[1] for[0] oscar[0] as[0] well[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
charles walks in on amy and oscar having a drink one night , as oscar and amy have become great friends , but he doesn't seem to mind . 	charles walks in on amy and oscar having a drink one night , as oscar and amy have become great friends , but he doesn't seem to mind .	3	-1	 charles[0] walks[0] in[0] on[0] amy[0] and[0] oscar[0] having[0] a[0] drink[0] one[0] night[0] as[0] oscar[0] and[0] amy[0] have[0] become[0] great[2] friends[1] but[0] he[0] doesn't[0] seem[0] to[0] mind[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
why is this ? 	why is this ?	1	-1	 why[0] is[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he thinks oscar is gay . 	he thinks oscar is gay .	1	-2	 he[0] thinks[0] oscar[0] is[0] gay[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's not afraid to share this with him either . 	he's not afraid to share this with him either .	4	-1	 he's[0] not[0] afraid[-3][NegatedDueToPreviousWord] to[0] share[0] this[0] with[0] him[0] either[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
oscar stands in shock after the words , " i swear if you weren't gay oscar , i'd have to kill you , " are muttered flamboyantly from charles' mouth . 	oscar stands in shock after the words , " i swear if you weren't gay oscar , i'd have to kill you , " are muttered flamboyantly from charles' mouth .	1	-3	 oscar[0] stands[0] in[0] shock[-2] after[0] the[0] words[0] i[0] swear[-1] if[0] you[0] weren't[0] gay[-1] oscar[0] i'd[0] have[0] to[0] kill[-1] you[0] are[0] muttered[0] flamboyantly[0] from[0] charles'[0] mouth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the word spreads instantly through town . 	the word spreads instantly through town .	1	-1	 the[0] word[0] spreads[0] instantly[0] through[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will oscar " come out " of his supposed gayness , or will he tell everyone that he isn't ? 	will oscar " come out " of his supposed gayness , or will he tell everyone that he isn't ?	1	-1	 will[0] oscar[0] come[0] out[0] of[0] his[0] supposed[0] gayness[0] or[0] will[0] he[0] tell[0] everyone[0] that[0] he[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one would immediately think he would deny the fact , but numerous occurrences come to oscar , which result in the fact that if he denies the fact , he could lose his job with charles . 	one would immediately think he would deny the fact , but numerous occurrences come to oscar , which result in the fact that if he denies the fact , he could lose his job with charles .	1	-1	 one[0] would[0] immediately[0] think[0] he[0] would[0] deny[-1][--1 LastWordBoosterStrength] the[0] fact[0] but[0] numerous[0] occurrences[0] come[0] to[0] oscar[0] which[0] result[0] in[0] the[0] fact[0] that[0] if[0] he[0] denies[0] the[0] fact[0] he[0] could[0] lose[-1][--1 LastWordBoosterStrength] his[0] job[0] with[0] charles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
matthew perry doesn't escape his character as chandler on the already classic t . v . 	matthew perry doesn't escape his character as chandler on the already classic t .<br> v .	1	-1	 matthew[0] perry[0] doesn't[0] escape[0] his[0] character[0] as[0] chandler[0] on[0] the[0] already[0] classic[0] t[0] [[Sentence=-1,1=word max, 1-5]] v[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
comedy " friends , " as both oscar novak and chandler are clueless , shy , and sensitive . 	comedy " friends , " as both oscar novak and chandler are clueless , shy , and sensitive .	2	-3	 comedy[0] friends[1] as[0] both[0] oscar[0] novak[0] and[0] chandler[0] are[0] clueless[0] shy[-2] and[0] sensitive[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
nonetheless , perry is hilarious here , and shows that he can handle drama , as obviously , his character suffers quite a bit here . 	nonetheless , perry is hilarious here , and shows that he can handle drama , as obviously , his character suffers quite a bit here .	3	-4	 nonetheless[0] perry[0] is[0] hilarious[2] here[0] and[0] shows[0] that[0] he[0] can[0] handle[0] drama[0] as[0] obviously[0] his[0] character[0] suffers[-3] quite[0] a[0] bit[0] here[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it's wonderful to see neve campbell outside of a horror movie , ( she was the star of scream 1 and 2 , and the upcoming scream 3 ) as she handles comedy superbly here . 	it's wonderful to see neve campbell outside of a horror movie , ( she was the star of scream 1 and 2 , and the upcoming scream 3 ) as she handles comedy superbly here .	3	-4	 it's[0] wonderful[2] to[0] see[0] neve[0] campbell[0] outside[0] of[0] a[0] horror[-3] movie[0] she[0] was[0] the[0] star[0] of[0] scream[-3] 1[0] and[0] 2[0] and[0] the[0] upcoming[0] scream[-3] 3[0] as[0] she[0] handles[0] comedy[0] superbly[0] here[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
her voice , smile , and personality are more than perfect for romantic comedies- stay with this genre , neve . 	her voice , smile , and personality are more than perfect for romantic comedies- stay with this genre , neve .	4	-1	 her[0] voice[0] smile[2] and[0] personality[0] are[0] more[0] than[0] perfect[1] for[0] romantic[3] comedies[0] stay[0] with[0] this[0] genre[0] neve[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
neve is delightful as her conflicted character , who feels love for oscar , but knows , based on rumors , that he is gay . 	neve is delightful as her conflicted character , who feels love for oscar , but knows , based on rumors , that he is gay .	3	-2	 neve[0] is[0] delightful[2] as[0] her[0] conflicted[-1] character[0] who[0] feels[0] love[2] for[0] oscar[0] but[0] knows[0] based[0] on[0] rumors[0] that[0] he[0] is[0] gay[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as usual , campbell is likable as her likable character . 	as usual , campbell is likable as her likable character .	1	-1	 as[0] usual[0] campbell[0] is[0] likable[0] as[0] her[0] likable[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike the other two leads here , dylan mcdermott is flat in his dialogue , and is never convincing . 	unlike the other two leads here , dylan mcdermott is flat in his dialogue , and is never convincing .	1	-1	 unlike[0] the[0] other[0] two[0] leads[0] here[0] dylan[0] mcdermott[0] is[0] flat[0] in[0] his[0] dialogue[0] and[0] is[0] never[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when his character his present , mcdermott sets a dull tone to the scene with his horrible acting . 	when his character his present , mcdermott sets a dull tone to the scene with his horrible acting .	1	-4	 when[0] his[0] character[0] his[0] present[0] mcdermott[0] sets[0] a[0] dull[-1] tone[0] to[0] the[0] scene[0] with[0] his[0] horrible[-3] acting[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
stick to the t . v . 	stick to the t .<br> v .	1	-1	 stick[0] to[0] the[0] t[0] [[Sentence=-1,1=word max, 1-5]] v[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
drama , the practice , dylan . 	drama , the practice , dylan .	1	-1	 drama[0] the[0] practice[0] dylan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the major weak spot in three to tango is the direction of damon santostefano . 	the major weak spot in three to tango is the direction of damon santostefano .	1	-2	 the[0] major[0] weak[-1] spot[0] in[0] three[0] to[0] tango[0] is[0] the[0] direction[0] of[0] damon[0] santostefano[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no originality or technique is used whatsoever . 	no originality or technique is used whatsoever .	1	-1	 no[0] originality[0] or[0] technique[0] is[0] used[0] whatsoever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
three to tango is lucky that the script is so edgy and that perry and campbell are wonderful in comedy , or else the film would have been a disaster , as it is just plain boring to look at . 	three to tango is lucky that the script is so edgy and that perry and campbell are wonderful in comedy , or else the film would have been a disaster , as it is just plain boring to look at .	3	-2	 three[0] to[0] tango[0] is[0] lucky[1] that[0] the[0] script[0] is[0] so[0] edgy[0] and[0] that[0] perry[0] and[0] campbell[0] are[0] wonderful[2] in[0] comedy[0] or[0] else[0] the[0] film[0] would[0] have[0] been[0] a[0] disaster[-1] as[0] it[0] is[0] just[0] plain[0] boring[-1] to[0] look[0] at[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
three to tango is a film done many times before , as the plot is suspiciously close to 1998's the object of my affection , but the plot has never been completed so well . 	three to tango is a film done many times before , as the plot is suspiciously close to 1998's the object of my affection , but the plot has never been completed so well .	3	-2	 three[0] to[0] tango[0] is[0] a[0] film[0] done[0] many[0] times[0] before[0] as[0] the[0] plot[0] is[0] suspiciously[-1] close[0] to[0] 1998's[0] the[0] object[0] of[0] my[0] affection[2] but[0] the[0] plot[0] has[0] never[0] been[0] completed[0] so[0] well[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
three to tango's script , written by rodney patrick vaccaro and aline brosh mckenna is fun , fast , and funny , delivering not only original , hilarious gay jokes ( not your run of the mill material ) , but a certain snappiness in the dialogue between characters that always keeps you smiling . 	three to tango's script , written by rodney patrick vaccaro and aline brosh mckenna is fun , fast , and funny , delivering not only original , hilarious gay jokes ( not your run of the mill material ) , but a certain snappiness in the dialogue between characters that always keeps you smiling .	3	-2	 three[0] to[0] tango's[0] script[0] written[0] by[0] rodney[0] patrick[0] vaccaro[0] and[0] aline[0] brosh[0] mckenna[0] is[0] fun[1] fast[0] and[0] funny[1] delivering[0] not[0] only[0] original[0] hilarious[2] gay[-1] jokes[1] not[0] your[0] run[0] of[0] the[0] mill[0] material[0] but[0] a[0] certain[0] snappiness[0] in[0] the[0] dialogue[0] between[0] characters[0] that[0] always[0] keeps[0] you[0] smiling[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unlike last summer's south park : bigger , longer , and uncut and 1997's in & out , three to tango is a comedy in which the gay element is not crude or vulgar . 	unlike last summer's south park : bigger , longer , and uncut and 1997's in & out , three to tango is a comedy in which the gay element is not crude or vulgar .	2	-2	 unlike[0] last[0] summer's[0] south[0] park[0] bigger[0] longer[0] and[0] uncut[0] and[0] 1997's[0] in[0] &[0] out[0] three[0] to[0] tango[0] is[0] a[0] comedy[0] in[0] which[0] the[0] gay[-1] element[0] is[0] not[0] crude[-1][NegatedDueToPreviousWord] or[0] vulgar[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the script is wise to take this route , as gays can't ( i don't think so , anyway ) be offended by this light , playful comedy . 	the script is wise to take this route , as gays can't ( i don't think so , anyway ) be offended by this light , playful comedy .	2	-3	 the[0] script[0] is[0] wise[0] to[0] take[0] this[0] route[0] as[0] gays[0] can't[0] i[0] don't[0] think[0] so[0] anyway[0] be[0] offended[-2] by[0] this[0] light[0] playful[1] comedy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( to prove this , a gay couple was in the audience who were laughing constantly . ) 	 ( to prove this , a gay couple was in the audience who were laughing constantly .<br> )	2	-2	 to[0] prove[0] this[0] a[0] gay[-1] couple[0] was[0] in[0] the[0] audience[0] who[0] were[0] laughing[1] constantly[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
three to tango's climax is a hilarious , clever scene that is pure irony based on the outcome of most romantic-mistaken identity comedies . 	three to tango's climax is a hilarious , clever scene that is pure irony based on the outcome of most romantic-mistaken identity comedies .	4	-2	 three[0] to[0] tango's[0] climax[0] is[0] a[0] hilarious[2] clever[0] scene[0] that[0] is[0] pure[0] irony[-1] based[0] on[0] the[0] outcome[0] of[0] most[0] romantic[3] mistaken[-1] identity[0] comedies[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
three to tango is a gem . 	three to tango is a gem .	1	-1	 three[0] to[0] tango[0] is[0] a[0] gem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bottom line : three to tango is a light , sharp , snappy romantic comedy with a superb ending , and great stars . 	the bottom line : three to tango is a light , sharp , snappy romantic comedy with a superb ending , and great stars .	4	-1	 the[0] bottom[0] line[0] three[0] to[0] tango[0] is[0] a[0] light[0] sharp[0] snappy[0] romantic[3] comedy[0] with[0] a[0] superb[0] ending[0] and[0] great[2] stars[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
one of the better romantic comedies of 1999 . 	one of the better romantic comedies of 199 .	4	-1	 one[0] of[0] the[0] better[0] romantic[3] comedies[0] of[0] 1999/199[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
