i suppose an argument could be made that toy story is one of those films that didn't need a sequel . 	Translation	Positive	Negative	EmotionRationale
most often , those toys are packed away in dark spaces , safe from sunlight and humidity , and often they're not even removed from their packaging . 	most often , those toys are packed away in dark spaces , safe from sunlight and humidity , and often they're not even removed from their packaging .	2	-1	 most[0] often[0] those[0] toys[0] are[0] packed[0] away[0] in[0] dark[0] spaces[0] safe[1] from[0] sunlight[0] and[0] humidity[0] and[0] often[0] they're[0] not[0] even[0] removed[0] from[0] their[0] packaging[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
imagine what a chip that would put on your shoulder , and you'll understand the attitudes of the collector's items that show up in this movie . 	imagine what a chip that would put on your shoulder , and you'll understand the attitudes of the collector's items that show up in this movie .	1	-1	 imagine[0] what[0] a[0] chip[0] that[0] would[0] put[0] on[0] your[0] shoulder[0] and[0] you'll[0] understand[0] the[0] attitudes[0] of[0] the[0] collector's[0] items[0] that[0] show[0] up[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sheriff woody ( voiced by a note-perfect tom hanks ) , the longtime favorite among andy's toys who was challenged in the previous go-round by the arrival of flashy-new-thing action figure buzz lightyear ( tim allen ) , suffers an injury early in the film , when andy tugs too hard on his arm and pulls a seam apart , revealing the stuffing inside . 	sheriff woody ( voiced by a note-perfect tom hanks ) , the longtime favorite among andy's toys who was challenged in the previous go-round by the arrival of flashy-new-thing action figure buz lightyear ( tim allen ) , suffers an injury early in the film , when andy tugs too hard on his arm and pulls a seam apart , revealing the stuffing inside .	2	-4	 sheriff[0] woody[0] voiced[0] by[0] a[0] note[0] perfect[1] tom[0] hanks[0] the[0] longtime[0] favorite[1] among[0] andy's[0] toys[0] who[0] was[0] challenged[-1] in[0] the[0] previous[0] go[0] round[0] by[0] the[0] arrival[0] of[0] flashy[0] new[0] thing[0] action[0] figure[0] buzz/buz[0] lightyear[0] tim[0] allen[0] suffers[-3] an[0] injury[-1] early[0] in[0] the[0] film[0] when[0] andy[0] tugs[0] too[0] hard[0] on[0] his[0] arm[0] and[0] pulls[0] a[0] seam[0] apart[0] revealing[0] the[0] stuffing[0] inside[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this accident catalyzes some uneasieness among the toys , who know too well that a broken toy is often a forgotten toy , and a forgotten toy is one that loses its reason for existence . 	this accident catalyzes some uneasieness among the toys , who know too well that a broken toy is often a forgotten toy , and a forgotten toy is one that loses its reason for existence .	1	-2	 this[0] accident[-1] catalyzes[0] some[0] uneasieness[-1][--1 LastWordBoosterStrength] among[0] the[0] toys[0] who[0] know[0] too[0] well[0] that[0] a[0] broken[-1] toy[0] is[0] often[0] a[0] forgotten[0] toy[0] and[0] a[0] forgotten[0] toy[0] is[0] one[0] that[0] loses[-1] its[0] reason[0] for[0] existence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
those anxieties are crystallized when andy's mom tears through his living room , collecting old toys for a yard sale . 	those anxieties are crystallized when andy's mom tears through his living room , collecting old toys for a yard sale .	1	-4	 those[0] anxieties[-2] are[0] crystallized[0] when[0] andy's[0] mom[0] tears[-3] through[0] his[0] living[0] room[0] collecting[0] old[0] toys[0] for[0] a[0] yard[0] sale[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and there's an ironic twist to the tale , as woody winds up being stolen by an avid toy collector who needs exactly that quaint cowboy figure to complete a set that he hopes to sell to a japanese toy museum for a sizable sum . 	and there's an ironic twist to the tale , as woody winds up being stolen by an avid toy collector who needs exactly that quaint cowboy figure to complete a set that he hopes to sell to a japanese toy museum for a sizable sum .	2	-2	 and[0] there's[0] an[0] ironic[-1] twist[0] to[0] the[0] tale[0] as[0] woody[0] winds[0] up[0] being[0] stolen[-1] by[0] an[0] avid[0] toy[0] collector[0] who[0] needs[0] exactly[0] that[0] quaint[0] cowboy[0] figure[0] to[0] complete[0] a[0] set[0] that[0] he[0] hopes[1] to[0] sell[0] to[0] a[0] japanese[0] toy[0] museum[0] for[0] a[0] sizable[0] sum[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the rest of andy's toys , who owe him quite a debt , resolve to rescue him . 	the rest of andy's toys , who owe him quite a debt , resolve to rescue him .	2	-2	 the[0] rest[0] of[0] andy's[0] toys[0] who[0] owe[-1] him[0] quite[0] a[0] debt[0] resolve[1] to[0] rescue[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that this film manages to turn a box marked " 25 cents " into a symbol of doom , or to make its screed against the retention of collectible toys by wrongheaded profiteers fuel for a metaphysical dilemma , is a testament to its skill at metaphor , seamlessly translating the hopes and fears of our real world into that of the toys . 	that this film manages to turn a box marked " 25 cents " into a symbol of doom , or to make its screed against the retention of collectible toys by wrongheaded profiteers fuel for a metaphysical dilemma , is a testament to its skill at metaphor , seamlessly translating the hopes and fears of our real world into that of the toys .	2	-3	 that[0] this[0] film[0] manages[0] to[0] turn[0] a[0] box[0] marked[0] 25[0] cents[0] into[0] a[0] symbol[0] of[0] doom[-1] or[0] to[0] make[0] its[0] screed[0] against[-1] the[0] retention[0] of[0] collectible[0] toys[0] by[0] wrongheaded[-2] profiteers[-1] fuel[0] for[0] a[0] metaphysical[0] dilemma[-1] is[0] a[0] testament[0] to[0] its[0] skill[0] at[0] metaphor[0] seamlessly[0] translating[0] the[0] hopes[1] and[0] fears[-2] of[0] our[0] real[0] world[0] into[0] that[0] of[0] the[0] toys[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
operating on this level of abstraction , toy story 2 tackles some mighty heavy issues without once preaching or veering into pretentiousness . 	operating on this level of abstraction , toy story 2 tackles some mighty heavy issues without once preaching or veering into pretentiousness .	1	-2	 operating[0] on[0] this[0] level[0] of[0] abstraction[0] toy[0] story[0] 2[0] tackles[0] some[0] mighty[0] heavy[0] issues[0] without[0] once[0] preaching[0] or[0] veering[0] into[0] pretentiousness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( the worst i can say is that randy newman seems to have reserved his sappiest lyric in years for sarah mclachlan , who stops the movie cold by singing it at just about the halfway mark . ) 	 ( the worst i can say is that randy newman seems to have reserved his sappiest lyric in years for sarah mclachlan , who stops the movie cold by singing it at just about the halfway mark .<br> )	1	-3	 the[0] worst[-2] i[0] can[0] say[0] is[0] that[0] randy[0] newman[0] seems[0] to[0] have[0] reserved[0] his[0] sappiest[0] lyric[0] in[0] years[0] for[0] sarah[0] mclachlan[0] who[0] stops[0] the[0] movie[0] cold[-1] by[0] singing[0] it[0] at[0] just[0] about[0] the[0] halfway[0] mark[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sometimes i think toy story 2 tries too hard . 	sometimes i think toy story 2 tries too hard .	1	-1	 sometimes[0] i[0] think[0] toy[0] story[0] 2[0] tries[0] too[0] hard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's somewhat less of the seat-of-the-pants loopiness that energized the first film , allowing it to surprise and excite on a near-constant basis , and more philosophizing about toys , collectors , the nature of happiness and the meaning of life . 	there's somewhat less of the seat-of-the-pants loopiness that energized the first film , allowing it to surprise and excite on a near-constant basis , and more philosophizing about toys , collectors , the nature of happiness and the meaning of life .	3	-1	 there's[0] somewhat[0] less[0] of[0] the[0] seat[0] of[0] the[0] pants[0] loopiness[0] that[0] energized[0] the[0] first[0] film[0] allowing[0] it[0] to[0] surprise[0] and[0] excite[2] on[0] a[0] near[0] constant[0] basis[0] and[0] more[0] philosophizing[0] about[0] toys[0] collectors[0] the[0] nature[0] of[0] happiness[2] and[0] the[0] meaning[0] of[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while that leads to fewer bellylaughs , it does make way for more elaborate humor and an uncommonly ambitious reflexivity that asks the toys to consider their own status as commodities that move in and out of fashion . 	while that leads to fewer bellylaughs , it does make way for more elaborate humor and an uncommonly ambitious reflexivity that asks the toys to consider their own status as commodities that move in and out of fashion .	3	-1	 while[0] that[0] leads[0] to[0] fewer[0] bellylaughs[0] it[0] does[0] make[0] way[0] for[0] more[0] elaborate[0] humor[2] and[0] an[0] uncommonly[0] ambitious[0] reflexivity[0] that[0] asks[0] the[0] toys[0] to[0] consider[0] their[0] own[0] status[0] as[0] commodities[0] that[0] move[0] in[0] and[0] out[0] of[0] fashion[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( just don't ask why andy's favorite toy is based on a tv series that was canceled in 1957 . ) 	 ( just don't ask why andy's favorite toy is based on a tv series that was canceled in 1957 .<br> )	2	-2	 just[0] don't[0] ask[0] why[0] andy's[0] favorite[1] toy[0] is[0] based[0] on[0] a[0] tv[0] series[0] that[0] was[0] canceled[-1] in[0] 1957[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
where else in mainstream movies do you get such an awesome moment as the one where buzz arrives at al's toy barn to find it stocked to the gills with his doppelgangers , buzz lightyear action figures ? 	where else in mainstream movies do you get such an awesome moment as the one where buz arrives at al's toy barn to find it stocked to the gills with his doppelgangers , buz lightyear action figures ?	3	-1	 where[0] else[0] in[0] mainstream[0] movies[0] do[0] you[0] get[0] such[0] an[0] awesome[2] moment[0] as[0] the[0] one[0] where[0] buzz/buz[0] arrives[0] at[0] al's[0] toy[0] barn[0] to[0] find[0] it[0] stocked[0] to[0] the[0] gills[0] with[0] his[0] doppelgangers[0] buzz/buz[0] lightyear[0] action[0] figures[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
forget the self-congratulatory science fiction of the matrix -- this is a fundamental mind-bender for buzz , and the audience shares his humility and wonderment at the sight . 	forget the self-congratulatory science fiction of the matrix - this is a fundamental mind-bender for buz , and the audience shares his humility and wonderment at the sight .	2	-1	 forget[0] the[0] self[0] congratulatory[1] science[0] fiction[0] of[0] the[0] matrix[0] this[0] is[0] a[0] fundamental[0] mind[0] bender[0] for[0] buzz/buz[0] and[0] the[0] audience[0] shares[0] his[0] humility[0] and[0] wonderment[0] at[0] the[0] sight[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here , as in the roughly concurrent scene where woody watches tapes of the howdy doodyish children's tv show that originated his character , we see our protagonists come face-to-face with god . 	here , as in the roughly concurrent scene where woody watches tapes of the howdy doodyish children's tv show that originated his character , we see our protagonists come face-to-face with god .	1	-2	 here[0] as[0] in[0] the[0] roughly[-1] concurrent[0] scene[0] where[0] woody[0] watches[0] tapes[0] of[0] the[0] howdy[0] doodyish[0] children's[0] tv[0] show[0] that[0] originated[0] his[0] character[0] we[0] see[0] our[0] protagonists[0] come[0] face[0] to[0] face[0] with[0] god[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in sly ways , then , toy story 2 can be read as a film about mortality , a metaphorical consideration of aging and death . 	in sly ways , then , toy story 2 can be read as a film about mortality , a metaphorical consideration of aging and death .	1	-3	 in[0] sly[-1] ways[0] then[0] toy[0] story[0] 2[0] can[0] be[0] read[0] as[0] a[0] film[0] about[0] mortality[0] a[0] metaphorical[0] consideration[0] of[0] aging[0] and[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
significantly , the film's very first sequence concludes with a grim shocker that had our opening-night crowd in a near-uproar . 	significantly , the film's very first sequence concludes with a grim shocker that had our opening-night crowd in a near-uproar .	1	-4	 significantly[0] the[0] film's[0] very[0] first[0] sequence[0] concludes[0] with[0] a[0] grim[-2] shocker[-2][-1 MultiplePositiveWords] that[0] had[0] our[0] opening[0] night[0] crowd[0] in[0] a[0] near[0] uproar[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and toward the end , when buzz and woody speculate on how long they have before andy grows up and discards his old toys , one of them observes , with an alacrity both inspirational and heartbreaking , that it will be fun while it lasts . 	and toward the end , when buz and woody speculate on how long they have before andy grows up and discards his old toys , one of them observes , with an alacrity both inspirational and heartbreaking , that it will be fun while it lasts .	3	-4	 and[0] toward[0] the[0] end[0] when[0] buzz/buz[0] and[0] woody[0] speculate[0] on[0] how[0] long[0] they[0] have[0] before[0] andy[0] grows[0] up[0] and[0] discards[0] his[0] old[0] toys[0] one[0] of[0] them[0] observes[0] with[0] an[0] alacrity[0] both[0] inspirational[2] and[0] heartbreaking[-3] that[0] it[0] will[0] be[0] fun[1] while[0] it[0] lasts[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
so toy story 2 joins the tradition of children's stories , largely neglected of late , that say something real about the inevitable joys and tragedies of existence . 	so toy story 2 joins the tradition of children's stories , largely neglected of late , that say something real about the inevitable joys and tragedies of existence .	3	-3	 so[0] toy[0] story[0] 2[0] joins[0] the[0] tradition[0] of[0] children's[0] stories[0] largely[0] neglected[0] of[0] late[0] that[0] say[0] something[0] real[0] about[0] the[0] inevitable[0] joys[2] and[0] tragedies[-2] of[0] existence[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
what's really striking is that both toy story films ( and , to a lesser degree , pixar's a bug's life ) are kids' movies with wit and sophistication to shame most of their ostensibly adult counterparts , not to mention whatever piece of tot-friendly eye-candy is due from the disney dream factory any given summer . 	what's really striking is that both toy story films ( and , to a lesser degree , pixar's a bug's life ) are kids' movies with wit and sophistication to shame most of their ostensibly adult counterparts , not to mention whatever piece of tot-friendly eye-candy is due from the disney dream factory any given summer .	2	-3	 what's[0] really[0] striking[0] is[0] that[0] both[0] toy[0] story[0] films[0] and[0] to[0] a[0] lesser[0] degree[0] pixar's[0] a[0] bug's[0] life[0] are[0] kids'[0] movies[0] with[0] wit[0] and[0] sophistication[0] to[0] shame[-2] most[0] of[0] their[0] ostensibly[0] adult[0] counterparts[0] not[0] to[0] mention[0] whatever[0] piece[0] of[0] tot[0] friendly[1] eye[0] candy[0] is[0] due[0] from[0] the[0] disney[0] dream[0] factory[0] any[0] given[0] summer[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it puts one in mind of the glory days of chuck jones and the old gang at warner bros . animation . 	it puts one in mind of the glory days of chuck jones and the old gang at warner bros .<br> animation .	2	-1	 it[0] puts[0] one[0] in[0] mind[0] of[0] the[0] glory[1] days[0] of[0] chuck[0] jones[0] and[0] the[0] old[0] gang[0] at[0] warner[0] bros[0] [[Sentence=-1,2=word max, 1-5]] animation[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
i'm not sure lasseter and his pals at pixar will ever operate at quite that level of purely visual invention -- they love traditional narrative too much -- but , boy , it makes me wonder what they might come up with next . 	i'm not sure lasseter and his pals at pixar will ever operate at quite that level of purely visual invention - they love traditional narrative too much - but , boy , it makes me wonder what they might come up with next .	3	-1	 i'm[0] not[0] sure[0] lasseter[0] and[0] his[0] pals[0] at[0] pixar[0] will[0] ever[0] operate[0] at[0] quite[0] that[0] level[0] of[0] purely[0] visual[0] invention[0] they[0] love[2] traditional[0] narrative[0] too[0] much[0] but[0] boy[0] it[0] makes[0] me[0] wonder[0] what[0] they[0] might[0] come[0] up[0] with[0] next[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
-------------------------------------------------------------- directed by john lasseter , colin brady , ash brannon , and lee unkrich written by lasseter , brannon , peter docter , andrew stanton , rita hsaio , doug chamberlain , and chris webb cinematography by sharon calahan starring ( voices ) tom hanks , tim allen , and joan cusack usa , 1999 	- directed by john lasseter , colin brady , ash brannon , and lee unkrich written by lasseter , brannon , peter docter , andrew stanton , rita hsaio , doug chamberlain , and chris web cinematography by sharon calahan starring ( voices ) tom hanks , tim allen , and joan cusack usa , 199	1	-1	 directed[0] by[0] john[0] lasseter[0] colin[0] brady[0] ash[0] brannon[0] and[0] lee[0] unkrich[0] written[0] by[0] lasseter[0] brannon[0] peter[0] docter[0] andrew[0] stanton[0] rita[0] hsaio[0] doug[0] chamberlain[0] and[0] chris[0] webb/web[0] cinematography[0] by[0] sharon[0] calahan[0] starring[0] voices[0] tom[0] hanks[0] tim[0] allen[0] and[0] joan[0] cusack[0] usa[0] 1999/199[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
theatrical aspect ratio : 1 . 85 : 1 -------------------------------------------------------------- 	theatrical aspect ratio : 1 .<br> 85 : 1 -	1	-1	 theatrical[0] aspect[0] ratio[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 85[0] 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
