call 911 for the cliche police if you must , but the eyes are the window to the soul . 	Translation	Positive	Negative	EmotionRationale
one bureaucrat responds to a tirade from stretch with the question , " do you expect the world to stop . . . just 	one bureaucrat responds to a tirade from stretch with the question , " do you expect the world to stop .<br> .<br> .<br> just	1	-1	 one[0] bureaucrat[0] responds[0] to[0] a[0] tirade[0] from[0] stretch[0] with[0] the[0] question[0] do[0] you[0] expect[0] the[0] world[0] to[0] stop[0] [[Sentence=-1,1=word max, 1-5]] just[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because you picked _today_ to clean up ? " 	because you picked _today_ to clean up ?<br> "	1	-1	 because[0] you[0] picked[0] _today_[0] to[0] clean[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the world in gridlock'd is just as frustrating as the world in falling down , but the cathartic moments yield no easy answers this time . 	the world in gridlock'd is just as frustrating as the world in falling down , but the cathartic moments yield no easy answers this time .	1	-3	 the[0] world[0] in[0] gridlock'd[0] is[0] just[0] as[0] frustrating[-2] as[0] the[0] world[0] in[0] falling[0] down[0] but[0] the[0] cathartic[0] moments[0] yield[0] no[0] easy[0] answers[0] this[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hall has some interesting things to say about what we expect from the system , but perhaps not enough of them . 	hall has some interesting things to say about what we expect from the system , but perhaps not enough of them .	1	-1	 hall[0] has[0] some[0] interesting[1][-1 LastWordBoosterStrength] things[0] to[0] say[0] about[0] what[0] we[0] expect[0] from[0] the[0] system[0] but[0] perhaps[0] not[0] enough[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a significant chunk of gridlock'd is devoted to spoon and stretch's flight from d-reper and from the police , and those sub-plots serve up some thoroughly predictable moments . 	a significant chunk of gridlock'd is devoted to spoon and stretch's flight from d-reper and from the police , and those sub-plots serve up some thoroughly predictable moments .	3	-1	 a[0] significant[0] chunk[0] of[0] gridlock'd[0] is[0] devoted[2] to[0] spoon[0] and[0] stretch's[0] flight[0] from[0] d[0] reper[0] and[0] from[0] the[0] police[0] and[0] those[0] sub[0] plots[0] serve[0] up[0] some[0] thoroughly[0] predictable[0] moments[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in one scene , stretch scares off d-reper by getting chummy with a police officer ; another presents that old chestnut of the two mistakenly-suspected heroes in a public place watching a television news report of the crime which shows their pictures . 	in one scene , stretch scares off d-reper by getting chummy with a police officer ; another presents that old chestnut of the two mistakenly-suspected heroes in a public place watching a television news report of the crime which shows their pictures .	3	-4	 in[0] one[0] scene[0] stretch[0] scares[-3] off[0] d[0] reper[0] by[0] getting[0] chummy[0] with[0] a[0] police[0] officer[0] another[0] presents[0] that[0] old[0] chestnut[0] of[0] the[0] two[0] mistakenly[-1] suspected[0] heroes[2] in[0] a[0] public[0] place[0] watching[0] a[0] television[0] news[0] report[0] of[0] the[0] crime[-1] which[0] shows[0] their[0] pictures[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the entire sequence of events seems designed merely as an excuse to get spoon and stretch running , while the other primary plot has them standing in line or sitting down much of the time . 	the entire sequence of events seems designed merely as an excuse to get spoon and stretch running , while the other primary plot has them standing in line or sitting down much of the time .	1	-1	 the[0] entire[0] sequence[0] of[0] events[0] seems[0] designed[0] merely[0] as[0] an[0] excuse[0] to[0] get[0] spoon[0] and[0] stretch[0] running[0] while[0] the[0] other[0] primary[0] plot[0] has[0] them[0] standing[0] in[0] line[0] or[0] sitting[0] down[0] much[0] of[0] the[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hall also plays with gratuitous inserts of drug paraphernalia and flashbacks to the day before the film's main events , perhaps making a particular effort to point out the talent the characters are wasting through self-destructive behavior . 	hall also plays with gratuitous inserts of drug paraphernalia and flashbacks to the day before the film's main events , perhaps making a particular effort to point out the talent the characters are wasting through self-destructive behavior .	2	-2	 hall[0] also[0] plays[1] with[0] gratuitous[-1] inserts[0] of[0] drug[0] paraphernalia[0] and[0] flashbacks[0] to[0] the[0] day[0] before[0] the[0] film's[0] main[0] events[0] perhaps[0] making[0] a[0] particular[0] effort[0] to[0] point[0] out[0] the[0] talent[1] the[0] characters[0] are[0] wasting[0] through[0] self[0] destructive[0] behavior[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
oh , the irony of it . 	oh , the irony of it .	1	-2	 oh[0] the[0] irony[-1] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tupac shakur made a career in music and movies playing the hard case , and living the life to back it up . 	tupac shakur made a career in music and movies playing the hard case , and living the life to back it up .	2	-1	 tupac[0] shakur[0] made[0] a[0] career[0] in[0] music[0] and[0] movies[0] playing[1] the[0] hard[0] case[0] and[0] living[0] the[0] life[0] to[0] back[0] it[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in gridlock'd , shakur gets the chance to play someone who has seen enough of the way his life could go to know that it scares him . 	in gridlock'd , shakur gets the chance to play someone who has seen enough of the way his life could go to know that it scares him .	1	-4	 in[0] gridlock'd[0] shakur[0] gets[0] the[0] chance[0] to[0] play[0] someone[0] who[0] has[0] seen[0] enough[0] of[0] the[0] way[0] his[0] life[0] could[0] go[0] to[0] know[0] that[0] it[0] scares[-3] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
spoon is an idea for a character at best as written by hall , but shakur displays an intelligence and survival instinct which struggle with his addiction . 	spoon is an idea for a character at best as written by hall , but shakur displays an intelligence and survival instinct which struggle with his addiction .	2	-2	 spoon[0] is[0] an[0] idea[0] for[0] a[0] character[0] at[0] best[1] as[0] written[0] by[0] hall[0] but[0] shakur[0] displays[0] an[0] intelligence[0] and[0] survival[0] instinct[0] which[0] struggle[-1] with[0] his[0] addiction[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mostly it comes through those eyes , eyes with none of the hardness you might expect from the infamous gangsta . 	mostly it comes through those eyes , eyes with none of the hardness you might expect from the infamous gangsta .	1	-2	 mostly[0] it[0] comes[0] through[0] those[0] eyes[0] eyes[0] with[0] none[0] of[0] the[0] hardness[0] you[0] might[0] expect[0] from[0] the[0] infamous[-1] gangsta[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is spoon who plays conscience to stretch's pure appetite , and roth plays stretch with a gleeful self-destructiveness ( he reveals that he is hiv positive even as he is preparing to shoot up again ) which is as much an obstacle to spoon's goal as any agency or enemy . 	it is spoon who plays conscience to stretch's pure appetite , and roth plays stretch with a gleeful self-destructiveness ( he reveals that he is hiv positive even as he is preparing to shoot up again ) which is as much an obstacle to spoon's goal as any agency or enemy .	3	-2	 it[0] is[0] spoon[0] who[0] plays[1] conscience[0] to[0] stretch's[0] pure[0] appetite[0] and[0] roth[0] plays[1] stretch[0] with[0] a[0] gleeful[0] self[0] destructiveness[0] he[0] reveals[0] that[0] he[0] is[0] hiv[0] positive[2] even[0] as[0] he[0] is[0] preparing[0] to[0] shoot[-1] up[0] again[0] which[0] is[0] as[0] much[0] an[0] obstacle[-1] to[0] spoon's[0] goal[0] as[0] any[0] agency[0] or[0] enemy[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
gridlock'd's most cruelly comic scene finds stretch " helping " spoon get into an emergency room by repeatedly stabbing him with a tiny pocket knife , and it becomes an appropriate symbol for how the company he keeps has slowly drained the life out of him . 	gridlock'd's most cruelly comic scene finds stretch " helping " spoon get into an emergency room by repeatedly stabbing him with a tiny pocket knife , and it becomes an appropriate symbol for how the company he keeps has slowly drained the life out of him .	1	-4	 gridlock'd's[0] most[0] cruelly[-3] comic[0] scene[0] finds[0] stretch[0] helping[0] spoon[0] get[0] into[0] an[0] emergency[-1] room[0] by[0] repeatedly[0] stabbing[-1] him[0] with[0] a[0] tiny[0] pocket[0] knife[-1] and[0] it[0] becomes[0] an[0] appropriate[0] symbol[0] for[0] how[0] the[0] company[0] he[0] keeps[0] has[0] slowly[0] drained[0] the[0] life[0] out[0] of[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with friends like that , spoon doesn't need enemies , and shakur looks at stretch with the tired eyes of a man who has seen too much . 	with friends like that , spoon doesn't need enemies , and shakur looks at stretch with the tired eyes of a man who has seen too much .	2	-2	 with[0] friends[1] like[1] that[0] spoon[0] doesn't[0] need[0] enemies[-1] and[0] shakur[0] looks[0] at[0] stretch[0] with[0] the[0] tired[-1] eyes[0] of[0] a[0] man[0] who[0] has[0] seen[0] too[0] much[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the tragedy now is that we won't get more chances to see those eyes again . 	the tragedy now is that we won't get more chances to see those eyes again .	1	-3	 the[0] tragedy[-2] now[0] is[0] that[0] we[0] won't[0] get[0] more[0] chances[0] to[0] see[0] those[0] eyes[0] again[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
