when casting the key part of the voice of moses , most people's first candidate would probably not be the controversial actor val kilmer ( the saint and the island of dr . 	Translation	Positive	Negative	EmotionRationale
you can figure out for yourself who does the voice of god . 	you can figure out for yourself who does the voice of god .	1	-1	 you[0] can[0] figure[0] out[0] for[0] yourself[0] who[0] does[0] the[0] voice[0] of[0] god[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie , which is weakest in the story department , is a cliff's notes version of demille's the ten commandments . 	the movie , which is weakest in the story department , is a cliff's notes version of demille's the ten commandments .	1	-2	 the[0] movie[0] which[0] is[0] weakest[-1] in[0] the[0] story[0] department[0] is[0] a[0] cliff's[0] notes[0] version[0] of[0] demille's[0] the[0] ten[0] commandments[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script by kelly asbury and lorna cook has an obsession with touching briefly on every classic event in moses's life . 	the script by kelly asbury and lorna cook has an obsession with touching briefly on every classic event in moses's life .	1	-3	 the[0] script[0] by[0] kelly[0] asbury[0] and[0] lorna[0] cook[0] has[0] an[0] obsession[-2] with[0] touching[0] briefly[0] on[0] every[0] classic[0] event[0] in[0] moses's[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
demille took over three and a half hours in order to do it justice . 	demille took over three and a half hours in order to do it justice .	1	-1	 demille[0] took[0] over[0] three[0] and[0] a[0] half[0] hours[0] in[0] order[0] to[0] do[0] it[0] justice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at less than half of that , the prince of egypt rushes through so much material that it doesn't establish sufficient depth for us to bond with the characters . 	at less than half of that , the prince of egypt rushes through so much material that it doesn't establish sufficient depth for us to bond with the characters .	1	-1	 at[0] less[0] than[0] half[0] of[0] that[0] the[0] prince[0] of[0] egypt[0] rushes[0] through[0] so[0] much[0] material[0] that[0] it[0] doesn't[0] establish[0] sufficient[0] depth[0] for[0] us[0] to[0] bond[0] with[0] the[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we meet moses when the queen finds him floating in his little basket . 	we meet moses when the queen finds him floating in his little basket .	1	-1	 we[0] meet[0] moses[0] when[0] the[0] queen[0] finds[0] him[0] floating[0] in[0] his[0] little[0] basket[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we watch him grow up and become best bud and a chariot racing partner to ramses ( ralph fiennes ) , the future pharaoh . 	we watch him grow up and become best bud and a chariot racing partner to ramses ( ralph fiennes ) , the future pharaoh .	2	-1	 we[0] watch[0] him[0] grow[0] up[0] and[0] become[0] best[1] bud[0] and[0] a[0] chariot[0] racing[0] partner[0] to[0] ramses[0] ralph[0] fiennes[0] the[0] future[0] pharaoh[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
moses is a free spirit and a practical joker until he finds out his true identity as a jew . 	moses is a free spirit and a practical joker until he finds out his true identity as a jew .	2	-1	 moses[0] is[0] a[0] free[0] spirit[0] and[0] a[0] practical[0] joker[1] until[0] he[0] finds[0] out[0] his[0] true[1] identity[0] as[0] a[0] jew[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( " all i've ever known to be true is a lie , " moses complains . ) 	 ( " all i've ever known to be true is a lie , " moses complains .<br> )	2	-2	 all[0] i've[0] ever[0] known[0] to[0] be[0] true[1] is[0] a[0] lie[0] moses[0] complains[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after finding out his real identity , he sees for the first time the oppression of the jewish slaves that are all around him . 	after finding out his real identity , he sees for the first time the oppression of the jewish slaves that are all around him .	1	-3	 after[0] finding[0] out[0] his[0] real[0] identity[0] he[0] sees[0] for[0] the[0] first[0] time[0] the[0] oppression[-2] of[0] the[0] jewish[0] slaves[0] that[0] are[0] all[0] around[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after leaving egypt , moses comes back to ask ramses to let moses's people go . 	after leaving egypt , moses comes back to ask ramses to let moses's people go .	1	-1	 after[0] leaving[0] egypt[0] moses[0] comes[0] back[0] to[0] ask[0] ramses[0] to[0] let[0] moses's[0] people[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this leads to the classic scene of the parting of the red sea , which is one of many places where computers were used to enhance the traditionally hand-drawn animation of the most of the production . 	this leads to the classic scene of the parting of the red sea , which is one of many places where computers were used to enhance the traditionally hand-drawn animation of the most of the production .	1	-1	 this[0] leads[0] to[0] the[0] classic[0] scene[0] of[0] the[0] parting[0] of[0] the[0] red[0] sea[0] which[0] is[0] one[0] of[0] many[0] places[0] where[0] computers[0] were[0] used[0] to[0] enhance[0] the[0] traditionally[0] hand[0] drawn[0] animation[0] of[0] the[0] most[0] of[0] the[0] production[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the absolutely stunning visuals that make the movie so compelling . 	it is the absolutely stunning visuals that make the movie so compelling .	1	-1	 it[0] is[0] the[0] absolutely[0] stunning[0] visuals[0] that[0] make[0] the[0] movie[0] so[0] compelling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
drawn with a rich palette of luxurious roses , blues and golds , the picture looks sumptuous from its first frame to its last . 	drawn with a rich palette of luxurious roses , blues and golds , the picture looks sumptuous from its first frame to its last .	1	-1	 drawn[0] with[0] a[0] rich[0] palette[0] of[0] luxurious[0] roses[0] blues[0] and[0] golds[0] the[0] picture[0] looks[0] sumptuous[0] from[0] its[0] first[0] frame[0] to[0] its[0] last[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the construction of the temple is shown in blowing dust , and other scenes are shot with the glow of a rising sun . 	the construction of the temple is shown in blowing dust , and other scenes are shot with the glow of a rising sun .	1	-2	 the[0] construction[0] of[0] the[0] temple[0] is[0] shown[0] in[0] blowing[0] dust[0] and[0] other[0] scenes[0] are[0] shot[-1] with[0] the[0] glow[0] of[0] a[0] rising[0] sun[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most original visual sequence in the film occurs during a dream moses has . 	the most original visual sequence in the film occurs during a dream moses has .	1	-1	 the[0] most[0] original[0] visual[0] sequence[0] in[0] the[0] film[0] occurs[0] during[0] a[0] dream[0] moses[0] has[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
done with an explicit two-dimensional look , the colorful images painted on the temple walls come to life to tell their own animated story . 	done with an explicit two-dimensional look , the colorful images painted on the temple walls come to life to tell their own animated story .	1	-1	 done[0] with[0] an[0] explicit[0] two[0] dimensional[0] look[0] the[0] colorful[0] images[0] painted[0] on[0] the[0] temple[0] walls[0] come[0] to[0] life[0] to[0] tell[0] their[0] own[0] animated[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even though it has its weaknesses , the prince of egypt is a noble attempt to carve out a new genre -- serious animated movies for adults that are acceptable for the entire family . 	even though it has its weaknesses , the prince of egypt is a noble attempt to carve out a new genre - serious animated movies for adults that are acceptable for the entire family .	1	-2	 even[0] though[0] it[0] has[0] its[0] weaknesses[-1] the[0] prince[0] of[0] egypt[0] is[0] a[0] noble[0] attempt[0] to[0] carve[0] out[0] a[0] new[0] genre[0] serious[-1] animated[0] movies[0] for[0] adults[0] that[0] are[0] acceptable[0] for[0] the[0] entire[0] family[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this awe-inspiring movie deserves to be seen . 	this awe-inspiring movie deserves to be seen .	3	-1	 this[0] awe[0] inspiring[2] movie[0] deserves[0] to[0] be[0] seen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the prince of egypt runs about 1 : 30 . 	the prince of egypt runs about 1 : 30 .	1	-1	 the[0] prince[0] of[0] egypt[0] runs[0] about[0] 1[0] 30[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated pg for thematic elements and would be fine for the whole family . 	it is rated pg for thematic elements and would be fine for the whole family .	3	-1	 it[0] is[0] rated[0] pg[0] for[0] thematic[0] elements[0] and[0] would[0] be[0] fine[2] for[0] the[0] whole[0] family[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
how old a kid would need to be to be interested depends on the child , but those over 8 will probably like it . 	how old a kid would need to be to be interested depends on the child , but those over 8 will probably like it .	2	-1	 how[0] old[0] a[0] kid[0] would[0] need[0] to[0] be[0] to[0] be[0] interested[1] depends[0] on[0] the[0] child[0] but[0] those[0] over[0] 8[0] will[0] probably[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
