getting it right is a far far cry from the teenage sex comedy you might expect from a summer movie about male virginity . 	Translation	Positive	Negative	EmotionRationale
gavin is also pursued , or perhaps plagued , by minnie , the totally neurotic daughter of a rich aristocrat . 	gavin is also pursued , or perhaps plagued , by minnie , the totally neurotic daughter of a rich aristocrat .	1	-4	 gavin[0] is[0] also[0] pursued[0] or[0] perhaps[0] plagued[-1] by[0] minnie[0] the[0] totally[0] neurotic[-2][-1 LastWordBoosterStrength] daughter[0] of[0] a[0] rich[0] aristocrat[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after minnie and gavin meet at a party , she takes great pleasure in disrupting his safe and simple life . 	after minnie and gavin meet at a party , she takes great pleasure in disrupting his safe and simple life .	4	-2	 after[0] minnie[0] and[0] gavin[0] meet[0] at[0] a[0] party[0] she[0] takes[0] great[2] pleasure[2][+1 MultiplePositiveWords] in[0] disrupting[-1] his[0] safe[1] and[0] simple[0] life[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
helena bonham carter is delightfully pathetic and kooky in the role , and sir john gielgud , with his tongue in his cheek , embodies the height of arrogance as her father . 	helena bonham carter is delightfully pathetic and kooky in the role , and sir john gielgud , with his tongue in his cheek , embodies the height of arrogance as her father .	3	-3	 helena[0] bonham[0] carter[0] is[0] delightfully[2] pathetic[-2] and[0] kooky[0] in[0] the[0] role[0] and[0] sir[0] john[0] gielgud[0] with[0] his[0] tongue[0] in[0] his[0] cheek[0] embodies[0] the[0] height[0] of[0] arrogance[-2] as[0] her[0] father[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
gavin's eventual love-interest is jenny , the adorable twenty-year-old single mother who assists him at the beauty salon ; london stage actress jane horrocks' fine performance yields a touchingly sweet character . 	gavin's eventual love-interest is jenny , the adorable twenty-year-old single mother who assists him at the beauty salon ; london stage actress jane horrocks' fine performance yields a touchingly sweet character .	4	-4	 gavin's[0] eventual[0] love[2] interest[1] is[0] jenny[0] the[0] adorable[3] twenty[0] year[0] old[0] single[0] mother[0] who[0] assists[0] him[0] at[0] the[0] beauty[2] salon[0] london[0] stage[0] actress[0] jane[0] horrocks'[-3] fine[2] performance[0] yields[0] a[0] touchingly[0] sweet[1] character[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
peter cook , the great british satirist , appears briefly in the film as gavin's uptight employer . 	peter cook , the great british satirist , appears briefly in the film as gavin's uptight employer .	3	-3	 peter[0] cook[0] the[0] great[2] british[0] satirist[0] appears[0] briefly[0] in[0] the[0] film[0] as[0] gavin's[0] uptight[-2] employer[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the scenes of gavin's home life with his parents are also a treat . 	the scenes of gavin's home life with his parents are also a treat .	2	-1	 the[0] scenes[0] of[0] gavin's[0] home[0] life[0] with[0] his[0] parents[0] are[0] also[0] a[0] treat[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gavin's over-protective mother ( pat heywood ) , whom even woody allen would find overbearing , almost steals the movie . 	gavin's over-protective mother ( pat heywood ) , whom even woody allen would find overbearing , almost steals the movie .	1	-3	 gavin's[0] over[0] protective[0] mother[0] pat[0] heywood[0] whom[0] even[0] woody[0] allen[0] would[0] find[0] overbearing[-1] almost[0] steals[-2] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
her life seems limited to just two activities : treating gavin like a 10-year-old and preparing exotic but inedible meals , such as scalding hot curry and baked chicken with chocolate sauce . 	her life seems limited to just two activities : treating gavin like a 10-year-old and preparing exotic but inedible meals , such as scalding hot curry and baked chicken with chocolate sauce .	2	-2	 her[0] life[0] seems[0] limited[0] to[0] just[0] two[0] activities[0] treating[0] gavin[0] like[1] a[0] 10[0] year[0] old[0] and[0] preparing[0] exotic[0] but[0] inedible[0] meals[0] such[0] as[0] scalding[-1] hot[0] curry[0] and[0] baked[0] chicken[0] with[0] chocolate[0] sauce[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
gavin and his father's attempts to avoid eating her meals are extremely amusing . 	gavin and his father's attempts to avoid eating her meals are extremely amusing .	4	-2	 gavin[0] and[0] his[0] father's[0] attempts[0] to[0] avoid[-1] eating[0] her[0] meals[0] are[0] extremely[0] amusing[1][2 LastWordBoosterStrength] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
getting it right , for the most part , is very well-crafted , except for two minor shortcomings . 	getting it right , for the most part , is very well-crafted , except for two minor shortcomings .	1	-2	 getting[0] it[0] right[0] for[0] the[0] most[0] part[0] is[0] very[0] well[0] crafted[0] except[0] for[0] two[0] minor[0] shortcomings[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first , the movie is about 15 minutes too long , and consequently it loses momentum at times . 	first , the movie is about 15 minutes too long , and consequently it loses momentum at times .	1	-2	 first[0] the[0] movie[0] is[0] about[0] 15[0] minutes[0] too[0] long[0] and[0] consequently[0] it[0] loses[-1] momentum[0] at[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
second , the film includes an altogether extraneous subplot about the domestic problems between gavin's best friend , harry , and his unfaithful lover , winthrop . 	second , the film includes an altogether extraneous subplot about the domestic problems between gavin's best friend , harry , and his unfaithful lover , winthrop .	4	-2	 second[0] the[0] film[0] includes[0] an[0] altogether[0] extraneous[0] subplot[0] about[0] the[0] domestic[0] problems[-1] between[0] gavin's[0] best[1] friend[1] harry[0] and[0] his[0] unfaithful[-1] lover[3] winthrop[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
overall , however , getting it right is quite memorable for its humor , depth , sophistication , and outstanding acting . 	overall , however , getting it right is quite memorable for its humor , depth , sophistication , and outstanding acting .	3	-1	 overall[0] however[0] getting[0] it[0] right[0] is[0] quite[0] memorable[0] for[0] its[0] humor[2] depth[0] sophistication[0] and[0] outstanding[2] acting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director kleiser and screenwriter elizabeth jane howard ( adapting her own highly acclaimed novel ) deserve praise for finding just the right tone for this tale of growth , maturation , and self-discovery . 	director kleiser and screenwriter elizabeth jane howard ( adapting her own highly acclaimed novel ) deserve praise for finding just the right tone for this tale of growth , maturation , and self-discovery .	3	-1	 director[0] kleiser[0] and[0] screenwriter[0] elizabeth[0] jane[0] howard[0] adapting[0] her[0] own[0] highly[0] acclaimed[0] novel[0] deserve[0] praise[2] for[0] finding[0] just[0] the[0] right[0] tone[0] for[0] this[0] tale[0] of[0] growth[0] maturation[0] and[0] self[0] discovery[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
