in 1995 , brian singer and christopher mcquarrie dreamed up a simple concept : the audience isn't stupid . 	Translation	Positive	Negative	EmotionRationale
the film is a good one , a decent film until the last 10 minutes . 	the film is a good one , a decent film until the last 10 minutes .	2	-1	 the[0] film[0] is[0] a[0] good[1] one[0] a[0] decent[0] film[0] until[0] the[0] last[0] 10[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what this film boils down to is the greatest ending in cinematic history , for me at least . 	what this film boils down to is the greatest ending in cinematic history , for me at least .	3	-1	 what[0] this[0] film[0] boils[0] down[0] to[0] is[0] the[0] greatest[2] ending[0] in[0] cinematic[0] history[0] for[0] me[0] at[0] least[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the revelation of keyser soze , the closing gunfights , it is something wondrous . 	the revelation of keyser soze , the closing gunfights , it is something wondrous .	1	-2	 the[0] revelation[0] of[0] keyser[0] soze[0] the[0] closing[0] gunfights[-1] it[0] is[0] something[0] wondrous[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you have to see this movie about 10 times to believe what they do . 	you have to see this movie about 10 times to believe what they do .	1	-1	 you[0] have[0] to[0] see[0] this[0] movie[0] about[0] 10[0] times[0] to[0] believe[0] what[0] they[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kudos to mcquarrie and singer for giving the audience a delightful , fast-paced , furiously plot-driven movie with quirky characters , phenomenal acting , and some hilarious moments stuck in the middle . 	kudos to mcquarrie and singer for giving the audience a delightful , fast-paced , furiously plot-driven movie with quirky characters , phenomenal acting , and some hilarious moments stuck in the middle .	3	-4	 kudos[0] to[0] mcquarrie[0] and[0] singer[0] for[0] giving[0] the[0] audience[0] a[0] delightful[2] fast[0] paced[0] furiously[-3] plot[0] driven[0] movie[0] with[0] quirky[0] characters[0] phenomenal[0] acting[0] and[0] some[0] hilarious[2][-1 LastWordBoosterStrength] moments[0] stuck[0] in[0] the[0] middle[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
mcquarrie refuses to believe the audience is dumb . 	mcquarrie refuses to believe the audience is dumb .	1	-2	 mcquarrie[0] refuses[-1] to[0] believe[0] the[0] audience[0] is[0] dumb[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
without furnishing too many details , he concocts his story and lets it run , hoping the audience gets it at the end . 	without furnishing too many details , he concocts his story and lets it run , hoping the audience gets it at the end .	2	-1	 without[0] furnishing[0] too[0] many[0] details[0] he[0] concocts[0] his[0] story[0] and[0] lets[0] it[0] run[0] hoping[1] the[0] audience[0] gets[0] it[0] at[0] the[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we do . 	we do .	1	-1	 we[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this might just be the finest cinematic puzzle ever created . 	this might just be the finest cinematic puzle ever created .	1	-1	 this[0] might[0] just[0] be[0] the[0] finest[0] cinematic[0] puzzle/puzle[0] ever[0] created[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kudos also to singer and john ottman , who created the score . 	kudos also to singer and john ottman , who created the score .	1	-1	 kudos[0] also[0] to[0] singer[0] and[0] john[0] ottman[0] who[0] created[0] the[0] score[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they both create what is a true film-noir setting , carefully setting up this intricate puzzle until the final , jarring ending . 	they both create what is a true film-noir setting , carefully setting up this intricate puzle until the final , jarring ending .	2	-1	 they[0] both[0] create[0] what[0] is[0] a[0] true[1] film[0] noir[0] setting[0] carefully[0] setting[0] up[0] this[0] intricate[0] puzzle/puzle[0] until[0] the[0] final[0] jarring[0] ending[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are flaws : more questions raised than answers , lack of character development , and no strong female characters ( save one ) . 	there are flaws : more questions raised than answers , lack of character development , and no strong female characters ( save one ) .	2	-2	 there[0] are[0] flaws[0] more[0] questions[0] raised[0] than[0] answers[0] lack[-1] of[0] character[0] development[0] and[0] no[0] strong[0] female[0] characters[0] save[1] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , the plot , and that stunning ending , make up for all the flaws and more . 	however , the plot , and that stunning ending , make up for all the flaws and more .	1	-1	 however[0] the[0] plot[0] and[0] that[0] stunning[0] ending[0] make[0] up[0] for[0] all[0] the[0] flaws[0] and[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you haven't seen the movie , rent it . 	if you haven't seen the movie , rent it .	1	-1	 if[0] you[0] haven't[0] seen[0] the[0] movie[0] rent[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watch it . 	watch it .	1	-1	 watch[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then rewind the tape , and watch it again . 	then rewind the tape , and watch it again .	1	-1	 then[0] rewind[0] the[0] tape[0] and[0] watch[0] it[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
trust me , you'll be amazed . 	trust me , you'll be amazed .	3	-1	 trust[1] me[0] you'll[0] be[0] amazed[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
