all those who were offended by there's something about mary should not tread in the waters of american pie , a gratuitously sexual rollercoaster ride of raunch . 	Translation	Positive	Negative	EmotionRationale
biggs is more than enjoyable , and chris klein ( who recently played a similar jock in election ) is obviously a young talent on the rise . 	biggs is more than enjoyable , and chris klein ( who recently played a similar jock in election ) is obviously a young talent on the rise .	3	-1	 biggs[0] is[0] more[0] than[0] enjoyable[2] and[0] chris[0] klein[0] who[0] recently[0] played[0] a[0] similar[0] jock[0] in[0] election[0] is[0] obviously[0] a[0] young[0] talent[1] on[0] the[0] rise[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but in a teen-dominated movie , the best performance comes from comedian eugene levy ( of television's sctv ) , who is unexpectedly brilliant as jim's uneasy father . 	but in a teen-dominated movie , the best performance comes from comedian eugene levy ( of television's sctv ) , who is unexpectedly brilliant as jim's uneasy father .	2	-2	 but[0] in[0] a[0] teen[0] dominated[-1] movie[0] the[0] best[1] performance[0] comes[0] from[0] comedian[0] eugene[0] levy[0] of[0] television's[0] sctv[0] who[0] is[0] unexpectedly[-1] brilliant[1] as[0] jim's[0] uneasy[-1] father[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
scenes in which the familiar father-son conversations are brought to interesting new levels are the funniest moments to be found in american pie . 	scenes in which the familiar father-son conversations are brought to interesting new levels are the funniest moments to be found in american pie .	2	-1	 scenes[0] in[0] which[0] the[0] familiar[0] father[0] son[0] conversations[0] are[0] brought[0] to[0] interesting[1] new[0] levels[0] are[0] the[0] funniest[1] moments[0] to[0] be[0] found[0] in[0] american[0] pie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after levy discovers jim's new use for apple pie , he tells him ,  i did a fare share of that sort of thing when i was your age . 	after levy discovers jim's new use for apple pie , he tells him ,  i did a fare share of that sort of thing when i was your age .	1	-1	 after[0] levy[0] discovers[0] jim's[0] new[0] use[0] for[0] apple[0] pie[0] he[0] tells[0] him[0] i[0] did[0] a[0] fare[0] share[0] of[0] that[0] sort[0] of[0] thing[0] when[0] i[0] was[0] your[0] age[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i never used baked goods . ' 	but i never used baked goods .<br> '	1	-1	 but[0] i[0] never[0] used[0] baked[0] goods[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is performances such as his , and bill murray's in rushmore , that are often unfairly dismissed when awards are handed out . 	it is performances such as his , and bill murray's in rushmore , that are often unfairly dismissed when awards are handed out .	1	-2	 it[0] is[0] performances[0] such[0] as[0] his[0] and[0] bill[0] murray's[0] in[0] rushmore[0] that[0] are[0] often[0] unfairly[-1] dismissed[-1] when[0] awards[0] are[0] handed[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are some less-than-original aspects of the film . 	there are some less-than-original aspects of the film .	1	-1	 there[0] are[0] some[0] less[0] than[0] original[0] aspects[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a bathroom incident involving finch and a bottle of ex-lax is something we've seen before . 	a bathroom incident involving finch and a bottle of ex-lax is something we've seen before .	1	-1	 a[0] bathroom[0] incident[0] involving[0] finch[0] and[0] a[0] bottle[0] of[0] ex[0] lax[0] is[0] something[0] we've[0] seen[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if weitz is planning to take after the farrelly brothers , then this is a decidedly unwise move : the same prank was pulled in the brother's dumb and dumber , and used to greater effect . 	if weitz is planning to take after the farrelly brothers , then this is a decidedly unwise move : the same prank was pulled in the brother's dumb and dumber , and used to greater effect .	3	-2	 if[0] weitz[0] is[0] planning[0] to[0] take[0] after[0] the[0] farrelly[0] brothers[0] then[0] this[0] is[0] a[0] decidedly[0] unwise[-1] move[0] the[0] same[0] prank[0] was[0] pulled[0] in[0] the[0] brother's[0] dumb[-1] and[0] dumber[-1] and[0] used[0] to[0] greater[2] effect[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
secondly , the characters are forced into a half-hearted climax that seems more artificial than amusing . 	secondly , the characters are forced into a half-hearted climax that seems more artificial than amusing .	2	-1	 secondly[0] the[0] characters[0] are[0] forced[0] into[0] a[0] half[0] hearted[0] climax[0] that[0] seems[0] more[0] artificial[0] than[0] amusing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but at one point , in which we discover that american pie does have a heart of it's own , biggs asks his buddies why he's going through so much pressure for something that's  not very important anyway . ' 	but at one point , in which we discover that american pie does have a heart of it's own , biggs asks his buddies why he's going through so much pressure for something that's  not very important anyway .<br> '	1	-2	 but[0] at[0] one[0] point[0] in[0] which[0] we[0] discover[0] that[0] american[0] pie[0] does[0] have[0] a[0] heart[0] of[0] it's[0] own[0] biggs[0] asks[0] his[0] buddies[0] why[0] he's[0] going[0] through[0] so[0] much[0] pressure[-1] for[0] something[0] that's[0] not[0] very[0] important[0] anyway[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
and so we realize that while the film is expressive about a subject that is hardly appropriate , it still manages to be mature . 	and so we realize that while the film is expressive about a subject that is hardly appropriate , it still manages to be mature .	1	-1	 and[0] so[0] we[0] realize[0] that[0] while[0] the[0] film[0] is[0] expressive[0] about[0] a[0] subject[0] that[0] is[0] hardly[0] appropriate[0] it[0] still[0] manages[0] to[0] be[0] mature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in it's own way . 	in it's own way .	1	-1	 in[0] it's[0] own[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
