 " . . it's certainly more than just a monster story . . " 	Translation	Positive	Negative	EmotionRationale
his gole is to reach the north pole at all costs . 	his gole is to reach the north pole at all costs .	1	-1	 his[0] gole[0] is[0] to[0] reach[0] the[0] north[0] pole[0] at[0] all[0] costs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the ice closes around his ship , a figure appears on the horizon . 	as the ice closes around his ship , a figure appears on the horizon .	1	-1	 as[0] the[0] ice[0] closes[0] around[0] his[0] ship[0] a[0] figure[0] appears[0] on[0] the[0] horizon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a man . 	it's a man .	1	-1	 it's[0] a[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
exhausted and on the brink of death he approaches the frightening crew . 	exhausted and on the brink of death he approaches the frightening crew .	1	-4	 exhausted[-1] and[0] on[0] the[0] brink[0] of[0] death[-2] he[0] approaches[0] the[0] frightening[-3] crew[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his name is victor frankenstein ( kenneth branagh ) and his story is so terrifying that it will scare everyone from venturing into the unknown . 	his name is victor frankenstein ( kenneth branagh ) and his story is so terrifying that it will scare everyone from venturing into the unknown .	1	-4	 his[0] name[0] is[0] victor[0] frankenstein[0] kenneth[0] branagh[0] and[0] his[0] story[0] is[0] so[0] terrifying[-3] that[0] it[0] will[0] scare[-3] everyone[0] from[0] venturing[0] into[0] the[0] unknown[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the myserious stranger begins his tale , or more precisely his confession , in geneva , 1773 . 	the myserious stranger begins his tale , or more precisely his confession , in geneva , 1773 .	1	-2	 the[0] myserious[0] stranger[0] begins[0] his[0] tale[0] or[0] more[0] precisely[0] his[0] confession[-1] in[0] geneva[0] 1773[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is remembering his childhood and youth . 	he is remembering his childhood and youth .	1	-1	 he[0] is[0] remembering[0] his[0] childhood[0] and[0] youth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
laughter , banquets and parties - a happy life , without troubles or concerns . 	laughter , banquets and parties - a happy life , without troubles or concerns .	2	-2	 laughter[1] banquets[0] and[0] parties[0] a[0] happy[1] life[0] without[0] troubles[-1] or[0] concerns[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
here victor lived with his father ( ian holm ) , mother ( cherie lunghi ) , his surrogate sister ( helena boham carter ) and his servants in happiness and harmony . 	here victor lived with his father ( ian holm ) , mother ( cherie lunghi ) , his surrogate sister ( helena boham carter ) and his servants in happiness and harmony .	3	-1	 here[0] victor[0] lived[0] with[0] his[0] father[0] ian[0] holm[0] mother[0] cherie[0] lunghi[0] his[0] surrogate[0] sister[0] helena[0] boham[0] carter[0] and[0] his[0] servants[0] in[0] happiness[2] and[0] harmony[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this idyllic lifestyle is suddenly changed . 	this idyllic lifestyle is suddenly changed .	1	-1	 this[0] idyllic[0] lifestyle[0] is[0] suddenly[0] changed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like thunder from a quite sky , his mother dies , giving birth to his youngest brother . 	like thunder from a quite sky , his mother dies , giving birth to his youngest brother .	2	-1	 like[1] thunder[0] from[0] a[0] quite[0] sky[0] his[0] mother[0] dies[0] giving[0] birth[0] to[0] his[0] youngest[0] brother[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
shocked , baffled and then gradually changed by grief and despair , victor ( already interested in science ) becomes obsessed with death . 	shocked , baffled and then gradually changed by grief and despair , victor ( already interested in science ) becomes obsessed with death .	2	-4	 shocked[-2] baffled[-1] and[0] then[0] gradually[0] changed[0] by[0] grief[-3] and[0] despair[-3] victor[0] already[0] interested[1] in[0] science[0] becomes[0] obsessed[-2] with[0] death[-2] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
standing on his mother's grave he says : " oh mother . . you 	standing on his mother's grave he says : " oh mother .<br> .<br> you	1	-3	 standing[0] on[0] his[0] mother's[0] grave[-2] he[0] says[0] oh[0] mother[0] [[Sentence=-3,1=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
did not have to die . . . no one should ever die . . . i 	did not have to die .<br> .<br> .<br> no one should ever die .<br> .<br> .<br> i	1	-1	 did[0] not[0] have[0] to[0] die[0] [[Sentence=-1,1=word max, 1-5]] no[0] one[0] should[0] ever[0] die[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
will stop this . . i 	will stop this .<br> .<br> i	1	-1	 will[0] stop[0] this[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
promiss . . " 	promiss .<br> .<br> "	2	-1	 promiss[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after proposing marridge to his surrogate sister and promising to return as soon as his studies are finished , victor travels to ingolstadt , in presuite of a medical career . 	after proposing marridge to his surrogate sister and promising to return as soon as his studies are finished , victor travels to ingolstadt , in presuite of a medical career .	2	-1	 after[0] proposing[0] marridge[0] to[0] his[0] surrogate[0] sister[0] and[0] promising[1] to[0] return[0] as[0] soon[0] as[0] his[0] studies[0] are[0] finished[0] victor[0] travels[0] to[0] ingolstadt[0] in[0] presuite[0] of[0] a[0] medical[0] career[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after a while his obsession totally overtakes him as he is working day and night , creating life from death . 	after a while his obsession totally overtakes him as he is working day and night , creating life from death .	1	-3	 after[0] a[0] while[0] his[0] obsession[-2] totally[0] overtakes[0] him[0] as[0] he[0] is[0] working[0] day[0] and[0] night[0] creating[0] life[0] from[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
composing dead bodies , frankenstein wanted to create the perfect man - both physically and mentally . 	composing dead bodies , frankenstein wanted to create the perfect man - both physically and mentally .	2	-3	 composing[0] dead[-2] bodies[0] frankenstein[0] wanted[0] to[0] create[0] the[0] perfect[1] man[0] both[0] physically[0] and[0] mentally[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
with strong electrical impulses , he managed to breeth life into his creation . 	with strong electrical impulses , he managed to breeth life into his creation .	1	-1	 with[0] strong[0] electrical[0] impulses[0] he[0] managed[0] to[0] breeth[0] life[0] into[0] his[0] creation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result was ugliness . 	the result was ugliness .	1	-3	 the[0] result[0] was[0] ugliness[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
realizing what he has done , frankenstein tried to undo his work , but it was to late . 	realizing what he has done , frankenstein tried to undo his work , but it was to late .	1	-2	 realizing[0] what[0] he[0] has[0] done[0] frankenstein[0] tried[0] to[0] undo[-1] his[0] work[0] but[0] it[0] was[0] to[0] late[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the creature has escaped . 	the creature has escaped .	1	-1	 the[0] creature[0] has[0] escaped[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because of the epidemic , frankenstein hoped that his creation has died and returned to his home , making plans for the wedding . 	because of the epidemic , frankenstein hoped that his creation has died and returned to his home , making plans for the wedding .	2	-2	 because[0] of[0] the[0] epidemic[-1] frankenstein[0] hoped[1] that[0] his[0] creation[0] has[0] died[0] and[0] returned[0] to[0] his[0] home[0] making[0] plans[0] for[0] the[0] wedding[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for a while everything is as it was before his mother's death . 	for a while everything is as it was before his mother's death .	1	-3	 for[0] a[0] while[0] everything[0] is[0] as[0] it[0] was[0] before[0] his[0] mother's[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but then one by one his loved once are dying mysteriously . . . 	but then one by one his loved once are dying mysteriously .<br> .<br> .	4	-2	 but[0] then[0] one[0] by[0] one[0] his[0] loved[3] once[0] are[0] dying[-1] mysteriously[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
whale's picture , although powerful , never managed to capture the total depth of the novel . 	whale's picture , although powerful , never managed to capture the total depth of the novel .	1	-2	 whale's[0] picture[0] although[0] powerful[0] never[0] managed[0] to[0] capture[-1] the[0] total[0] depth[0] of[0] the[0] novel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brannagh has more or less done that . 	brannagh has more or less done that .	1	-1	 brannagh[0] has[0] more[0] or[0] less[0] done[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another thing is characters and actors . 	another thing is characters and actors .	1	-1	 another[0] thing[0] is[0] characters[0] and[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
branagh has developed every character and assembled a magnificent cast . 	branagh has developed every character and assembled a magnificent cast .	4	-1	 branagh[0] has[0] developed[0] every[0] character[0] and[0] assembled[0] a[0] magnificent[3] cast[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the greatest performances comes from de niro - the monster , that has been played by ( among others ) charles ogle , karloff , lon chaney , bela lugosi , glenn strange , christopher lee , fred gwynne ( as herman munster ) , and now , robert de niro . 	the greatest performances comes from de niro - the monster , that has been played by ( among others ) charles ogle , karloff , lon chaney , bela lugosi , glen strange , christopher lee , fred gwynne ( as herman munster ) , and now , robert de niro .	3	-2	 the[0] greatest[2] performances[0] comes[0] from[0] de[0] niro[0] the[0] monster[-1] that[0] has[0] been[0] played[0] by[0] among[0] others[0] charles[0] ogle[0] karloff[0] lon[0] chaney[0] bela[0] lugosi[0] glenn/glen[0] strange[0] christopher[0] lee[0] fred[0] gwynne[0] as[0] herman[0] munster[0] and[0] now[0] robert[0] de[0] niro[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
alone , hated and feared , he is completely aware of his ugliness . 	alone , hated and feared , he is completely aware of his ugliness .	1	-4	 alone[0] hated[-3] and[0] feared[-2] he[0] is[0] completely[0] aware[0] of[0] his[0] ugliness[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at first he is like a helpless , abandoned child , desperately reaching out for love . 	at first he is like a helpless , abandoned child , desperately reaching out for love .	3	-3	 at[0] first[0] he[0] is[0] like[1] a[0] helpless[-1] abandoned[-1] child[0] desperately[-2] reaching[0] out[0] for[0] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
later when he reads frankenstein's journal , and learns that he is composed of dead bodies , his love turns into rage as he is seeking revenge . 	later when he reads frankenstein's journal , and learns that he is composed of dead bodies , his love turns into rage as he is seeking revenge .	3	-4	 later[0] when[0] he[0] reads[0] frankenstein's[0] journal[0] and[0] learns[0] that[0] he[0] is[0] composed[0] of[0] dead[-2] bodies[0] his[0] love[2] turns[0] into[0] rage[-3] as[0] he[0] is[0] seeking[0] revenge[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he is capable of killing without regret . 	he is capable of killing without regret .	1	-2	 he[0] is[0] capable[0] of[0] killing[-1] without[0] regret[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " i took him by the throughout and lifted him off the ground . . . . and 	 " i took him by the throughout and lifted him off the ground .<br> .<br> .<br> .<br> and	1	-1	 i[0] took[0] him[0] by[0] the[0] throughout[0] and[0] lifted[0] him[0] off[0] the[0] ground[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then i slowly crushed his neck . . . and 	then i slowly crushed his neck .<br> .<br> .<br> and	1	-1	 then[0] i[0] slowly[0] crushed[0] his[0] neck[0] [[Sentence=-1,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as i killed him , i saw your face . . " 	as i killed him , i saw your face .<br> .<br> "	1	-4	 as[0] i[0] killed[-3] him[0] i[0] saw[0] your[0] face[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that is how he reveals his savage nature to his creator . 	that is how he reveals his savage nature to his creator .	1	-3	 that[0] is[0] how[0] he[0] reveals[0] his[0] savage[-2] nature[0] to[0] his[0] creator[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and yet , he is never quite evil in our eyes and his vaulerbility and his loneliness are palpable : " for the sympathy of one living being i would make peace with all . " 	and yet , he is never quite evil in our eyes and his vaulerbility and his loneliness are palpable : " for the sympathy of one living being i would make peace with all .<br> "	3	-2	 and[0] yet[0] he[0] is[0] never[0] quite[0] evil[-2][NegatedDueToPreviousWord] in[0] our[0] eyes[0] and[0] his[0] vaulerbility[0] and[0] his[0] loneliness[-1] are[0] palpable[0] for[0] the[0] sympathy[0] of[0] one[0] living[0] being[0] i[0] would[0] make[0] peace[0] with[0] all[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
rarely has a cinematic interpretation of " the daemon " approached the level of three-dimensionality and humanity with which it is portrayed in the novel . 	rarely has a cinematic interpretation of " the daemon " approached the level of three-dimensionality and humanity with which it is portrayed in the novel .	1	-1	 rarely[0] has[0] a[0] cinematic[0] interpretation[0] of[0] the[0] daemon[0] approached[0] the[0] level[0] of[0] three[0] dimensionality[0] and[0] humanity[0] with[0] which[0] it[0] is[0] portrayed[0] in[0] the[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another vital thing is the character of victor frankenstein . 	another vital thing is the character of victor frankenstein .	1	-1	 another[0] vital[0] thing[0] is[0] the[0] character[0] of[0] victor[0] frankenstein[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in most of the previous adaptions he was simply a mad scientist that trolls the graveyards for corpses and then creates a monster ( god knows why ! ) with the power of an electrical storm . 	in most of the previous adaptions he was simply a mad scientist that trolls the graveyards for corpses and then creates a monster ( god knows why !<br> ) with the power of an electrical storm .	1	-3	 in[0] most[0] of[0] the[0] previous[0] adaptions[0] he[0] was[0] simply[0] a[0] mad[-1] scientist[0] that[0] trolls[0] the[0] graveyards[-2] for[0] corpses[0] and[0] then[0] creates[0] a[0] monster[-1] god[0] knows[0] why[0] [[Sentence=-3,1=word max, 1-5]] with[0] the[0] power[0] of[0] an[0] electrical[0] storm[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
almost no time was granted on his charecter , who is the most important and vital charecter in the novel . 	almost no time was granted on his charecter , who is the most important and vital charecter in the novel .	1	-1	 almost[0] no[0] time[0] was[0] granted[0] on[0] his[0] charecter[0] who[0] is[0] the[0] most[0] important[0] and[0] vital[0] charecter[0] in[0] the[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here , branagh introduces the character of victor frankenstein , establishes his obsession with the very nature of life and death , sets up the intellectual and ideological conflict between victor and the academic establishment , and somehow manages to build up to a rousing and horrifying creation scene . 	here , branagh introduces the character of victor frankenstein , establishes his obsession with the very nature of life and death , sets up the intellectual and ideological conflict between victor and the academic establishment , and somehow manages to build up to a rousing and horrifying creation scene .	1	-4	 here[0] branagh[0] introduces[0] the[0] character[0] of[0] victor[0] frankenstein[0] establishes[0] his[0] obsession[-2] with[0] the[0] very[0] nature[0] of[0] life[0] and[0] death[-2] sets[0] up[0] the[0] intellectual[0] and[0] ideological[0] conflict[-1] between[0] victor[0] and[0] the[0] academic[0] establishment[0] and[0] somehow[0] manages[0] to[0] build[0] up[0] to[0] a[0] rousing[0] and[0] horrifying[-3] creation[0] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
branagh plays frankenstein with a remarkable understanding of his character . 	branagh plays frankenstein with a remarkable understanding of his character .	2	-1	 branagh[0] plays[1] frankenstein[0] with[0] a[0] remarkable[0] understanding[0] of[0] his[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the outside he is strong , ambitious and talented scientist , but deep down he is unsecure , fragile and vaulerble , constantly haunted by the ghosts from his past . 	on the outside he is strong , ambitious and talented scientist , but deep down he is unsecure , fragile and vaulerble , constantly haunted by the ghosts from his past .	2	-2	 on[0] the[0] outside[0] he[0] is[0] strong[0] ambitious[0] and[0] talented[1] scientist[0] but[0] deep[0] down[0] he[0] is[0] unsecure[0] fragile[-1] and[0] vaulerble[0] constantly[0] haunted[0] by[0] the[0] ghosts[0] from[0] his[0] past[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
helen boham carter is equally wonderful as frankenstein's surrogate sister , who at the end becomes his wife for a little while , before death drives them apart . 	helen boham carter is equally wonderful as frankenstein's surrogate sister , who at the end becomes his wife for a little while , before death drives them apart .	3	-3	 helen[0] boham[0] carter[0] is[0] equally[0] wonderful[2] as[0] frankenstein's[0] surrogate[0] sister[0] who[0] at[0] the[0] end[0] becomes[0] his[0] wife[0] for[0] a[0] little[0] while[0] before[0] death[-2] drives[0] them[0] apart[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the rest of the cast , playing secondary characters , is solid and nothing less than convincing . 	the rest of the cast , playing secondary characters , is solid and nothing less than convincing .	2	-1	 the[0] rest[0] of[0] the[0] cast[0] playing[1] secondary[0] characters[0] is[0] solid[0] and[0] nothing[0] less[0] than[0] convincing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
visually the film is stunning ( especially the makeup ) . 	visually the film is stunning ( especially the makeup ) .	1	-1	 visually[0] the[0] film[0] is[0] stunning[0] especially[0] the[0] makeup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the spinning camera , the constantly building-up musical acore , the art direction , the production design , the costumes are all magnificent : from the arctic ocean to the swiss alps and dark forests , to the plague-riddled streets of ingolstadt , mary shelley's frankenstein is a wonder to behold . 	the spinning camera , the constantly building-up musical acore , the art direction , the production design , the costumes are all magnificent : from the arctic ocean to the swiss alps and dark forests , to the plague-riddled streets of ingolstadt , mary shelley's frankenstein is a wonder to behold .	4	-2	 the[0] spinning[0] camera[0] the[0] constantly[0] building[0] up[0] musical[0] acore[0] the[0] art[0] direction[0] the[0] production[0] design[0] the[0] costumes[0] are[0] all[0] magnificent[3] from[0] the[0] arctic[0] ocean[0] to[0] the[0] swiss[0] alps[0] and[0] dark[0] forests[0] to[0] the[0] plague[-1] riddled[0] streets[0] of[0] ingolstadt[0] mary[0] shelley's[0] frankenstein[0] is[0] a[0] wonder[0] to[0] behold[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
kenneth branagh directs his film as if the script was written by shakespeare : " . . all 	kenneth branagh directs his film as if the script was written by shakespeare : " .<br> .<br> all	1	-1	 kenneth[0] branagh[0] directs[0] his[0] film[0] as[0] if[0] the[0] script[0] was[0] written[0] by[0] shakespeare[0] [[Sentence=-1,1=word max, 1-5]] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i once loved lies in a shallow grave . . . . by 	i once loved lies in a shallow grave .<br> .<br> .<br> .<br> by	4	-3	 i[0] once[0] loved[3] lies[-2] in[0] a[0] shallow[-1] grave[-2] [[Sentence=-3,4=word max, 1-5]] by[0] [[Sentence=-1,1=word max, 1-5]][[[4,-3 max of sentences]]]
my hand . . " . 	my hand .<br> .<br> " .	1	-1	 my[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the film ends exacly as hamlet , when the creature sets both his and his creator's body on fire . 	and the film ends exacly as hamlet , when the creature sets both his and his creator's body on fire .	1	-1	 and[0] the[0] film[0] ends[0] exacly[0] as[0] hamlet[0] when[0] the[0] creature[0] sets[0] both[0] his[0] and[0] his[0] creator's[0] body[0] on[0] fire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film ends with frankenstein and his creation burning in the almost hellish fire in the darkness . 	the film ends with frankenstein and his creation burning in the almost hellish fire in the darkness .	1	-3	 the[0] film[0] ends[0] with[0] frankenstein[0] and[0] his[0] creation[0] burning[-1] in[0] the[0] almost[0] hellish[-2] fire[0] in[0] the[0] darkness[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and a terrifying last close-up on the creature's smiling face . 	and a terrifying last close-up on the creature's smiling face .	3	-4	 and[0] a[0] terrifying[-3] last[0] close[0] up[0] on[0] the[0] creature's[0] smiling[2] face[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
can a man create life , then abandon his creation because its appearance horrifies him ? 	can a man create life , then abandon his creation because its appearance horrifies him ?	1	-4	 can[0] a[0] man[0] create[0] life[0] then[0] abandon[-1] his[0] creation[0] because[0] its[0] appearance[0] horrifies[-3] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to whom are its actions then attributable : the creature or the being who brought about its existence ? 	to whom are its actions then attributable : the creature or the being who brought about its existence ?	1	-1	 to[0] whom[0] are[0] its[0] actions[0] then[0] attributable[0] the[0] creature[0] or[0] the[0] being[0] who[0] brought[0] about[0] its[0] existence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shelley did not answer these questions , but she certainly posed them . 	shelley did not answer these questions , but she certainly posed them .	1	-1	 shelley[0] did[0] not[0] answer[0] these[0] questions[0] but[0] she[0] certainly[0] posed[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
following her example , branagh does the same . 	following her example , branagh does the same .	1	-1	 following[0] her[0] example[0] branagh[0] does[0] the[0] same[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his film is a tragic saga about playing god . 	his film is a tragic saga about playing god .	2	-3	 his[0] film[0] is[0] a[0] tragic[-2] saga[-1] about[0] playing[1] god[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
victor frankenstein is not an evil man . 	victor frankenstein is not an evil man .	3	-1	 victor[0] frankenstein[0] is[0] not[0] an[0] evil[-2][NegatedDueToPreviousWord] man[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he wanted to change the world to the better . 	he wanted to change the world to the better .	1	-1	 he[0] wanted[0] to[0] change[0] the[0] world[0] to[0] the[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this he represents everything science stands for : acting without doubts , never considering the consequences of his actions . 	in this he represents everything science stands for : acting without doubts , never considering the consequences of his actions .	1	-2	 in[0] this[0] he[0] represents[0] everything[0] science[0] stands[0] for[0] acting[0] without[0] doubts[-1] never[0] considering[0] the[0] consequences[0] of[0] his[0] actions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
produced by francis ford coppola , frankenstein resembles in some respects coppolas previous film " dracula " . 	produced by francis ford coppola , frankenstein resembles in some respects coppolas previous film " dracula " .	2	-1	 produced[0] by[0] francis[0] ford[0] coppola[0] frankenstein[0] resembles[0] in[0] some[0] respects[2][-1 LastWordBoosterStrength] coppolas[0] previous[0] film[0] dracula[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in comparison , i can say that " dracula " has visuals that even " frankenstein " can not live up to . 	in comparison , i can say that " dracula " has visuals that even " frankenstein " can not live up to .	1	-1	 in[0] comparison[0] i[0] can[0] say[0] that[0] dracula[0] has[0] visuals[0] that[0] even[0] frankenstein[0] can[0] not[0] live[0] up[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
