everyone's heard about this movie , and more specifically , * the * scene . 	Translation	Positive	Negative	EmotionRationale
pulp fiction ) . 	pulp fiction ) .	1	-1	 pulp[0] fiction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pulp fiction did it in a way , and expanded on it in a way , that it could even be interpreted as funny . 	pulp fiction did it in a way , and expanded on it in a way , that it could even be interpreted as funny .	2	-1	 pulp[0] fiction[0] did[0] it[0] in[0] a[0] way[0] and[0] expanded[0] on[0] it[0] in[0] a[0] way[0] that[0] it[0] could[0] even[0] be[0] interpreted[0] as[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but in 1972 , deliverance was no laughing matter . 	but in 1972 , deliverance was no laughing matter .	2	-1	 but[0] in[0] 1972[0] deliverance[0] was[0] no[0] laughing[1] matter[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story centers around a group of four atlanta men who decide to take a rafting trip down a backwoods river in georgia while the river is still there and in its glory . 	the story centers around a group of four atlanta men who decide to take a rafting trip down a backwoods river in georgia while the river is still there and in its glory .	2	-1	 the[0] story[0] centers[0] around[0] a[0] group[0] of[0] four[0] atlanta[0] men[0] who[0] decide[0] to[0] take[0] a[0] rafting[0] trip[0] down[0] a[0] backwoods[0] river[0] in[0] georgia[0] while[0] the[0] river[0] is[0] still[0] there[0] and[0] in[0] its[0] glory[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the initial leader of the group is lewis ( burt reynolds in his prime ) , a real outdoorsman and more of a daniel boone-type then any of the others . 	the initial leader of the group is lewis ( burt reynolds in his prime ) , a real outdoorsman and more of a daniel bone-type then any of the others .	1	-1	 the[0] initial[0] leader[0] of[0] the[0] group[0] is[0] lewis[0] burt[0] reynolds[0] in[0] his[0] prime[0] a[0] real[0] outdoorsman[0] and[0] more[0] of[0] a[0] daniel[0] boone/bone[0] type[0] then[0] any[0] of[0] the[0] others[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joining him are ed ( jon voight ) , bobby ( ned beatty ) , and drew ( ronny cox ) . 	joining him are ed ( jon voight ) , bobby ( ned beatty ) , and drew ( ronny cox ) .	1	-1	 joining[0] him[0] are[0] ed[0] jon[0] voight[0] bobby[0] ned[0] beatty[0] and[0] drew[0] ronny[0] cox[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the group's first objective is to find someone ( s ) to drive their cars down the river to the point where they will end their trip . 	the group's first objective is to find someone ( s ) to drive their cars down the river to the point where they will end their trip .	1	-1	 the[0] group's[0] first[0] objective[0] is[0] to[0] find[0] someone[0] s[0] to[0] drive[0] their[0] cars[0] down[0] the[0] river[0] to[0] the[0] point[0] where[0] they[0] will[0] end[0] their[0] trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they make arrangements with a few mountain men , who accept  40 . 00 for the task . 	they make arrangements with a few mountain men , who accept  40 .<br> 00 for the task .	1	-1	 they[0] make[0] arrangements[0] with[0] a[0] few[0] mountain[0] men[0] who[0] accept[0] 40[0] [[Sentence=-1,1=word max, 1-5]] 00[0] for[0] the[0] task[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
drew also has the famous " dueling banjos " competition with a local who is , let us say , genetically challenged . 	drew also has the famous " dueling banjos " competition with a local who is , let us say , genetically challenged .	1	-2	 drew[0] also[0] has[0] the[0] famous[0] dueling[0] banjos[0] competition[0] with[0] a[0] local[0] who[0] is[0] let[0] us[0] say[0] genetically[0] challenged[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the men then set off down the river , with lewis , also the master at canoeing , leading the way . 	the men then set off down the river , with lewis , also the master at canoeing , leading the way .	1	-1	 the[0] men[0] then[0] set[0] off[0] down[0] the[0] river[0] with[0] lewis[0] also[0] the[0] master[0] at[0] canoeing[0] leading[0] the[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything seems to be going fine , until the two canoes split up , leaving the unexperienced ed and bobby alone . 	everything seems to be going fine , until the two canoes split up , leaving the unexperienced ed and bobby alone .	3	-1	 everything[0] seems[0] to[0] be[0] going[0] fine[2] until[0] the[0] two[0] canoes[0] split[0] up[0] leaving[0] the[0] unexperienced[0] ed[0] and[0] bobby[0] alone[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they encounter two hillbillies , armed with a shotgun , who captured them . 	they encounter two hillbillies , armed with a shotgun , who captured them .	1	-2	 they[0] encounter[0] two[0] hillbillies[0] armed[0] with[0] a[0] shotgun[0] who[0] captured[-1] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ed is tied to a tree while bobby is sodomized by one of the men . 	ed is tied to a tree while bobby is sodomized by one of the men .	1	-1	 ed[0] is[0] tied[0] to[0] a[0] tree[0] while[0] bobby[0] is[0] sodomized[0] by[0] one[0] of[0] the[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ed nearly receives the same cruelty , but lewis arrives just in time to fire an arrow through the rapist's back . 	ed nearly receives the same cruelty , but lewis arrives just in time to fire an arrow through the rapist's back .	1	-4	 ed[0] nearly[0] receives[0] the[0] same[0] cruelty[-3] but[0] lewis[0] arrives[0] just[0] in[0] time[0] to[0] fire[0] an[0] arrow[0] through[0] the[0] rapist's[-3] back[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the other hillbilly gets away , and the men have to decide what to do with the dead body . 	the other hillbilly gets away , and the men have to decide what to do with the dead body .	1	-3	 the[0] other[0] hillbilly[0] gets[0] away[0] and[0] the[0] men[0] have[0] to[0] decide[0] what[0] to[0] do[0] with[0] the[0] dead[-2] body[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
disposing of dead bodies is done rather frequent throughout this film . 	disposing of dead bodies is done rather frequent throughout this film .	1	-3	 disposing[0] of[0] dead[-2] bodies[0] is[0] done[0] rather[0] frequent[0] throughout[0] this[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while attempting to make a quick " paddle for it " , both canoes tip over . 	while attempting to make a quick " paddle for it " , both canoes tip over .	1	-1	 while[0] attempting[0] to[0] make[0] a[0] quick[0] paddle[0] for[0] it[0] both[0] canoes[0] tip[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
drew , who was without a life jacket , was possibly shot and cannot be found . 	drew , who was without a life jacket , was possibly shot and cannot be found .	1	-2	 drew[0] who[0] was[0] without[0] a[0] life[0] jacket[0] was[0] possibly[0] shot[-1] and[0] cannot[0] be[0] found[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lewis suffered a rather nasty compound fracture during the incident and is in serious condition . 	lewis suffered a rather nasty compound fracture during the incident and is in serious condition .	1	-4	 lewis[0] suffered[-3] a[0] rather[0] nasty[-2] compound[0] fracture[-1] during[0] the[0] incident[0] and[0] is[0] in[0] serious[-1] condition[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this leaves ed and bobby . 	this leaves ed and bobby .	1	-1	 this[0] leaves[0] ed[0] and[0] bobby[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ed decides to go out and look for the remaining hillbilly , alone , with the bow and arrow . 	ed decides to go out and look for the remaining hillbilly , alone , with the bow and arrow .	1	-1	 ed[0] decides[0] to[0] go[0] out[0] and[0] look[0] for[0] the[0] remaining[0] hillbilly[0] alone[0] with[0] the[0] bow[0] and[0] arrow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the question arises if he will be able to handle himself , as he horribly botched a first shot attempt at a deer , to which his comment " i wonder how anyone could kill a living thing " will have more meaning in the future . 	the question arises if he will be able to handle himself , as he horribly botched a first shot attempt at a deer , to which his comment " i wonder how anyone could kill a living thing " will have more meaning in the future .	1	-4	 the[0] question[0] arises[0] if[0] he[0] will[0] be[0] able[0] to[0] handle[0] himself[0] as[0] he[0] horribly[-3] botched[0] a[0] first[0] shot[-1] attempt[0] at[0] a[0] deer[0] to[0] which[0] his[0] comment[0] i[0] wonder[0] how[0] anyone[0] could[0] kill[-1][--1 LastWordBoosterStrength] a[0] living[0] thing[0] will[0] have[0] more[0] meaning[0] in[0] the[0] future[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
deliverance is definitely a wild ride ( oops , i'm doing it again ) . 	deliverance is definitely a wild ride ( oops , i'm doing it again ) .	1	-1	 deliverance[0] is[0] definitely[0] a[0] wild[0] ride[0] oops[0] i'm[0] doing[0] it[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is extremely tense at some points and very dramatic . 	it is extremely tense at some points and very dramatic .	1	-5	 it[0] is[0] extremely[0] tense[-2][-2 LastWordBoosterStrength] at[0] some[0] points[0] and[0] very[0] dramatic[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
it's definitely one of those " must see " movies and should be considered one of the classics of its decade . 	it's definitely one of those " must see " movies and should be considered one of the classics of its decade .	1	-1	 it's[0] definitely[0] one[0] of[0] those[0] must[0] see[0] movies[0] and[0] should[0] be[0] considered[0] one[0] of[0] the[0] classics[0] of[0] its[0] decade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
