there's good news and bad news about mulan . 	Translation	Positive	Negative	EmotionRationale
that's chinese culture for you . . . 	that's chinese culture for you .<br> .<br> .	1	-1	 that's[0] chinese[0] culture[0] for[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so imagine how embarrassed the family is the next day when they find mulan has stolen her father's uniform and sword and run off to join the army in his place . 	so imagine how embarrassed the family is the next day when they find mulan has stolen her father's uniform and sword and run off to join the army in his place .	1	-3	 so[0] imagine[0] how[0] embarrassed[-2] the[0] family[0] is[0] the[0] next[0] day[0] when[0] they[0] find[0] mulan[0] has[0] stolen[-1] her[0] father's[0] uniform[0] and[0] sword[0] and[0] run[0] off[0] to[0] join[0] the[0] army[0] in[0] his[0] place[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie in a nutshell is about the stuggles of being a woman in the army . 	the movie in a nutshell is about the stuggles of being a woman in the army .	1	-1	 the[0] movie[0] in[0] a[0] nutshell[0] is[0] about[0] the[0] stuggles[0] of[0] being[0] a[0] woman[0] in[0] the[0] army[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it should have been called g . i . 	it should have been called grin� .<br> i .	1	-1	 it[0] should[0] have[0] been[0] called[0] g[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chang . 	chang .	1	-1	 chang[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mulan calls on her ancestors for help . 	mulan calls on her ancestors for help .	1	-1	 mulan[0] calls[0] on[0] her[0] ancestors[0] for[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they decide to summon the large stone dragon in the backyard to protect her , but a mini dragon named mushu screws it up . 	they decide to summon the large stone dragon in the backyard to protect her , but a mini dragon named mushu screws it up .	1	-1	 they[0] decide[0] to[0] summon[0] the[0] large[0] stone[0] dragon[0] in[0] the[0] backyard[0] to[0] protect[0] her[0] but[0] a[0] mini[0] dragon[0] named[0] mushu[0] screws[0] it[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
voiced by eddie murphy , mushu continues the tradition of cute talking animal sidekicks who do more slapstick harm than good for their human charges . 	voiced by eddie murphy , mushu continues the tradition of cute talking animal sidekicks who do more slapstick harm than good for their human charges .	2	-3	 voiced[0] by[0] eddie[0] murphy[0] mushu[0] continues[0] the[0] tradition[0] of[0] cute[1] talking[0] animal[0] sidekicks[0] who[0] do[0] more[0] slapstick[-1] harm[-2] than[0] good[1] for[0] their[0] human[0] charges[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
murphy's performance is a direct descendent of robin williams in aladdin -- lots of wisecracks and ad-libs and even an introductory song about how much fun they're going to have . 	murphy's performance is a direct descendent of robin williams in aladdin - lots of wisecracks and ad-libs and even an introductory song about how much fun they're going to have .	2	-1	 murphy's[0] performance[0] is[0] a[0] direct[0] descendent[0] of[0] robin[0] williams[0] in[0] aladdin[0] lots[0] of[0] wisecracks[0] and[0] ad[0] libs[0] and[0] even[0] an[0] introductory[0] song[0] about[0] how[0] much[0] fun[1] they're[0] going[0] to[0] have[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you ain't never had a friend like mushu . 	you ain't never had a friend like mushu .	2	-1	 you[0] ain't[0] never[0] had[0] a[0] friend[1] like[1] mushu[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
speaking of songs , mulan doesn't have too many of them , which is a plus with a story like this . 	speaking of songs , mulan doesn't have too many of them , which is a plus with a story like this .	2	-1	 speaking[0] of[0] songs[0] mulan[0] doesn't[0] have[0] too[0] many[0] of[0] them[0] which[0] is[0] a[0] plus[0] with[0] a[0] story[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
disney songs about war probably wouldn't go over too well ( " heigh ho , heigh ho , it's off to war i go . . . " ) , and the ones they do have aren't memorable . 	disney songs about war probably wouldn't go over too well ( " heigh ho , heigh ho , it's off to war i go .<br> .<br> .<br> " ) , and the ones they do have aren't memorable .	1	-3	 disney[0] songs[0] about[0] war[-2] probably[0] wouldn't[0] go[0] over[0] too[0] well[0] heigh[0] ho[0] heigh[0] ho[0] it's[0] off[0] to[0] war[-2] i[0] go[0] [[Sentence=-3,1=word max, 1-5]] and[0] the[0] ones[0] they[0] do[0] have[0] aren't[0] memorable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
the best of the bunch , sad to say , is " be a man , " the requisite basic training montage song . 	the best of the bunch , sad to say , is " be a man , " the requisite basic training montage song .	2	-4	 the[0] best[1] of[0] the[0] bunch[0] sad[-3] to[0] say[0] is[0] be[0] a[0] man[0] the[0] requisite[0] basic[0] training[0] montage[0] song[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
yes , even in medieval china , they had to run through that web of car tires before they were ready for battle . 	yes , even in medieval china , they had to run through that web of car tires before they were ready for battle .	1	-2	 yes[0] even[0] in[0] medieval[0] china[0] they[0] had[0] to[0] run[0] through[0] that[0] web[0] of[0] car[0] tires[0] before[0] they[0] were[0] ready[0] for[0] battle[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sung by donnie osmond ( a bad sign if ever there was one ) , " be a man " accompanies footage of mulan's platoon going from screw-ups to heroes . 	sung by donnie osmond ( a bad sign if ever there was one ) , " be a man " accompanies footage of mulan's platoon going from screw-ups to heroes .	3	-2	 sung[0] by[0] donnie[0] osmond[0] a[0] bad[-1] sign[0] if[0] ever[0] there[0] was[0] one[0] be[0] a[0] man[0] accompanies[0] footage[0] of[0] mulan's[0] platoon[0] going[0] from[0] screw[0] ups[0] to[0] heroes[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it makes me wonder , has there ever been a musical montage in a movie that's ended badly ? 	it makes me wonder , has there ever been a musical montage in a movie that's ended badly ?	1	-2	 it[0] makes[0] me[0] wonder[0] has[0] there[0] ever[0] been[0] a[0] musical[0] montage[0] in[0] a[0] movie[0] that's[0] ended[0] badly[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i only wish real-life problems could be solved in two minutes with a peppy montage . 	i only wish real-life problems could be solved in two minutes with a peppy montage .	1	-2	 i[0] only[0] wish[0] real[0] life[0] problems[-1] could[0] be[0] solved[0] in[0] two[0] minutes[0] with[0] a[0] peppy[0] montage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for the curious , mulan does pass for a man in the army despite looking like a girl . 	for the curious , mulan does pass for a man in the army despite looking like a girl .	2	-1	 for[0] the[0] curious[0] mulan[0] does[0] pass[0] for[0] a[0] man[0] in[0] the[0] army[0] despite[0] looking[0] like[1] a[0] girl[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all she does to transform herself is cut her hair to a sexy shoulder-length , talk macho and slap guys on the butt , as was male custom a thousand years ago in china . 	all she does to transform herself is cut her hair to a sexy shoulder-length , talk macho and slap guys on the butt , as was male custom a thousand years ago in china .	3	-2	 all[0] she[0] does[0] to[0] transform[0] herself[0] is[0] cut[0] her[0] hair[0] to[0] a[0] sexy[2] shoulder[0] length[0] talk[0] macho[0] and[0] slap[-1] guys[0] on[0] the[0] butt[0] as[0] was[0] male[0] custom[0] a[0] thousand[0] years[0] ago[0] in[0] china[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the deception fools everyone but the audience , who thinks she might be able to pass for a 12-year-old boy , at best . 	the deception fools everyone but the audience , who thinks she might be able to pass for a 12-year-old boy , at best .	2	-2	 the[0] deception[-1] fools[-1] everyone[0] but[0] the[0] audience[0] who[0] thinks[0] she[0] might[0] be[0] able[0] to[0] pass[0] for[0] a[0] 12[0] year[0] old[0] boy[0] at[0] best[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but she does manage to strike the biggest blows to the hun army , led by a big , evil-eyed attilla-looking monster . 	but she does manage to strike the biggest blows to the hun army , led by a big , evil-eyed attila-looking monster .	1	-3	 but[0] she[0] does[0] manage[0] to[0] strike[-1] the[0] biggest[0] blows[0] to[0] the[0] hun[0] army[0] led[0] by[0] a[0] big[0] evil[-2] eyed[0] attilla/attila[0] looking[0] monster[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as a villain , the head of the huns is menacing , evil and entirely forgettable . 	as a villain , the head of the huns is menacing , evil and entirely forgettable .	1	-3	 as[0] a[0] villain[-2] the[0] head[0] of[0] the[0] huns[0] is[0] menacing[0] evil[-2] and[0] entirely[0] forgettable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i saw the movie yesterday and i don't remember the man's name . 	i saw the movie yesterday and i don't remember the man's name .	1	-1	 i[0] saw[0] the[0] movie[0] yesterday[0] and[0] i[0] don't[0] remember[0] the[0] man's[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
otherwise , mulan is a good movie . 	otherwise , mulan is a good movie .	2	-1	 otherwise[0] mulan[0] is[0] a[0] good[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the animation of the characters themselves isn't as rich as it could and should be , but there are some amazing battlefield shots . 	the animation of the characters themselves isn't as rich as it could and should be , but there are some amazing battlefield shots .	2	-2	 the[0] animation[0] of[0] the[0] characters[0] themselves[0] isn't[0] as[0] rich[0] as[0] it[0] could[0] and[0] should[0] be[0] but[0] there[0] are[0] some[0] amazing[2][-1 LastWordBoosterStrength] battlefield[-1] shots[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eddie murphy pulls off some good one-liners , as do other star voices like harvey fierstein and pat morita , the quintessential asian movie star . 	eddie murphy pulls off some good one-liners , as do other star voices like harvey fierstein and pat morita , the quintessential asian movie star .	2	-1	 eddie[0] murphy[0] pulls[0] off[0] some[0] good[1][-1 LastWordBoosterStrength] one[0] liners[0] as[0] do[0] other[0] star[0] voices[0] like[1] harvey[0] fierstein[0] and[0] pat[0] morita[0] the[0] quintessential[0] asian[0] movie[0] star[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hell , george " mr . sulu " takei does a voice in mulan . 	hell , george " mr .<br> sulu " takei does a voice in mulan .	1	-2	 hell[-1] george[0] mr[0] [[Sentence=-2,1=word max, 1-5]] sulu[0] takei[0] does[0] a[0] voice[0] in[0] mulan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
you get the sense disney said to themselves , " alright , let's get out there and find us some chinese americans in hollywood . 	you get the sense disney said to themselves , " alright , let's get out there and find us some chinese americans in hollywood .	1	-1	 you[0] get[0] the[0] sense[0] disney[0] said[0] to[0] themselves[0] alright[0] let's[0] get[0] out[0] there[0] and[0] find[0] us[0] some[0] chinese[0] americans[0] in[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who can you think of ? " 	who can you think of ?<br> "	1	-1	 who[0] can[0] you[0] think[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " well , there's mr . myagi . . . " 	 " well , there's mr .<br> myagi .<br> .<br> .<br> "	1	-1	 well[0] there's[0] mr[0] [[Sentence=-1,1=word max, 1-5]] myagi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " good . " 	 " good .<br> "	2	-1	 good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " and mr . sulu . " 	 " and mr .<br> sulu .<br> "	1	-1	 and[0] mr[0] [[Sentence=-1,1=word max, 1-5]] sulu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " perfect . 	 " perfect .	2	-1	 perfect[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we've got ourselves a movie now . " 	we've got ourselves a movie now .<br> "	1	-1	 we've[0] got[0] ourselves[0] a[0] movie[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon disney really _will_ be able to paint with all the colors of the wind . 	soon disney really _will_ be able to paint with all the colors of the wind .	1	-1	 soon[0] disney[0] really[0] _will_[0] be[0] able[0] to[0] paint[0] with[0] all[0] the[0] colors[0] of[0] the[0] wind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
