when 17 year old beau hall ( jonathan tucker , " the virgin suicides " ) gets in a car accident after drinking with his 30 year old companion , club owner darby reese ( josh lucas , " session 9 " ) , his mom , margaret ( tilda swinton , " the war zone " ) pays reese a visit to convince him to leave her son alone . 	Translation	Positive	Negative	EmotionRationale
subsequent visits will turn his mind set upside down and backwards , though , as he comes to admire and even love the woman he set out to blackmail . 	subsequent visits will turn his mind set upside down and backwards , though , as he comes to admire and even love the woman he set out to blackmail .	3	-3	 subsequent[0] visits[0] will[0] turn[0] his[0] mind[0] set[0] upside[0] down[0] and[0] backwards[0] though[0] as[0] he[0] comes[0] to[0] admire[2] and[0] even[0] love[2] the[0] woman[0] he[0] set[0] out[0] to[0] blackmail[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there's yet another problem , though - his partner nagle ( raymond barry , " dead man walking " ) is a harder cored criminal who won't let up until his share of the money is delivered . 	there's yet another problem , though - his partner nagle ( raymond barry , " dead man walking " ) is a harder cored criminal who won't let up until his share of the money is delivered .	1	-3	 there's[0] yet[0] another[0] problem[-1] though[0] his[0] partner[0] nagle[-1] raymond[0] barry[0] dead[-2] man[0] walking[0] is[0] a[0] harder[0] cored[0] criminal[-1] who[0] won't[0] let[0] up[0] until[0] his[0] share[0] of[0] the[0] money[0] is[0] delivered[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
visnjic's dark , brooding turn has an interior shading to it that makes us believe he's a victim of circumstance and environment . 	visnjic's dark , brooding turn has an interior shading to it that makes us believe he's a victim of circumstance and environment .	1	-3	 visnjic's[0] dark[0] brooding[-1] turn[0] has[0] an[0] interior[0] shading[0] to[0] it[0] that[0] makes[0] us[0] believe[0] he's[0] a[0] victim[-2] of[0] circumstance[0] and[0] environment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his turnaround is palpable as he witnesses margaret's inherent decency and her workaday surroundings . 	his turnaround is palpable as he witnesses margaret's inherent decency and her workaday surroundings .	1	-1	 his[0] turnaround[0] is[0] palpable[0] as[0] he[0] witnesses[0] margaret's[0] inherent[0] decency[0] and[0] her[0] workaday[0] surroundings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also outstanding is tucker as beau , who has a terrific character arc and pas de deux with his mother . 	also outstanding is tucker as beau , who has a terrific character arc and pas de deux with his mother .	4	-1	 also[0] outstanding[2] is[0] tucker[0] as[0] beau[0] who[0] has[0] a[0] terrific[3] character[0] arc[0] and[0] pas[0] de[0] deux[0] with[0] his[0] mother[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
initially beau's the typical sullen teen . 	initially beau's the typical sullen teen .	1	-2	 initially[0] beau's[0] the[0] typical[0] sullen[-1] teen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
'you're blowing this out of proportion , ' he says of her concerns about reese , not comprehending that his mom has enough insight to have divined the true nature of the relationship . 	'you're blowing this out of proportion , ' he says of her concerns about reese , not comprehending that his mom has enough insight to have divined the true nature of the relationship .	2	-2	 'you're[0] blowing[0] this[0] out[0] of[0] proportion[0] '[0] he[0] says[0] of[0] her[0] concerns[-1] about[0] reese[0] not[0] comprehending[0] that[0] his[0] mom[0] has[0] enough[0] insight[0] to[0] have[0] divined[1] the[0] true[1] nature[0] of[0] the[0] relationship[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as his mom gets in deeper and deeper trying to cover up a crime he didn't commit , beau becomes suspicious of her actions and apparent new companion , turning tables . 	as his mom gets in deeper and deeper trying to cover up a crime he didn't commit , beau becomes suspicious of her actions and apparent new companion , turning tables .	1	-2	 as[0] his[0] mom[0] gets[0] in[0] deeper[0] and[0] deeper[0] trying[0] to[0] cover[0] up[0] a[0] crime[-1] he[0] didn't[0] commit[0] beau[0] becomes[0] suspicious[-1] of[0] her[0] actions[0] and[0] apparent[0] new[0] companion[0] turning[0] tables[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his early black eye becomes her later split lip . 	his early black eye becomes her later split lip .	1	-1	 his[0] early[0] black[0] eye[0] becomes[0] her[0] later[0] split[0] lip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the two can never be completely honest with each other , their love for each other comes through strongly . 	while the two can never be completely honest with each other , their love for each other comes through strongly .	3	-1	 while[0] the[0] two[0] can[0] never[0] be[0] completely[0] honest[0] with[0] each[0] other[0] their[0] love[2] for[0] each[0] other[0] comes[0] through[0] strongly[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the directors ( " suture " ) have a firm grip on their material and cast . 	the directors ( " suture " ) have a firm grip on their material and cast .	1	-1	 the[0] directors[0] suture[0] have[0] a[0] firm[0] grip[0] on[0] their[0] material[0] and[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story builds perfectly with bold strokes amidst a myriad of subtler underpinnings . 	the story builds perfectly with bold strokes amidst a myriad of subtler underpinnings .	2	-1	 the[0] story[0] builds[0] perfectly[1] with[0] bold[0] strokes[0] amidst[0] a[0] myriad[0] of[0] subtler[0] underpinnings[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
water imagery is constant ( an early shot of weirdly rushing green is revealed to be a young boy cleaning out an aquarium ) . 	water imagery is constant ( an early shot of weirdly rushing green is revealed to be a young boy cleaning out an aquarium ) .	1	-2	 water[0] imagery[0] is[0] constant[0] an[0] early[0] shot[-1] of[0] weirdly[-1] rushing[0] green[0] is[0] revealed[0] to[0] be[0] a[0] young[0] boy[0] cleaning[0] out[0] an[0] aquarium[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
giles nuttgens ( " fire " ) cinematography , which won the 2001 sundance festival award , is crisp and startlingly clear . 	giles nuttgens ( " fire " ) cinematography , which won the 2001 sundance festival award , is crisp and startlingly clear .	1	-2	 giles[0] nuttgens[0] fire[0] cinematography[0] which[0] won[0] the[0] 2001[0] sundance[0] festival[0] award[0] is[0] crisp[0] and[0] startlingly[-1] clear[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the tahoe locations and production design by kelly mcgehee and christopher tandon provide a dual personality for the film , contrasting the calm , well off existence of the lake against the gambling city of reno . 	the tahoe locations and production design by kelly mcgehee and christopher tandon provide a dual personality for the film , contrasting the calm , well off existence of the lake against the gambling city of reno .	2	-2	 the[0] tahoe[0] locations[0] and[0] production[0] design[0] by[0] kelly[0] mcgehee[0] and[0] christopher[0] tandon[0] provide[0] a[0] dual[0] personality[0] for[0] the[0] film[0] contrasting[0] the[0] calm[1] well[0] off[0] existence[0] of[0] the[0] lake[0] against[-1] the[0] gambling[0] city[0] of[0] reno[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " the deep end " is a complex story of domino deeds and shifting relationships . 	 " the deep end " is a complex story of domino deeds and shifting relationships .	1	-1	 the[0] deep[0] end[0] is[0] a[0] complex[0] story[0] of[0] domino[0] deeds[0] and[0] shifting[0] relationships[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
take the plunge . 	take the plunge .	1	-1	 take[0] the[0] plunge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
