a welcome cinematic trend over the past couple of years has been to make the works of shakespeare more accessible to the younger audiences who are the vast majority of moviegoers by contemporizing the bard and altering the settings to familiar surroundings . 	Translation	Positive	Negative	EmotionRationale
and that is how it should be . 	and that is how it should be .	1	-1	 and[0] that[0] is[0] how[0] it[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of all of shakespeare's tragedies , othello is the most harrowing , not because of any body count , but because of the psychological havoc wreaked by iago , whose motivation in the sheer pleasure of his treachery . 	of all of shakespeare's tragedies , othello is the most harrowing , not because of any body count , but because of the psychological havoc wreaked by iago , whose motivation in the sheer pleasure of his treachery .	3	-3	 of[0] all[0] of[0] shakespeare's[0] tragedies[-2] othello[0] is[0] the[0] most[0] harrowing[0] not[0] because[0] of[0] any[0] body[0] count[0] but[0] because[0] of[0] the[0] psychological[0] havoc[-1] wreaked[0] by[0] iago[0] whose[0] motivation[0] in[0] the[0] sheer[0] pleasure[2] of[0] his[0] treachery[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
kaaya's profane-filled script - after all , these are high school kids - does offer hugo a subtle motive of sorts . 	kaya's profane-filled script - after all , these are high school kids - does offer hugo a subtle motive of sorts .	1	-1	 kaaya's/kaya's[0] profane[0] filled[0] script[0] after[0] all[0] these[0] are[0] high[0] school[0] kids[0] does[0] offer[0] hugo[0] a[0] subtle[0] motive[0] of[0] sorts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the young man considers himself the basketball team's prime utility man who does a little bit of everything - pass , shoot , rebound - but is constantly in the shadow of odin . 	the young man considers himself the basketball team's prime utility man who does a little bit of everything - pass , shoot , rebound - but is constantly in the shadow of odin .	1	-2	 the[0] young[0] man[0] considers[0] himself[0] the[0] basketball[0] team's[0] prime[0] utility[0] man[0] who[0] does[0] a[0] little[0] bit[0] of[0] everything[0] pass[0] shoot[-1] rebound[0] but[0] is[0] constantly[0] in[0] the[0] shadow[0] of[0] odin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plus his father , the team's coach - played with a ferocious intensity by martin sheen - showers more love and concern on his star player than on his own flesh and blood . 	plus his father , the team's coach - played with a ferocious intensity by martin sheen - showers more love and concern on his star player than on his own flesh and blood .	3	-4	 plus[0] his[0] father[0] the[0] team's[0] coach[0] played[0] with[0] a[0] ferocious[-3] intensity[0] by[0] martin[0] sheen[0] showers[0] more[0] love[2] and[0] concern[-1] on[0] his[0] star[0] player[0] than[0] on[0] his[0] own[0] flesh[0] and[0] blood[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the script follows the familiar lines of the classic . 	the script follows the familiar lines of the classic .	1	-1	 the[0] script[0] follows[0] the[0] familiar[0] lines[0] of[0] the[0] classic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hugo begins dropping hints to odin concerning desi's fidelity , eroding the star's confidence in those he considers closest to him , affecting both his relationships and his game . 	hugo begins dropping hints to odin concerning desi's fidelity , eroding the star's confidence in those he considers closest to him , affecting both his relationships and his game .	2	-2	 hugo[0] begins[0] dropping[0] hints[0] to[0] odin[0] concerning[-1] desi's[0] fidelity[0] eroding[0] the[0] star's[0] confidence[1] in[0] those[0] he[0] considers[0] closest[0] to[0] him[0] affecting[0] both[0] his[0] relationships[0] and[0] his[0] game[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it all ends in blood , of course , which is why the movie was originally shelved . 	it all ends in blood , of course , which is why the movie was originally shelved .	1	-1	 it[0] all[0] ends[0] in[0] blood[0] of[0] course[0] which[0] is[0] why[0] the[0] movie[0] was[0] originally[0] shelved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performances in o vary . 	the performances in o vary .	1	-1	 the[0] performances[0] in[0] o[0] vary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
phifer is at first cocky and self-assured , emotions he handles with ease . 	phifer is at first cocky and self-assured , emotions he handles with ease .	1	-2	 phifer[0] is[0] at[0] first[0] cocky[-1] and[0] self[0] assured[0] emotions[0] he[0] handles[0] with[0] ease[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he also does quite well displaying odin's darker side ; his defensive sensitivity about being the only black at the institution , his growing distrust of those he loved , his rage and the erosion of his belief system . 	he also does quite well displaying odin's darker side ; his defensive sensitivity about being the only black at the institution , his growing distrust of those he loved , his rage and the erosion of his belief system .	4	-4	 he[0] also[0] does[0] quite[0] well[0] displaying[0] odin's[0] darker[0] side[0] his[0] defensive[-1] sensitivity[0] about[0] being[0] the[0] only[0] black[0] at[0] the[0] institution[0] his[0] growing[0] distrust[-1] of[0] those[0] he[0] loved[3] his[0] rage[-3] and[0] the[0] erosion[-1] of[0] his[0] belief[0] system[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
hartnett is appropriately cool and machiavellian as he weaves his deadly web of lies and deceit , turning friend against friend , and lover against lover . 	hartnett is appropriately cool and machiavellian as he weaves his deadly web of lies and deceit , turning friend against friend , and lover against lover .	4	-3	 hartnett[0] is[0] appropriately[0] cool[1] and[0] machiavellian[0] as[0] he[0] weaves[0] his[0] deadly[-1] web[0] of[0] lies[-2] and[0] deceit[-1] turning[0] friend[1] against[-1] friend[1] and[0] lover[3] against[-1] lover[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
stiles seems a bit stilted , but occasionally also rises to the occasion , moving from adoration to confusion to fear of her young knight . 	stiles seems a bit stilted , but occasionally also rises to the occasion , moving from adoration to confusion to fear of her young knight .	4	-4	 stiles[0] seems[0] a[0] bit[0] stilted[0] but[0] occasionally[0] also[0] rises[0] to[0] the[0] occasion[0] moving[0] from[0] adoration[3] to[0] confusion[-1] to[0] fear[-3] of[0] her[0] young[0] knight[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the film does contain a few missteps : a subplot involving hugo's theft of the school mascot is left hanging . 	the film does contain a few missteps : a subplot involving hugo's theft of the school mascot is left hanging .	1	-2	 the[0] film[0] does[0] contain[0] a[0] few[0] missteps[0] a[0] subplot[0] involving[0] hugo's[0] theft[-1] of[0] the[0] school[0] mascot[0] is[0] left[0] hanging[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also desi's actions concerning michael ( andrew keegan ) , odin's former teammate and best friend who was kicked off the team because of one of hugo's machinations , is puzzling . 	also desi's actions concerning michael ( andrew keegan ) , odin's former teammate and best friend who was kicked off the team because of one of hugo's machinations , is puzling .	2	-2	 also[0] desi's[0] actions[0] concerning[-1] michael[0] andrew[0] keegan[0] odin's[0] former[0] teammate[0] and[0] best[1] friend[1] who[0] was[0] kicked[-1] off[0] the[0] team[0] because[0] of[0] one[0] of[0] hugo's[0] machinations[0] is[0] puzzling/puzling[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
why she would continually be seen with michael - however innocent the circumstances - when she knows her man suspects the two of cheating behind his back . 	why she would continually be seen with michael - however innocent the circumstances - when she knows her man suspects the two of cheating behind his back .	2	-3	 why[0] she[0] would[0] continually[0] be[0] seen[0] with[0] michael[0] however[0] innocent[1] the[0] circumstances[0] when[0] she[0] knows[0] her[0] man[0] suspects[0] the[0] two[0] of[0] cheating[-2] behind[0] his[0] back[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is irrational . 	it is irrational .	1	-3	 it[0] is[0] irrational[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but these are minor carpings . 	but these are minor carpings .	1	-1	 but[0] these[0] are[0] minor[0] carpings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , o is a stylish and faithful adaptation . 	overall , o is a stylish and faithful adaptation .	2	-1	 overall[0] o[0] is[0] a[0] stylish[0] and[0] faithful[1] adaptation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if nothing else , it may encourage some people to read the original text , and that will counterbalance the severity of this feature . 	if nothing else , it may encourage some people to read the original text , and that will counterbalance the severity of this feature .	1	-2	 if[0] nothing[0] else[0] it[0] may[0] encourage[1][-1 LastWordBoosterStrength] some[0] people[0] to[0] read[0] the[0] original[0] text[0] and[0] that[0] will[0] counterbalance[0] the[0] severity[-1] of[0] this[0] feature[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
