i'm not quite sure how best to go about writing this review . 	Translation	Positive	Negative	EmotionRationale
another scene shows us how , with modern editing equipment , an actress running across a sound stage with a bag of potato chips can be turned into a frightened young girl and her kitten fleeing a terrorist attack on her village . 	another scene shows us how , with modern editing equipment , an actress running across a sound stage with a bag of potato chips can be turned into a frightened young girl and her kitten fleeing a terrorist attack on her village .	1	-4	 another[0] scene[0] shows[0] us[0] how[0] with[0] modern[0] editing[0] equipment[0] an[0] actress[0] running[0] across[0] a[0] sound[0] stage[0] with[0] a[0] bag[0] of[0] potato[0] chips[0] can[0] be[0] turned[0] into[0] a[0] frightened[-3] young[0] girl[0] and[0] her[0] kitten[0] fleeing[-1] a[0] terrorist[-2] attack[-2][-1 MultiplePositiveWords] on[0] her[0] village[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the most consistently effective gag revolves around the propaganda team's attempt to forge a fictional war hero out of sgt . 	the most consistently effective gag revolves around the propaganda team's attempt to forge a fictional war hero out of sgt .	3	-3	 the[0] most[0] consistently[0] effective[0] gag[0] revolves[0] around[0] the[0] propaganda[-1] team's[0] attempt[0] to[0] forge[0] a[0] fictional[0] war[-2] hero[2] out[0] of[0] sgt[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
william " old shoe " schumann ( woody harrelson ) , an ex-military officer who turns out to be a first-class psycho . 	william " old shoe " schuman ( woody harrelson ) , an ex-military officer who turns out to be a first-class psycho .	1	-1	 william[0] old[0] shoe[0] schumann/schuman[0] woody[0] harrelson[0] an[0] ex[0] military[0] officer[0] who[0] turns[0] out[0] to[0] be[0] a[0] first[0] class[0] psycho[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , not everything goes as planned ; the cia , for example , realizes what's going on and strikes a deal with the president's electoral opponent to report to the media that the " fighting " has ended , forcing motss and brean to come up with a new angle on the supposed albanian crisis . 	of course , not everything goes as planned ; the cia , for example , realizes what's going on and strikes a deal with the president's electoral opponent to report to the media that the " fighting " has ended , forcing motss and brean to come up with a new angle on the supposed albanian crisis .	1	-3	 of[0] course[0] not[0] everything[0] goes[0] as[0] planned[0] the[0] cia[0] for[0] example[0] realizes[0] what's[0] going[0] on[0] and[0] strikes[0] a[0] deal[0] with[0] the[0] president's[0] electoral[0] opponent[-1] to[0] report[0] to[0] the[0] media[0] that[0] the[0] fighting[-2] has[0] ended[0] forcing[0] motss[0] and[0] brean[0] to[0] come[0] up[0] with[0] a[0] new[0] angle[0] on[0] the[0] supposed[0] albanian[0] crisis[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
still , even with the cia's involvement , the film falls a little short in terms of making this scenario believable . 	still , even with the cia's involvement , the film falls a little short in terms of making this scenario believable .	1	-1	 still[0] even[0] with[0] the[0] cia's[0] involvement[0] the[0] film[0] falls[0] a[0] little[0] short[0] in[0] terms[0] of[0] making[0] this[0] scenario[0] believable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
regardless of the official word from the president or the cia , wouldn't the major media outlets have eastern european correspondents who could verify that there is , in fact , no fighting going on in albania ? 	regardless of the official word from the president or the cia , wouldn't the major media outlets have eastern european correspondents who could verify that there is , in fact , no fighting going on in albania ?	1	-3	 regardless[-1] of[0] the[0] official[0] word[0] from[0] the[0] president[0] or[0] the[0] cia[0] wouldn't[0] the[0] major[0] media[0] outlets[0] have[0] eastern[0] european[0] correspondents[0] who[0] could[0] verify[0] that[0] there[0] is[0] in[0] fact[0] no[0] fighting[-2] going[0] on[0] in[0] albania[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film never addresses this question , nor does it show the reactions of the american public to the news of the apparent war except for a few scenes which border on the farcical , such as when basketball fans litter the court with shoes in support of the aforementioned sgt . 	the film never addresses this question , nor does it show the reactions of the american public to the news of the apparent war except for a few scenes which border on the farcical , such as when basketball fans litter the court with shoes in support of the aforementioned sgt .	2	-3	 the[0] film[0] never[0] addresses[0] this[0] question[0] nor[0] does[0] it[0] show[0] the[0] reactions[0] of[0] the[0] american[0] public[0] to[0] the[0] news[0] of[0] the[0] apparent[0] war[-2] except[0] for[0] a[0] few[0] scenes[0] which[0] border[0] on[0] the[0] farcical[0] such[0] as[0] when[0] basketball[0] fans[0] litter[-1] the[0] court[0] with[0] shoes[0] in[0] support[1] of[0] the[0] aforementioned[0] sgt[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
schumann ; we are apparently meant to assume that everyone is buying it . 	schuman ; we are apparently meant to assume that everyone is buying it .	1	-1	 schumann/schuman[0] we[0] are[0] apparently[0] meant[0] to[0] assume[0] that[0] everyone[0] is[0] buying[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there was also an instance , towards the end of the film , in which one of motss's forced reinventions of the story seems to contradict what he and brean had been selling to the public thus far and could conceivably have given the game away . 	there was also an instance , towards the end of the film , in which one of motss's forced reinventions of the story seems to contradict what he and brean had been selling to the public thus far and could conceivably have given the game away .	1	-2	 there[0] was[0] also[0] an[0] instance[0] towards[0] the[0] end[0] of[0] the[0] film[0] in[0] which[0] one[0] of[0] motss's[0] forced[0] reinventions[0] of[0] the[0] story[0] seems[0] to[0] contradict[-1] what[0] he[0] and[0] brean[0] had[0] been[0] selling[0] to[0] the[0] public[0] thus[0] far[0] and[0] could[0] conceivably[0] have[0] given[0] the[0] game[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with these plot holes , " wag the dog " doesn't quite work as a satire of american politics , but it does send up the mentality that might lead to these kinds of machinations in the first place . 	with these plot holes , " wag the dog " doesn't quite work as a satire of american politics , but it does send up the mentality that might lead to these kinds of machinations in the first place .	1	-1	 with[0] these[0] plot[0] holes[0] wag[0] the[0] dog[0] doesn't[0] quite[0] work[0] as[0] a[0] satire[0] of[0] american[0] politics[0] but[0] it[0] does[0] send[0] up[0] the[0] mentality[0] that[0] might[0] lead[0] to[0] these[0] kinds[0] of[0] machinations[0] in[0] the[0] first[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brean and his advisors never seem concerned that what they are doing is unethical ; rather , they worry about how convincing it will be and whether or not they have enough money to pull it off . 	brean and his advisors never seem concerned that what they are doing is unethical ; rather , they worry about how convincing it will be and whether or not they have enough money to pull it off .	2	-4	 brean[0] and[0] his[0] advisors[0] never[0] seem[0] concerned[-1][NegatedDueToPreviousWord] that[0] what[0] they[0] are[0] doing[0] is[0] unethical[0] rather[0] they[0] worry[-3] about[0] how[0] convincing[0] it[0] will[0] be[0] and[0] whether[0] or[0] not[0] they[0] have[0] enough[0] money[0] to[0] pull[0] it[0] off[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film takes a decidely dark turn towards the end , as we learn how far they are willing to go in order to keep the propaganda campaign a secret . 	the film takes a decidely dark turn towards the end , as we learn how far they are willing to go in order to keep the propaganda campaign a secret .	1	-2	 the[0] film[0] takes[0] a[0] decidely[0] dark[0] turn[0] towards[0] the[0] end[0] as[0] we[0] learn[0] how[0] far[0] they[0] are[0] willing[0] to[0] go[0] in[0] order[0] to[0] keep[0] the[0] propaganda[-1] campaign[0] a[0] secret[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
motss and his hollywood buddies , meanwhile , seem completely out of touch with the rest of the world and just see this undertaking as another creative project . 	motss and his hollywood buddies , meanwhile , seem completely out of touch with the rest of the world and just see this undertaking as another creative project .	1	-1	 motss[0] and[0] his[0] hollywood[0] buddies[0] meanwhile[0] seem[0] completely[0] out[0] of[0] touch[0] with[0] the[0] rest[0] of[0] the[0] world[0] and[0] just[0] see[0] this[0] undertaking[0] as[0] another[0] creative[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , one of the sources of conflict in the film is motss's increasing restlessness with the idea of not being able to take credit for producing the fake war ; in his mind , it is the greatest work of art he has ever created . 	in fact , one of the sources of conflict in the film is motss's increasing restlessness with the idea of not being able to take credit for producing the fake war ; in his mind , it is the greatest work of art he has ever created .	3	-3	 in[0] fact[0] one[0] of[0] the[0] sources[-1] of[0] conflict[-1] in[0] the[0] film[0] is[0] motss's[0] increasing[0] restlessness[-1] with[0] the[0] idea[0] of[0] not[0] being[0] able[0] to[0] take[0] credit[0] for[0] producing[0] the[0] fake[-1] war[-2] in[0] his[0] mind[0] it[0] is[0] the[0] greatest[2] work[0] of[0] art[0] he[0] has[0] ever[0] created[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i think it's fair to say that " wag the dog " underachieves a little bit : more attention to the public reaction and tighter plotting might have made this into a four-star film and a classic satire . 	i think it's fair to say that " wag the dog " underachieves a little bit : more attention to the public reaction and tighter plotting might have made this into a four-star film and a classic satire .	1	-1	 i[0] think[0] it's[0] fair[0] to[0] say[0] that[0] wag[0] the[0] dog[0] underachieves[0] a[0] little[0] bit[0] more[0] attention[0] to[0] the[0] public[0] reaction[0] and[0] tighter[0] plotting[0] might[0] have[0] made[0] this[0] into[0] a[0] four[0] star[0] film[0] and[0] a[0] classic[0] satire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , the issue of an american president using war and patriotism to distract from scandals or domestic unpopularity is a very real one . 	still , the issue of an american president using war and patriotism to distract from scandals or domestic unpopularity is a very real one .	1	-3	 still[0] the[0] issue[0] of[0] an[0] american[0] president[0] using[0] war[-2] and[0] patriotism[0] to[0] distract[-1] from[0] scandals[-2] or[0] domestic[0] unpopularity[-1] is[0] a[0] very[0] real[0] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
wag the dog takes the issue one step further and asks , what if the war wasn't even real ? 	wag the dog takes the issue one step further and asks , what if the war wasn't even real ?	1	-3	 wag[0] the[0] dog[0] takes[0] the[0] issue[0] one[0] step[0] further[0] and[0] asks[0] what[0] if[0] the[0] war[-2] wasn't[0] even[0] real[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with this premise and the talented cast , the film still delivers more consistently than most , whatever its flaws . 	with this premise and the talented cast , the film still delivers more consistently than most , whatever its flaws .	2	-1	 with[0] this[0] premise[0] and[0] the[0] talented[1] cast[0] the[0] film[0] still[0] delivers[0] more[0] consistently[0] than[0] most[0] whatever[0] its[0] flaws[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
