some movies have such an impact that they linger in your mind long after the credits have rolled , making you think carefully and recollect on what you have just seen . 	Translation	Positive	Negative	EmotionRationale
there was such a look of sorrow and dispare on his face , ( not to sound hokey or anything ) it almost brought a tear to my eye . 	there was such a look of sorrow and dispare on his face , ( not to sound hokey or anything ) it almost brought a tear to my eye .	1	-3	 there[0] was[0] such[0] a[0] look[0] of[0] sorrow[-2] and[0] dispare[0] on[0] his[0] face[0] not[0] to[0] sound[0] hokey[0] or[0] anything[0] it[0] almost[0] brought[0] a[0] tear[-1] to[0] my[0] eye[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it turns out that ben was once a semi-successful hollywood player , and apparently a pretty popular guy . 	it turns out that ben was once a semi-successful hollywood player , and apparently a pretty popular guy .	3	-1	 it[0] turns[0] out[0] that[0] ben[0] was[0] once[0] a[0] semi[0] successful[2] hollywood[0] player[0] and[0] apparently[0] a[0] pretty[2] popular[0] guy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now he spends his time getting robbed by hookers and trying desperatly to pick up women , not so much for the sex , but for the company ; for someone to talk to or spend time with . 	now he spends his time getting robbed by hookers and trying desperatly to pick up women , not so much for the sex , but for the company ; for someone to talk to or spend time with .	1	-3	 now[0] he[0] spends[0] his[0] time[0] getting[0] robbed[0] by[0] hookers[0] and[0] trying[0] desperatly[-2] to[0] pick[0] up[0] women[0] not[0] so[0] much[0] for[0] the[0] sex[0] but[0] for[0] the[0] company[0] for[0] someone[0] to[0] talk[0] to[0] or[0] spend[0] time[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
once he is fired from his job , ben decides to burn all his belongings , collect all his cash and relocate to las vegas to slowly drink himself to death . 	once he is fired from his job , ben decides to burn all his belongings , collect all his cash and relocate to las vegas to slowly drink himself to death .	1	-3	 once[0] he[0] is[0] fired[-2] from[0] his[0] job[0] ben[0] decides[0] to[0] burn[-1] all[0] his[0] belongings[0] collect[0] all[0] his[0] cash[0] and[0] relocate[0] to[0] las[0] vegas[0] to[0] slowly[0] drink[0] himself[0] to[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one night he runs into a prostitute ( a brilliant performance by elizabeth shue - how far she has come since " adventures in babysitting " ) named sera . 	one night he runs into a prostitute ( a brilliant performance by elizabeth shue - how far she has come since " adventures in babysitting " ) named sera .	2	-1	 one[0] night[0] he[0] runs[0] into[0] a[0] prostitute[0] a[0] brilliant[1] performance[0] by[0] elizabeth[0] shue[0] how[0] far[0] she[0] has[0] come[0] since[0] adventures[0] in[0] babysitting[0] named[0] sera[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she is involved in an abusive relationship with her pimp , a scumbag who gets-off by cutting her . 	she is involved in an abusive relationship with her pimp , a scumbag who gets-off by cutting her .	1	-4	 she[0] is[0] involved[0] in[0] an[0] abusive[-3] relationship[0] with[0] her[0] pimp[0] a[0] scumbag[0] who[0] gets[0] off[0] by[0] cutting[0] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they are both very lonely , self-destructive people . 	they are both very lonely , self-destructive people .	1	-3	 they[0] are[0] both[0] very[0] lonely[-1][-1 LastWordBoosterStrength] self[0] destructive[0] people[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they immediatly hit it off , both of them realizing that they need one another . 	they immediatly hit it off , both of them realizing that they need one another .	1	-1	 they[0] immediatly[0] hit[0] it[0] off[0] both[0] of[0] them[0] realizing[0] that[0] they[0] need[0] one[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it isn't even a sexual relationship . 	and it isn't even a sexual relationship .	1	-1	 and[0] it[0] isn't[0] even[0] a[0] sexual[0] relationship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they don't even have sex until , like , the last ten minutes of the film . 	they don't even have sex until , like , the last ten minutes of the film .	2	-1	 they[0] don't[0] even[0] have[0] sex[0] until[0] like[1] the[0] last[0] ten[0] minutes[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " leaving las vegas " is not a film about plot . 	 " leaving las vegas " is not a film about plot .	1	-1	 leaving[0] las[0] vegas[0] is[0] not[0] a[0] film[0] about[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the exception of what i have already revealed ( which all happens in the first thirty minutes or so , by the way ) , there isn't too much of a story to it . 	with the exception of what i have already revealed ( which all happens in the first thirty minutes or so , by the way ) , there isn't too much of a story to it .	1	-1	 with[0] the[0] exception[0] of[0] what[0] i[0] have[0] already[0] revealed[0] which[0] all[0] happens[0] in[0] the[0] first[0] thirty[0] minutes[0] or[0] so[0] by[0] the[0] way[0] there[0] isn't[0] too[0] much[0] of[0] a[0] story[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is more a film about people and how they react to one another . 	it is more a film about people and how they react to one another .	1	-1	 it[0] is[0] more[0] a[0] film[0] about[0] people[0] and[0] how[0] they[0] react[0] to[0] one[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from what i can see , this is basically a perfect film . 	from what i can see , this is basically a perfect film .	2	-1	 from[0] what[0] i[0] can[0] see[0] this[0] is[0] basically[0] a[0] perfect[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the direction is great ( with mike figgis doing a brilliant mix between the glamor of las vegas and the moody , smokey atmosphere of a film noir ) and it contains two of the best performances to come out of the 90s , or any other decade for that matter . 	the direction is great ( with mike figgis doing a brilliant mix between the glamor of las vegas and the moody , smokey atmosphere of a film noir ) and it contains two of the best performances to come out of the 90s , or any other decade for that matter .	3	-3	 the[0] direction[0] is[0] great[2] with[0] mike[0] figgis[0] doing[0] a[0] brilliant[1] mix[0] between[0] the[0] glamor[1] of[0] las[0] vegas[0] and[0] the[0] moody[-2] smokey[0] atmosphere[0] of[0] a[0] film[0] noir[0] and[0] it[0] contains[0] two[0] of[0] the[0] best[1] performances[0] to[0] come[0] out[0] of[0] the[0] 90s[0] or[0] any[0] other[0] decade[0] for[0] that[0] matter[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but don't go rushing out to see this movie without knowing what you're getting yourself into . 	but don't go rushing out to see this movie without knowing what you're getting yourself into .	1	-1	 but[0] don't[0] go[0] rushing[0] out[0] to[0] see[0] this[0] movie[0] without[0] knowing[0] what[0] you're[0] getting[0] yourself[0] into[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first off , if you are easily offended by frank sexual dialouge , stay away from " leaving las vegas " . 	first off , if you are easily offended by frank sexual dialouge , stay away from " leaving las vegas " .	1	-3	 first[0] off[0] if[0] you[0] are[0] easily[0] offended[-2] by[0] frank[0] sexual[0] dialouge[0] stay[0] away[0] from[0] leaving[0] las[0] vegas[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is filled with lengthy discussions of orgasms , rape and various forms of perverted activities involving burbon ( that's right ) . 	it is filled with lengthy discussions of orgasms , rape and various forms of perverted activities involving burbon ( that's right ) .	1	-4	 it[0] is[0] filled[0] with[0] lengthy[0] discussions[0] of[0] orgasms[0] rape[-3] and[0] various[0] forms[0] of[0] perverted[-1] activities[0] involving[0] burbon[0] that's[0] right[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
secondly , if you are not in the mood to see a very depressing film , don't see it . 	secondly , if you are not in the mood to see a very depressing film , don't see it .	1	-5	 secondly[0] if[0] you[0] are[0] not[0] in[0] the[0] mood[0] to[0] see[0] a[0] very[0] depressing[-3][-1 LastWordBoosterStrength] film[0] don't[0] see[0] it[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
however , if you are cool with those two things , you are in for one of the most memorable experiences you will ever have . 	however , if you are cool with those two things , you are in for one of the most memorable experiences you will ever have .	2	-1	 however[0] if[0] you[0] are[0] cool[1] with[0] those[0] two[0] things[0] you[0] are[0] in[0] for[0] one[0] of[0] the[0] most[0] memorable[0] experiences[0] you[0] will[0] ever[0] have[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
