back in 1998 dreamworks unveiled their first computer animated movie " antz " . 	Translation	Positive	Negative	EmotionRationale
to get his property back , and his life back shrek must rescue princess fiona ( cameron diaz ) so lord farquaad can be a king . 	to get his property back , and his life back shrek must rescue princess fiona ( cameron diaz ) so lord farquad can be a king .	1	-1	 to[0] get[0] his[0] property[0] back[0] and[0] his[0] life[0] back[0] shrek[0] must[0] rescue[0] princess[0] fiona[0] cameron[0] diaz[0] so[0] lord[0] farquaad/farquad[0] can[0] be[0] a[0] king[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shrek wants his property back , but he never thought he would fall in love with princess fiona . 	shrek wants his property back , but he never thought he would fall in love with princess fiona .	3	-1	 shrek[0] wants[0] his[0] property[0] back[0] but[0] he[0] never[0] thought[0] he[0] would[0] fall[0] in[0] love[2] with[0] princess[0] fiona[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " shrek " is such an amazing film , that while watching it you can't help but just smile the entire time and wonder why that other production company can't make movies like this . 	 " shrek " is such an amazing film , that while watching it you can't help but just smile the entire time and wonder why that other production company can't make movies like this .	3	-1	 shrek[0] is[0] such[0] an[0] amazing[2] film[0] that[0] while[0] watching[0] it[0] you[0] can't[0] help[0] but[0] just[0] smile[2][-1 LastWordBoosterStrength] the[0] entire[0] time[0] and[0] wonder[0] why[0] that[0] other[0] production[0] company[0] can't[0] make[0] movies[0] like[1] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the animated graphics are so great , that they look every bit of realistic . 	the animated graphics are so great , that they look every bit of realistic .	3	-1	 the[0] animated[0] graphics[0] are[0] so[0] great[2] that[0] they[0] look[0] every[0] bit[0] of[0] realistic[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i saw previews for this film all last year , and i thought to myself wow , what a great movie this will be . 	i saw previews for this film all last year , and i thought to myself wow , what a great movie this will be .	3	-1	 i[0] saw[0] previews[0] for[0] this[0] film[0] all[0] last[0] year[0] and[0] i[0] thought[0] to[0] myself[0] wow[2] what[0] a[0] great[2] movie[0] this[0] will[0] be[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i must say i was not disappointed at all , and the film is the best of 2001 so far , and will go down on my best of 2001 list at the end of the year . 	i must say i was not disappointed at all , and the film is the best of 2001 so far , and will go down on my best of 2001 list at the end of the year .	2	-1	 i[0] must[0] say[0] i[0] was[0] not[0] disappointed[-1][NegatedDueToPreviousWord] at[0] all[0] and[0] the[0] film[0] is[0] the[0] best[1] of[0] 2001[0] so[0] far[0] and[0] will[0] go[0] down[0] on[0] my[0] best[1] of[0] 2001[0] list[0] at[0] the[0] end[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the voice talents are brilliant as well , with the comic genius mike myers . 	the voice talents are brilliant as well , with the comic genius mike myers .	2	-1	 the[0] voice[0] talents[1] are[0] brilliant[1] as[0] well[0] with[0] the[0] comic[0] genius[0] mike[0] myers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the past he has been a wayne , an austin , and a person married to an ax murderer . 	in the past he has been a wayne , an austin , and a person married to an ax murderer .	1	-4	 in[0] the[0] past[0] he[0] has[0] been[0] a[0] wayne[0] an[0] austin[0] and[0] a[0] person[0] married[0] to[0] an[0] ax[0] murderer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now he is shrek , not only does he do the voice talent . . . but he is shrek . 	now he is shrek , not only does he do the voice talent .<br> .<br> .<br> but he is shrek .	2	-1	 now[0] he[0] is[0] shrek[0] not[0] only[0] does[0] he[0] do[0] the[0] voice[0] talent[1] [[Sentence=-1,2=word max, 1-5]] but[0] he[0] is[0] shrek[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
with his irish accent , and he lovable personality , shrek becomes a friend to the audience and warms your heart . 	with his irish accent , and he lovable personality , shrek becomes a friend to the audience and warms your heart .	2	-1	 with[0] his[0] irish[0] accent[0] and[0] he[0] lovable[0] personality[0] shrek[0] becomes[0] a[0] friend[1] to[0] the[0] audience[0] and[0] warms[0] your[0] heart[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
eddie murphy who showed his voice talent in 1998s " mulan " does another bang up job here , and he is the comic relief in the film . 	eddie murphy who showed his voice talent in 1998s " mulan " does another bang up job here , and he is the comic relief in the film .	2	-1	 eddie[0] murphy[0] who[0] showed[0] his[0] voice[0] talent[1] in[0] 1998s[0] mulan[0] does[0] another[0] bang[0] up[0] job[0] here[0] and[0] he[0] is[0] the[0] comic[0] relief[1] in[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the tones of his voice , the lines he utters , and the jokes he gives , he even outdoes the comic genius of robin williams in " aladdin " . 	the tones of his voice , the lines he utters , and the jokes he gives , he even outdoes the comic genius of robin williams in " aladdin " .	2	-1	 the[0] tones[0] of[0] his[0] voice[0] the[0] lines[0] he[0] utters[0] and[0] the[0] jokes[1] he[0] gives[0] he[0] even[0] outdoes[0] the[0] comic[0] genius[0] of[0] robin[0] williams[0] in[0] aladdin[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the always beautiful cameron diaz gives the voice of princess fiona and she does a great job as well . 	the always beautiful cameron diaz gives the voice of princess fiona and she does a great job as well .	3	-1	 the[0] always[0] beautiful[2] cameron[0] diaz[0] gives[0] the[0] voice[0] of[0] princess[0] fiona[0] and[0] she[0] does[0] a[0] great[2] job[0] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she is very funny , and her character fits her to a t . of course the best supporting voice is john lithgow , who is personally one of my favorite actors . 	she is very funny , and her character fits her to a t .<br> of course the best supporting voice is john lithgow , who is personally one of my favorite actors .	3	-1	 she[0] is[0] very[0] funny[1][1 LastWordBoosterStrength] and[0] her[0] character[0] fits[0] her[0] to[0] a[0] t[0] [[Sentence=-1,3=word max, 1-5]] of[0] course[0] the[0] best[1] supporting[1] voice[0] is[0] john[0] lithgow[0] who[0] is[0] personally[0] one[0] of[0] my[0] favorite[1] actors[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
he as the bad guy lord farquaad does a great job in being both sinister and funny at the same time . 	he as the bad guy lord farquad does a great job in being both sinister and funny at the same time .	3	-4	 he[0] as[0] the[0] bad[-1] guy[0] lord[0] farquaad/farquad[0] does[0] a[0] great[2] job[0] in[0] being[0] both[0] sinister[-3] and[0] funny[1] at[0] the[0] same[0] time[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
at times i was so amazed by the computer graphics , that you can't help but just start looking at backgrounds . 	at times i was so amazed by the computer graphics , that you can't help but just start looking at backgrounds .	3	-1	 at[0] times[0] i[0] was[0] so[0] amazed[2] by[0] the[0] computer[0] graphics[0] that[0] you[0] can't[0] help[0] but[0] just[0] start[0] looking[0] at[0] backgrounds[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is many hidden jokes in the film , and even reflections of light on the screen like a camera . 	there is many hidden jokes in the film , and even reflections of light on the screen like a camera .	2	-1	 there[0] is[0] many[0] hidden[0] jokes[1] in[0] the[0] film[0] and[0] even[0] reflections[0] of[0] light[0] on[0] the[0] screen[0] like[1] a[0] camera[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " shrek " is a definite kid film , but not just a kid film for it is a film for the entire family to enjoy . 	 " shrek " is a definite kid film , but not just a kid film for it is a film for the entire family to enjoy .	3	-1	 shrek[0] is[0] a[0] definite[0] kid[0] film[0] but[0] not[0] just[0] a[0] kid[0] film[0] for[0] it[0] is[0] a[0] film[0] for[0] the[0] entire[0] family[0] to[0] enjoy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are many adult jokes in the film that the kids won't get , but the parents will be laughing . 	there are many adult jokes in the film that the kids won't get , but the parents will be laughing .	2	-1	 there[0] are[0] many[0] adult[0] jokes[1] in[0] the[0] film[0] that[0] the[0] kids[0] won't[0] get[0] but[0] the[0] parents[0] will[0] be[0] laughing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
believe me though , everyone will be laughing the entire way through . 	believe me though , everyone will be laughing the entire way through .	2	-1	 believe[0] me[0] though[0] everyone[0] will[0] be[0] laughing[1] the[0] entire[0] way[0] through[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the end , " shrek " gives a very important message to it's audience to enjoy and be who you are . 	in the end , " shrek " gives a very important message to it's audience to enjoy and be who you are .	3	-1	 in[0] the[0] end[0] shrek[0] gives[0] a[0] very[0] important[0] message[0] to[0] it's[0] audience[0] to[0] enjoy[2] and[0] be[0] who[0] you[0] are[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
everybody out there is beautiful in their own way , even though it may be inside . 	everybody out there is beautiful in their own way , even though it may be inside .	3	-1	 everybody[0] out[0] there[0] is[0] beautiful[2] in[0] their[0] own[0] way[0] even[0] though[0] it[0] may[0] be[0] inside[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's not many words that can praise " shrek " enough , but my words to you is to stop what you are doing and see this movie now . 	there's not many words that can praise " shrek " enough , but my words to you is to stop what you are doing and see this movie now .	3	-1	 there's[0] not[0] many[0] words[0] that[0] can[0] praise[2] shrek[0] enough[0] but[0] my[0] words[0] to[0] you[0] is[0] to[0] stop[0] what[0] you[0] are[0] doing[0] and[0] see[0] this[0] movie[0] now[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
