i saw simon birch in a basically sold out theater , on a sunday afternoon . 	Translation	Positive	Negative	EmotionRationale
starring in the first ( and last ) five minutes of the film is hollywood's newest dramatic actor , jim carrey . 	starring in the first ( and last ) five minutes of the film is hollywood's newest dramatic actor , jim carrey .	1	-1	 starring[0] in[0] the[0] first[0] and[0] last[0] five[0] minutes[0] of[0] the[0] film[0] is[0] hollywood's[0] newest[0] dramatic[0] actor[0] jim[0] carrey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jim plays the adult version of joe and does a impressive job starting the film off , and then tying it up just right . 	jim plays the adult version of joe and does a impressive job starting the film off , and then tying it up just right .	2	-1	 jim[0] plays[1] the[0] adult[0] version[0] of[0] joe[0] and[0] does[0] a[0] impressive[1] job[0] starting[0] the[0] film[0] off[0] and[0] then[0] tying[0] it[0] up[0] just[0] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is the first character jim has played that is not over the top in anyway , and he does a commendable job . 	this is the first character jim has played that is not over the top in anyway , and he does a commendable job .	1	-1	 this[0] is[0] the[0] first[0] character[0] jim[0] has[0] played[0] that[0] is[0] not[0] over[0] the[0] top[0] in[0] anyway[0] and[0] he[0] does[0] a[0] commendable[0] job[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simon birch is written and directed by mark steven johnson , this is his first film as director , but he has written several films , including the grumpy old men series . 	simon birch is written and directed by mark steven johnson , this is his first film as director , but he has written several films , including the grumpy old men series .	1	-1	 simon[0] birch[0] is[0] written[0] and[0] directed[0] by[0] mark[0] steven[0] johnson[0] this[0] is[0] his[0] first[0] film[0] as[0] director[0] but[0] he[0] has[0] written[0] several[0] films[0] including[0] the[0] grumpy[0] old[0] men[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he does an outstanding writing and directing job here , the film's structure is flawless and its flows together perfectly . 	he does an outstanding writing and directing job here , the film's structure is flawless and its flows together perfectly .	3	-1	 he[0] does[0] an[0] outstanding[2] writing[0] and[0] directing[0] job[0] here[0] the[0] film's[0] structure[0] is[0] flawless[1] and[0] its[0] flows[0] together[0] perfectly[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the dialog goes from extremely funny to morose without missing a beat . 	the dialog goes from extremely funny to morose without missing a beat .	4	-1	 the[0] dialog[0] goes[0] from[0] extremely[0] funny[1][2 LastWordBoosterStrength] to[0] morose[0] without[0] missing[0] a[0] beat[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the cast is excellent . 	the cast is excellent .	4	-1	 the[0] cast[0] is[0] excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
joseph mazzello gives the stand out performance . 	joseph mazello gives the stand out performance .	1	-1	 joseph[0] mazzello/mazello[0] gives[0] the[0] stand[0] out[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joseph is outstanding for someone of any age , not alone someone who just turned 15 . 	joseph is outstanding for someone of any age , not alone someone who just turned 15 .	3	-1	 joseph[0] is[0] outstanding[2] for[0] someone[0] of[0] any[0] age[0] not[0] alone[0] someone[0] who[0] just[0] turned[0] 15[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ian michael smith , in his film debut , has such a strong physical presence that you believe he is simon without any hesitation . 	ian michael smith , in his film debut , has such a strong physical presence that you believe he is simon without any hesitation .	1	-1	 ian[0] michael[0] smith[0] in[0] his[0] film[0] debut[0] has[0] such[0] a[0] strong[0] physical[0] presence[0] that[0] you[0] believe[0] he[0] is[0] simon[0] without[0] any[0] hesitation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other great performances are turned in by the rest of the supporting cast . 	other great performances are turned in by the rest of the supporting cast .	3	-1	 other[0] great[2] performances[0] are[0] turned[0] in[0] by[0] the[0] rest[0] of[0] the[0] supporting[1] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i loved this movie , it is far and away one of the best films i have seen all year . 	i loved this movie , it is far and away one of the best films i have seen all year .	4	-1	 i[0] loved[3] this[0] movie[0] it[0] is[0] far[0] and[0] away[0] one[0] of[0] the[0] best[1] films[0] i[0] have[0] seen[0] all[0] year[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
take your whole family to see simon birch , it is a magnificent film- an american masterpiece . 	take your whole family to see simon birch , it is a magnificent film- an american masterpiece .	4	-1	 take[0] your[0] whole[0] family[0] to[0] see[0] simon[0] birch[0] it[0] is[0] a[0] magnificent[3] film[0] an[0] american[0] masterpiece[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
