based on the boris karloff's classic by the same name , the mummy starts off with the high-priest of osiris , imhotep , who murders the pharoah for his mistress and is punished by being mummified in the most horrifying way possible -- bandaged up , having his tongue removed , and being covered in flesh-eating scarab beetles , then entombed . . . all while still alive . 	Translation	Positive	Negative	EmotionRationale
ideally , for it to be successful , the film would have to focus on one the more action oriented aspect , with one character serving as the comic relief ( that would be johnson ) . 	ideally , for it to be successful , the film would have to focus on one the more action oriented aspect , with one character serving as the comic relief ( that would be johnson ) .	3	-1	 ideally[0] for[0] it[0] to[0] be[0] successful[2] the[0] film[0] would[0] have[0] to[0] focus[0] on[0] one[0] the[0] more[0] action[0] oriented[0] aspect[0] with[0] one[0] character[0] serving[0] as[0] the[0] comic[0] relief[1] that[0] would[0] be[0] johnson[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the problem with this film is that it has at least three characters serving as comic relief , with rick occasionally delivering his witty one-liner . 	the problem with this film is that it has at least three characters serving as comic relief , with rick occasionally delivering his witty one-liner .	2	-2	 the[0] problem[-1] with[0] this[0] film[0] is[0] that[0] it[0] has[0] at[0] least[0] three[0] characters[0] serving[0] as[0] comic[0] relief[1] with[0] rick[0] occasionally[0] delivering[0] his[0] witty[0] one[0] liner[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if they were trying to make a horror-action-comedy , it would have helped if it were established early on in the film , but unfortunately , with the backstory of imhotep's entombment , that would be impossible . 	if they were trying to make a horror-action-comedy , it would have helped if it were established early on in the film , but unfortunately , with the backstory of imhotep's entombment , that would be impossible .	1	-4	 if[0] they[0] were[0] trying[0] to[0] make[0] a[0] horror[-3] action[0] comedy[0] it[0] would[0] have[0] helped[0] if[0] it[0] were[0] established[0] early[0] on[0] in[0] the[0] film[0] but[0] unfortunately[-1] with[0] the[0] backstory[0] of[0] imhotep's[0] entombment[0] that[0] would[0] be[0] impossible[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and then there's the slapstick fight scene between a sword-wielding rick and an army of mummies . 	and then there's the slapstick fight scene between a sword-wielding rick and an army of mummies .	1	-3	 and[0] then[0] there's[0] the[0] slapstick[-1] fight[-2] scene[0] between[0] a[0] sword[0] wielding[0] rick[0] and[0] an[0] army[0] of[0] mummies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while really well done , it had the feel of slapstick comedy . 	while really well done , it had the feel of slapstick comedy .	1	-2	 while[0] really[0] well[0] done[0] it[0] had[0] the[0] feel[0] of[0] slapstick[-1] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
replace the sword with a chainsaw and you'd effectively have ash fighting zombies in army of darkness . 	replace the sword with a chainsaw and you'd effectively have ash fighting zombies in army of darkness .	1	-3	 replace[0] the[0] sword[0] with[0] a[0] chainsaw[0] and[0] you'd[0] effectively[0] have[0] ash[0] fighting[-2] zombies[0] in[0] army[0] of[0] darkness[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while entertaining and funny , it feels really out of place . 	while entertaining and funny , it feels really out of place .	2	-1	 while[0] entertaining[0] and[0] funny[1] it[0] feels[0] really[0] out[0] of[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but at least it's a break from the naive heroes that brendan fraser has been playing a lot of . 	but at least it's a break from the naive heroes that brendan fraser has been playing a lot of .	3	-2	 but[0] at[0] least[0] it's[0] a[0] break[0] from[0] the[0] naive[-1] heroes[2] that[0] brendan[0] fraser[0] has[0] been[0] playing[1] a[0] lot[0] of[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
on the whole , the movie is pure popcorn fare from beginning to end , entertaining the audience . 	on the whole , the movie is pure popcorn fare from beginning to end , entertaining the audience .	1	-1	 on[0] the[0] whole[0] the[0] movie[0] is[0] pure[0] popcorn[0] fare[0] from[0] beginning[0] to[0] end[0] entertaining[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but i must end my review with a plea to movie theatre owners . . . turn 	but i must end my review with a plea to movie theatre owners .<br> .<br> .<br> turn	1	-1	 but[0] i[0] must[0] end[0] my[0] review[0] with[0] a[0] plea[0] to[0] movie[0] theatre[0] owners[0] [[Sentence=-1,1=word max, 1-5]] turn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sound down ! 	the sound down !	1	-1	 the[0] sound[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while a lot of theatres have good sound systems , my ears were almost ringing as i walked out of the theatre ( the sound is particularly irritating and will make you crap your pants if you're not careful ) . 	while a lot of theatres have good sound systems , my ears were almost ringing as i walked out of the theatre ( the sound is particularly irritating and will make you crap your pants if you're not careful ) .	2	-3	 while[0] a[0] lot[0] of[0] theatres[0] have[0] good[1] sound[0] systems[0] my[0] ears[0] were[0] almost[0] ringing[0] as[0] i[0] walked[0] out[0] of[0] the[0] theatre[0] the[0] sound[0] is[0] particularly[0] irritating[-2] and[0] will[0] make[0] you[0] crap[-2] your[0] pants[0] if[0] you're[0] not[0] careful[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when they were showing the trailer for the upcoming schwarzenegger film , " end of days " , it was so loud i couldn't make anything out . 	when they were showing the trailer for the upcoming schwarzenegger film , " end of days " , it was so loud i couldn't make anything out .	1	-1	 when[0] they[0] were[0] showing[0] the[0] trailer[0] for[0] the[0] upcoming[0] schwarzenegger[0] film[0] end[0] of[0] days[0] it[0] was[0] so[0] loud[0] i[0] couldn't[0] make[0] anything[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
