the film " magnolia " can be compared to a simple flower as its title and movie poster suggests . 	Translation	Positive	Negative	EmotionRationale
the only mistake anderson made in trying to connect his characters was by making his actors all sing an aimee mann song simultaneously . 	the only mistake anderson made in trying to connect his characters was by making his actors all sing an aimee man song simultaneously .	1	-2	 the[0] only[0] mistake[-1] anderson[0] made[0] in[0] trying[0] to[0] connect[0] his[0] characters[0] was[0] by[0] making[0] his[0] actors[0] all[0] sing[0] an[0] aimee[0] mann/man[0] song[0] simultaneously[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this was foolish not only because it was unbelievable and hilariously erroneous but also because it had a broadway musical feel to it and this movie is about as far apart from your typical broadway musical than you can get . 	this was foolish not only because it was unbelievable and hilariously erroneous but also because it had a broadway musical feel to it and this movie is about as far apart from your typical broadway musical than you can get .	3	-2	 this[0] was[0] foolish[-1] not[0] only[0] because[0] it[0] was[0] unbelievable[-1] and[0] hilariously[2] erroneous[-1] but[0] also[0] because[0] it[0] had[0] a[0] broadway[0] musical[0] feel[0] to[0] it[0] and[0] this[0] movie[0] is[0] about[0] as[0] far[0] apart[0] from[0] your[0] typical[0] broadway[0] musical[0] than[0] you[0] can[0] get[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the performances in " magnolia " are perfection . 	the performances in " magnolia " are perfection .	2	-1	 the[0] performances[0] in[0] magnolia[0] are[0] perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a classic example of flawless casting and flawless ensemble acting . 	this is a classic example of flawless casting and flawless ensemble acting .	2	-1	 this[0] is[0] a[0] classic[0] example[0] of[0] flawless[1] casting[0] and[0] flawless[1] ensemble[0] acting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anderson allows many of hollywood's best supporting actors to blossom at what they do best , character acting . 	anderson allows many of hollywood's best supporting actors to blossom at what they do best , character acting .	2	-1	 anderson[0] allows[0] many[0] of[0] hollywood's[0] best[1] supporting[1] actors[0] to[0] blossom[0] at[0] what[0] they[0] do[0] best[1] character[0] acting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all of the main characters in each story are perfect because they are able to reveal more emotions and attitudes in their brief time on the screen then most movie stars can do in a feature length film . 	all of the main characters in each story are perfect because they are able to reveal more emotions and attitudes in their brief time on the screen then most movie stars can do in a feature length film .	2	-1	 all[0] of[0] the[0] main[0] characters[0] in[0] each[0] story[0] are[0] perfect[1] because[0] they[0] are[0] able[0] to[0] reveal[0] more[0] emotions[0] and[0] attitudes[0] in[0] their[0] brief[0] time[0] on[0] the[0] screen[0] then[0] most[0] movie[0] stars[0] can[0] do[0] in[0] a[0] feature[0] length[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
worth noting is tom cruise , who stepped out of his usual superficial starring role and into a funny but depressing tour de force performance . 	worth noting is tom cruise , who stepped out of his usual superficial starring role and into a funny but depressing tour de force performance .	2	-4	 worth[0] noting[0] is[0] tom[0] cruise[0] who[0] stepped[0] out[0] of[0] his[0] usual[0] superficial[-1] starring[0] role[0] and[0] into[0] a[0] funny[1] but[0] depressing[-3] tour[0] de[0] force[-1] performance[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he was probably noticed more than the other actors in the film by award givers because his role here is so much different and impressive than those in the past ( however any actor in this film could be nominated for best supporting actor without any complaints ) the only problem i had with the acting was that a few of the characters felt seriously edited down such as melinda dillon's character as phillip baker hall's wife . 	he was probably noticed more than the other actors in the film by award givers because his role here is so much different and impressive than those in the past ( however any actor in this film could be nominated for best supporting actor without any complaints ) the only problem i had with the acting was that a few of the characters felt seriously edited down such as melinda dillon's character as phillip baker hall's wife .	2	-2	 he[0] was[0] probably[0] noticed[0] more[0] than[0] the[0] other[0] actors[0] in[0] the[0] film[0] by[0] award[0] givers[0] because[0] his[0] role[0] here[0] is[0] so[0] much[0] different[0] and[0] impressive[1] than[0] those[0] in[0] the[0] past[0] however[0] any[0] actor[0] in[0] this[0] film[0] could[0] be[0] nominated[0] for[0] best[1] supporting[1] actor[0] without[0] any[0] complaints[-1] the[0] only[0] problem[-1] i[0] had[0] with[0] the[0] acting[0] was[0] that[0] a[0] few[0] of[0] the[0] characters[0] felt[0] seriously[0] edited[0] down[0] such[0] as[0] melinda[0] dillon's[0] character[0] as[0] phillip[0] baker[0] hall's[0] wife[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she seemed to be thrown in towards the end and i felt very little sympathy for her because i had not seen her enough earlier in the film . 	she seemed to be thrown in towards the end and i felt very little sympathy for her because i had not seen her enough earlier in the film .	1	-1	 she[0] seemed[0] to[0] be[0] thrown[0] in[0] towards[0] the[0] end[0] and[0] i[0] felt[0] very[0] little[0] sympathy[0] for[0] her[0] because[0] i[0] had[0] not[0] seen[0] her[0] enough[0] earlier[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " magnolia " uses several effective metaphors to describe its characters . 	 " magnolia " uses several effective metaphors to describe its characters .	1	-1	 magnolia[0] uses[0] several[0] effective[0] metaphors[0] to[0] describe[0] its[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anderson has the talent to make the audience sympathetic towards numerous people in only a few hours . 	anderson has the talent to make the audience sympathetic towards numerous people in only a few hours .	2	-1	 anderson[0] has[0] the[0] talent[1] to[0] make[0] the[0] audience[0] sympathetic[0] towards[0] numerous[0] people[0] in[0] only[0] a[0] few[0] hours[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to see that anderson is able to perfectly portray this many different types of people shows that he has a keen sense of diversity . 	to see that anderson is able to perfectly portray this many different types of people shows that he has a keen sense of diversity .	2	-1	 to[0] see[0] that[0] anderson[0] is[0] able[0] to[0] perfectly[1] portray[0] this[0] many[0] different[0] types[0] of[0] people[0] shows[0] that[0] he[0] has[0] a[0] keen[0] sense[0] of[0] diversity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
diversity is what makes a director successful for a long period of time . 	diversity is what makes a director successful for a long period of time .	3	-1	 diversity[0] is[0] what[0] makes[0] a[0] director[0] successful[2] for[0] a[0] long[0] period[0] of[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i predict a lot of diversity and success from anderson in the future . 	i predict a lot of diversity and success from anderson in the future .	3	-1	 i[0] predict[0] a[0] lot[0] of[0] diversity[0] and[0] success[2] from[0] anderson[0] in[0] the[0] future[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
