when i first heard that kevin costner was making a movie called " the postman , " i thought , " an american version of 'il postino ? ' 	Translation	Positive	Negative	EmotionRationale
taking the uniform and bag of mail , he passes himself off as a representative of " the restored united states . " 	taking the uniform and bag of mail , he passes himself off as a representative of " the restored united states .<br> "	1	-1	 taking[0] the[0] uniform[0] and[0] bag[0] of[0] mail[0] he[0] passes[0] himself[0] off[0] as[0] a[0] representative[0] of[0] the[0] restored[0] united[0] states[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is shocked at the hope that he inspires in the people he meets . 	he is shocked at the hope that he inspires in the people he meets .	3	-3	 he[0] is[0] shocked[-2] at[0] the[0] hope[2] that[0] he[0] inspires[2] in[0] the[0] people[0] he[0] meets[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
one young disciple , ford lincoln mercury ( larenz tate ) , organizes a full-scale postal service . 	one young disciple , ford lincoln mercury ( larenz tate ) , organizes a full-scale postal service .	1	-1	 one[0] young[0] disciple[0] ford[0] lincoln[0] mercury[0] larenz[0] tate[0] organizes[0] a[0] full[0] scale[0] postal[0] service[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ford spreads the postman's message of hope until bethlehem finds that the once-meek villagers are beginning to resist his rule . 	ford spreads the postman's message of hope until bethlehem finds that the once-meek villagers are beginning to resist his rule .	3	-2	 ford[0] spreads[0] the[0] postman's[0] message[0] of[0] hope[2] until[0] bethlehem[0] finds[0] that[0] the[0] once[0] meek[-1] villagers[0] are[0] beginning[0] to[0] resist[0] his[0] rule[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as war breaks out between bethlehem's army and the postal workers , costner's character steps into the legend he created and goes from self-centered loner to leader of the revolution . 	as war breaks out between bethlehem's army and the postal workers , costner's character steps into the legend he created and goes from self-centered loner to leader of the revolution .	1	-3	 as[0] war[-2] breaks[0] out[0] between[0] bethlehem's[0] army[0] and[0] the[0] postal[0] workers[0] costner's[0] character[0] steps[0] into[0] the[0] legend[0] he[0] created[0] and[0] goes[0] from[0] self[0] centered[0] loner[-1] to[0] leader[0] of[0] the[0] revolution[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his lie of the restored united states becomes a self-fulfilling prophecy . 	his lie of the restored united states becomes a self-fulfilling prophecy .	1	-1	 his[0] lie[0] of[0] the[0] restored[0] united[0] states[0] becomes[0] a[0] self[0] fulfilling[0] prophecy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " postman " is an odd blend of a bleak setting and a message of wide-eyed optimism ( sort of " sergio leone meets frank capra " ) , but its treatment of hope and renewal is compelling . 	 " postman " is an odd blend of a bleak setting and a message of wide-eyed optimism ( sort of " sergio leone meets frank capra " ) , but its treatment of hope and renewal is compelling .	3	-2	 postman[0] is[0] an[0] odd[0] blend[0] of[0] a[0] bleak[-1] setting[0] and[0] a[0] message[0] of[0] wide[0] eyed[0] optimism[1] sort[0] of[0] sergio[0] leone[0] meets[0] frank[0] capra[0] but[0] its[0] treatment[0] of[0] hope[2] and[0] renewal[0] is[0] compelling[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
what could have been another knock-off of " the road warrior " ( like " waterworld " was ) surprises the viewer with a sensitively told story of nobility emerging from rubble . 	what could have been another knock-off of " the road warrior " ( like " waterworld " was ) surprises the viewer with a sensitively told story of nobility emerging from rubble .	2	-1	 what[0] could[0] have[0] been[0] another[0] knock[0] off[0] of[0] the[0] road[0] warrior[0] like[1] waterworld[0] was[0] surprises[0] the[0] viewer[0] with[0] a[0] sensitively[0] told[0] story[0] of[0] nobility[0] emerging[0] from[0] rubble[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tate is the stand-out in the movie's large cast . 	tate is the stand-out in the movie's large cast .	1	-1	 tate[0] is[0] the[0] stand[0] out[0] in[0] the[0] movie's[0] large[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ford lincoln mercury ( self-named ) is the polar opposite of o-dog , tate's character in his debut film , " menace ii society " ( 1993 ) , and tate makes ford's innocent belief in hope as convincing as o-dog's cynicism and brutality . 	ford lincoln mercury ( self-named ) is the polar opposite of o-dog , tate's character in his debut film , " menace i society " ( 1993 ) , and tate makes ford's innocent belief in hope as convincing as o-dog's cynicism and brutality .	3	-3	 ford[0] lincoln[0] mercury[0] self[0] named[0] is[0] the[0] polar[0] opposite[0] of[0] o[0] dog[0] tate's[0] character[0] in[0] his[0] debut[0] film[0] menace[-2] ii/i[0] society[0] 1993[0] and[0] tate[0] makes[0] ford's[0] innocent[1] belief[0] in[0] hope[2] as[0] convincing[0] as[0] o[0] dog's[0] cynicism[-1] and[0] brutality[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
his performance sells the movie . 	his performance sells the movie .	1	-1	 his[0] performance[0] sells[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interestingly , as tate moves from his usual street-smart roles to youthful optimism , the soft-eyed patton , who usually plays nice guys , proves a disarming villain . 	interestingly , as tate moves from his usual street-smart roles to youthful optimism , the soft-eyed patton , who usually plays nice guys , proves a disarming villain .	2	-3	 interestingly[1] as[0] tate[0] moves[0] from[0] his[0] usual[0] street[0] smart[1] roles[0] to[0] youthful[0] optimism[1] the[0] soft[0] eyed[0] patton[0] who[0] usually[0] plays[1] nice[1] guys[0] proves[0] a[0] disarming[0] villain[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
olivia williams makes her film debut as the postman's love interest , abby . 	olivia williams makes her film debut as the postman's love interest , aby .	3	-1	 olivia[0] williams[0] makes[0] her[0] film[0] debut[0] as[0] the[0] postman's[0] love[2] interest[1] abby/aby[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when they first meet , abby asks him to father her child because her husband is sterile . 	when they first meet , aby asks him to father her child because her husband is sterile .	1	-1	 when[0] they[0] first[0] meet[0] abby/aby[0] asks[0] him[0] to[0] father[0] her[0] child[0] because[0] her[0] husband[0] is[0] sterile[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
predictably , the husband is soon eliminated by the bandits , and abby is thrown back into the company of the hero . 	predictably , the husband is soon eliminated by the bandits , and aby is thrown back into the company of the hero .	3	-2	 predictably[0] the[0] husband[0] is[0] soon[0] eliminated[0] by[0] the[0] bandits[-1] and[0] abby/aby[0] is[0] thrown[0] back[0] into[0] the[0] company[0] of[0] the[0] hero[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , their relationship develops slowly as the emotional conflicts of both characters are explored ( she , torn by grief , guilt , and anger ; he , resisting his destiny ) . 	however , their relationship develops slowly as the emotional conflicts of both characters are explored ( she , torn by grief , guilt , and anger ; he , resisting his destiny ) .	1	-5	 however[0] their[0] relationship[0] develops[0] slowly[0] as[0] the[0] emotional[-1] conflicts[-1] of[0] both[0] characters[0] are[0] explored[0] she[0] torn[0] by[0] grief[-3] guilt[-3][-1 MultiplePositiveWords] and[0] anger[-3] he[0] resisting[0] his[0] destiny[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
 " the postman " is costner's best work thus far . 	 " the postman " is costner's best work thus far .	2	-1	 the[0] postman[0] is[0] costner's[0] best[1] work[0] thus[0] far[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps that alone gives us hope for the future . 	perhaps that alone gives us hope for the future .	3	-1	 perhaps[0] that[0] alone[0] gives[0] us[0] hope[2] for[0] the[0] future[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
