let's say you live at the end of an airport runway . 	Translation	Positive	Negative	EmotionRationale
it's the perfect setup for a relaxing , hilarious good time , and as much as i hate to admit it , i liked the fact that i didn't have to think all that much while watching this film . 	it's the perfect setup for a relaxing , hilarious good time , and as much as i hate to admit it , i liked the fact that i didn't have to think all that much while watching this film .	4	-4	 it's[0] the[0] perfect[1] setup[0] for[0] a[0] relaxing[2] hilarious[2][+1 MultiplePositiveWords] good[1] time[0] and[0] as[0] much[0] as[0] i[0] hate[-3] to[0] admit[0] it[0] i[0] liked[2] the[0] fact[0] that[0] i[0] didn't[0] have[0] to[0] think[0] all[0] that[0] much[0] while[0] watching[0] this[0] film[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
i just sat back and enjoyed myself . 	i just sat back and enjoyed myself .	3	-1	 i[0] just[0] sat[0] back[0] and[0] enjoyed[2] myself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the situation is one we've seen before : regular joe fights back against the government , or big business , or whatever . 	the situation is one we've seen before : regular joe fights back against the government , or big business , or whatever .	1	-3	 the[0] situation[0] is[0] one[0] we've[0] seen[0] before[0] regular[0] joe[0] fights[-2] back[0] against[-1] the[0] government[0] or[0] big[0] business[0] or[0] whatever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what makes this film different is its characters . 	what makes this film different is its characters .	1	-1	 what[0] makes[0] this[0] film[0] different[0] is[0] its[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
darryl thinks he's got the best life in the world - he tells his family that living next to power lines is a constant reminder of the success of mankind , he asks who would ever want to go out and eat in a fancy restaurant when he's got the meat loaf feast prepared by his wife sal ( anne tenny ) , and he swells with pride when his son dale ( stephen curry ) digs a hole in the yard . 	darryl thinks he's got the best life in the world - he tells his family that living next to power lines is a constant reminder of the success of mankind , he asks who would ever want to go out and eat in a fancy restaurant when he's got the meat loaf feast prepared by his wife sal ( anne tenny ) , and he swells with pride when his son dale ( stephen curry ) digs a hole in the yard .	3	-1	 darryl[0] thinks[0] he's[0] got[0] the[0] best[1] life[0] in[0] the[0] world[0] he[0] tells[0] his[0] family[0] that[0] living[0] next[0] to[0] power[0] lines[0] is[0] a[0] constant[0] reminder[0] of[0] the[0] success[2] of[0] mankind[0] he[0] asks[0] who[0] would[0] ever[0] want[0] to[0] go[0] out[0] and[0] eat[0] in[0] a[0] fancy[0] restaurant[0] when[0] he's[0] got[0] the[0] meat[0] loaf[0] feast[0] prepared[0] by[0] his[0] wife[0] sal[0] anne[0] tenny[0] and[0] he[0] swells[0] with[0] pride[1] when[0] his[0] son[0] dale[0] stephen[0] curry[0] digs[0] a[0] hole[0] in[0] the[0] yard[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
steve kerrigan ( anthony simcoe ) constantly combs the buy and sell ads looking for " investments " like jousting sticks and overhead projectors , while wayne kerrigan is in jail , as a result of dennis denuto's incompetent courtroom maneuvers . 	steve kerrigan ( anthony simcoe ) constantly combs the buy and sell ads looking for " investments " like jousting sticks and overhead projectors , while wayne kerrigan is in jail , as a result of dennis denuto's incompetent courtroom maneuvers .	2	-3	 steve[0] kerrigan[0] anthony[0] simcoe[0] constantly[0] combs[0] the[0] buy[0] and[0] sell[0] ads[0] looking[0] for[0] investments[0] like[1] jousting[0] sticks[0] and[0] overhead[0] projectors[0] while[0] wayne[0] kerrigan[0] is[0] in[0] jail[-1] as[0] a[0] result[0] of[0] dennis[0] denuto's[0] incompetent[-2] courtroom[0] maneuvers[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the great thing about the kerrigans is that they aren't so stupid that they get annoying . 	the great thing about the kerrigans is that they aren't so stupid that they get annoying .	3	-3	 the[0] great[2] thing[0] about[0] the[0] kerrigans[0] is[0] that[0] they[0] aren't[0] so[0] stupid[-1][NegatedDueToPreviousWord] that[0] they[0] get[0] annoying[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
they're just a group of simpletons whose naive nature is perfectly harmless and even endearing . 	they're just a group of simpletons whose naive nature is perfectly harmless and even endearing .	2	-2	 they're[0] just[0] a[0] group[0] of[0] simpletons[0] whose[0] naive[-1] nature[0] is[0] perfectly[1] harmless[1] and[0] even[0] endearing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we look upon them with a little bit of pity , but a whole lot of affection . 	we look upon them with a little bit of pity , but a whole lot of affection .	3	-2	 we[0] look[0] upon[0] them[0] with[0] a[0] little[0] bit[0] of[0] pity[-1] but[0] a[0] whole[0] lot[0] of[0] affection[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
screenwriters sitch , santo cilauro , tom gleisner , and jane kennedy pit this lovable bunch of unlikely crusaders against a stoic court system and a condescending business conglomerate , further polarizing the extremes and deepening our feelings for the kerrigans . 	screenwriters sitch , santo cilauro , tom gleisner , and jane kennedy pit this lovable bunch of unlikely crusaders against a stoic court system and a condescending business conglomerate , further polarizing the extremes and deepening our feelings for the kerrigans .	1	-3	 screenwriters[0] sitch[0] santo[0] cilauro[0] tom[0] gleisner[0] and[0] jane[0] kennedy[0] pit[0] this[0] lovable[0] bunch[0] of[0] unlikely[0] crusaders[0] against[-1] a[0] stoic[0] court[0] system[0] and[0] a[0] condescending[-2] business[0] conglomerate[0] further[0] polarizing[0] the[0] extremes[0] and[0] deepening[0] our[0] feelings[0] for[0] the[0] kerrigans[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sympathy for their situation , the laughter they bring us , and the family's wonderful characterization , simple as it may be , leaves us with a degree of emotional investment that causes us to actually care about what happens to them . 	sympathy for their situation , the laughter they bring us , and the family's wonderful characterization , simple as it may be , leaves us with a degree of emotional investment that causes us to actually care about what happens to them .	3	-2	 sympathy[0] for[0] their[0] situation[0] the[0] laughter[1] they[0] bring[0] us[0] and[0] the[0] family's[0] wonderful[2] characterization[0] simple[0] as[0] it[0] may[0] be[0] leaves[0] us[0] with[0] a[0] degree[0] of[0] emotional[-1] investment[0] that[0] causes[0] us[0] to[0] actually[0] care[1] about[0] what[0] happens[0] to[0] them[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i suppose one might wonder how deep characterization can go when your characters are as inane as the kerrigans , but trust me , it works . 	i suppose one might wonder how deep characterization can go when your characters are as inane as the kerrigans , but trust me , it works .	2	-2	 i[0] suppose[0] one[0] might[0] wonder[0] how[0] deep[0] characterization[0] can[0] go[0] when[0] your[0] characters[0] are[0] as[0] inane[-1] as[0] the[0] kerrigans[0] but[0] trust[1] me[0] it[0] works[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i particularly noted that the writers did not have to use slapstick in order to get laughs . 	i particularly noted that the writers did not have to use slapstick in order to get laughs .	2	-2	 i[0] particularly[0] noted[0] that[0] the[0] writers[0] did[0] not[0] have[0] to[0] use[0] slapstick[-1] in[0] order[0] to[0] get[0] laughs[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
don't get me wrong - slapstick , when executed well , can be genius . 	don't get me wrong - slapstick , when executed well , can be genius .	1	-2	 don't[0] get[0] me[0] wrong[-1] slapstick[-1] when[0] executed[-1] well[0] can[0] be[0] genius[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's just that too often , a film will resort to it's use as a shortcut to amusing the audience , not always successfully . 	it's just that too often , a film will resort to it's use as a shortcut to amusing the audience , not always successfully .	2	-3	 it's[0] just[0] that[0] too[0] often[0] a[0] film[0] will[0] resort[0] to[0] it's[0] use[0] as[0] a[0] shortcut[0] to[0] amusing[1] the[0] audience[0] not[0] always[0] successfully[2][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
instead , the jokes in the castle are all hinged upon the dialog uttered by these people who have no idea that they are totally skewed to the rest of the world . 	instead , the jokes in the castle are all hinged upon the dialog uttered by these people who have no idea that they are totally skewed to the rest of the world .	2	-1	 instead[0] the[0] jokes[1] in[0] the[0] castle[0] are[0] all[0] hinged[0] upon[0] the[0] dialog[0] uttered[0] by[0] these[0] people[0] who[0] have[0] no[0] idea[0] that[0] they[0] are[0] totally[0] skewed[0] to[0] the[0] rest[0] of[0] the[0] world[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when they are by themselves , the are funny , and when they are with normal people , they are hilarious . 	when they are by themselves , the are funny , and when they are with normal people , they are hilarious .	3	-1	 when[0] they[0] are[0] by[0] themselves[0] the[0] are[0] funny[1] and[0] when[0] they[0] are[0] with[0] normal[0] people[0] they[0] are[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of the few problems i saw with this film was a detour taken about midway though . 	one of the few problems i saw with this film was a detour taken about midway though .	1	-2	 one[0] of[0] the[0] few[0] problems[-1] i[0] saw[0] with[0] this[0] film[0] was[0] a[0] detour[0] taken[0] about[0] midway[0] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the kerrigans go out to a vacation spot for seemingly no reason other than to pack in a few more jokes and increase the film's running time . 	the kerrigans go out to a vacation spot for seemingly no reason other than to pack in a few more jokes and increase the film's running time .	2	-1	 the[0] kerrigans[0] go[0] out[0] to[0] a[0] vacation[0] spot[0] for[0] seemingly[0] no[0] reason[0] other[0] than[0] to[0] pack[0] in[0] a[0] few[0] more[0] jokes[1] and[0] increase[0] the[0] film's[0] running[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
luckily , it's a funny little detour that , while slightly distracting from the film's main drive , is still quite enjoyable . 	luckily , it's a funny little detour that , while slightly distracting from the film's main drive , is still quite enjoyable .	3	-1	 luckily[2] it's[0] a[0] funny[1] little[0] detour[0] that[0] while[0] slightly[0] distracting[-1][--1 LastWordBoosterStrength] from[0] the[0] film's[0] main[0] drive[0] is[0] still[0] quite[0] enjoyable[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with all the levity abound in the castle , the film still manages to take on a pretty heavy concept , that of the innate right of a citizen to keep his property , an issue which has been bandied about in courts across the civilized world with differing outcomes . 	with all the levity abound in the castle , the film still manages to take on a pretty heavy concept , that of the innate right of a citizen to keep his property , an issue which has been bandied about in courts across the civilized world with differing outcomes .	3	-1	 with[0] all[0] the[0] levity[0] abound[0] in[0] the[0] castle[0] the[0] film[0] still[0] manages[0] to[0] take[0] on[0] a[0] pretty[2] heavy[0] concept[0] that[0] of[0] the[0] innate[0] right[0] of[0] a[0] citizen[0] to[0] keep[0] his[0] property[0] an[0] issue[0] which[0] has[0] been[0] bandied[0] about[0] in[0] courts[0] across[0] the[0] civilized[0] world[0] with[0] differing[0] outcomes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i'm not certain the courtroom monologue near the end of the film would actually hold up in real life , but it brings to the forefront the essence of the constitution ( of australia ) and certainly sounds impressive at any rate . 	i'm not certain the courtroom monologue near the end of the film would actually hold up in real life , but it brings to the forefront the essence of the constitution ( of australia ) and certainly sounds impressive at any rate .	2	-1	 i'm[0] not[0] certain[0] the[0] courtroom[0] monologue[0] near[0] the[0] end[0] of[0] the[0] film[0] would[0] actually[0] hold[0] up[0] in[0] real[0] life[0] but[0] it[0] brings[0] to[0] the[0] forefront[0] the[0] essence[0] of[0] the[0] constitution[0] of[0] australia[0] and[0] certainly[0] sounds[0] impressive[1] at[0] any[0] rate[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and , for that matter , it's more than i would have expected out of a light hearted film like this . 	and , for that matter , it's more than i would have expected out of a light hearted film like this .	2	-1	 and[0] for[0] that[0] matter[0] it's[0] more[0] than[0] i[0] would[0] have[0] expected[0] out[0] of[0] a[0] light[0] hearted[0] film[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
