one of the sweetest tales to ever be made , it's a wonderful life isn't perfect , but its good natured charm and beautiful performances light up the screen with glorious results . 	Translation	Positive	Negative	EmotionRationale
one christmas , potter gets his chance . 	one christmas , potter gets his chance .	1	-1	 one[0] christmas[0] potter[0] gets[0] his[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
uncle billy bailey ( mitchell ) loses  8 , 000 of the bank's money . 	uncle billy bailey ( mitchell ) loses  8 , 00 of the bank's money .	1	-2	 uncle[0] billy[0] bailey[-1] mitchell[0] loses[-1] 8[0] 000/00[0] of[0] the[0] bank's[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
without the money , the bank must close down . 	without the money , the bank must close down .	1	-1	 without[0] the[0] money[0] the[0] bank[0] must[0] close[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
george is stuck in a tremendous bind , and contemplates suicide . 	george is stuck in a tremendous bind , and contemplates suicide .	1	-4	 george[0] is[0] stuck[0] in[0] a[0] tremendous[0] bind[0] and[0] contemplates[0] suicide[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
clarence , the faithful servant , is there just to pick him up , and to show him what bedford would be like without george . 	clarence , the faithful servant , is there just to pick him up , and to show him what bedford would be like without george .	2	-1	 clarence[0] the[0] faithful[1] servant[0] is[0] there[0] just[0] to[0] pick[0] him[0] up[0] and[0] to[0] show[0] him[0] what[0] bedford[0] would[0] be[0] like[1] without[0] george[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is all a lead-in to the very famous last scene , where george finally sees what true happiness is about . 	this is all a lead-in to the very famous last scene , where george finally sees what true happiness is about .	3	-1	 this[0] is[0] all[0] a[0] lead[0] in[0] to[0] the[0] very[0] famous[0] last[0] scene[0] where[0] george[0] finally[0] sees[0] what[0] true[1] happiness[2] is[0] about[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a wonderful life does have its faults . 	it's a wonderful life does have its faults .	3	-2	 it's[0] a[0] wonderful[2] life[0] does[0] have[0] its[0] faults[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie is beginning to feel dated in the details , especially in the treatment of women and men . 	the movie is beginning to feel dated in the details , especially in the treatment of women and men .	1	-1	 the[0] movie[0] is[0] beginning[0] to[0] feel[0] dated[0] in[0] the[0] details[0] especially[0] in[0] the[0] treatment[0] of[0] women[0] and[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the sex roles in the film are weirdly out of place in the 90's , like something out of a revisionist look . 	the sex roles in the film are weirdly out of place in the 90's , like something out of a revisionist look .	2	-2	 the[0] sex[0] roles[0] in[0] the[0] film[0] are[0] weirdly[-1] out[0] of[0] place[0] in[0] the[0] 90's[0] like[1] something[0] out[0] of[0] a[0] revisionist[0] look[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
all the men drink too much and slap their wives too much during some portions of the film . 	all the men drink too much and slap their wives too much during some portions of the film .	1	-2	 all[0] the[0] men[0] drink[0] too[0] much[0] and[0] slap[-1] their[0] wives[0] too[0] much[0] during[0] some[0] portions[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are , however , endearing moments in all of this . 	there are , however , endearing moments in all of this .	1	-1	 there[0] are[0] however[0] endearing[0] moments[0] in[0] all[0] of[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
capra puts in just enough humor mocking the sex roles of the 50's to make the movie remarkably enjoyable . 	capra puts in just enough humor mocking the sex roles of the 50's to make the movie remarkably enjoyable .	3	-3	 capra[0] puts[0] in[0] just[0] enough[0] humor[2] mocking[-2] the[0] sex[0] roles[0] of[0] the[0] 50's[0] to[0] make[0] the[0] movie[0] remarkably[0] enjoyable[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the story is hackneyed , and the ending feels , well , a little too sugarish . 	the story is hackneyed , and the ending feels , well , a little too sugarish .	1	-1	 the[0] story[0] is[0] hackneyed[0] and[0] the[0] ending[0] feels[0] well[0] a[0] little[0] too[0] sugarish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's this uneasy feeling of sugar over everything , especially the sequences where george is either in trouble , or helping somebody . 	there's this uneasy feeling of sugar over everything , especially the sequences where george is either in trouble , or helping somebody .	1	-2	 there's[0] this[0] uneasy[-1] feeling[0] of[0] sugar[0] over[0] everything[0] especially[0] the[0] sequences[0] where[0] george[0] is[0] either[0] in[0] trouble[-1] or[0] helping[0] somebody[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a little too nice for my liking , at times . 	it's a little too nice for my liking , at times .	3	-1	 it's[0] a[0] little[0] too[0] nice[1] for[0] my[0] liking[2] at[0] times[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is , however , enough humor , enough wit , and enough of jimmy stewart to get the movie through the middle part , which would be the most difficult . 	there is , however , enough humor , enough wit , and enough of jimmy stewart to get the movie through the middle part , which would be the most difficult .	3	-2	 there[0] is[0] however[0] enough[0] humor[2] enough[0] wit[0] and[0] enough[0] of[0] jimmy[0] stewart[0] to[0] get[0] the[0] movie[0] through[0] the[0] middle[0] part[0] which[0] would[0] be[0] the[0] most[0] difficult[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but watching it's a wonderful life is never boring or difficult : it's always interesting , right until the finale , which , for all its sugar , makes delightful sense and is beautifully done . 	but watching it's a wonderful life is never boring or difficult : it's always interesting , right until the finale , which , for all its sugar , makes delightful sense and is beautifully done .	3	-2	 but[0] watching[0] it's[0] a[0] wonderful[2] life[0] is[0] never[0] boring[-1][NegatedDueToPreviousWord] or[0] difficult[-1] it's[0] always[0] interesting[1] right[0] until[0] the[0] finale[0] which[0] for[0] all[0] its[0] sugar[0] makes[0] delightful[2] sense[0] and[0] is[0] beautifully[2] done[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
capra does have his monumental cliches , but the actors relish them and overplay everything to perfection . 	capra does have his monumental cliches , but the actors relish them and overplay everything to perfection .	2	-1	 capra[0] does[0] have[0] his[0] monumental[0] cliches[0] but[0] the[0] actors[0] relish[0] them[0] and[0] overplay[0] everything[0] to[0] perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
donna reed is perfect as the loving , obeidient wife , and lionel barrymore is gloriously grump as mr . potter . 	donna reed is perfect as the loving , obeidient wife , and lionel barrymore is gloriously grump as mr .<br> potter .	4	-1	 donna[0] reed[0] is[0] perfect[1] as[0] the[0] loving[3] obeidient[0] wife[0] and[0] lionel[0] barrymore[0] is[0] gloriously[1] grump[0] as[0] mr[0] [[Sentence=-1,4=word max, 1-5]] potter[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
everyone else is magnificent , including bert and ernie ( ward bond and frank faylen ) . 	everyone else is magnificent , including bert and ernie ( ward bond and frank faylen ) .	4	-1	 everyone[0] else[0] is[0] magnificent[3] including[0] bert[0] and[0] ernie[0] ward[0] bond[0] and[0] frank[0] faylen[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there is a general sense of goodness , as if everyone in the film knows that they are making a great film , and they relish that . 	there is a general sense of goodness , as if everyone in the film knows that they are making a great film , and they relish that .	3	-1	 there[0] is[0] a[0] general[0] sense[0] of[0] goodness[2] as[0] if[0] everyone[0] in[0] the[0] film[0] knows[0] that[0] they[0] are[0] making[0] a[0] great[2] film[0] and[0] they[0] relish[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
stewart , however , is the king of all of this . 	stewart , however , is the king of all of this .	1	-1	 stewart[0] however[0] is[0] the[0] king[0] of[0] all[0] of[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is sometimes awkward , especially when saying " merry christmas " to all objects , animate or inanimate . 	he is sometimes awkward , especially when saying " merry christmas " to all objects , animate or inanimate .	2	-1	 he[0] is[0] sometimes[0] awkward[-1][--1 LastWordBoosterStrength] especially[0] when[0] saying[0] merry[1] christmas[0] to[0] all[0] objects[0] animate[0] or[0] inanimate[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but he is james stewart , and he's lovably delightful throughout the film . 	but he is james stewart , and he's lovably delightful throughout the film .	3	-1	 but[0] he[0] is[0] james[0] stewart[0] and[0] he's[0] lovably[0] delightful[2] throughout[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
have i complained ? 	have i complained ?	1	-2	 have[0] i[0] complained[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i shouldn't have . 	i shouldn't have .	1	-1	 i[0] shouldn't[0] have[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a really good movie . 	this is a really good movie .	3	-1	 this[0] is[0] a[0] really[0] good[1][1 LastWordBoosterStrength] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
no , this is a great movie . 	no , this is a great movie .	3	-1	 no[0] this[0] is[0] a[0] great[2] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
better yet , this is a phenomenal movie . 	better yet , this is a phenomenal movie .	1	-1	 better[0] yet[0] this[0] is[0] a[0] phenomenal[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a reason classics are invented : to make sure that people will always have great movies to aid them in their quest for living life . 	there is a reason classics are invented : to make sure that people will always have great movies to aid them in their quest for living life .	3	-1	 there[0] is[0] a[0] reason[0] classics[0] are[0] invented[0] to[0] make[0] sure[0] that[0] people[0] will[0] always[0] have[0] great[2] movies[0] to[0] aid[0] them[0] in[0] their[0] quest[0] for[0] living[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is one of those films . 	this is one of those films .	1	-1	 this[0] is[0] one[0] of[0] those[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a " feel-good " movie , something people complain a little too much about . 	it is a " feel-good " movie , something people complain a little too much about .	2	-2	 it[0] is[0] a[0] feel[0] good[1] movie[0] something[0] people[0] complain[-1] a[0] little[0] too[0] much[0] about[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but capra's reworking of " a christmas carol " is the greatest christmas movie of all time . 	but capra's reworking of " a christmas carol " is the greatest christmas movie of all time .	3	-1	 but[0] capra's[0] reworking[0] of[0] a[0] christmas[0] carol[0] is[0] the[0] greatest[2] christmas[0] movie[0] of[0] all[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there , i've said it . 	there , i've said it .	1	-1	 there[0] i've[0] said[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have to admit , the first time i saw this , i saw it with my family , including my 11 year old kid sister . 	i have to admit , the first time i saw this , i saw it with my family , including my 11 year old kid sister .	1	-1	 i[0] have[0] to[0] admit[0] the[0] first[0] time[0] i[0] saw[0] this[0] i[0] saw[0] it[0] with[0] my[0] family[0] including[0] my[0] 11[0] year[0] old[0] kid[0] sister[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they all loved it . 	they all loved it .	4	-1	 they[0] all[0] loved[3] it[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
they loved george , his wife , his troubles , and the beautiful ending . 	they loved george , his wife , his troubles , and the beautiful ending .	4	-2	 they[0] loved[3] george[0] his[0] wife[0] his[0] troubles[-1] and[0] the[0] beautiful[2] ending[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
is it a little too sugar-coated ? 	is it a little too sugar-coated ?	1	-1	 is[0] it[0] a[0] little[0] too[0] sugar[0] coated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe . 	maybe .	1	-1	 maybe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no matter . 	no matter .	1	-1	 no[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a film that should be watched time and time again , with families around a coffee table , and eggnog on the plate . 	this is a film that should be watched time and time again , with families around a coffee table , and eggnog on the plate .	1	-1	 this[0] is[0] a[0] film[0] that[0] should[0] be[0] watched[0] time[0] and[0] time[0] again[0] with[0] families[0] around[0] a[0] coffee[0] table[0] and[0] eggnog[0] on[0] the[0] plate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a film that just makes you feel good about life , family , and hope . 	it is a film that just makes you feel good about life , family , and hope .	3	-1	 it[0] is[0] a[0] film[0] that[0] just[0] makes[0] you[0] feel[0] good[1] about[0] life[0] family[0] and[0] hope[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is the perfect christmas film , flaws and all . 	it is the perfect christmas film , flaws and all .	2	-1	 it[0] is[0] the[0] perfect[1] christmas[0] film[0] flaws[0] and[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is frank capra's greatest acheivement , and that really does say a lot . 	it is frank capra's greatest acheivement , and that really does say a lot .	3	-2	 it[0] is[0] frank[0] capra's[0] greatest[2] acheivement[-1] and[0] that[0] really[0] does[0] say[0] a[0] lot[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for about 121 out of 129 minutes , this movie is flawless . 	for about one to one out of 129 minutes , this movie is flawless .	2	-1	 for[0] about[0] 121[0] out[0] of[0] 129[0] minutes[0] this[0] movie[0] is[0] flawless[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the rest can be excused : no film is perfectly flawless . 	the rest can be excused : no film is perfectly flawless .	2	-1	 the[0] rest[0] can[0] be[0] excused[0] no[0] film[0] is[0] perfectly[1] flawless[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can't get over how much i love this movie , and how much you will , after watching it , digesting it , and sitting with your family , appreciating how special life really is . 	i can't get over how much i love this movie , and how much you will , after watching it , digesting it , and sitting with your family , appreciating how special life really is .	3	-1	 i[0] can't[0] get[0] over[0] how[0] much[0] i[0] love[2] this[0] movie[0] and[0] how[0] much[0] you[0] will[0] after[0] watching[0] it[0] digesting[0] it[0] and[0] sitting[0] with[0] your[0] family[0] appreciating[1] how[0] special[1] life[0] really[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
