there are certain people in the world who have some talent that very few people have , but they chose not to take advantage of this for some personal reason . 	Translation	Positive	Negative	EmotionRationale
the acting is amazing , with two oscar-nomination-worthy performances from damon and williams , who have amazing chemistry together . 	the acting is amazing , with two oscar-nomination-worthy performances from damon and williams , who have amazing chemistry together .	3	-1	 the[0] acting[0] is[0] amazing[2] with[0] two[0] oscar[0] nomination[0] worthy[0] performances[0] from[0] damon[0] and[0] williams[0] who[0] have[0] amazing[2] chemistry[0] together[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we also get some great support from stellan skarsg ? rd ( great name ) , ben affleck , and from minnie driver , who plays will's love interest , skylar . 	we also get some great support from stellan skarsg ?<br> rd ( great name ) , ben affleck , and from minnie driver , who plays will's love interest , skylar .	3	-1	 we[0] also[0] get[0] some[0] great[2][-1 LastWordBoosterStrength] support[1] from[0] stellan[0] skarsg[0] [[Sentence=-1,2=word max, 1-5]] rd[0] great[2] name[0] ben[0] affleck[0] and[0] from[0] minnie[0] driver[0] who[0] plays[1] will's[0] love[2] interest[1] skylar[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are tons of individual moments that i adored . 	there are tons of individual moments that i adored .	4	-1	 there[0] are[0] tons[0] of[0] individual[0] moments[0] that[0] i[0] adored[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i loved all the comedy in the film , especially a scene where damon proves a schmuck out of a college student who is quoting a historian to impress some chicks , his various attempts at therapy , and of course , my favorite scene in the entire film , the one where he delivers a long , exstensive rant to some nsa agents about the downside of working for them . 	i loved all the comedy in the film , especially a scene where damon proves a schmuck out of a college student who is quoting a historian to impress some chicks , his various attempts at therapy , and of course , my favorite scene in the entire film , the one where he delivers a long , exstensive rant to some nsa agents about the downside of working for them .	4	-1	 i[0] loved[3] all[0] the[0] comedy[0] in[0] the[0] film[0] especially[0] a[0] scene[0] where[0] damon[0] proves[0] a[0] schmuck[0] out[0] of[0] a[0] college[0] student[0] who[0] is[0] quoting[0] a[0] historian[0] to[0] impress[1] some[0] chicks[0] his[0] various[0] attempts[0] at[0] therapy[0] and[0] of[0] course[0] my[0] favorite[1] scene[0] in[0] the[0] entire[0] film[0] the[0] one[0] where[0] he[0] delivers[0] a[0] long[0] exstensive[0] rant[0] to[0] some[0] nsa[0] agents[0] about[0] the[0] downside[0] of[0] working[0] for[0] them[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i liked the relationship between some of the people , like will and skylar , will and sean , sean and lambeau , and will and his friends . 	i liked the relationship between some of the people , like will and skylar , will and sean , sean and lambeau , and will and his friends .	3	-1	 i[0] liked[2] the[0] relationship[0] between[0] some[0] of[0] the[0] people[0] like[1] will[0] and[0] skylar[0] will[0] and[0] sean[0] sean[0] and[0] lambeau[0] and[0] will[0] and[0] his[0] friends[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are scenes between them which are just amazing to watch . 	there are scenes between them which are just amazing to watch .	2	-1	 there[0] are[0] scenes[0] between[0] them[0] which[0] are[0] just[0] amazing[2][-1 LastWordBoosterStrength] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and there are even moments in the film which are so honest in their portrayal , that i felt rightfully uncomfortable . 	and there are even moments in the film which are so honest in their portrayal , that i felt rightfully uncomfortable .	1	-3	 and[0] there[0] are[0] even[0] moments[0] in[0] the[0] film[0] which[0] are[0] so[0] honest[0] in[0] their[0] portrayal[0] that[0] i[0] felt[0] rightfully[0] uncomfortable[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like the break-up scene between will and skylar , will and sean's first meeting , a bar scene between sean and lambeau , and a scene where sean tells in detail how he doesn't regret meeting his first wife , who would later suffer a slow , painful death , and leave him lonely and slightly bitter . 	like the break-up scene between will and skylar , will and sean's first meeting , a bar scene between sean and lambeau , and a scene where sean tells in detail how he doesn't regret meeting his first wife , who would later suffer a slow , painful death , and leave him lonely and slightly bitter .	2	-4	 like[1] the[0] break[0] up[0] scene[0] between[0] will[0] and[0] skylar[0] will[0] and[0] sean's[0] first[0] meeting[0] a[0] bar[0] scene[0] between[0] sean[0] and[0] lambeau[0] and[0] a[0] scene[0] where[0] sean[0] tells[0] in[0] detail[0] how[0] he[0] doesn't[0] regret[-1] meeting[0] his[0] first[0] wife[0] who[0] would[0] later[0] suffer[-3] a[0] slow[0] painful[-3] death[-2][-1 MultiplePositiveWords] and[0] leave[0] him[0] lonely[-1] and[0] slightly[0] bitter[-1][--1 LastWordBoosterStrength] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
however , the main flaw of the film is there's too much of everything , and not enough of it either . 	however , the main flaw of the film is there's too much of everything , and not enough of it either .	1	-2	 however[0] the[0] main[0] flaw[-1] of[0] the[0] film[0] is[0] there's[0] too[0] much[0] of[0] everything[0] and[0] not[0] enough[0] of[0] it[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film tries for deeper relations between the characters , but they're sometimes either overwritten or underwritten . 	the film tries for deeper relations between the characters , but they're sometimes either overwritten or underwritten .	1	-1	 the[0] film[0] tries[0] for[0] deeper[0] relations[0] between[0] the[0] characters[0] but[0] they're[0] sometimes[0] either[0] overwritten[0] or[0] underwritten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
take for example the relationship between sean and will : the film gets an interesting father/son as well as doctor/patient relationship going with out any problems , but when it tries to show them as equals , it falls on its face . 	take for example the relationship between sean and will : the film gets an interesting father/son as well as doctor/patient relationship going with out any problems , but when it tries to show them as equals , it falls on its face .	2	-2	 take[0] for[0] example[0] the[0] relationship[0] between[0] sean[0] and[0] will[0] the[0] film[0] gets[0] an[0] interesting[1] father/son[0] as[0] well[0] as[0] doctor/patient[0] relationship[0] going[0] with[0] out[0] any[0] problems[-1] but[0] when[0] it[0] tries[0] to[0] show[0] them[0] as[0] equals[0] it[0] falls[0] on[0] its[0] face[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we hear how they went to the same town , and there are even scenes where the film shows how hypocritical both of them are at times . 	we hear how they went to the same town , and there are even scenes where the film shows how hypocritical both of them are at times .	1	-1	 we[0] hear[0] how[0] they[0] went[0] to[0] the[0] same[0] town[0] and[0] there[0] are[0] even[0] scenes[0] where[0] the[0] film[0] shows[0] how[0] hypocritical[0] both[0] of[0] them[0] are[0] at[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but this never takes off like the other parts of their relationship do . 	but this never takes off like the other parts of their relationship do .	2	-1	 but[0] this[0] never[0] takes[0] off[0] like[1] the[0] other[0] parts[0] of[0] their[0] relationship[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , will's relationship with his best friend , chuckie ( affleck ) , has a nice climax , but not enough rising action . 	also , will's relationship with his best friend , chuckie ( affleck ) , has a nice climax , but not enough rising action .	2	-1	 also[0] will's[0] relationship[0] with[0] his[0] best[1] friend[1] chuckie[0] affleck[0] has[0] a[0] nice[1] climax[0] but[0] not[0] enough[0] rising[0] action[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we see them joking around , but when chuckie arrives at a decision between the two of them , it seems more like a superficial reasoning than a more selected one . 	we see them joking around , but when chuckie arrives at a decision between the two of them , it seems more like a superficial reasoning than a more selected one .	3	-2	 we[0] see[0] them[0] joking[2] around[0] but[0] when[0] chuckie[0] arrives[0] at[0] a[0] decision[0] between[0] the[0] two[0] of[0] them[0] it[0] seems[0] more[0] like[1] a[0] superficial[-1] reasoning[0] than[0] a[0] more[0] selected[0] one[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
their relationship never goes beyond " just best friends , " and his decision just seems to be a generalization of any two best friends instead of something more . . . human . 	their relationship never goes beyond " just best friends , " and his decision just seems to be a generalization of any two best friends instead of something more .<br> .<br> .<br> human .	2	-1	 their[0] relationship[0] never[0] goes[0] beyond[0] just[0] best[1][-1 LastWordBoosterStrength] friends[1] and[0] his[0] decision[0] just[0] seems[0] to[0] be[0] a[0] generalization[0] of[0] any[0] two[0] best[1] friends[1] instead[0] of[0] something[0] more[0] [[Sentence=-1,2=word max, 1-5]] human[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
maybe it was just me . 	maybe it was just me .	1	-1	 maybe[0] it[0] was[0] just[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it also goes for a parallelism with the relationship between sean and lambeau , but that , again , is underwritten . 	and it also goes for a parallelism with the relationship between sean and lambeau , but that , again , is underwritten .	1	-1	 and[0] it[0] also[0] goes[0] for[0] a[0] parallelism[0] with[0] the[0] relationship[0] between[0] sean[0] and[0] lambeau[0] but[0] that[0] again[0] is[0] underwritten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , of course , as in most films like this , the girl/boy relationship is pretty underwritten . 	and , of course , as in most films like this , the girl/boy relationship is pretty underwritten .	3	-1	 and[0] of[0] course[0] as[0] in[0] most[0] films[0] like[1] this[0] the[0] girl/boy[0] relationship[0] is[0] pretty[2] underwritten[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we never understand what they see in each other , so when skylar confesses that she loves him , it seems more like it's there for plot details that anything else . 	we never understand what they see in each other , so when skylar confesses that she loves him , it seems more like it's there for plot details that anything else .	3	-2	 we[0] never[0] understand[0] what[0] they[0] see[0] in[0] each[0] other[0] so[0] when[0] skylar[0] confesses[-1] that[0] she[0] loves[2] him[0] it[0] seems[0] more[0] like[1] it's[0] there[0] for[0] plot[0] details[0] that[0] anything[0] else[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
minnie driver is interesting , though , and breathes life into her character . 	minnie driver is interesting , though , and breathes life into her character .	2	-1	 minnie[0] driver[0] is[0] interesting[1] though[0] and[0] breathes[0] life[0] into[0] her[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the writing is a bit at fault here , but what makes all this worthwhile is the little moments in the film where it acheives true awesomeness . 	the writing is a bit at fault here , but what makes all this worthwhile is the little moments in the film where it acheives true awesomeness .	3	-2	 the[0] writing[0] is[0] a[0] bit[0] at[0] fault[-1] here[0] but[0] what[0] makes[0] all[0] this[0] worthwhile[1] is[0] the[0] little[0] moments[0] in[0] the[0] film[0] where[0] it[0] acheives[-1] true[1] awesomeness[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sure , it feels overstuffed , but it's extremely enjoyable . 	sure , it feels overstuffed , but it's extremely enjoyable .	5	-1	 sure[0] it[0] feels[0] overstuffed[0] but[0] it's[0] extremely[0] enjoyable[2][2 LastWordBoosterStrength] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
the dialogue that affleck and damon have written is amazingly fresh , and seems extremely human . 	the dialogue that affleck and damon have written is amazingly fresh , and seems extremely human .	3	-1	 the[0] dialogue[0] that[0] affleck[0] and[0] damon[0] have[0] written[0] is[0] amazingly[2] fresh[0] and[0] seems[0] extremely[0] human[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i think that they should get a nomination for their script chiefly because of the dialogue , which is amazing . 	i think that they should get a nomination for their script chiefly because of the dialogue , which is amazing .	3	-1	 i[0] think[0] that[0] they[0] should[0] get[0] a[0] nomination[0] for[0] their[0] script[0] chiefly[0] because[0] of[0] the[0] dialogue[0] which[0] is[0] amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while this is probably director gus van sant's most conservative film ( you'd hardly know it's the same director of " to die for , " the only van sant film i've seen , really ) , it's still a pretty remarkable film , albeit a tad overrated ( what's this " best picture " deal ? ) . 	while this is probably director gus van sant's most conservative film ( you'd hardly know it's the same director of " to die for , " the only van sant film i've seen , really ) , it's still a pretty remarkable film , albeit a tad overrated ( what's this " best picture " deal ?<br> ) .	3	-1	 while[0] this[0] is[0] probably[0] director[0] gus[0] van[0] sant's[0] most[0] conservative[0] film[0] you'd[0] hardly[0] know[0] it's[0] the[0] same[0] director[0] of[0] to[0] die[0] for[0] the[0] only[0] van[0] sant[0] film[0] i've[0] seen[0] really[0] it's[0] still[0] a[0] pretty[2] remarkable[0] film[0] albeit[0] a[0] tad[0] overrated[0] what's[0] this[0] best[1] picture[0] deal[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and if a film puts a smile on my face despite posessing a lot of flaws , i have no problem with reccomending it to anyone . 	and if a film puts a smile on my face despite posessing a lot of flaws , i have no problem with reccomending it to anyone .	3	-2	 and[0] if[0] a[0] film[0] puts[0] a[0] smile[2] on[0] my[0] face[0] despite[0] posessing[0] a[0] lot[0] of[0] flaws[0] i[0] have[0] no[0] problem[-1] with[0] reccomending[0] it[0] to[0] anyone[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
