one way of telling if a film is good or not is by the length . 	Translation	Positive	Negative	EmotionRationale
but the best thing about the excellent boogie nights is paul andersons direction and writing . 	but the best thing about the excellent boogie nights is paul andersons direction and writing .	4	-1	 but[0] the[0] best[1] thing[0] about[0] the[0] excellent[3] boogie[0] nights[0] is[0] paul[0] andersons[0] direction[0] and[0] writing[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the direction is fast , thrilling , and never holds up . 	the direction is fast , thrilling , and never holds up .	4	-1	 the[0] direction[0] is[0] fast[0] thrilling[3] and[0] never[0] holds[0] up[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
there are some great shots , some lovely steadiocam and handheld camera sequences , and lots of other neat directional touches . 	there are some great shots , some lovely steadiocam and handheld camera sequences , and lots of other neat directional touches .	2	-1	 there[0] are[0] some[0] great[2][-1 LastWordBoosterStrength] shots[0] some[0] lovely[1][-1 LastWordBoosterStrength] steadiocam[0] and[0] handheld[0] camera[0] sequences[0] and[0] lots[0] of[0] other[0] neat[0] directional[0] touches[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the writing is fabulous , with some intelligent dialogue , some funny dialogue , but none of the dialogue is crap , like most hollywood films ( such as the lost world : jurassic park ( 1997 ) , or tommorow never dies ( 1997 ) . ) 	the writing is fabulous , with some intelligent dialogue , some funny dialogue , but none of the dialogue is crap , like most hollywood films ( such as the lost world : jurassic park ( 1997 ) , or tommorow never dies ( 1997 ) .<br> )	3	-3	 the[0] writing[0] is[0] fabulous[2] with[0] some[0] intelligent[1][-1 LastWordBoosterStrength] dialogue[0] some[0] funny[1][-1 LastWordBoosterStrength] dialogue[0] but[0] none[0] of[0] the[0] dialogue[0] is[0] crap[-2] like[1] most[0] hollywood[0] films[0] such[0] as[0] the[0] lost[0] world[0] jurassic[0] park[0] 1997[0] or[0] tommorow[0] never[0] dies[0] 1997[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
boogie nights really is a spectacular feat of direction and writing , on par ( and sometimes betters ) quentin tarantino's films resevoir dogs ( 1992 ) and pulp fiction ( 1994 ) 	boogie nights really is a spectacular feat of direction and writing , on par ( and sometimes betters ) quentin tarantino's films resevoir dogs ( 1992 ) and pulp fiction ( 1994 )	1	-1	 boogie[0] nights[0] really[0] is[0] a[0] spectacular[0] feat[0] of[0] direction[0] and[0] writing[0] on[0] par[0] and[0] sometimes[0] betters[0] quentin[0] tarantino's[0] films[0] resevoir[0] dogs[0] 1992[0] and[0] pulp[0] fiction[0] 1994[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the soundtrack is also excellent . 	the soundtrack is also excellent .	4	-1	 the[0] soundtrack[0] is[0] also[0] excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
like american graffiti ( 1973 ) , the film features some great old songs on the soundtrack , which heightens the atmosphere , and gives the film an extra lift . 	like american graffiti ( 1973 ) , the film features some great old songs on the soundtrack , which heightens the atmosphere , and gives the film an extra lift .	2	-1	 like[1] american[0] graffiti[0] 1973[0] the[0] film[0] features[0] some[0] great[2][-1 LastWordBoosterStrength] old[0] songs[0] on[0] the[0] soundtrack[0] which[0] heightens[0] the[0] atmosphere[0] and[0] gives[0] the[0] film[0] an[0] extra[0] lift[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
also , the costumes are great . 	also , the costumes are great .	3	-1	 also[0] the[0] costumes[0] are[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the clothes really do look like what people wore in the seventies and eighties . 	the clothes really do look like what people wore in the seventies and eighties .	2	-1	 the[0] clothes[0] really[0] do[0] look[0] like[1] what[0] people[0] wore[0] in[0] the[0] seventies[0] and[0] eighties[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film , although excellent , does have some flaws . 	the film , although excellent , does have some flaws .	4	-1	 the[0] film[0] although[0] excellent[3] does[0] have[0] some[0] flaws[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
firstly , wahlberg , although excellent , cannot do highly scenes which require him to be angry . 	firstly , wahlberg , although excellent , cannot do highly scenes which require him to be angry .	4	-4	 firstly[0] wahlberg[0] although[0] excellent[3] cannot[0] do[0] highly[0] scenes[0] which[0] require[0] him[0] to[0] be[0] angry[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
in both scenes where he has to act angry , his acting is so 'off' , the scenes tension and anger is lost . 	in both scenes where he has to act angry , his acting is so 'off' , the scenes tension and anger is lost .	1	-4	 in[0] both[0] scenes[0] where[0] he[0] has[0] to[0] act[0] angry[-3] his[0] acting[0] is[0] so[0] 'off'[0] the[0] scenes[0] tension[-2] and[0] anger[-3] is[0] lost[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but the rest of the cast are excellent . 	but the rest of the cast are excellent .	4	-1	 but[0] the[0] rest[0] of[0] the[0] cast[0] are[0] excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
burt reynolds is brilliant , julianne moore shows real emotion , and william h . macy is great aswell ( but he always is . ) 	burt reynolds is brilliant , julianne more shows real emotion , and william h .<br> macy is great aswell ( but he always is .<br> )	3	-1	 burt[0] reynolds[0] is[0] brilliant[1] julianne[0] moore/more[0] shows[0] real[0] emotion[0] and[0] william[0] h[0] [[Sentence=-1,2=word max, 1-5]] macy[0] is[0] great[2] aswell[0] but[0] he[0] always[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
another flaw with the film , though , is that the ending seems a bit tacked on . 	another flaw with the film , though , is that the ending seems a bit tacked on .	1	-2	 another[0] flaw[-1] with[0] the[0] film[0] though[0] is[0] that[0] the[0] ending[0] seems[0] a[0] bit[0] tacked[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it seems anderson saw the film was going on a bit , and needed to wrap up quickly . 	it seems anderson saw the film was going on a bit , and needed to wrap up quickly .	1	-1	 it[0] seems[0] anderson[0] saw[0] the[0] film[0] was[0] going[0] on[0] a[0] bit[0] and[0] needed[0] to[0] wrap[0] up[0] quickly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a shame , really , as the rest of the film is perfectly paced . 	it's a shame , really , as the rest of the film is perfectly paced .	2	-3	 it's[0] a[0] shame[-2] really[0] as[0] the[0] rest[0] of[0] the[0] film[0] is[0] perfectly[1] paced[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but they're small niggles really . 	but they're small niggles really .	1	-1	 but[0] they're[0] small[0] niggles[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boogie nights is an excellent film . 	boogie nights is an excellent film .	4	-1	 boogie[0] nights[0] is[0] an[0] excellent[3] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
superb directing , writing , acting and music , all combine to make one spectacular film . 	superb directing , writing , acting and music , all combine to make one spectacular film .	1	-1	 superb[0] directing[0] writing[0] acting[0] and[0] music[0] all[0] combine[0] to[0] make[0] one[0] spectacular[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whatever you do , do not miss out on boogie nights . 	whatever you do , do not miss out on boogie nights .	2	-1	 whatever[0] you[0] do[0] do[0] not[0] miss[-1][NegatedDueToPreviousWord] out[0] on[0] boogie[0] nights[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
