whew . this film oozes energy , the kind of breakneck , no- holds-barred , in-your-face risk-taking filmmaking that is seldom seen on screen these days . 	Translation	Positive	Negative	EmotionRationale
you'll even find characters peering into the camera , their faces smeared across the wide-angle lens . 	you'll even find characters peering into the camera , their faces smeared across the wide-angle lens .	1	-2	 you'll[0] even[0] find[0] characters[0] peering[0] into[0] the[0] camera[0] their[0] faces[0] smeared[-1] across[0] the[0] wide[0] angle[0] lens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film camera is just another one of the guys . 	this film camera is just another one of the guys .	1	-1	 this[0] film[0] camera[0] is[0] just[0] another[0] one[0] of[0] the[0] guys[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tiptoeing that indistinguishable line between fantasy and reality , boyle employs a healthy dose of surrealism to get the message across . 	tiptoeing that indistinguishable line between fantasy and reality , boyle employs a healthy dose of surrealism to get the message across .	1	-1	 tiptoeing[0] that[0] indistinguishable[0] line[0] between[0] fantasy[0] and[0] reality[0] boyle[0] employs[0] a[0] healthy[0] dose[0] of[0] surrealism[0] to[0] get[0] the[0] message[0] across[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bored kids daydream and bored kids deprived of a heroin fix have nightmares . 	bored kids daydream and bored kids deprived of a heroin fix have nightmares .	3	-2	 bored[-1] kids[0] daydream[0] and[0] bored[-1] kids[0] deprived[-1] of[0] a[0] heroin[2] fix[0] have[0] nightmares[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i don't want to give too much away , but if you cross chuckie from child's play with some of the wacky fantasies in heavenly creatures , you might have an idea just how fun or pants-wetting scary the alternate state of consciouness can be . 	i don't want to give too much away , but if you cross chuckie from child's play with some of the wacky fantasies in heavenly creatures , you might have an idea just how fun or pants-wetting scary the alternate state of consciouness can be .	2	-4	 i[0] don't[0] want[0] to[0] give[0] too[0] much[0] away[0] but[0] if[0] you[0] cross[-1] chuckie[0] from[0] child's[0] play[0] with[0] some[0] of[0] the[0] wacky[0] fantasies[0] in[0] heavenly[1] creatures[0] you[0] might[0] have[0] an[0] idea[0] just[0] how[0] fun[1] or[0] pants[0] wetting[0] scary[-3] the[0] alternate[0] state[0] of[0] consciouness[0] can[0] be[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
that said , this film has a good share of drugs - consumed , vomitted , defecated , pissed off , exchanged , bought , sold , injected , smuggled , enjoyed and regretted . 	that said , this film has a good share of drugs - consumed , vomited , defecated , pissed off , exchanged , bought , sold , injected , smuggled , enjoyed and regretted .	3	-3	 that[0] said[0] this[0] film[0] has[0] a[0] good[1] share[0] of[0] drugs[0] consumed[0] vomitted/vomited[-2] defecated[0] pissed[-2] off[0] exchanged[0] bought[0] sold[0] injected[0] smuggled[-1] enjoyed[2] and[0] regretted[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
if that isn't your cup of tea , nobody forced you to see the film . 	if that isn't your cup of tea , nobody forced you to see the film .	1	-1	 if[0] that[0] isn't[0] your[0] cup[0] of[0] tea[0] nobody[0] forced[0] you[0] to[0] see[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stay at home and rent up close and personal . 	stay at home and rent up close and personal .	1	-1	 stay[0] at[0] home[0] and[0] rent[0] up[0] close[0] and[0] personal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what's a buzz without tunes . 	and what's a buz without tunes .	1	-1	 and[0] what's[0] a[0] buzz/buz[0] without[0] tunes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from pulp to iggy pop ( yes , he's still alive ) , the aural landscape is as engaging as the visual energy permeating the film . 	from pulp to iggy pop ( yes , he's still alive ) , the aural landscape is as engaging as the visual energy permeating the film .	1	-1	 from[0] pulp[0] to[0] iggy[0] pop[0] yes[0] he's[0] still[0] alive[0] the[0] aural[0] landscape[0] is[0] as[0] engaging[0] as[0] the[0] visual[0] energy[0] permeating[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
good and bad vibrations tangle like the conflicting desires and values of the message . 	good and bad vibrations tangle like the conflicting desires and values of the message .	2	-2	 good[1] and[0] bad[-1] vibrations[0] tangle[0] like[1] the[0] conflicting[-1] desires[0] and[0] values[1] of[0] the[0] message[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
every once in a while , a film comes along with the kind of energetic filmmaking that matches the intensity of its characters it hopes to depict . 	every once in a while , a film comes along with the kind of energetic filmmaking that matches the intensity of its characters it hopes to depict .	2	-1	 every[0] once[0] in[0] a[0] while[0] a[0] film[0] comes[0] along[0] with[0] the[0] kind[1] of[0] energetic[0] filmmaking[0] that[0] matches[0] the[0] intensity[0] of[0] its[0] characters[0] it[0] hopes[1] to[0] depict[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
trainspotting is that shooting star that burns across a sky littered with static constellations . 	trainspotting is that shooting star that burns across a sky littered with static constellations .	1	-2	 trainspotting[0] is[0] that[0] shooting[-1] star[0] that[0] burns[-1] across[0] a[0] sky[0] littered[-1] with[0] static[-1] constellations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dom is a part-time filmmaker who graduated from northwestern university's radio/tv/film programme not too long ago . 	dom is a part-time filmmaker who graduated from northwestern university's radio/tv/film programme not too long ago .	1	-1	 dom[0] is[0] a[0] part[0] time[0] filmmaker[0] who[0] graduated[0] from[0] northwestern[0] university's[0] radio/tv/film[0] programme[0] not[0] too[0] long[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has laboured on various music videos and short films in and around campus and chicago . 	he has laboured on various music videos and short films in and around campus and chicago .	1	-1	 he[0] has[0] laboured[0] on[0] various[0] music[0] videos[0] and[0] short[0] films[0] in[0] and[0] around[0] campus[0] and[0] chicago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nowhere town , a 26min short film that he shot , co-directed and co-produced recently scooped up the grand jury prize at the charleston international film festival for best student production . 	nowhere town , a 26min short film that he shot , co-directed and co-produced recently scooped up the grand jury prize at the charleston international film festival for best student production .	3	-2	 nowhere[0] town[0] a[0] 26min[0] short[0] film[0] that[0] he[0] shot[-1] co[0] directed[0] and[0] co[0] produced[0] recently[0] scooped[0] up[0] the[0] grand[1] jury[0] prize[2] at[0] the[0] charleston[0] international[0] film[0] festival[0] for[0] best[1] student[0] production[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he is currently finishing a couple of small projects . 	he is currently finishing a couple of small projects .	1	-1	 he[0] is[0] currently[0] finishing[0] a[0] couple[0] of[0] small[0] projects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with his minute amounts of leisure time , dom does nell impersonations . 	with his minute amounts of leisure time , dom does nell impersonations .	1	-1	 with[0] his[0] minute[0] amounts[0] of[0] leisure[0] time[0] dom[0] does[0] nell[0] impersonations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
