october sky is a rare oddity in cinema : a self-proclaimed " uplifting " film that is actually uplifting ! 	Translation	Positive	Negative	EmotionRationale
nearly every sequence flirts with becoming syrupy and cliched . 	nearly every sequence flirts with becoming syrupy and cliched .	2	-1	 nearly[0] every[0] sequence[0] flirts[1] with[0] becoming[0] syrupy[0] and[0] cliched[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , miraculously , october sky avoids nearly all of these pitfalls , making the exact right moves at the exact right times . 	however , miraculously , october sky avoids nearly all of these pitfalls , making the exact right moves at the exact right times .	1	-2	 however[0] miraculously[0] october[0] sky[0] avoids[-1] nearly[0] all[0] of[0] these[0] pitfalls[0] making[0] the[0] exact[0] right[0] moves[0] at[0] the[0] exact[0] right[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a film emerges which manages to be powerful and moving without slipping into the gauzy haze of nostalgia or sliding down the sugarry slope of sappiness . 	a film emerges which manages to be powerful and moving without slipping into the gauzy haze of nostalgia or sliding down the sugary slope of sappiness .	1	-1	 a[0] film[0] emerges[0] which[0] manages[0] to[0] be[0] powerful[0] and[0] moving[0] without[0] slipping[0] into[0] the[0] gauzy[0] haze[0] of[0] nostalgia[0] or[0] sliding[0] down[0] the[0] sugarry/sugary[0] slope[0] of[0] sappiness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jake gyllenhaal is outstanding as the kid at the center of this film . 	jake gyllenhal is outstanding as the kid at the center of this film .	3	-1	 jake[0] gyllenhaal/gyllenhal[0] is[0] outstanding[2] as[0] the[0] kid[0] at[0] the[0] center[0] of[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 from the outset of the film , he is immediately likable , and never seems too corny or brainy as to alienate the audience . 	 from the outset of the film , he is immediately likable , and never seems too corny or brainy as to alienate the audience .	1	-2	 from[0] the[0] outset[0] of[0] the[0] film[0] he[0] is[0] immediately[0] likable[0] and[0] never[0] seems[0] too[0] corny[0] or[0] brainy[0] as[0] to[0] alienate[-1] the[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , while october sky focuses on homer , the other three kids get the short end of the stick . 	unfortunately , while october sky focuses on homer , the other three kids get the short end of the stick .	1	-2	 unfortunately[-1] while[0] october[0] sky[0] focuses[0] on[0] homer[0] the[0] other[0] three[0] kids[0] get[0] the[0] short[0] end[0] of[0] the[0] stick[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they remain little more than placeholders reading " insert friend here " . 	they remain little more than placeholders reading " insert friend here " .	2	-1	 they[0] remain[0] little[0] more[0] than[0] placeholders[0] reading[0] insert[0] friend[1] here[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of the adults in the film , chris cooper is the most fully realized character . 	of the adults in the film , chris cooper is the most fully realized character .	1	-1	 of[0] the[0] adults[0] in[0] the[0] film[0] chris[0] cooper[0] is[0] the[0] most[0] fully[0] realized[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film never paints him as merely the villainous parent standing in the way of his child's dreams , but , instead , shows the multihued portrait of a man who wants the best for his family and town , but is too stubborn to realize what that is . 	the film never paints him as merely the villainous parent standing in the way of his child's dreams , but , instead , shows the multihued portrait of a man who wants the best for his family and town , but is too stubborn to realize what that is .	2	-3	 the[0] film[0] never[0] paints[0] him[0] as[0] merely[0] the[0] villainous[-2] parent[0] standing[0] in[0] the[0] way[0] of[0] his[0] child's[0] dreams[0] but[0] instead[0] shows[0] the[0] multihued[0] portrait[0] of[0] a[0] man[0] who[0] wants[0] the[0] best[1] for[0] his[0] family[0] and[0] town[0] but[0] is[0] too[0] stubborn[-2] to[0] realize[0] what[0] that[0] is[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
director joe johnson deserves much credit for successfully navigating the many obstacles that october sky manages to dodge . 	director joe johnson deserves much credit for successfully navigating the many obstacles that october sky manages to dodge .	3	-2	 director[0] joe[0] johnson[0] deserves[0] much[0] credit[0] for[0] successfully[2] navigating[0] the[0] many[0] obstacles[-1] that[0] october[0] sky[0] manages[0] to[0] dodge[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , there are still a few occasions when he allows things to proceed just a step too far . 	however , there are still a few occasions when he allows things to proceed just a step too far .	1	-1	 however[0] there[0] are[0] still[0] a[0] few[0] occasions[0] when[0] he[0] allows[0] things[0] to[0] proceed[0] just[0] a[0] step[0] too[0] far[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scenes which were natural and inspiring start to become contrived and artificial . 	scenes which were natural and inspiring start to become contrived and artificial .	3	-1	 scenes[0] which[0] were[0] natural[0] and[0] inspiring[2] start[0] to[0] become[0] contrived[0] and[0] artificial[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , these lapses are minimal , and johnson quickly steers the movie back on course . 	however , these lapses are minimal , and johnson quickly steers the movie back on course .	1	-1	 however[0] these[0] lapses[0] are[0] minimal[0] and[0] johnson[0] quickly[0] steers[0] the[0] movie[0] back[0] on[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problem with many so-called " uplifting " films is that they attempt to force their mediciney goodness down your throat . 	the problem with many so-called " uplifting " films is that they attempt to force their mediciney goodness down your throat .	3	-2	 the[0] problem[-1] with[0] many[0] so[0] called[0] uplifting[0] films[0] is[0] that[0] they[0] attempt[0] to[0] force[-1] their[0] mediciney[0] goodness[2] down[0] your[0] throat[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
october sky never resorts to that level , and yet , manages to become a truly uplifting film purely on its own merits . 	october sky never resorts to that level , and yet , manages to become a truly uplifting film purely on its own merits .	2	-1	 october[0] sky[0] never[0] resorts[0] to[0] that[0] level[0] and[0] yet[0] manages[0] to[0] become[0] a[0] truly[1] uplifting[0] film[0] purely[0] on[0] its[0] own[0] merits[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
