gere , willis , poitier chase each other around the world 	Translation	Positive	Negative	EmotionRationale
coming to their rescue is former ira operative declan mulqueen ( richard gere ) who is temporarily released from prison to assist fbi agent carter preston ( sidney poitier ) and russian major valentina koslova ( diane venora ) . 	coming to their rescue is former ira operative declan mulqueen ( richard gere ) who is temporarily released from prison to assist fbi agent carter preston ( sidney poitier ) and russian major valentina koslova ( diane venora ) .	1	-2	 coming[0] to[0] their[0] rescue[0] is[0] former[0] ira[0] operative[0] declan[0] mulqueen[0] richard[0] gere[0] who[0] is[0] temporarily[-1] released[0] from[0] prison[-1] to[0] assist[0] fbi[0] agent[0] carter[0] preston[0] sidney[0] poitier[0] and[0] russian[0] major[0] valentina[0] koslova[0] diane[0] venora[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mulqueen's ex-girlfriend basque terrorist isabella ( mathilda may ) is the only person who has seen the elusive jackal . 	mulqueen's ex-girlfriend basque terrorist isabella ( mathilda may ) is the only person who has seen the elusive jackal .	1	-3	 mulqueen's[0] ex[0] girlfriend[0] basque[0] terrorist[-2] isabella[0] mathilda[0] may[0] is[0] the[0] only[0] person[0] who[0] has[0] seen[0] the[0] elusive[0] jackal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( presumably there is an exclusive international terrorist club somewhere where the three met . ) 	 ( presumably there is an exclusive international terrorist club somewhere where the three met .<br> )	1	-3	 presumably[0] there[0] is[0] an[0] exclusive[0] international[0] terrorist[-2] club[0] somewhere[0] where[0] the[0] three[0] met[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film follows two parallel tracks as the jackal prepares for his  70 million hit and mulqueen attempts to locate him while preston makes sure that the irishman doesn't slip away . 	the film follows two parallel tracks as the jackal prepares for his  70 million hit and mulqueen attempts to locate him while preston makes sure that the irishman doesn't slip away .	1	-1	 the[0] film[0] follows[0] two[0] parallel[0] tracks[0] as[0] the[0] jackal[0] prepares[0] for[0] his[0] 70[0] million[0] hit[0] and[0] mulqueen[0] attempts[0] to[0] locate[0] him[0] while[0] preston[0] makes[0] sure[0] that[0] the[0] irishman[0] doesn't[0] slip[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
crossing numerous borders and donning various disguises for both himself and his mini-van , the killer is always one step ahead of his pursuers . 	crossing numerous borders and donning various disguises for both himself and his mini-van , the killer is always one step ahead of his pursuers .	1	-2	 crossing[0] numerous[0] borders[0] and[0] donning[0] various[0] disguises[0] for[0] both[0] himself[0] and[0] his[0] mini[0] van[0] the[0] killer[-1] is[0] always[0] one[0] step[0] ahead[0] of[0] his[0] pursuers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
being very loosely based on the same book the 1973 thriller " the day of the jackal " , comparison between the two films is inevitable . 	being very loosely based on the same book the 1973 thriller " the day of the jackal " , comparison between the two films is inevitable .	2	-1	 being[0] very[0] loosely[0] based[0] on[0] the[0] same[0] book[0] the[0] 1973[0] thriller[1] the[0] day[0] of[0] the[0] jackal[0] comparison[0] between[0] the[0] two[0] films[0] is[0] inevitable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is no doubt that the original is the better movie , playing the story for suspense rather than the current action/adventure . 	there is no doubt that the original is the better movie , playing the story for suspense rather than the current action/adventure .	2	-2	 there[0] is[0] no[0] doubt[-1] that[0] the[0] original[0] is[0] the[0] better[0] movie[0] playing[1] the[0] story[0] for[0] suspense[0] rather[0] than[0] the[0] current[0] action/adventure[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as a mystery , " the jackal " has enough holes in it to ruin the tale , but if you can accept it for what it is , there's entertainment to be had . 	as a mystery , " the jackal " has enough holes in it to ruin the tale , but if you can accept it for what it is , there's entertainment to be had .	1	-2	 as[0] a[0] mystery[0] the[0] jackal[0] has[0] enough[0] holes[0] in[0] it[0] to[0] ruin[-1] the[0] tale[0] but[0] if[0] you[0] can[0] accept[0] it[0] for[0] what[0] it[0] is[0] there's[0] entertainment[0] to[0] be[0] had[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
holes ? let's see ? a pivotal clue for mulqueen is so obscure that he must possess psychic powers to pick it up . 	holes ?<br> let's see ?<br> a pivotal clue for mulqueen is so obscure that he must possess psychic powers to pick it up .	1	-1	 holes[0] [[Sentence=-1,1=word max, 1-5]] let's[0] see[0] [[Sentence=-1,1=word max, 1-5]] a[0] pivotal[0] clue[0] for[0] mulqueen[0] is[0] so[0] obscure[0] that[0] he[0] must[0] possess[0] psychic[0] powers[0] to[0] pick[0] it[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a 20-year veteran that can command the big bucks , the jackal is an incredibly poor shot . 	for a 20-year veteran that can command the big bucks , the jackal is an incredibly poor shot .	1	-4	 for[0] a[0] 20[0] year[0] veteran[0] that[0] can[0] command[0] the[0] big[0] bucks[0] the[0] jackal[0] is[0] an[0] incredibly[0] poor[-1][-2 LastWordBoosterStrength] shot[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the final scene between gere and willis occurs in a location that should be mobbed with police , but it's just the two of them . 	the final scene between gere and willis occurs in a location that should be mobbed with police , but it's just the two of them .	1	-1	 the[0] final[0] scene[0] between[0] gere[0] and[0] willis[0] occurs[0] in[0] a[0] location[0] that[0] should[0] be[0] mobbed[0] with[0] police[0] but[0] it's[0] just[0] the[0] two[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
willis' disguises usually look like bruce willis and are just as interesting as val kilmer's in " the saint " . 	willis' disguises usually look like bruce willis and are just as interesting as val kilmer's in " the saint " .	2	-1	 willis'[0] disguises[0] usually[0] look[0] like[1] bruce[0] willis[0] and[0] are[0] just[0] as[0] interesting[1] as[0] val[0] kilmer's[0] in[0] the[0] saint[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( and lest you misunderstand , that's not a compliment . ) 	 ( and lest you misunderstand , that's not a compliment .<br> )	1	-2	 and[0] lest[0] you[0] misunderstand[-1] that's[0] not[0] a[0] compliment[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the three stars are fun to watch . 	but the three stars are fun to watch .	2	-1	 but[0] the[0] three[0] stars[0] are[0] fun[1] to[0] watch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's good to see gere in something other than a business suit . 	it's good to see gere in something other than a business suit .	2	-1	 it's[0] good[1] to[0] see[0] gere[0] in[0] something[0] other[0] than[0] a[0] business[0] suit[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
willis has a mixed history in picking projects , but his characters are always watchable . 	willis has a mixed history in picking projects , but his characters are always watchable .	1	-1	 willis[0] has[0] a[0] mixed[0] history[0] in[0] picking[0] projects[0] but[0] his[0] characters[0] are[0] always[0] watchable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
poitier is by far the superior actor , but has limited screen time . 	poitier is by far the superior actor , but has limited screen time .	3	-1	 poitier[0] is[0] by[0] far[0] the[0] superior[2] actor[0] but[0] has[0] limited[0] screen[0] time[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the problems in logic are flaws , but don't ruin the experience . 	the problems in logic are flaws , but don't ruin the experience .	2	-2	 the[0] problems[-1] in[0] logic[0] are[0] flaws[0] but[0] don't[0] ruin[-1][NegatedDueToPreviousWord] the[0] experience[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
occasionally there are movies that transcend their blemishes . 	occasionally there are movies that transcend their blemishes .	1	-2	 occasionally[0] there[0] are[0] movies[0] that[0] transcend[0] their[0] blemishes[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is one of them . 	this is one of them .	1	-1	 this[0] is[0] one[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[the appeared in the 11/20/97 " bloomington voice " , bloomington , indiana] 	[the appeared in the 11/20/97 " bloomington voice " , bloomington , indiana]	1	-1	 [the[0] appeared[0] in[0] the[0] 11/20/97[0] bloomington[0] voice[0] bloomington[0] indiana][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
