[note : after claiming otherwise , my appetite was indeed whetted by kenneth branagh's hamlet to search out other attempts to translate shakespeare to film in hopes of finding a better mousetrap . 	Translation	Positive	Negative	EmotionRationale
in this italian master's hands , romance is everywhere -- in a son's worship of his father , in the bonds of deepest friendship , in the private thoughts of young lovers , even in the mystery of castles by the sea . 	in this italian master's hands , romance is everywhere - in a son's worship of his father , in the bonds of deepest friendship , in the private thoughts of young lovers , even in the mystery of castles by the sea .	4	-1	 in[0] this[0] italian[0] master's[0] hands[0] romance[3] is[0] everywhere[0] in[0] a[0] son's[0] worship[1] of[0] his[0] father[0] in[0] the[0] bonds[0] of[0] deepest[0] friendship[1] in[0] the[0] private[0] thoughts[0] of[0] young[0] lovers[3] even[0] in[0] the[0] mystery[0] of[0] castles[0] by[0] the[0] sea[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
after all , the story hinges on a ghost , and what could be more romantic than that ? 	after all , the story hinges on a ghost , and what could be more romantic than that ?	4	-1	 after[0] all[0] the[0] story[0] hinges[0] on[0] a[0] ghost[0] and[0] what[0] could[0] be[0] more[0] romantic[3] than[0] that[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
what seemed like a cheap way to sell tickets at the time turned out to be one of the most romantic gestures of all , namely , hiring then-reigning hollywood hunk mel gibson to play the lead . 	what seemed like a cheap way to sell tickets at the time turned out to be one of the most romantic gestures of all , namely , hiring then-reigning hollywood hunk mel gibson to play the lead .	4	-2	 what[0] seemed[0] like[1] a[0] cheap[-1] way[0] to[0] sell[0] tickets[0] at[0] the[0] time[0] turned[0] out[0] to[0] be[0] one[0] of[0] the[0] most[0] romantic[3] gestures[0] of[0] all[0] namely[0] hiring[0] then[0] reigning[0] hollywood[0] hunk[0] mel[0] gibson[0] to[0] play[0] the[0] lead[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
who could believe that the man who made his mark playing mad max and a " lethal weapon " ( in the series of the same name ) would have the skill to succeed in the most famous role in the english language ? 	who could believe that the man who made his mark playing mad max and a " lethal weapon " ( in the series of the same name ) would have the skill to succeed in the most famous role in the english language ?	3	-2	 who[0] could[0] believe[0] that[0] the[0] man[0] who[0] made[0] his[0] mark[0] playing[1] mad[-1] max[0] and[0] a[0] lethal[0] weapon[-1] in[0] the[0] series[0] of[0] the[0] same[0] name[0] would[0] have[0] the[0] skill[0] to[0] succeed[2] in[0] the[0] most[0] famous[0] role[0] in[0] the[0] english[0] language[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
franco zeffirelli , that's who . 	franco zeffirelli , that's who .	1	-1	 franco[0] zeffirelli[0] that's[0] who[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it is apparent in every frame that his instinct was right on the money . 	and it is apparent in every frame that his instinct was right on the money .	1	-1	 and[0] it[0] is[0] apparent[0] in[0] every[0] frame[0] that[0] his[0] instinct[0] was[0] right[0] on[0] the[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what gibson brings to the role is a naturalness and ease which makes the whole story meaningful , not to mention comprehensible . 	what gibson brings to the role is a naturalness and ease which makes the whole story meaningful , not to mention comprehensible .	1	-1	 what[0] gibson[0] brings[0] to[0] the[0] role[0] is[0] a[0] naturalness[0] and[0] ease[0] which[0] makes[0] the[0] whole[0] story[0] meaningful[0] not[0] to[0] mention[0] comprehensible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his line readings sound spontaneous rather than rehearsed . 	his line readings sound spontaneous rather than rehearsed .	1	-1	 his[0] line[0] readings[0] sound[0] spontaneous[0] rather[0] than[0] rehearsed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his movements and gestures ( excepting his sometimes too active eyes ) are totally in keeping with the character . 	his movements and gestures ( excepting his sometimes too active eyes ) are totally in keeping with the character .	1	-1	 his[0] movements[0] and[0] gestures[0] excepting[0] his[0] sometimes[0] too[0] active[0] eyes[0] are[0] totally[0] in[0] keeping[0] with[0] the[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a hamlet whose pain we feel , whose struggle we empathize with , and whose death we mourn as sincerely as horatio at film's end . 	this is a hamlet whose pain we feel , whose struggle we empathize with , and whose death we mourn as sincerely as horatio at film's end .	1	-4	 this[0] is[0] a[0] hamlet[0] whose[0] pain[-3] we[0] feel[0] whose[0] struggle[-1] we[0] empathize[0] with[0] and[0] whose[0] death[-2] we[0] mourn[-2] as[0] sincerely[0] as[0] horatio[0] at[0] film's[0] end[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
glenn close , the other big name in the production , also does well by the script and satisfies as hamlet's mother , gertrude -- though i must confess i'm still trying to understand the character as written . 	glen close , the other big name in the production , also does well by the script and satisfies as hamlet's mother , gertrude - though i must confess i'm still trying to understand the character as written .	2	-2	 glenn/glen[0] close[0] the[0] other[0] big[0] name[0] in[0] the[0] production[0] also[0] does[0] well[0] by[0] the[0] script[0] and[0] satisfies[1] as[0] hamlet's[0] mother[0] gertrude[0] though[0] i[0] must[0] confess[-1] i'm[0] still[0] trying[0] to[0] understand[0] the[0] character[0] as[0] written[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( zeffirelli's incestuous interpretation of hamlet's relationship with his mother doesn't help . ) 	 ( zeffirelli's incestuous interpretation of hamlet's relationship with his mother doesn't help .<br> )	1	-1	 zeffirelli's[0] incestuous[0] interpretation[0] of[0] hamlet's[0] relationship[0] with[0] his[0] mother[0] doesn't[0] help[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alan bates makes a believably evil claudius without resorting to the mannerisms of a hollywood heavy . 	alan bates makes a believably evil claudius without resorting to the mannerisms of a hollywood heavy .	1	-3	 alan[0] bates[0] makes[0] a[0] believably[0] evil[-2] claudius[0] without[0] resorting[0] to[0] the[0] mannerisms[0] of[0] a[0] hollywood[0] heavy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by and large the rest of the cast performs admirably and comfortably . 	by and large the rest of the cast performs admirably and comfortably .	3	-1	 by[0] and[0] large[0] the[0] rest[0] of[0] the[0] cast[0] performs[0] admirably[2] and[0] comfortably[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
of special note are the cinematography by david watkin and the score by ennio morricone . 	of special note are the cinematography by david watkin and the score by ennio morricone .	2	-1	 of[0] special[1] note[0] are[0] the[0] cinematography[0] by[0] david[0] watkin[0] and[0] the[0] score[0] by[0] ennio[0] morricone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
both support the realistic mood marvelously ( as do the sets and costumes ) , without any overstated effects that declare " this is important ; this is shakespeare ! " 	both support the realistic mood marvelously ( as do the sets and costumes ) , without any overstated effects that declare " this is important ; this is shakespeare !<br> "	2	-1	 both[0] support[1] the[0] realistic[0] mood[0] marvelously[0] as[0] do[0] the[0] sets[0] and[0] costumes[0] without[0] any[0] overstated[0] effects[0] that[0] declare[0] this[0] is[0] important[0] this[0] is[0] shakespeare[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i particularly appreciate that the words are often spoken without any music at all : the melody of a wonderfully wrought phrase is given its due . 	i particularly appreciate that the words are often spoken without any music at all : the melody of a wonderfully wrought phrase is given its due .	3	-1	 i[0] particularly[0] appreciate[1] that[0] the[0] words[0] are[0] often[0] spoken[0] without[0] any[0] music[0] at[0] all[0] the[0] melody[0] of[0] a[0] wonderfully[2] wrought[0] phrase[0] is[0] given[0] its[0] due[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
perhaps it is difficult to call edited shakespeare " definitive . " 	perhaps it is difficult to call edited shakespeare " definitive .<br> "	1	-2	 perhaps[0] it[0] is[0] difficult[-1] to[0] call[0] edited[0] shakespeare[0] definitive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and there are certainly quite a few other filmed versions of hamlet that i have not seen . 	and there are certainly quite a few other filmed versions of hamlet that i have not seen .	1	-1	 and[0] there[0] are[0] certainly[0] quite[0] a[0] few[0] other[0] filmed[0] versions[0] of[0] hamlet[0] that[0] i[0] have[0] not[0] seen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but if you've ever felt the urge to overcome your fear of the bard , this hamlet is an excellent place to start . 	but if you've ever felt the urge to overcome your fear of the bard , this hamlet is an excellent place to start .	4	-4	 but[0] if[0] you've[0] ever[0] felt[0] the[0] urge[0] to[0] overcome[0] your[0] fear[-3] of[0] the[0] bard[0] this[0] hamlet[0] is[0] an[0] excellent[3] place[0] to[0] start[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
