call it touched by a demon . 	Translation	Positive	Negative	EmotionRationale
this is the kind of setting where it's easy to believe that fallen angels walk among men . 	this is the kind of setting where it's easy to believe that fallen angels walk among men .	2	-1	 this[0] is[0] the[0] kind[1] of[0] setting[0] where[0] it's[0] easy[0] to[0] believe[0] that[0] fallen[0] angels[0] walk[0] among[0] men[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fallen's plot is brimming with potential , not all of which is realized . 	fallen's plot is brimming with potential , not all of which is realized .	1	-1	 fallen's[0] plot[0] is[0] brimming[0] with[0] potential[0] not[0] all[0] of[0] which[0] is[0] realized[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
somehow , i would have expected a more frightening tale to emerge from something with this kind of premise . 	somehow , i would have expected a more frightening tale to emerge from something with this kind of premise .	2	-4	 somehow[0] i[0] would[0] have[0] expected[0] a[0] more[0] frightening[-3] tale[0] to[0] emerge[0] from[0] something[0] with[0] this[0] kind[1] of[0] premise[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but the level of terror , like that of gore , is kept in check . 	but the level of terror , like that of gore , is kept in check .	2	-2	 but[0] the[0] level[0] of[0] terror[-1] like[1] that[0] of[0] gore[0] is[0] kept[0] in[0] check[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nevertheless , there are several creepily effective scenes as the spirit of azazel moves from body to body when people bump against each other on crowded city sidewalks . 	nevertheless , there are several creepily effective scenes as the spirit of azazel moves from body to body when people bump against each other on crowded city sidewalks .	1	-2	 nevertheless[0] there[0] are[0] several[0] creepily[0] effective[0] scenes[0] as[0] the[0] spirit[0] of[0] azazel[0] moves[0] from[0] body[0] to[0] body[0] when[0] people[0] bump[0] against[-1] each[0] other[0] on[0] crowded[0] city[0] sidewalks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film also boasts a chase sequence of a kind that can best be described as unusual . 	the film also boasts a chase sequence of a kind that can best be described as unusual .	2	-2	 the[0] film[0] also[0] boasts[-1] a[0] chase[-1] sequence[0] of[0] a[0] kind[1] that[0] can[0] best[1] be[0] described[0] as[0] unusual[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of the several dozen actors to play azazel , the best is by far elias koteas ( exotica , crash ) , who , despite only being on screen for about ten minutes , gives a fantastically charged performance . 	of the several dozen actors to play azazel , the best is by far elias koteas ( exotica , crash ) , who , despite only being on screen for about ten minutes , gives a fantastically charged performance .	2	-2	 of[0] the[0] several[0] dozen[0] actors[0] to[0] play[0] azazel[0] the[0] best[1] is[0] by[0] far[0] elias[0] koteas[0] exotica[0] crash[0] who[0] despite[0] only[0] being[0] on[0] screen[0] for[0] about[0] ten[0] minutes[0] gives[0] a[0] fantastically[0] charged[-1] performance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
john goodman also seems to be enjoying himself , although his role for most of the film is relegated to that of a burly sidekick . 	john goodman also seems to be enjoying himself , although his role for most of the film is relegated to that of a burly sidekick .	3	-1	 john[0] goodman[0] also[0] seems[0] to[0] be[0] enjoying[2] himself[0] although[0] his[0] role[0] for[0] most[0] of[0] the[0] film[0] is[0] relegated[0] to[0] that[0] of[0] a[0] burly[0] sidekick[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sadly , however , these two are the only ones who excel . 	sadly , however , these two are the only ones who excel .	3	-2	 sadly[-1] however[0] these[0] two[0] are[0] the[0] only[0] ones[0] who[0] excel[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
everyone else , including denzel washington , is boring . 	everyone else , including denzel washington , is boring .	1	-2	 everyone[0] else[0] including[0] denzel[0] washington[0] is[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
washington's flat performance is the most disappointing surprise of the film . 	washington's flat performance is the most disappointing surprise of the film .	1	-2	 washington's[0] flat[0] performance[0] is[0] the[0] most[0] disappointing[-1] surprise[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not that he's bad per se , but he's not very interesting . 	it's not that he's bad per se , but he's not very interesting .	1	-3	 it's[0] not[0] that[0] he's[0] bad[-1] per[0] se[0] but[0] he's[0] not[0] very[0] interesting[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's no real sense of vulnerability or desperation in the way he portrays his character , and that keeps us distanced , however slightly , from hobbes . 	there's no real sense of vulnerability or desperation in the way he portrays his character , and that keeps us distanced , however slightly , from hobbes .	1	-3	 there's[0] no[0] real[0] sense[0] of[0] vulnerability[-2] or[0] desperation[-2] in[0] the[0] way[0] he[0] portrays[0] his[0] character[0] and[0] that[0] keeps[0] us[0] distanced[0] however[0] slightly[0] from[0] hobbes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as circumstances become progressively more dire for the cop , and as his life-or-death chess game with azazel approaches the point of checkmate , i expected to be more on the edge of my seat than i was . 	as circumstances become progressively more dire for the cop , and as his life-or-death chess game with azazel approaches the point of checkmate , i expected to be more on the edge of my seat than i was .	1	-3	 as[0] circumstances[0] become[0] progressively[0] more[0] dire[-1] for[0] the[0] cop[0] and[0] as[0] his[0] life[0] or[0] death[-2] chess[0] game[0] with[0] azazel[0] approaches[0] the[0] point[0] of[0] checkmate[0] i[0] expected[0] to[0] be[0] more[0] on[0] the[0] edge[0] of[0] my[0] seat[0] than[0] i[0] was[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
washington's subdued approach is part of the reason for this ; i never felt a sense of urgency . 	washington's subdued approach is part of the reason for this ; i never felt a sense of urgency .	1	-1	 washington's[0] subdued[0] approach[0] is[0] part[0] of[0] the[0] reason[0] for[0] this[0] i[0] never[0] felt[0] a[0] sense[0] of[0] urgency[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , at least washington was believable , which is more than can be said for embeth davidtz ( schindler's list ) and donald sutherland . 	however , at least washington was believable , which is more than can be said for embeth davidtz ( schindler's list ) and donald sutherland .	1	-1	 however[0] at[0] least[0] washington[0] was[0] believable[0] which[0] is[0] more[0] than[0] can[0] be[0] said[0] for[0] embeth[0] davidtz[0] schindler's[0] list[0] and[0] donald[0] sutherland[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to be fair , the flaws in their characters aren't all acting-related ; neither stanton nor gretta milano are well-written . 	to be fair , the flaws in their characters aren't all acting-related ; neither stanton nor gretta milano are well-written .	1	-1	 to[0] be[0] fair[0] the[0] flaws[0] in[0] their[0] characters[0] aren't[0] all[0] acting[0] related[0] neither[0] stanton[0] nor[0] gretta[0] milano[0] are[0] well[0] written[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that said , however , there's nothing inspired about either davidtz's or sutherland's work . 	that said , however , there's nothing inspired about either davidtz's or sutherland's work .	3	-1	 that[0] said[0] however[0] there's[0] nothing[0] inspired[2] about[0] either[0] davidtz's[0] or[0] sutherland's[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both appear to be sleepwalking their way through the parts , as if they know that their contribution to the film is one of advancing the plot rather than developing a multi-dimensional individual . 	both appear to be sleepwalking their way through the parts , as if they know that their contribution to the film is one of advancing the plot rather than developing a multi-dimensional individual .	1	-1	 both[0] appear[0] to[0] be[0] sleepwalking[0] their[0] way[0] through[0] the[0] parts[0] as[0] if[0] they[0] know[0] that[0] their[0] contribution[0] to[0] the[0] film[0] is[0] one[0] of[0] advancing[0] the[0] plot[0] rather[0] than[0] developing[0] a[0] multi[0] dimensional[0] individual[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
narratively , fallen has a few glaring weaknesses . 	narratively , fallen has a few glaring weaknesses .	1	-2	 narratively[0] fallen[0] has[0] a[0] few[0] glaring[0] weaknesses[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although the plot proceeds with a convoluted , game-like structure , it uses a denzel washington-supplied voiceover to overexplain matters . 	although the plot proceeds with a convoluted , game-like structure , it uses a denzel washington-supplied voiceover to overexplain matters .	2	-1	 although[0] the[0] plot[0] proceeds[0] with[0] a[0] convoluted[0] game[0] like[1] structure[0] it[0] uses[0] a[0] denzel[0] washington[0] supplied[0] voiceover[0] to[0] overexplain[0] matters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at times , this is actually helpful , and it has a use beyond the obvious , but there are occasions when ponderous lines like " i like the night ? sometimes you come face to face with yourself " become a little hard to swallow . 	at times , this is actually helpful , and it has a use beyond the obvious , but there are occasions when ponderous lines like " i like the night ?<br> sometimes you come face to face with yourself " become a little hard to swallow .	2	-1	 at[0] times[0] this[0] is[0] actually[0] helpful[1] and[0] it[0] has[0] a[0] use[0] beyond[0] the[0] obvious[0] but[0] there[0] are[0] occasions[0] when[0] ponderous[0] lines[0] like[1] i[0] like[1] the[0] night[0] [[Sentence=-1,2=word max, 1-5]] sometimes[0] you[0] come[0] face[0] to[0] face[0] with[0] yourself[0] become[0] a[0] little[0] hard[0] to[0] swallow[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
in addition , fallen is saddled with the same kind of disgustingly bland , generic theology embraced by numerous movies and tv shows like touched by an angel . 	in addition , fallen is saddled with the same kind of disgustingly bland , generic theology embraced by numerous movies and tv shows like touched by an angel .	2	-4	 in[0] addition[0] fallen[0] is[0] saddled[0] with[0] the[0] same[0] kind[1] of[0] disgustingly[-3] bland[-1] generic[0] theology[0] embraced[0] by[0] numerous[0] movies[0] and[0] tv[0] shows[0] like[1] touched[0] by[0] an[0] angel[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
however , despite the negatives , i'm still recommending fallen on the strength of its complex plot and especially its ending , which i loved . 	however , despite the negatives , i'm still recommending fallen on the strength of its complex plot and especially its ending , which i loved .	4	-2	 however[0] despite[0] the[0] negatives[-1] i'm[0] still[0] recommending[0] fallen[0] on[0] the[0] strength[0] of[0] its[0] complex[0] plot[0] and[0] especially[0] its[0] ending[0] which[0] i[0] loved[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the final scenes are startling , audacious , and unexpected . 	the final scenes are startling , audacious , and unexpected .	1	-2	 the[0] final[0] scenes[0] are[0] startling[-1] audacious[0] and[0] unexpected[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not often that a plot development takes me by surprise the way this one did . 	it's not often that a plot development takes me by surprise the way this one did .	1	-1	 it's[0] not[0] often[0] that[0] a[0] plot[0] development[0] takes[0] me[0] by[0] surprise[0] the[0] way[0] this[0] one[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at a time when most movies fall apart in the last ten minutes , fallen manages to buck the trend and redeem itself . 	at a time when most movies fall apart in the last ten minutes , fallen manages to buck the trend and redeem itself .	1	-1	 at[0] a[0] time[0] when[0] most[0] movies[0] fall[0] apart[0] in[0] the[0] last[0] ten[0] minutes[0] fallen[0] manages[0] to[0] buck[0] the[0] trend[0] and[0] redeem[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is not a great motion picture , but , considering how bad most january releases are , it's a reasonably entertaining way to spend two hours . 	this is not a great motion picture , but , considering how bad most january releases are , it's a reasonably entertaining way to spend two hours .	1	-3	 this[0] is[0] not[0] a[0] great[2][NegatedDueToPreviousWord] motion[0] picture[0] but[0] considering[0] how[0] bad[-1] most[0] january[0] releases[0] are[0] it's[0] a[0] reasonably[0] entertaining[0] way[0] to[0] spend[0] two[0] hours[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and , whatever you do , don't walk out on the film before the end credits have begun to roll . 	and , whatever you do , don't walk out on the film before the end credits have begun to roll .	1	-1	 and[0] whatever[0] you[0] do[0] don't[0] walk[0] out[0] on[0] the[0] film[0] before[0] the[0] end[0] credits[0] have[0] begun[0] to[0] roll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
