sometimes you just have to tip your hat to a film . 	Translation	Positive	Negative	EmotionRationale
this curious event may lead truman to discover what the rest of the world already knows : that he is a prisoner on the world's biggest soundstage , that his wife , friends and relatives are all actors paid to interact with him , and that his life has , for over 10 , 000 days , been broadcast as the world's most popular television program . 	this curious event may lead truman to discover what the rest of the world already knows : that he is a prisoner on the world's biggest soundstage , that his wife , friends and relatives are all actors paid to interact with him , and that his life has , for over 10 , 00 days , been broadcast as the world's most popular television program .	2	-2	 this[0] curious[0] event[0] may[0] lead[0] truman[0] to[0] discover[0] what[0] the[0] rest[0] of[0] the[0] world[0] already[0] knows[0] that[0] he[0] is[0] a[0] prisoner[-1] on[0] the[0] world's[0] biggest[0] soundstage[0] that[0] his[0] wife[0] friends[1] and[0] relatives[0] are[0] all[0] actors[0] paid[0] to[0] interact[0] with[0] him[0] and[0] that[0] his[0] life[0] has[0] for[0] over[0] 10[0] 000/00[0] days[0] been[0] broadcast[0] as[0] the[0] world's[0] most[0] popular[0] television[0] program[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what makes the first hour of truman so enjoyable to watch is the magical verisimilitude painstakingly constructed by niccol and weir . 	what makes the first hour of truman so enjoyable to watch is the magical verisimilitude painstakingly constructed by niccol and weir .	3	-1	 what[0] makes[0] the[0] first[0] hour[0] of[0] truman[0] so[0] enjoyable[2] to[0] watch[0] is[0] the[0] magical[0] verisimilitude[0] painstakingly[0] constructed[0] by[0] niccol[0] and[0] weir[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the soundstage , we're told , is " only the second man-made structure visible from space . " 	the soundstage , we're told , is " only the second man-made structure visible from space .<br> "	1	-1	 the[0] soundstage[0] we're[0] told[0] is[0] only[0] the[0] second[0] man[0] made[0] structure[0] visible[0] from[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
truman's movements are tracked ceaselessly by 5 , 000 cameras scattered throughout the town : button cams , dashboard cams , mirror cams , wife cams , big cams and small cams . 	truman's movements are tracked ceaselessly by 5 , 00 cameras scattered throughout the town : button cams , dashboard cams , mirror cams , wife cams , big cams and small cams .	1	-1	 truman's[0] movements[0] are[0] tracked[0] ceaselessly[0] by[0] 5[0] 000/00[0] cameras[0] scattered[0] throughout[0] the[0] town[0] button[0] cams[0] dashboard[0] cams[0] mirror[0] cams[0] wife[0] cams[0] big[0] cams[0] and[0] small[0] cams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
weir cuts the film so we're never quite sure if we're watching truman through the camera of director weir or through the camera of the show's omnipotent creator christof ( ed harris ) who oversees the show from a control room built into the man-made moon in seahaven's sky . 	weir cuts the film so we're never quite sure if we're watching truman through the camera of director weir or through the camera of the show's omnipotent creator christof ( ed harris ) who oversees the show from a control room built into the man-made moon in seahaven's sky .	1	-1	 weir[0] cuts[0] the[0] film[0] so[0] we're[0] never[0] quite[0] sure[0] if[0] we're[0] watching[0] truman[0] through[0] the[0] camera[0] of[0] director[0] weir[0] or[0] through[0] the[0] camera[0] of[0] the[0] show's[0] omnipotent[0] creator[0] christof[0] ed[0] harris[0] who[0] oversees[0] the[0] show[0] from[0] a[0] control[0] room[0] built[0] into[0] the[0] man[0] made[0] moon[0] in[0] seahaven's[0] sky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the second act offers a plethora of clues for truman as to the truth of his existence . 	the second act offers a plethora of clues for truman as to the truth of his existence .	2	-1	 the[0] second[0] act[0] offers[0] a[0] plethora[0] of[0] clues[0] for[0] truman[0] as[0] to[0] the[0] truth[1] of[0] his[0] existence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his best friend marlon ( noah emmerich ) always has a six pack of beer with him . 	his best friend marlon ( noah emmerich ) always has a six pack of beer with him .	2	-1	 his[0] best[1] friend[1] marlon[0] noah[0] emmerich[0] always[0] has[0] a[0] six[0] pack[0] of[0] beer[0] with[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his wife seems to exist in an eternal commercial in which she is always endorsing the latest hot household product . 	his wife seems to exist in an eternal commercial in which she is always endorsing the latest hot household product .	1	-1	 his[0] wife[0] seems[0] to[0] exist[0] in[0] an[0] eternal[0] commercial[0] in[0] which[0] she[0] is[0] always[0] endorsing[0] the[0] latest[0] hot[0] household[0] product[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he sees the same people walking in the same set patterns all over town . 	he sees the same people walking in the same set patterns all over town .	1	-1	 he[0] sees[0] the[0] same[0] people[0] walking[0] in[0] the[0] same[0] set[0] patterns[0] all[0] over[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one wonders why he didn't pick up on any of this earlier , but christof has an answer for this : " people tend to accept the reality with which they're presented . " 	one wonders why he didn't pick up on any of this earlier , but christof has an answer for this : " people tend to accept the reality with which they're presented .<br> "	1	-1	 one[0] wonders[0] why[0] he[0] didn't[0] pick[0] up[0] on[0] any[0] of[0] this[0] earlier[0] but[0] christof[0] has[0] an[0] answer[0] for[0] this[0] people[0] tend[0] to[0] accept[0] the[0] reality[0] with[0] which[0] they're[0] presented[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nevertheless , truman begins to grow restless , and dreams of escape to fiji , where an old college sweetheart ( natasha mcelhone ) supposedly lives . 	nevertheless , truman begins to grow restless , and dreams of escape to fiji , where an old college sweetheart ( natasha mcelhone ) supposedly lives .	4	-2	 nevertheless[0] truman[0] begins[0] to[0] grow[0] restless[-1] and[0] dreams[0] of[0] escape[0] to[0] fiji[0] where[0] an[0] old[0] college[0] sweetheart[3] natasha[0] mcelhone[0] supposedly[0] lives[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
this convincing reality of television as progenitor of reality is a magical and provocative concept ; the best thing jim carrey does is stay out of its way . 	this convincing reality of television as progenitor of reality is a magical and provocative concept ; the best thing jim carrey does is stay out of its way .	2	-1	 this[0] convincing[0] reality[0] of[0] television[0] as[0] progenitor[0] of[0] reality[0] is[0] a[0] magical[0] and[0] provocative[0] concept[0] the[0] best[1] thing[0] jim[0] carrey[0] does[0] is[0] stay[0] out[0] of[0] its[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by underplaying truman , he allows the subtle manipulations of the film to take over . 	by underplaying truman , he allows the subtle manipulations of the film to take over .	1	-2	 by[0] underplaying[0] truman[0] he[0] allows[0] the[0] subtle[0] manipulations[-1] of[0] the[0] film[0] to[0] take[0] over[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is a particularly poignant scene in which truman confides his fears to marlon , and marlon answers with best-friend sincerity , " i'd gladly step in front of a bus for you . " 	there is a particularly poignant scene in which truman confides his fears to marlon , and marlon answers with best-friend sincerity , " i'd gladly step in front of a bus for you .<br> "	2	-3	 there[0] is[0] a[0] particularly[0] poignant[0] scene[0] in[0] which[0] truman[0] confides[0] his[0] fears[-2] to[0] marlon[0] and[0] marlon[0] answers[0] with[0] best[1] friend[1] sincerity[0] i'd[0] gladly[1] step[0] in[0] front[0] of[0] a[0] bus[0] for[0] you[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but that line was fed to marlon through an earpiece by christof . 	but that line was fed to marlon through an earpiece by christof .	1	-1	 but[0] that[0] line[0] was[0] fed[0] to[0] marlon[0] through[0] an[0] earpiece[0] by[0] christof[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the abject cruelty to which truman is subjected to hits home - and from that moment , we're on his side . 	the abject cruelty to which truman is subjected to hits home - and from that moment , we're on his side .	1	-4	 the[0] abject[-1] cruelty[-3] to[0] which[0] truman[0] is[0] subjected[0] to[0] hits[0] home[0] and[0] from[0] that[0] moment[0] we're[0] on[0] his[0] side[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the truman show derives much of its success from playing to our own secret paranoid fantasies - haven't we all , at least once , doubted our place in the world , doubted the sincerity of those closest to us ? 	the truman show derives much of its success from playing to our own secret paranoid fantasies - haven't we all , at least once , doubted our place in the world , doubted the sincerity of those closest to us ?	3	-3	 the[0] truman[0] show[0] derives[0] much[0] of[0] its[0] success[2] from[0] playing[1] to[0] our[0] own[0] secret[0] paranoid[-2] fantasies[0] haven't[0] we[0] all[0] at[0] least[0] once[0] doubted[-1] our[0] place[0] in[0] the[0] world[0] doubted[-1] the[0] sincerity[0] of[0] those[0] closest[0] to[0] us[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ultimately , however , the picture rises above its own artifice to raise some real questions about the relationship of humankind and our creator . 	ultimately , however , the picture rises above its own artifice to raise some real questions about the relationship of humankind and our creator .	1	-1	 ultimately[0] however[0] the[0] picture[0] rises[0] above[0] its[0] own[0] artifice[0] to[0] raise[0] some[0] real[0] questions[0] about[0] the[0] relationship[0] of[0] humankind[0] and[0] our[0] creator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what does god really think of us ? 	what does god really think of us ?	1	-1	 what[0] does[0] god[0] really[0] think[0] of[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does he resent our abandonment of paradise ? 	does he resent our abandonment of paradise ?	4	-3	 does[0] he[0] resent[-2] our[0] abandonment[-1] of[0] paradise[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
who exactly is watching us , up there in the sky ? 	who exactly is watching us , up there in the sky ?	1	-1	 who[0] exactly[0] is[0] watching[0] us[0] up[0] there[0] in[0] the[0] sky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you enjoy the picture as much as i did , credit weir for allowing the magic of the screenplay to work . 	if you enjoy the picture as much as i did , credit weir for allowing the magic of the screenplay to work .	3	-1	 if[0] you[0] enjoy[2] the[0] picture[0] as[0] much[0] as[0] i[0] did[0] credit[0] weir[0] for[0] allowing[0] the[0] magic[0] of[0] the[0] screenplay[0] to[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for carrey - well , truman burbank is the kind of role that jimmy stewart was born to play . 	as for carrey - well , truman burbank is the kind of role that jimmy stewart was born to play .	2	-1	 as[0] for[0] carrey[0] well[0] truman[0] burbank[0] is[0] the[0] kind[1] of[0] role[0] that[0] jimmy[0] stewart[0] was[0] born[0] to[0] play[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
carrey is no jimmy stewart ; to his credit , he doesn't try to be . 	carrey is no jimmy stewart ; to his credit , he doesn't try to be .	1	-1	 carrey[0] is[0] no[0] jimmy[0] stewart[0] to[0] his[0] credit[0] he[0] doesn't[0] try[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he just tries to feel the way you or i would , if we suddenly found out that the whole world was watching us . 	he just tries to feel the way you or i would , if we suddenly found out that the whole world was watching us .	1	-1	 he[0] just[0] tries[0] to[0] feel[0] the[0] way[0] you[0] or[0] i[0] would[0] if[0] we[0] suddenly[0] found[0] out[0] that[0] the[0] whole[0] world[0] was[0] watching[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
