in essence , good will hunting is an ordinary story told well . 	Translation	Positive	Negative	EmotionRationale
will flees , but lambeau tracks him down . 	will flees , but lambeau tracks him down .	1	-2	 will[0] flees[-1] but[0] lambeau[0] tracks[0] him[0] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , by the time the professor finds him , will is in jail for assaulting a police offer . 	unfortunately , by the time the professor finds him , will is in jail for assaulting a police offer .	1	-3	 unfortunately[-1] by[0] the[0] time[0] the[0] professor[0] finds[0] him[0] will[0] is[0] in[0] jail[-1] for[0] assaulting[-2] a[0] police[0] offer[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the judge agrees to release will under two conditions : that he spend one day a week meeting with lambeau and that he spend one day a week meeting with a therapist . 	the judge agrees to release will under two conditions : that he spend one day a week meeting with lambeau and that he spend one day a week meeting with a therapist .	1	-1	 the[0] judge[0] agrees[0] to[0] release[0] will[0] under[0] two[0] conditions[0] that[0] he[0] spend[0] one[0] day[0] a[0] week[0] meeting[0] with[0] lambeau[0] and[0] that[0] he[0] spend[0] one[0] day[0] a[0] week[0] meeting[0] with[0] a[0] therapist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eventually , once several psychologists have rejected the belligerent young man , sean mcguire , a teacher at bunker hill community college , agrees to take the case . 	eventually , once several psychologists have rejected the belligerent young man , sean mcguire , a teacher at bunker hill community college , agrees to take the case .	1	-3	 eventually[0] once[0] several[0] psychologists[0] have[0] rejected[-1] the[0] belligerent[-2] young[0] man[0] sean[0] mcguire[0] a[0] teacher[0] at[0] bunker[0] hill[0] community[0] college[0] agrees[0] to[0] take[0] the[0] case[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after a rocky start , the two form a rapport and will begins to explore issues and emotions he had walled up behind impregnable armor . 	after a rocky start , the two form a rapport and will begins to explore issues and emotions he had walled up behind impregnable armor .	1	-1	 after[0] a[0] rocky[0] start[0] the[0] two[0] form[0] a[0] rapport[0] and[0] will[0] begins[0] to[0] explore[0] issues[0] and[0] emotions[0] he[0] had[0] walled[0] up[0] behind[0] impregnable[0] armor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , as will advances his self-awareness in sessions with sean , he also learns about friendship from his buddy , chuckie ( ben affleck ) , and love from a harvard co-ed named skylar ( minnie driver ) . 	and , as will advances his self-awareness in sessions with sean , he also learns about friendship from his buddy , chuckie ( ben affleck ) , and love from a harvard co-ed named skylar ( minnie driver ) .	3	-1	 and[0] as[0] will[0] advances[0] his[0] self[0] awareness[0] in[0] sessions[0] with[0] sean[0] he[0] also[0] learns[0] about[0] friendship[1] from[0] his[0] buddy[0] chuckie[0] ben[0] affleck[0] and[0] love[2] from[0] a[0] harvard[0] co[0] ed[0] named[0] skylar[0] minnie[0] driver[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script , by co-stars matt damon and ben affleck , is not a groundbreaking piece of literature , and occasionally resorts to shameless manipulation . 	the script , by co-stars matt damon and ben affleck , is not a groundbreaking piece of literature , and occasionally resorts to shameless manipulation .	1	-3	 the[0] script[0] by[0] co[0] stars[0] matt[0] damon[0] and[0] ben[0] affleck[0] is[0] not[0] a[0] groundbreaking[0] piece[0] of[0] literature[0] and[0] occasionally[0] resorts[0] to[0] shameless[-2] manipulation[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the characters are well-developed , however , and there are times when the dialogue positively sparkles . 	the characters are well-developed , however , and there are times when the dialogue positively sparkles .	3	-1	 the[0] characters[0] are[0] well[0] developed[0] however[0] and[0] there[0] are[0] times[0] when[0] the[0] dialogue[0] positively[2] sparkles[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at one point , will comments that a session with sean is turning into a " taster's choice moment . " 	at one point , will comments that a session with sean is turning into a " taster's choice moment .<br> "	1	-1	 at[0] one[0] point[0] will[0] comments[0] that[0] a[0] session[0] with[0] sean[0] is[0] turning[0] into[0] a[0] taster's[0] choice[0] moment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
later , will gives a brilliant , breathless diatribe against the nsa that has the rhythm of something written by kevin smith . 	later , will gives a brilliant , breathless diatribe against the nsa that has the rhythm of something written by kevin smith .	2	-2	 later[0] will[0] gives[0] a[0] brilliant[1] breathless[0] diatribe[0] against[-1] the[0] nsa[0] that[0] has[0] the[0] rhythm[0] of[0] something[0] written[0] by[0] kevin[0] smith[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( note : since smith co-executive produced good will hunting , it's not out of the question that he had some input into this scene . ) 	 ( note : since smith co-executive produced good will hunting , it's not out of the question that he had some input into this scene .<br> )	2	-1	 note[0] since[0] smith[0] co[0] executive[0] produced[0] good[1] will[0] hunting[0] it's[0] not[0] out[0] of[0] the[0] question[0] that[0] he[0] had[0] some[0] input[0] into[0] this[0] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director gus van sant ( drugstore cowboy , to die for ) culls genuine emotion from his actors , and this results in several affecting and powerful scenes . 	director gus van sant ( drugstore cowboy , to die for ) culls genuine emotion from his actors , and this results in several affecting and powerful scenes .	1	-1	 director[0] gus[0] van[0] sant[0] drugstore[0] cowboy[0] to[0] die[0] for[0] culls[0] genuine[0] emotion[0] from[0] his[0] actors[0] and[0] this[0] results[0] in[0] several[0] affecting[0] and[0] powerful[0] scenes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's an edginess to some of the sean/will therapy sessions , and the offscreen chemistry between matt damon and minnie driver ( who became romantically linked while making this film ) translates effectively to the movie -- the will/skylar relationship is electric . 	there's an edginess to some of the sean/will therapy sessions , and the offscreen chemistry between matt damon and minnie driver ( who became romantically linked while making this film ) translates effectively to the movie - the will/skylar relationship is electric .	4	-1	 there's[0] an[0] edginess[0] to[0] some[0] of[0] the[0] sean/will[0] therapy[0] sessions[0] and[0] the[0] offscreen[0] chemistry[0] between[0] matt[0] damon[0] and[0] minnie[0] driver[0] who[0] became[0] romantically[3] linked[0] while[0] making[0] this[0] film[0] translates[0] effectively[0] to[0] the[0] movie[0] the[0] will/skylar[0] relationship[0] is[0] electric[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
likewise , the companionability of damon and affleck is apparent in the easygoing nature of will and chuckie's friendship . 	likewise , the companionability of damon and affleck is apparent in the easygoing nature of will and chuckie's friendship .	2	-1	 likewise[0] the[0] companionability[0] of[0] damon[0] and[0] affleck[0] is[0] apparent[0] in[0] the[0] easygoing[1] nature[0] of[0] will[0] and[0] chuckie's[0] friendship[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
many of the individual scenes are strong enough to earn good will hunting a recommendation , even if the overall story is somewhat generic . 	many of the individual scenes are strong enough to earn good will hunting a recommendation , even if the overall story is somewhat generic .	2	-1	 many[0] of[0] the[0] individual[0] scenes[0] are[0] strong[0] enough[0] to[0] earn[0] good[1] will[0] hunting[0] a[0] recommendation[0] even[0] if[0] the[0] overall[0] story[0] is[0] somewhat[0] generic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
matt damon , who recently starred as the idealistic young lawyer in the rainmaker , is solid ( although not spectacular ) as will . 	matt damon , who recently starred as the idealistic young lawyer in the rainmaker , is solid ( although not spectacular ) as will .	1	-1	 matt[0] damon[0] who[0] recently[0] starred[0] as[0] the[0] idealistic[0] young[0] lawyer[0] in[0] the[0] rainmaker[0] is[0] solid[0] although[0] not[0] spectacular[0] as[0] will[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
minnie driver ( last seen in grosse pointe blank ) adds another strong performance to a growing resume ( and it's refreshing that she was allowed to keep her british accent rather than having to attempt an american one ) . 	minnie driver ( last seen in grosse pointe blank ) adds another strong performance to a growing resume ( and it's refreshing that she was allowed to keep her british accent rather than having to attempt an american one ) .	1	-2	 minnie[0] driver[0] last[0] seen[0] in[0] grosse[-1] pointe[0] blank[0] adds[0] another[0] strong[0] performance[0] to[0] a[0] growing[0] resume[0] and[0] it's[0] refreshing[0] that[0] she[0] was[0] allowed[0] to[0] keep[0] her[0] british[0] accent[0] rather[0] than[0] having[0] to[0] attempt[0] an[0] american[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the outstanding performance of the film belongs to robin williams , whose sean is sad and wise , funny and somber . 	the outstanding performance of the film belongs to robin williams , whose sean is sad and wise , funny and somber .	3	-4	 the[0] outstanding[2] performance[0] of[0] the[0] film[0] belongs[0] to[0] robin[0] williams[0] whose[0] sean[0] is[0] sad[-3] and[0] wise[0] funny[1] and[0] somber[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
arguably the best dramatic work in the actor's career ( alongside what he did in the fisher king ) , williams' portrayal could earn him a best supporting actor oscar nomination . 	arguably the best dramatic work in the actor's career ( alongside what he did in the fisher king ) , williams' portrayal could earn him a best supporting actor oscar nomination .	2	-2	 arguably[-1] the[0] best[1] dramatic[0] work[0] in[0] the[0] actor's[0] career[0] alongside[0] what[0] he[0] did[0] in[0] the[0] fisher[0] king[0] williams'[0] portrayal[0] could[0] earn[0] him[0] a[0] best[1] supporting[1] actor[0] oscar[0] nomination[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
adequate support is provided by ben affleck ( chasing amy ) and stellan skarsgard ( breaking the waves ) . 	adequate support is provided by ben affleck ( chasing amy ) and stellan skarsgard ( breaking the waves ) .	2	-1	 adequate[0] support[1] is[0] provided[0] by[0] ben[0] affleck[0] chasing[0] amy[0] and[0] stellan[0] skarsgard[0] breaking[0] the[0] waves[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like most of what comes before it , the ending of good will hunting is completely predictable . 	like most of what comes before it , the ending of good will hunting is completely predictable .	2	-1	 like[1] most[0] of[0] what[0] comes[0] before[0] it[0] the[0] ending[0] of[0] good[1] will[0] hunting[0] is[0] completely[0] predictable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but meeting expectations and following a familiar path aren't always bad things in a movie , provided the film accomplishes those goals with a modicum of style and an attention to detail . 	but meeting expectations and following a familiar path aren't always bad things in a movie , provided the film accomplishes those goals with a modicum of style and an attention to detail .	2	-1	 but[0] meeting[0] expectations[0] and[0] following[0] a[0] familiar[0] path[0] aren't[0] always[0] bad[-1][NegatedDueToPreviousWord] things[0] in[0] a[0] movie[0] provided[0] the[0] film[0] accomplishes[1] those[0] goals[0] with[0] a[0] modicum[0] of[0] style[0] and[0] an[0] attention[0] to[0] detail[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
good will hunting does both , and , as a result , earns a rating commensurate with the " good " in the title . 	good will hunting does both , and , as a result , earns a rating commensurate with the " good " in the title .	2	-1	 good[1] will[0] hunting[0] does[0] both[0] and[0] as[0] a[0] result[0] earns[0] a[0] rating[0] commensurate[0] with[0] the[0] good[1] in[0] the[0] title[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
