once upon a time a solitary ogre named shrek ( mike myers ) was really annoyed to discover that his swamp had been invaded by three blind mice , seven dwarves and all the other fairy tale characters in the land , banished from their home by lord farquaad ( john lithgow ) . 	Translation	Positive	Negative	EmotionRationale
the princess proves to be more than a shade offbeat after learning she's not getting the fairy tale issue rescue she's been expecting . 	the princess proves to be more than a shade offbeat after learning she's not getting the fairy tale issue rescue she's been expecting .	1	-1	 the[0] princess[0] proves[0] to[0] be[0] more[0] than[0] a[0] shade[0] offbeat[0] after[0] learning[0] she's[0] not[0] getting[0] the[0] fairy[0] tale[0] issue[0] rescue[0] she's[0] been[0] expecting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when fiona's true colors are exposed ( including opportunies for some tomboyish gross out humor ) , a spark develops between her and shrek . 	when fiona's true colors are exposed ( including opportunies for some tomboyish gross out humor ) , a spark develops between her and shrek .	3	-2	 when[0] fiona's[0] true[1] colors[0] are[0] exposed[-1] including[0] opportunies[0] for[0] some[0] tomboyish[0] gross[-1] out[0] humor[2] a[0] spark[0] develops[0] between[0] her[0] and[0] shrek[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the script's details are gleefully impish , constantly poking fun at disney from the theme park world of farquaad's dulloc with its turnstyle entrance and 'it's a small world' parody of an information booth to the blue bird which meets a most un-disneyish fate after duetting with fiona 'snow white' style . 	the script's details are gleefully impish , constantly poking fun at disney from the theme park world of farquad's dulloc with its turnstyle entrance and 'it's a small world' parody of an information booth to the blue bird which meets a most un-disneyish fate after duetting with fiona 'snow white' style .	2	-2	 the[0] script's[0] details[0] are[0] gleefully[0] impish[0] constantly[0] poking[0] fun[1] at[0] disney[0] from[0] the[0] theme[0] park[0] world[0] of[0] farquaad's/farquad's[0] dulloc[-1] with[0] its[0] turnstyle[0] entrance[0] and[0] 'it's[0] a[0] small[0] world'[0] parody[0] of[0] an[0] information[0] booth[0] to[0] the[0] blue[0] bird[0] which[0] meets[0] a[0] most[0] un[0] disneyish[0] fate[0] after[0] duetting[0] with[0] fiona[0] 'snow[0] white'[0] style[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
popular culture is represented with film references to " babe " and " charlies' angels " via " the matrix . " 	popular culture is represented with film references to " babe " and " charlies' angels " via " the matrix .<br> "	1	-1	 popular[0] culture[0] is[0] represented[0] with[0] film[0] references[0] to[0] babe[0] and[0] charlies'[0] angels[0] via[0] the[0] matrix[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
myers chooses his 'so i married an axe murderer' scottish brogue for shrek in order to give his voice some heft . 	myers chooses his 'so i married an axe murderer' scottish brogue for shrek in order to give his voice some heft .	1	-4	 myers[0] chooses[0] his[0] 'so[0] i[0] married[0] an[0] axe[0] murderer'[-3] scottish[0] brogue[0] for[0] shrek[0] in[0] order[0] to[0] give[0] his[0] voice[0] some[0] heft[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
while this may prove distracting for anyone familiar with that film , overall it works more than not . 	while this may prove distracting for anyone familiar with that film , overall it works more than not .	1	-2	 while[0] this[0] may[0] prove[0] distracting[-1] for[0] anyone[0] familiar[0] with[0] that[0] film[0] overall[0] it[0] works[0] more[0] than[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eddie murphy steals the show as the fast-talking , motown-singing donkey , proving once again his talent as a vocal performer ( is it another wink at disney that donkey is paired with a dragon , a creature murphy portrayed in disney's 'mulan ? ' ) . 	eddie murphy steals the show as the fast-talking , motown-singing donkey , proving once again his talent as a vocal performer ( is it another wink at disney that donkey is paired with a dragon , a creature murphy portrayed in disney's 'mulan ?<br> ' ) .	2	-3	 eddie[0] murphy[0] steals[-2] the[0] show[0] as[0] the[0] fast[0] talking[0] motown[0] singing[0] donkey[0] proving[0] once[0] again[0] his[0] talent[1] as[0] a[0] vocal[0] performer[0] is[0] it[0] another[0] wink[0] at[0] disney[0] that[0] donkey[0] is[0] paired[0] with[0] a[0] dragon[0] a[0] creature[0] murphy[0] portrayed[0] in[0] disney's[0] 'mulan[0] [[Sentence=-3,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
lithgow's a good choice for the supercilious , height-challenged villain lord farquaad . 	lithgow's a good choice for the supercilious , height-challenged villain lord farquad .	2	-3	 lithgow's[0] a[0] good[1] choice[0] for[0] the[0] supercilious[0] height[0] challenged[-1] villain[-2] lord[0] farquaad/farquad[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
diaz is energetic but ultimately nondescript voicing princess fiona . 	diaz is energetic but ultimately nondescript voicing princess fiona .	1	-1	 diaz[0] is[0] energetic[0] but[0] ultimately[0] nondescript[0] voicing[0] princess[0] fiona[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( a better choice would have been minnie driver , who's proven herself a terrific vocal talent in such diverse animations as disney's " tarzan , " " princess mononoke " and the " south park " movie . ) 	 ( a better choice would have been minnie driver , who's proven herself a terrific vocal talent in such diverse animations as disney's " tarzan , " " princess mononoke " and the " south park " movie .<br> )	4	-1	 a[0] better[0] choice[0] would[0] have[0] been[0] minnie[0] driver[0] who's[0] proven[0] herself[0] a[0] terrific[3] vocal[0] talent[1] in[0] such[0] diverse[0] animations[0] as[0] disney's[0] tarzan[0] princess[0] mononoke[0] and[0] the[0] south[0] park[0] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the computer animation looks terrific ( particularly donkey ) , although it won't elicit the types of oohs and aahs of pixar's work ( " toy story , " " a bug's life , " " toy story 2 " ) . 	the computer animation looks terrific ( particularly donkey ) , although it won't elicit the types of oohs and ahs of pixar's work ( " toy story , " " a bug's life , " " toy story 2 " ) .	4	-1	 the[0] computer[0] animation[0] looks[0] terrific[3] particularly[0] donkey[0] although[0] it[0] won't[0] elicit[0] the[0] types[0] of[0] oohs[0] and[0] aahs/ahs[0] of[0] pixar's[0] work[0] toy[0] story[0] a[0] bug's[0] life[0] toy[0] story[0] 2[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
in keeping with its hip style , pop music is used , which like myer's voice may be initially jarring , but ultimately satisfies ( while surveying bridal candidates via a 'dating game' parody broadcast by snow white's evil queen's mirror , farquaad is told 'fiona likes pina coladas' - cue jimmy buffet ! ) . 	in keeping with its hip style , pop music is used , which like myer's voice may be initially jarring , but ultimately satisfies ( while surveying bridal candidates via a 'dating game' parody broadcast by snow white's evil queen's mirror , farquad is told 'fiona likes pina coladas' - cue jimmy buffet !<br> ) .	3	-3	 in[0] keeping[0] with[0] its[0] hip[0] style[0] pop[0] music[0] is[0] used[0] which[0] like[1] myer's[0] voice[0] may[0] be[0] initially[0] jarring[0] but[0] ultimately[0] satisfies[1] while[0] surveying[0] bridal[0] candidates[0] via[0] a[0] 'dating[0] game'[0] parody[0] broadcast[0] by[0] snow[0] white's[0] evil[-2] queen's[0] mirror[0] farquaad/farquad[0] is[0] told[0] 'fiona[0] likes[2] pina[0] coladas'[0] cue[0] jimmy[0] buffet[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " shrek " has good lessons for kids and humor targetted at every age group in the family . 	 " shrek " has good lessons for kids and humor targeted at every age group in the family .	3	-1	 shrek[0] has[0] good[1] lessons[0] for[0] kids[0] and[0] humor[2] targetted/targeted[0] at[0] every[0] age[0] group[0] in[0] the[0] family[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while it may be derivative of the 1987's " the princess bride , " " shrek " addresses a new generation with similar sensibilities and doesn't suffer in the comparison . 	while it may be derivative of the 1987's " the princess bride , " " shrek " addresses a new generation with similar sensibilities and doesn't suffer in the comparison .	1	-4	 while[0] it[0] may[0] be[0] derivative[0] of[0] the[0] 1987's[0] the[0] princess[0] bride[0] shrek[0] addresses[0] a[0] new[0] generation[0] with[0] similar[0] sensibilities[0] and[0] doesn't[0] suffer[-3] in[0] the[0] comparison[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
