in december of 1996 , a little movie called " scream , " was released , became a box-office smash , and resurrected films targeted at teens . 	Translation	Positive	Negative	EmotionRationale
complicating matters , cameron's dorky friend , michael ( david krumholtz ) , decides to use a wealthy jock , joey ( andrew keegan ) , who also has his sights set on bianca , as a pawn so that he will pay patrick to get kat to go out with him , and then cameron hopes to steal bianca away from joey . 	complicating matters , cameron's dorky friend , michael ( david krumholtz ) , decides to use a wealthy jock , joey ( andrew keegan ) , who also has his sights set on bianca , as a pawn so that he will pay patrick to get kat to go out with him , and then cameron hopes to steal bianca away from joey .	2	-3	 complicating[0] matters[0] cameron's[0] dorky[-2] friend[1] michael[0] david[0] krumholtz[0] decides[0] to[0] use[0] a[0] wealthy[0] jock[0] joey[0] andrew[0] keegan[0] who[0] also[0] has[0] his[0] sights[0] set[0] on[0] bianca[0] as[0] a[0] pawn[0] so[0] that[0] he[0] will[0] pay[0] patrick[0] to[0] get[0] kat[0] to[0] go[0] out[0] with[0] him[0] and[0] then[0] cameron[0] hopes[1] to[0] steal[-2] bianca[0] away[0] from[0] joey[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as you can see , " 10 things i hate about you " includes a huge number of characters , some of which i haven't even mentioned , such as kat's shakespeare-obsessed friend , mandella ( susan may pratt ) and bianca's materialistic comrade , chastity ( gabrielle union ) . 	as you can see , " 10 things i hate about you " includes a huge number of characters , some of which i haven't even mentioned , such as kat's shakespeare-obsessed friend , mandela ( susan may prat ) and bianca's materialistic comrade , chastity ( gabrielle union ) .	2	-4	 as[0] you[0] can[0] see[0] 10[0] things[0] i[0] hate[-3] about[0] you[0] includes[0] a[0] huge[0] number[0] of[0] characters[0] some[0] of[0] which[0] i[0] haven't[0] even[0] mentioned[0] such[0] as[0] kat's[0] shakespeare[0] obsessed[-2] friend[1] mandella/mandela[0] susan[0] may[0] pratt/prat[-1][--1 LastWordBoosterStrength] and[0] bianca's[0] materialistic[0] comrade[0] chastity[0] gabrielle[0] union[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
at a short , but well-used running time of 98 minutes , all of the characters are perfectly handled , satisfyingly developed , and , for the most part , are not treated as caricatures ( another flaw of " she's all that , " where the bad guys ( and gals ) ran around constantly saying , " you're vapor " ) . 	at a short , but well-used running time of 98 minutes , all of the characters are perfectly handled , satisfyingly developed , and , for the most part , are not treated as caricatures ( another flaw of " she's all that , " where the bad guys ( and gals ) ran around constantly saying , " you're vapor " ) .	2	-2	 at[0] a[0] short[0] but[0] well[0] used[0] running[0] time[0] of[0] 98[0] minutes[0] all[0] of[0] the[0] characters[0] are[0] perfectly[1] handled[0] satisfyingly[1] developed[0] and[0] for[0] the[0] most[0] part[0] are[0] not[0] treated[0] as[0] caricatures[0] another[0] flaw[-1] of[0] she's[0] all[0] that[0] where[0] the[0] bad[-1] guys[0] and[0] gals[0] ran[0] around[0] constantly[0] saying[0] you're[0] vapor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
since i could sympathize with the realistic depictions of the central characters , and since many of the comedic and dramatic scenes were surprisingly effective , i got completely caught up in all of the relationships and was thoroughly entertained . 	since i could sympathize with the realistic depictions of the central characters , and since many of the comedic and dramatic scenes were surprisingly effective , i got completely caught up in all of the relationships and was thoroughly entertained .	1	-1	 since[0] i[0] could[0] sympathize[0] with[0] the[0] realistic[0] depictions[0] of[0] the[0] central[0] characters[0] and[0] since[0] many[0] of[0] the[0] comedic[0] and[0] dramatic[0] scenes[0] were[0] surprisingly[0] effective[0] i[0] got[0] completely[0] caught[0] up[0] in[0] all[0] of[0] the[0] relationships[0] and[0] was[0] thoroughly[0] entertained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aside from a good screenplay , it's the performances that can make or break a movie , and director junger has really hit the jackpot . 	aside from a good screenplay , it's the performances that can make or break a movie , and director junger has really hit the jackpot .	2	-1	 aside[0] from[0] a[0] good[1] screenplay[0] it's[0] the[0] performances[0] that[0] can[0] make[0] or[0] break[0] a[0] movie[0] and[0] director[0] junger[0] has[0] really[0] hit[0] the[0] jackpot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
aside from joseph gordon-levitt ( " 3rd rock from the sun " ) , who gives his strongest performance to date here , none of the actors are that well-known , but it is this aspect that brings a particular freshness to the proceedings . 	aside from joseph gordon-levitt ( " 3rd rock from the sun " ) , who gives his strongest performance to date here , none of the actors are that well-known , but it is this aspect that brings a particular freshness to the proceedings .	2	-1	 aside[0] from[0] joseph[0] gordon[0] levitt[0] 3rd[0] rock[1] from[0] the[0] sun[0] who[0] gives[0] his[0] strongest[0] performance[0] to[0] date[0] here[0] none[0] of[0] the[0] actors[0] are[0] that[0] well[0] known[0] but[0] it[0] is[0] this[0] aspect[0] that[0] brings[0] a[0] particular[0] freshness[0] to[0] the[0] proceedings[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the main character of kat , julia stiles ( last seen in the miniseries " the '60s " ) is marvelous and always believable , and certainly has a bright future ahead of her . 	as the main character of kat , julia stiles ( last seen in the miniseries " the '60s " ) is marvelous and always believable , and certainly has a bright future ahead of her .	1	-1	 as[0] the[0] main[0] character[0] of[0] kat[0] julia[0] stiles[0] last[0] seen[0] in[0] the[0] miniseries[0] the[0] '60s[0] is[0] marvelous[0] and[0] always[0] believable[0] and[0] certainly[0] has[0] a[0] bright[0] future[0] ahead[0] of[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even though it is her role that is initially the most difficult and hard-edged , it was easy to identify with kat's way of thinking ( she is against the silly tradition of the prom and loves reading sylvia plath ) , and i completely admired her individuality . 	even though it is her role that is initially the most difficult and hard-edged , it was easy to identify with kat's way of thinking ( she is against the silly tradition of the prom and loves reading sylvia plath ) , and i completely admired her individuality .	4	-2	 even[0] though[0] it[0] is[0] her[0] role[0] that[0] is[0] initially[0] the[0] most[0] difficult[-1] and[0] hard[0] edged[0] it[0] was[0] easy[0] to[0] identify[0] with[0] kat's[0] way[0] of[0] thinking[0] she[0] is[0] against[-1] the[0] silly[-1] tradition[0] of[0] the[0] prom[0] and[0] loves[2] reading[0] sylvia[0] plath[0] and[0] i[0] completely[0] admired[2][1 LastWordBoosterStrength] her[0] individuality[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
no one , i think , could have portrayed her as perfectly as stiles does . 	no one , i think , could have portrayed her as perfectly as stiles does .	2	-1	 no[0] one[0] i[0] think[0] could[0] have[0] portrayed[0] her[0] as[0] perfectly[1] as[0] stiles[0] does[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
heath ledger , as the infamous bad-boy of the town , injects much life into patrick , and has a lot of chemistry with stiles . 	heath ledger , as the infamous bad-boy of the town , injects much life into patrick , and has a lot of chemistry with stiles .	1	-2	 heath[0] ledger[0] as[0] the[0] infamous[-1] bad[-1] boy[0] of[0] the[0] town[0] injects[0] much[0] life[0] into[0] patrick[0] and[0] has[0] a[0] lot[0] of[0] chemistry[0] with[0] stiles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one other actor of note is larisa oleynik who , with the help of screenwriters lutz and smith , is able to turn bianca into a person with multi-dimensions , even though she is accurately self-centered at the on-set . 	one other actor of note is larisa oleynik who , with the help of screenwriters lutz and smith , is able to turn bianca into a person with multi-dimensions , even though she is accurately self-centered at the on-set .	1	-1	 one[0] other[0] actor[0] of[0] note[0] is[0] larisa[0] oleynik[0] who[0] with[0] the[0] help[0] of[0] screenwriters[0] lutz[0] and[0] smith[0] is[0] able[0] to[0] turn[0] bianca[0] into[0] a[0] person[0] with[0] multi[0] dimensions[0] even[0] though[0] she[0] is[0] accurately[0] self[0] centered[0] at[0] the[0] on[0] set[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in one truthful scene , cameron angrily asks her if she has always been so selfish , and bianca grudgingly realizes that yes , she has . 	in one truthful scene , cameron angrily asks her if she has always been so selfish , and bianca grudgingly realizes that yes , she has .	2	-4	 in[0] one[0] truthful[1] scene[0] cameron[0] angrily[-3] asks[0] her[0] if[0] she[0] has[0] always[0] been[0] so[0] selfish[-3] and[0] bianca[0] grudgingly[0] realizes[0] that[0] yes[0] she[0] has[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
one off-beat element of the film , and a source of some hearty laughs , is the way that the school's staff act , which is strikingly unformal . 	one off-beat element of the film , and a source of some hearty laughs , is the way that the school's staff act , which is strikingly unformal .	2	-2	 one[0] off[0] beat[0] element[0] of[0] the[0] film[0] and[0] a[0] source[-1] of[0] some[0] hearty[0] laughs[1] is[0] the[0] way[0] that[0] the[0] school's[0] staff[0] act[0] which[0] is[0] strikingly[0] unformal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
allison janney , as the guidance counselor ms . perky , who is writing a trashy harlequin romance novel , is comic dynamite , as is daryl " chill " mitchell as the english teacher , who reads shakespeare to the class in rap and , at one point , sends kat to the office because , for once , she actually thinks one of his assignments is really good . 	allison janney , as the guidance counselor ms .<br> perky , who is writing a trashy harlequin romance novel , is comic dynamite , as is daryl " chill " mitchell as the english teacher , who reads shakespeare to the class in rap and , at one point , sends kat to the office because , for once , she actually thinks one of his assignments is really good .	4	-2	 allison[0] janney[0] as[0] the[0] guidance[0] counselor[0] ms[0] [[Sentence=-1,1=word max, 1-5]] perky[0] who[0] is[0] writing[0] a[0] trashy[-1] harlequin[0] romance[3] novel[0] is[0] comic[0] dynamite[0] as[0] is[0] daryl[0] chill[0] mitchell[0] as[0] the[0] english[0] teacher[0] who[0] reads[0] shakespeare[0] to[0] the[0] class[0] in[0] rap[0] and[0] at[0] one[0] point[0] sends[0] kat[0] to[0] the[0] office[0] because[0] for[0] once[0] she[0] actually[0] thinks[0] one[0] of[0] his[0] assignments[0] is[0] really[0] good[1][1 LastWordBoosterStrength] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
although there are a few cheap laughs that are thrown into the film near the beginning , most of it actually works , especially in the humorous and witty dialogue exchanges and quirks between the characters . 	although there are a few cheap laughs that are thrown into the film near the beginning , most of it actually works , especially in the humorous and witty dialogue exchanges and quirks between the characters .	3	-2	 although[0] there[0] are[0] a[0] few[0] cheap[-1] laughs[1] that[0] are[0] thrown[0] into[0] the[0] film[0] near[0] the[0] beginning[0] most[0] of[0] it[0] actually[0] works[0] especially[0] in[0] the[0] humorous[2] and[0] witty[0] dialogue[0] exchanges[0] and[0] quirks[0] between[0] the[0] characters[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in one very funny scene , chastity asks , " i know people can be overwhelmed , and they can be underwhelmed , but can people just be . . . whelmed ? " 	in one very funny scene , chastity asks , " i know people can be overwhelmed , and they can be underwhelmed , but can people just be .<br> .<br> .<br> whelmed ?<br> "	3	-3	 in[0] one[0] very[0] funny[1][1 LastWordBoosterStrength] scene[0] chastity[0] asks[0] i[0] know[0] people[0] can[0] be[0] overwhelmed[-2] and[0] they[0] can[0] be[0] underwhelmed[0] but[0] can[0] people[0] just[0] be[0] [[Sentence=-3,3=word max, 1-5]] whelmed[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
at another point , bianca and kat's father ( a stand-out larry miller ) , who is constantly terrified that his daughters are going to get pregnant , only allows bianca to go to the prom on one occasion : before she leaves , she has to put on the heavy fat suit he has so she will get an idea of what it's like to be pregnant . 	at another point , bianca and kat's father ( a stand-out larry miller ) , who is constantly terrified that his daughters are going to get pregnant , only allows bianca to go to the prom on one occasion : before she leaves , she has to put on the heavy fat suit he has so she will get an idea of what it's like to be pregnant .	2	-4	 at[0] another[0] point[0] bianca[0] and[0] kat's[0] father[0] a[0] stand[0] out[0] larry[0] miller[0] who[0] is[0] constantly[0] terrified[-3] that[0] his[0] daughters[0] are[0] going[0] to[0] get[0] pregnant[0] only[0] allows[0] bianca[0] to[0] go[0] to[0] the[0] prom[0] on[0] one[0] occasion[0] before[0] she[0] leaves[0] she[0] has[0] to[0] put[0] on[0] the[0] heavy[0] fat[-1] suit[0] he[0] has[0] so[0] she[0] will[0] get[0] an[0] idea[0] of[0] what[0] it's[0] like[1] to[0] be[0] pregnant[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " 10 things i hate about you " once and for all proves that there is still life in the teen comedy genre , and this movie is probably more reminiscent of the great john hughes than any other film of the '90s . 	 " 10 things i hate about you " once and for all proves that there is still life in the teen comedy genre , and this movie is probably more reminiscent of the great john hughes than any other film of the '90s .	3	-4	 10[0] things[0] i[0] hate[-3] about[0] you[0] once[0] and[0] for[0] all[0] proves[0] that[0] there[0] is[0] still[0] life[0] in[0] the[0] teen[0] comedy[0] genre[0] and[0] this[0] movie[0] is[0] probably[0] more[0] reminiscent[0] of[0] the[0] great[2] john[0] hughes[0] than[0] any[0] other[0] film[0] of[0] the[0] '90s[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it also helps that the movie has a perfectly-assembled soundtrack , mixing indie-rock with new wave '80s songs ( and with , thank goodness , no rap ) . 	it also helps that the movie has a perfectly-assembled soundtrack , mixing indie-rock with new wave '80s songs ( and with , thank goodness , no rap ) .	3	-1	 it[0] also[0] helps[0] that[0] the[0] movie[0] has[0] a[0] perfectly[1] assembled[0] soundtrack[0] mixing[0] indie[0] rock[1] with[0] new[0] wave[0] '80s[0] songs[0] and[0] with[0] thank[1] goodness[2] no[0] rap[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
by the film's end , it actually had me rooting for certain characters to get together , and i was also quite pleased with how everything was wrapped up , especially in the final scenes involving kat and bianca , kat and her father , and a flawlessly-acted and moving sequence in which kat gets up to read the poem she has written for her english class ( this is where the title comes from ) . 	by the film's end , it actually had me rooting for certain characters to get together , and i was also quite pleased with how everything was wrapped up , especially in the final scenes involving kat and bianca , kat and her father , and a flawlessly-acted and moving sequence in which kat gets up to read the poem she has written for her english class ( this is where the title comes from ) .	2	-1	 by[0] the[0] film's[0] end[0] it[0] actually[0] had[0] me[0] rooting[0] for[0] certain[0] characters[0] to[0] get[0] together[0] and[0] i[0] was[0] also[0] quite[0] pleased[1] with[0] how[0] everything[0] was[0] wrapped[0] up[0] especially[0] in[0] the[0] final[0] scenes[0] involving[0] kat[0] and[0] bianca[0] kat[0] and[0] her[0] father[0] and[0] a[0] flawlessly[1] acted[0] and[0] moving[0] sequence[0] in[0] which[0] kat[0] gets[0] up[0] to[0] read[0] the[0] poem[0] she[0] has[0] written[0] for[0] her[0] english[0] class[0] this[0] is[0] where[0] the[0] title[0] comes[0] from[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
luckily , i doubt i would be able to find ten things i hate about " 10 things i hate about you , " but the positive aspects of the film far out-number ten . 	luckily , i doubt i would be able to find ten things i hate about " 10 things i hate about you , " but the positive aspects of the film far out-number ten .	3	-4	 luckily[2] i[0] doubt[-1] i[0] would[0] be[0] able[0] to[0] find[0] ten[0] things[0] i[0] hate[-3] about[0] 10[0] things[0] i[0] hate[-3] about[0] you[0] but[0] the[0] positive[2] aspects[0] of[0] the[0] film[0] far[0] out[0] number[0] ten[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
