robert altman's cookie's fortune is that rare movie that does not depend on sentimentality to be uplifting and to make its viewers feel good . 	Translation	Positive	Negative	EmotionRationale
soon after , her niece camille stops by to get a fruit salad bowl , comes upstairs , finds cookie dead and flips out . 	soon after , her niece camille stops by to get a fruit salad bowl , comes upstairs , finds cookie dead and flips out .	1	-3	 soon[0] after[0] her[0] niece[0] camille[0] stops[0] by[0] to[0] get[0] a[0] fruit[0] salad[0] bowl[0] comes[0] upstairs[0] finds[0] cookie[0] dead[-2] and[0] flips[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
convinced that suicide is a disgrace and that she will have none of that in her family , she eats the suicide note and convinces her slightly slow ( yet sweet ) sister that it was a murder . 	convinced that suicide is a disgrace and that she will have none of that in her family , she eats the suicide note and convinces her slightly slow ( yet sweet ) sister that it was a murder .	2	-4	 convinced[0] that[0] suicide[-3] is[0] a[0] disgrace[-3] and[0] that[0] she[0] will[0] have[0] none[0] of[0] that[0] in[0] her[0] family[0] she[0] eats[0] the[0] suicide[-3] note[0] and[0] convinces[0] her[0] slightly[0] slow[0] yet[0] sweet[1] sister[0] that[0] it[0] was[0] a[0] murder[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she makes sure that she stages it like a murder as well ; scattering jewelry all over the floor , breaking a few cabinets , windows and doors , and then throwing the gun out in the back yard . 	she makes sure that she stages it like a murder as well ; scattering jewelry all over the floor , breaking a few cabinets , windows and doors , and then throwing the gun out in the back yard .	2	-4	 she[0] makes[0] sure[0] that[0] she[0] stages[0] it[0] like[1] a[0] murder[-3] as[0] well[0] scattering[0] jewelry[0] all[0] over[0] the[0] floor[0] breaking[0] a[0] few[0] cabinets[0] windows[0] and[0] doors[0] and[0] then[0] throwing[0] the[0] gun[-1] out[0] in[0] the[0] back[0] yard[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the only reasonable suspect is willie , who immediately gets taken into custody , and put in a jail cell ( they all know he didn't do it , so the cell stays open and he plays scrabble with the sheriff and the faithful emma ) . 	the only reasonable suspect is willie , who immediately gets taken into custody , and put in a jail cell ( they all know he didn't do it , so the cell stays open and he plays scrabble with the sheriff and the faithful emma ) .	2	-2	 the[0] only[0] reasonable[0] suspect[-1] is[0] willie[0] who[0] immediately[0] gets[0] taken[0] into[0] custody[0] and[0] put[0] in[0] a[0] jail[-1] cell[0] they[0] all[0] know[0] he[0] didn't[0] do[0] it[0] so[0] the[0] cell[0] stays[0] open[0] and[0] he[0] plays[1] scrabble[0] with[0] the[0] sheriff[0] and[0] the[0] faithful[1] emma[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
meanwhile , the unperturbed camille continues her none-too-subtle manipulations trying to further cover up for the murder while at the same time making her easter play a success . 	meanwhile , the unperturbed camille continues her none-too-subtle manipulations trying to further cover up for the murder while at the same time making her easter play a success .	3	-4	 meanwhile[0] the[0] unperturbed[0] camille[0] continues[0] her[0] none[0] too[0] subtle[0] manipulations[-1] trying[0] to[0] further[0] cover[0] up[0] for[0] the[0] murder[-3] while[0] at[0] the[0] same[0] time[0] making[0] her[0] easter[0] play[0] a[0] success[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
so begins cookie's fortune , a film aptly described by critic scott renshaw as " a southern spin on fargo , " except that this one is far funnier and much more enjoyable than the coen brothers' darker , somewhat disturbing and slightly overrated escapade . 	so begins cookie's fortune , a film aptly described by critic scot renshaw as " a southern spin on fargo , " except that this one is far funnier and much more enjoyable than the coen brothers' darker , somewhat disturbing and slightly overrated escapade .	3	-2	 so[0] begins[0] cookie's[0] fortune[0] a[0] film[0] aptly[0] described[0] by[0] critic[-1] scott/scot[0] renshaw[0] as[0] a[0] southern[0] spin[0] on[0] fargo[0] except[0] that[0] this[0] one[0] is[0] far[0] funnier[1] and[0] much[0] more[0] enjoyable[2] than[0] the[0] coen[0] brothers'[0] darker[0] somewhat[0] disturbing[-1] and[0] slightly[0] overrated[0] escapade[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
robert altman's slight picture is in some ways reminiscent of something like midnight in the garden of good and evil as well , in that both films focus ( on and off ) on the eccentricities of the residents in a southern us town . 	robert altman's slight picture is in some ways reminiscent of something like midnight in the garden of good and evil as well , in that both films focus ( on and off ) on the eccentricities of the residents in a southern us town .	2	-3	 robert[0] altman's[0] slight[0] picture[0] is[0] in[0] some[0] ways[0] reminiscent[0] of[0] something[0] like[1] midnight[0] in[0] the[0] garden[0] of[0] good[1] and[0] evil[-2] as[0] well[0] in[0] that[0] both[0] films[0] focus[0] on[0] and[0] off[0] on[0] the[0] eccentricities[0] of[0] the[0] residents[0] in[0] a[0] southern[0] us[0] town[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
indeed , most of the characters in cookie's fortune are loads of fun to observe , and a portion of them are fascinating and surprisingly multi- dimensional . 	indeed , most of the characters in cookie's fortune are loads of fun to observe , and a portion of them are fascinating and surprisingly multi- dimensional .	2	-1	 indeed[0] most[0] of[0] the[0] characters[0] in[0] cookie's[0] fortune[0] are[0] loads[0] of[0] fun[1] to[0] observe[0] and[0] a[0] portion[0] of[0] them[0] are[0] fascinating[0] and[0] surprisingly[0] multi[0] dimensional[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
glenn close turns in an insubstantial ( in terms of her career ) but magnificent performance as the conniving camille and is also the source of a good portion of the many laughs that we enjoy in this movie , and she is perfectly cast as the prolific " aunt alexandria " character , endlessly obsessed with family dignity . 	glen close turns in an insubstantial ( in terms of her career ) but magnificent performance as the conniving camille and is also the source of a good portion of the many laughs that we enjoy in this movie , and she is perfectly cast as the prolific " aunt alexandria " character , endlessly obsessed with family dignity .	4	-3	 glenn/glen[0] close[0] turns[0] in[0] an[0] insubstantial[0] in[0] terms[0] of[0] her[0] career[0] but[0] magnificent[3] performance[0] as[0] the[0] conniving[0] camille[0] and[0] is[0] also[0] the[0] source[-1] of[0] a[0] good[1] portion[0] of[0] the[0] many[0] laughs[1] that[0] we[0] enjoy[2] in[0] this[0] movie[0] and[0] she[0] is[0] perfectly[1] cast[0] as[0] the[0] prolific[0] aunt[0] alexandria[0] character[0] endlessly[0] obsessed[-2] with[0] family[0] dignity[1] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the equally essential role of willie is handled with an intangible grace by veteran thespian charles s . dutton ( mimic , a time to kill ) 	the equally essential role of willie is handled with an intangible grace by veteran thespian charles s .<br> dutton ( mimic , a time to kill )	3	-2	 the[0] equally[0] essential[0] role[0] of[0] willie[0] is[0] handled[0] with[0] an[0] intangible[0] grace[2] by[0] veteran[0] thespian[0] charles[0] s[0] [[Sentence=-1,3=word max, 1-5]] dutton[0] mimic[0] a[0] time[0] to[0] kill[-1] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
there is nothing like a movie which leaves you feeling all warm and fuzzy inside hours , even days after the film ends . 	there is nothing like a movie which leaves you feeling all warm and fuzy inside hours , even days after the film ends .	2	-1	 there[0] is[0] nothing[0] like[1] a[0] movie[0] which[0] leaves[0] you[0] feeling[0] all[0] warm[0] and[0] fuzzy/fuzy[0] inside[0] hours[0] even[0] days[0] after[0] the[0] film[0] ends[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cookie's fortune is such a movie . 	cookie's fortune is such a movie .	1	-1	 cookie's[0] fortune[0] is[0] such[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i loved the light , kindhearted approach altman ( whose last project was the dark , intense drama the gingerbread man ) took towards the tricky subject matter . 	i loved the light , kindhearted approach altman ( whose last project was the dark , intense drama the gingerbread man ) took towards the tricky subject matter .	4	-2	 i[0] loved[3] the[0] light[0] kindhearted[0] approach[0] altman[0] whose[0] last[0] project[0] was[0] the[0] dark[0] intense[0] drama[0] the[0] gingerbread[0] man[0] took[0] towards[0] the[0] tricky[-1] subject[0] matter[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i enjoyed the talented ensemble cast . 	i enjoyed the talented ensemble cast .	3	-1	 i[0] enjoyed[2] the[0] talented[1] ensemble[0] cast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i even liked the trite " in the south everybody is related to everybody " cliche that is inevitably employed by the time this movie draws to a close . 	i even liked the trite " in the south everybody is related to everybody " cliche that is inevitably employed by the time this movie draws to a close .	3	-3	 i[0] even[0] liked[2] the[0] trite[-2] in[0] the[0] south[0] everybody[0] is[0] related[0] to[0] everybody[0] cliche[0] that[0] is[0] inevitably[0] employed[0] by[0] the[0] time[0] this[0] movie[0] draws[0] to[0] a[0] close[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i'm not sure why cookie's fortune had such an all-around pleasing effect on me . 	i'm not sure why cookie's fortune had such an all-around pleasing effect on me .	3	-1	 i'm[0] not[0] sure[0] why[0] cookie's[0] fortune[0] had[0] such[0] an[0] all[0] around[0] pleasing[2] effect[0] on[0] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
perhaps it's that good ol' southern charm . 	perhaps it's that good ol' southern charm .	2	-1	 perhaps[0] it's[0] that[0] good[1] ol'[0] southern[0] charm[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
