james jones , one of the major novelists from the middle of the twentieth century , has written a number of fictional works about the effects of war on the individual . 	Translation	Positive	Negative	EmotionRationale
the south pacific island is seen by the top brass as the key position for american armed forces to hold if they want to win the war . 	the south pacific island is seen by the top brass as the key position for american armed forces to hold if they want to win the war .	1	-3	 the[0] south[0] pacific[0] island[0] is[0] seen[0] by[0] the[0] top[0] brass[0] as[0] the[0] key[0] position[0] for[0] american[0] armed[0] forces[0] to[0] hold[0] if[0] they[0] want[0] to[0] win[0] the[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and want to win the war they do . 	and want to win the war they do .	1	-3	 and[0] want[0] to[0] win[0] the[0] war[-2] they[0] do[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in an excellent performance , nick nolte plays c-for-charlie's commanding officer , lt . col . gordon tall . 	in an excellent performance , nick nolte plays c-for-charlie's commanding officer , lt .<br> col .<br> gordon tall .	4	-1	 in[0] an[0] excellent[3] performance[0] nick[0] nolte[0] plays[1] c[0] for[0] charlie's[0] commanding[0] officer[0] lt[0] [[Sentence=-1,4=word max, 1-5]] col[0] [[Sentence=-1,1=word max, 1-5]] gordon[0] tall[0] [[Sentence=-1,1=word max, 1-5]][[[4,-1 max of sentences]]]
he's an aging soldier who embodies the win-at-all-costs mentality , if only to impress his superior ( john travolta , in a questionable cameo ) . 	he's an aging soldier who embodies the win-at-all-costs mentality , if only to impress his superior ( john travolta , in a questionable cameo ) .	3	-2	 he's[0] an[0] aging[0] soldier[0] who[0] embodies[0] the[0] win[0] at[0] all[0] costs[0] mentality[0] if[0] only[0] to[0] impress[1] his[0] superior[2] john[0] travolta[0] in[0] a[0] questionable[-1] cameo[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this philosophy is opposite that of captain bugger staros ( elias koteas ) , who dearly values the life of each and every one of the men under his command . 	this philosophy is opposite that of captain bugger staros ( elias koteas ) , who dearly values the life of each and every one of the men under his command .	2	-1	 this[0] philosophy[0] is[0] opposite[0] that[0] of[0] captain[0] bugger[0] staros[0] elias[0] koteas[0] who[0] dearly[0] values[1] the[0] life[0] of[0] each[0] and[0] every[0] one[0] of[0] the[0] men[0] under[0] his[0] command[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at the front are the privates and corporals ( adrien brody , james caviezel , ben chaplin , et al ) , lead by 1st sgt . 	at the front are the privates and corporals ( adrien brody , james caviezel , ben chaplin , et al ) , lead by 1st sgt .	1	-1	 at[0] the[0] front[0] are[0] the[0] privates[0] and[0] corporals[0] adrien[0] brody[0] james[0] caviezel[0] ben[0] chaplin[0] et[0] al[0] lead[0] by[0] 1st[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
welsh ( sean penn ) , who must actually execute the suicide orders handed down to them . 	welsh ( sean pen ) , who must actually execute the suicide orders handed down to them .	1	-4	 welsh[0] sean[0] penn/pen[0] who[0] must[0] actually[0] execute[-1] the[0] suicide[-3] orders[0] handed[0] down[0] to[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the thin red line is filled with intense , visual poetry , but it's nearly three hours long . 	the thin red line is filled with intense , visual poetry , but it's nearly three hours long .	1	-1	 the[0] thin[0] red[0] line[0] is[0] filled[0] with[0] intense[0] visual[0] poetry[0] but[0] it's[0] nearly[0] three[0] hours[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the interest level is high throughout the first two hours , the climax comes forty-five minutes before the end of the movie ; it goes without saying that the movie drags on the back end . 	although the interest level is high throughout the first two hours , the climax comes forty-five minutes before the end of the movie ; it goes without saying that the movie drags on the back end .	2	-1	 although[0] the[0] interest[1] level[0] is[0] high[0] throughout[0] the[0] first[0] two[0] hours[0] the[0] climax[0] comes[0] forty[0] five[0] minutes[0] before[0] the[0] end[0] of[0] the[0] movie[0] it[0] goes[0] without[0] saying[0] that[0] the[0] movie[0] drags[0] on[0] the[0] back[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the thin red line will doubtless be compared to 1998's other masterpiece of war , saving private ryan a countless number of times . 	the thin red line will doubtless be compared to 1998's other masterpiece of war , saving private ryan a countless number of times .	1	-3	 the[0] thin[0] red[0] line[0] will[0] doubtless[-1] be[0] compared[0] to[0] 1998's[0] other[0] masterpiece[0] of[0] war[-2] saving[0] private[0] ryan[0] a[0] countless[0] number[0] of[0] times[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but to do so is to belittle both films , for although similarities abound , so do differences . 	but to do so is to belittle both films , for although similarities abound , so do differences .	1	-3	 but[0] to[0] do[0] so[0] is[0] to[0] belittle[-2] both[0] films[0] for[0] although[0] similarities[0] abound[0] so[0] do[0] differences[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
director malick has a story to tell , and for those interested in listening , this can be a very outstanding movie . 	director malick has a story to tell , and for those interested in listening , this can be a very outstanding movie .	4	-1	 director[0] malick[0] has[0] a[0] story[0] to[0] tell[0] and[0] for[0] those[0] interested[1] in[0] listening[0] this[0] can[0] be[0] a[0] very[0] outstanding[2][1 LastWordBoosterStrength] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
