for a movie about disco-era excess , " 54 " comes up surprisingly short on the sleazy happenings at the titular late 1970s and early 1980s manhattan dance club . 	Translation	Positive	Negative	EmotionRationale
after rubbing elbows ( among other things ) with a renowned socialite ( sela ward ) and gaining the personal interest of rubell , shane begins to ascend to the upper echelons of 54 . 	after rubbing elbows ( among other things ) with a renowned socialite ( sela ward ) and gaining the personal interest of rubell , shane begins to ascend to the upper echelons of 54 .	2	-1	 after[0] rubbing[0] elbows[0] among[0] other[0] things[0] with[0] a[0] renowned[0] socialite[0] sela[0] ward[0] and[0] gaining[0] the[0] personal[0] interest[1] of[0] rubell[0] shane[0] begins[0] to[0] ascend[0] to[0] the[0] upper[0] echelons[0] of[0] 54[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but fame doesn't come without a price . 	but fame doesn't come without a price .	1	-1	 but[0] fame[0] doesn't[0] come[0] without[0] a[0] price[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " 54 " 's major shortcomings lie within its handling of the supporting players - at a slim hour-and-a-half , the film is too short to take on such a multi-character focus , and more than a few balls are dropped in the resulting juggling act . 	 " 54 " 's major shortcomings lie within its handling of the supporting players - at a slim hour-and-a-half , the film is too short to take on such a multi-character focus , and more than a few balls are dropped in the resulting juggling act .	2	-2	 54[0] 's[0] major[0] shortcomings[-1] lie[0] within[0] its[0] handling[0] of[0] the[0] supporting[1] players[0] at[0] a[0] slim[0] hour[0] and[0] a[0] half[0] the[0] film[0] is[0] too[0] short[0] to[0] take[0] on[0] such[0] a[0] multi[0] character[0] focus[0] and[0] more[0] than[0] a[0] few[0] balls[0] are[0] dropped[0] in[0] the[0] resulting[0] juggling[0] act[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
alleged last-minute edits and reshoots are more than likely to blame for the occasionally rushed development and ambiguous interaction , since " 54 " sometimes feels like it's missing a scene here or there . 	alleged last-minute edits and reshoots are more than likely to blame for the occasionally rushed development and ambiguous interaction , since " 54 " sometimes feels like it's missing a scene here or there .	2	-2	 alleged[-1] last[0] minute[0] edits[0] and[0] reshoots[0] are[0] more[0] than[0] likely[0] to[0] blame[-1] for[0] the[0] occasionally[0] rushed[0] development[0] and[0] ambiguous[-1] interaction[0] since[0] 54[0] sometimes[0] feels[0] like[1] it's[0] missing[0] a[0] scene[0] here[0] or[0] there[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nowhere is this more apparent than in shane's relationship with soap opera actress julie black ( neve campbell ) , a frequent studio 54 patron whom he's long admired from afar . 	nowhere is this more apparent than in shane's relationship with soap opera actress julie black ( neve campbell ) , a frequent studio 54 patron whom he's long admired from afar .	3	-1	 nowhere[0] is[0] this[0] more[0] apparent[0] than[0] in[0] shane's[0] relationship[0] with[0] soap[0] opera[0] actress[0] julie[0] black[0] neve[0] campbell[0] a[0] frequent[0] studio[0] 54[0] patron[0] whom[0] he's[0] long[0] admired[2] from[0] afar[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the romance is prodded along before it has a chance to transform into something special . 	the romance is prodded along before it has a chance to transform into something special .	4	-1	 the[0] romance[3] is[0] prodded[0] along[0] before[0] it[0] has[0] a[0] chance[0] to[0] transform[0] into[0] something[0] special[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
that " 54 " works despite these limitations , then , is largely due to the competence and energy with which it's assembled . 	that " 54 " works despite these limitations , then , is largely due to the competence and energy with which it's assembled .	1	-1	 that[0] 54[0] works[0] despite[0] these[0] limitations[0] then[0] is[0] largely[0] due[0] to[0] the[0] competence[0] and[0] energy[0] with[0] which[0] it's[0] assembled[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , it's shallow , slick , sanitized portrait of a bygone age , and sure , we've seen the rags-to-riches story gazillions of times , but debut director and screenwriter mark christopher keeps things moving with lively snapshots of the studio 54 hustle and bustle and an even livelier cast to inhabit his bouncy vision . 	sure , it's shallow , slick , sanitized portrait of a bygone age , and sure , we've seen the rags-to-riches story gazillions of times , but debut director and screenwriter mark christopher keeps things moving with lively snapshots of the studio 54 hustle and bustle and an even livelier cast to inhabit his bouncy vision .	2	-2	 sure[0] it's[0] shallow[-1] slick[0] sanitized[0] portrait[0] of[0] a[0] bygone[0] age[0] and[0] sure[0] we've[0] seen[0] the[0] rags[0] to[0] riches[0] story[0] gazillions[0] of[0] times[0] but[0] debut[0] director[0] and[0] screenwriter[0] mark[0] christopher[0] keeps[0] things[0] moving[0] with[0] lively[1] snapshots[0] of[0] the[0] studio[0] 54[0] hustle[-1] and[0] bustle[0] and[0] an[0] even[0] livelier[1] cast[0] to[0] inhabit[0] his[0] bouncy[0] vision[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film boasts some fine comic creativity , the pinnacle of which is disco dottie ( " the wedding singer " 's ellen dow ) , an elderly dancing queen who plays the loving grandmother in public , but slides up to shane behind 54's closed doors and asks for a " funky little treat . " 	the film boasts some fine comic creativity , the pinnacle of which is disco dottie ( " the wedding singer " 's ellen dow ) , an elderly dancing queen who plays the loving grandmother in public , but slides up to shane behind 54's closed doors and asks for a " funky little treat .<br> "	4	-2	 the[0] film[0] boasts[-1] some[0] fine[2][-1 LastWordBoosterStrength] comic[0] creativity[0] the[0] pinnacle[0] of[0] which[0] is[0] disco[0] dottie[0] the[0] wedding[0] singer[0] 's[0] ellen[0] dow[0] an[0] elderly[0] dancing[0] queen[0] who[0] plays[1] the[0] loving[3] grandmother[0] in[0] public[0] but[0] slides[0] up[0] to[0] shane[0] behind[0] 54's[0] closed[0] doors[0] and[0] asks[0] for[0] a[0] funky[0] little[0] treat[1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the solid , sexy cast smooths out - if only while you're caught up in the film - any rough spots belonging to their alter-egos or the plot . 	the solid , sexy cast smooths out - if only while you're caught up in the film - any rough spots belonging to their alter-egos or the plot .	3	-2	 the[0] solid[0] sexy[2] cast[0] smooths[0] out[0] if[0] only[0] while[0] you're[0] caught[0] up[0] in[0] the[0] film[0] any[0] rough[-1] spots[0] belonging[0] to[0] their[0] alter[0] egos[0] or[0] the[0] plot[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
newcomer phillippe has the charisma and joisey accent down pat ; he and campbell , as fetching as ever , look so good together it's a shame their subplot goes nowhere . 	newcomer phillippe has the charisma and joisey accent down pat ; he and campbell , as fetching as ever , look so good together it's a shame their subplot goes nowhere .	2	-3	 newcomer[0] phillippe[0] has[0] the[0] charisma[0] and[0] joisey[0] accent[0] down[0] pat[0] he[0] and[0] campbell[0] as[0] fetching[0] as[0] ever[0] look[0] so[0] good[1] together[0] it's[0] a[0] shame[-2] their[0] subplot[0] goes[0] nowhere[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
meyer exhibits the congenial appeal that made him a delight to watch in " clueless " ( he was the stoner with the joker-smile ) , while hayek simply sizzles , especially when leading a dance class with the mantra , " one , two , three , attitude ! " 	meyer exhibits the congenial appeal that made him a delight to watch in " clueless " ( he was the stoner with the joker-smile ) , while hayek simply sizles , especially when leading a dance class with the mantra , " one , two , three , attitude !<br> "	3	-1	 meyer[0] exhibits[0] the[0] congenial[0] appeal[0] that[0] made[0] him[0] a[0] delight[2] to[0] watch[0] in[0] clueless[0] he[0] was[0] the[0] stoner[0] with[0] the[0] joker[1] smile[2] while[0] hayek[0] simply[0] sizzles/sizles[0] especially[0] when[0] leading[0] a[0] dance[0] class[0] with[0] the[0] mantra[0] one[0] two[0] three[0] attitude[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sherry stringfield , unidentifiable under big '70s hair , takes on her first big-screen gig since she left " er " as rubell's accountant , but she's criminally underused . 	sherry stringfield , unidentifiable under big '70s hair , takes on her first big-screen gig since she left " er " as rubell's accountant , but she's criminally underused .	1	-2	 sherry[0] stringfield[0] unidentifiable[0] under[0] big[0] '70s[0] hair[0] takes[0] on[0] her[0] first[0] big[0] screen[0] gig[0] since[0] she[0] left[0] er[0] as[0] rubell's[0] accountant[0] but[0] she's[0] criminally[-1] underused[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the droopy-eyed , drug-addled steve rubell , myers is worth the price of admission alone . 	as the droopy-eyed , drug-addled steve rubell , myers is worth the price of admission alone .	1	-2	 as[0] the[0] droopy[-1] eyed[0] drug[0] addled[0] steve[0] rubell[0] myers[0] is[0] worth[0] the[0] price[0] of[0] admission[0] alone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when he's not playing the life of the party , the ex- " saturday night live " comedian strips away all of rubell's confidence and swagger to show a man desperately trying to fill his empty , unhappy life with exorbitance ; it's a moment worthy of pity when , while lounging on a bed of money and vomiting from a particularly heavy evening , he attempts to seduce one of his employees . 	when he's not playing the life of the party , the ex- " saturday night live " comedian strips away all of rubell's confidence and swagger to show a man desperately trying to fill his empty , unhappy life with exorbitance ; it's a moment worthy of pity when , while lounging on a bed of money and vomiting from a particularly heavy evening , he attempts to seduce one of his employees .	2	-3	 when[0] he's[0] not[0] playing[1][NegatedDueToPreviousWord] the[0] life[0] of[0] the[0] party[0] the[0] ex[0] saturday[0] night[0] live[0] comedian[0] strips[0] away[0] all[0] of[0] rubell's[0] confidence[1] and[0] swagger[0] to[0] show[0] a[0] man[0] desperately[-2] trying[0] to[0] fill[0] his[0] empty[0] unhappy[-2] life[0] with[0] exorbitance[0] it's[0] a[0] moment[0] worthy[0] of[0] pity[-1] when[0] while[0] lounging[0] on[0] a[0] bed[0] of[0] money[0] and[0] vomiting[-2] from[0] a[0] particularly[0] heavy[0] evening[0] he[0] attempts[0] to[0] seduce[0] one[0] of[0] his[0] employees[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and while his performance is largely serious , myers mixes the empathy with a delicate " austin powers " -esque wink , thus keeping consistent with " 54 " 's overall feel - gaudy , larger-than-life and satisfyingly ornamental , not unlike a giant disco ball . 	and while his performance is largely serious , myers mixes the empathy with a delicate " austin powers " -esque wink , thus keeping consistent with " 54 " 's overall feel - gaudy , larger-than-life and satisfyingly ornamental , not unlike a giant disco ball .	2	-2	 and[0] while[0] his[0] performance[0] is[0] largely[0] serious[-1] myers[0] mixes[0] the[0] empathy[0] with[0] a[0] delicate[0] austin[0] powers[0] esque[0] wink[0] thus[0] keeping[0] consistent[0] with[0] 54[0] 's[0] overall[0] feel[0] gaudy[-1] larger[0] than[0] life[0] and[0] satisfyingly[1] ornamental[0] not[0] unlike[0] a[0] giant[0] disco[0] ball[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
