ingredients : james bond , scuba scene , car controlled by cellular telephone 	Translation	Positive	Negative	EmotionRationale
the lt is also classy , and has an excellent sense of refinement , but she sees herself as an adventurer , and prefers freedom of movement rather than flashy status symbols . 	the lt is also classy , and has an excellent sense of refinement , but she sees herself as an adventurer , and prefers freedom of movement rather than flashy status symbols .	4	-1	 the[0] lt[0] is[0] also[0] classy[0] and[0] has[0] an[0] excellent[3] sense[0] of[0] refinement[0] but[0] she[0] sees[0] herself[0] as[0] an[0] adventurer[0] and[0] prefers[0] freedom[0] of[0] movement[0] rather[0] than[0] flashy[0] status[0] symbols[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this person loves family and friends with a fierce loyalty . 	this person loves family and friends with a fierce loyalty .	3	-3	 this[0] person[0] loves[2] family[0] and[0] friends[1] with[0] a[0] fierce[-2] loyalty[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
she delights in siblings , nephews , nieces and extended family - - but she must have her personal freedom to come and go as she pleases . 	she delights in siblings , nephews , nieces and extended family - - but she must have her personal freedom to come and go as she pleases .	3	-1	 she[0] delights[2] in[0] siblings[0] nephews[0] nieces[0] and[0] extended[0] family[0] but[0] she[0] must[0] have[0] her[0] personal[0] freedom[0] to[0] come[0] and[0] go[0] as[0] she[0] pleases[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sometimes annoyance at injustice drives her to take up one or two causes . 	sometimes annoyance at injustice drives her to take up one or two causes .	1	-2	 sometimes[0] annoyance[-2][--1 LastWordBoosterStrength] at[0] injustice[0] drives[0] her[0] to[0] take[0] up[0] one[0] or[0] two[0] causes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in love life , the lt has an unfortunate mental block against committing to any partner who is less powerful than she . " 	in love life , the lt has an unfortunate mental block against committing to any partner who is less powerful than she .<br> "	3	-2	 in[0] love[2] life[0] the[0] lt[0] has[0] an[0] unfortunate[-1] mental[0] block[-1] against[-1] committing[0] to[0] any[0] partner[0] who[0] is[0] less[0] powerful[0] than[0] she[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in real life , michelle yeoh is asia's top female star . 	in real life , michelle yeoh is asia's top female star .	1	-1	 in[0] real[0] life[0] michelle[0] yeoh[0] is[0] asia's[0] top[0] female[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like jackie chan , she does her own stunts . 	like jackie chan , she does her own stunts .	2	-1	 like[1] jackie[0] chan[0] she[0] does[0] her[0] own[0] stunts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she was born in malaysia - - a country of many languages - - and her primary language ( the language she speaks in her sleep ) is english . 	she was born in malaysia - - a country of many languages - - and her primary language ( the language she speaks in her sleep ) is english .	1	-1	 she[0] was[0] born[0] in[0] malaysia[0] a[0] country[0] of[0] many[0] languages[0] and[0] her[0] primary[0] language[0] the[0] language[0] she[0] speaks[0] in[0] her[0] sleep[0] is[0] english[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she was taught malay in school , and learned cantonese from bilingual parents . 	she was taught malay in school , and learned cantonese from bilingual parents .	1	-1	 she[0] was[0] taught[0] malay[0] in[0] school[0] and[0] learned[0] cantonese[0] from[0] bilingual[0] parents[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as an athlete michelle represented malaysia internationally . 	as an athlete michelle represented malaysia internationally .	1	-1	 as[0] an[0] athlete[0] michelle[0] represented[0] malaysia[0] internationally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she enjoyed squash , diving , swimming , and rugby . 	she enjoyed squash , diving , swimming , and rugby .	3	-1	 she[0] enjoyed[2] squash[0] diving[1] swimming[0] and[0] rugby[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she studied ballet at the royal academy of dance in london , but switched to drama after a spinal injury . 	she studied ballet at the royal academy of dance in london , but switched to drama after a spinal injury .	1	-2	 she[0] studied[0] ballet[0] at[0] the[0] royal[0] academy[0] of[0] dance[0] in[0] london[0] but[0] switched[0] to[0] drama[0] after[0] a[0] spinal[0] injury[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in 1983 she won the miss malaysia pageant - - without really intending to , since a family member had entered her in the contest without her knowledge . 	in 1983 she won the miss malaysia pageant - - without really intending to , since a family member had entered her in the contest without her knowledge .	2	-2	 in[0] 1983[0] she[0] won[0] the[0] miss[-1] malaysia[0] pageant[0] without[0] really[0] intending[0] to[0] since[0] a[0] family[0] member[0] had[0] entered[0] her[0] in[0] the[0] contest[0] without[0] her[0] knowledge[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
notoriety from the contest led eventually to a movie career as an action heroine . 	notoriety from the contest led eventually to a movie career as an action heroine .	3	-1	 notoriety[0] from[0] the[0] contest[0] led[0] eventually[0] to[0] a[0] movie[0] career[0] as[0] an[0] action[0] heroine[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
michelle has survived a divorce with asian retail tycoon dickson poon ; a nearly fatal stunt accident falling from a freeway overpass which put her in the hospital for three months , and ; a retirement from the movies . 	michelle has survived a divorce with asian retail tycoon dickson poon ; a nearly fatal stunt accident falling from a freeway overpass which put her in the hospital for three months , and ; a retirement from the movies .	1	-3	 michelle[0] has[0] survived[0] a[0] divorce[-1] with[0] asian[0] retail[0] tycoon[0] dickson[0] poon[0] a[0] nearly[0] fatal[-2] stunt[-1] accident[-1] falling[0] from[0] a[0] freeway[0] overpass[0] which[0] put[0] her[0] in[0] the[0] hospital[0] for[0] three[0] months[0] and[0] a[0] retirement[-1] from[0] the[0] movies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
her comeback from retirement , supercop ( 1992 ) became the top grossing film in asia that year . 	her comeback from retirement , supercop ( 1992 ) became the top grossing film in asia that year .	1	-2	 her[0] comeback[0] from[0] retirement[-1] supercop[0] 1992[0] became[0] the[0] top[0] grossing[-1] film[0] in[0] asia[0] that[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is not clear what michelle s martial arts style is , but it may be a theatrical version of wing chun . 	it is not clear what michelle s martial arts style is , but it may be a theatrical version of wing chun .	1	-1	 it[0] is[0] not[0] clear[0] what[0] michelle[0] s[0] martial[0] arts[0] style[0] is[0] but[0] it[0] may[0] be[0] a[0] theatrical[0] version[0] of[0] wing[0] chun[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of her character wai lin in tomorrow never dies , michelle says , " wai lin is the first bond girl who is on a par with bond , someone who can match up with him mentally and physically . " 	of her character wai lin in tomorrow never dies , michelle says , " wai lin is the first bond girl who is on a par with bond , someone who can match up with him mentally and physically .<br> "	1	-1	 of[0] her[0] character[0] wai[0] lin[0] in[0] tomorrow[0] never[0] dies[0] michelle[0] says[0] wai[0] lin[0] is[0] the[0] first[0] bond[0] girl[0] who[0] is[0] on[0] a[0] par[0] with[0] bond[0] someone[0] who[0] can[0] match[0] up[0] with[0] him[0] mentally[0] and[0] physically[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my own opinion is that casting michelle yeoh as agent wai lin was an excellent choice . 	my own opinion is that casting michelle yeoh as agent wai lin was an excellent choice .	4	-1	 my[0] own[0] opinion[0] is[0] that[0] casting[0] michelle[0] yeoh[0] as[0] agent[0] wai[0] lin[0] was[0] an[0] excellent[3] choice[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
