an indian runner was more than a courier . 	Translation	Positive	Negative	EmotionRationale
the film picks the story up on the day when mortensen returns from vietnam , and morse coincidentally encounters an armed youth fleeing for the state line . 	the film picks the story up on the day when mortensen returns from vietnam , and morse coincidentally encounters an armed youth fleeing for the state line .	1	-2	 the[0] film[0] picks[0] the[0] story[0] up[0] on[0] the[0] day[0] when[0] mortensen[0] returns[0] from[0] vietnam[0] and[0] morse[0] coincidentally[0] encounters[0] an[0] armed[0] youth[0] fleeing[-1] for[0] the[0] state[0] line[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it becomes clear that some kind of conflict threatens the link that the brothers once shared . 	it becomes clear that some kind of conflict threatens the link that the brothers once shared .	1	-3	 it[0] becomes[0] clear[0] that[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] conflict[-1] threatens[-2] the[0] link[0] that[0] the[0] brothers[0] once[0] shared[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is unobtrusive , simple , direct , plain , and sincere . 	the film is unobtrusive , simple , direct , plain , and sincere .	1	-1	 the[0] film[0] is[0] unobtrusive[0] simple[0] direct[0] plain[0] and[0] sincere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it isn't exactly perfect , but its sincerity is well invested in the struggle of the two brothers to identify the sickness before it destroys them . 	it isn't exactly perfect , but its sincerity is well invested in the struggle of the two brothers to identify the sickness before it destroys them .	1	-3	 it[0] isn't[0] exactly[0] perfect[1][NegatedDueToPreviousWord] but[0] its[0] sincerity[0] is[0] well[0] invested[0] in[0] the[0] struggle[-1] of[0] the[0] two[0] brothers[0] to[0] identify[0] the[0] sickness[-1] before[0] it[0] destroys[-2] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
life seems to move forward a little faster than they can get a handle on their problems . 	life seems to move forward a little faster than they can get a handle on their problems .	1	-2	 life[0] seems[0] to[0] move[0] forward[0] a[0] little[0] faster[0] than[0] they[0] can[0] get[0] a[0] handle[0] on[0] their[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a good film without big budget sets , or big name stars pushed into your face . 	this is a good film without big budget sets , or big name stars pushed into your face .	2	-1	 this[0] is[0] a[0] good[1] film[0] without[0] big[0] budget[0] sets[0] or[0] big[0] name[0] stars[0] pushed[0] into[0] your[0] face[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , i'm reviewing it because i suspect that it may not get much marketing . 	in fact , i'm reviewing it because i suspect that it may not get much marketing .	1	-2	 in[0] fact[0] i'm[0] reviewing[0] it[0] because[0] i[0] suspect[-1] that[0] it[0] may[0] not[0] get[0] much[0] marketing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there were perhaps 10 others at the showing i saw . 	there were perhaps 10 others at the showing i saw .	1	-1	 there[0] were[0] perhaps[0] 10[0] others[0] at[0] the[0] showing[0] i[0] saw[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i thought the structure was clean and not oversimplified , though there are a few free-form sections which also work very well . 	i thought the structure was clean and not oversimplified , though there are a few free-form sections which also work very well .	1	-1	 i[0] thought[0] the[0] structure[0] was[0] clean[0] and[0] not[0] oversimplified[0] though[0] there[0] are[0] a[0] few[0] free[0] form[0] sections[0] which[0] also[0] work[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the obligatory 1960s music seemed a little cliche , but what are you going to do--this movie * does * take place in the 1960s after all . 	the obligatory 1960s music seemed a little cliche , but what are you going to do-this movie * does * take place in the 1960s after all .	1	-1	 the[0] obligatory[0] 1960s[0] music[0] seemed[0] a[0] little[0] cliche[0] but[0] what[0] are[0] you[0] going[0] to[0] do[0] this[0] movie[0] does[0] take[0] place[0] in[0] the[0] 1960s[0] after[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in my opinion , it is worth full-price admission . 	in my opinion , it is worth full-price admission .	1	-1	 in[0] my[0] opinion[0] it[0] is[0] worth[0] full[0] price[0] admission[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
