i rented this movie with very high hopes . 	Translation	Positive	Negative	EmotionRationale
her character is the most ambitious . 	her character is the most ambitious .	1	-1	 her[0] character[0] is[0] the[0] most[0] ambitious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is very na ? ve , and must display this well to make her character believable and she does just that . 	she is very na ?<br> ve , and must display this well to make her character believable and she does just that .	1	-1	 she[0] is[0] very[0] na[0] [[Sentence=-1,1=word max, 1-5]] ve[0] and[0] must[0] display[0] this[0] well[0] to[0] make[0] her[0] character[0] believable[0] and[0] she[0] does[0] just[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her lack of chemistry with macy , which the role calls for , and her developed chemistry with jeff daniels is terrific , and if daniels would have been as stellar as the rest of the cast , then this film would even been even better . 	her lack of chemistry with macy , which the role calls for , and her developed chemistry with jeff daniels is terrific , and if daniels would have been as stellar as the rest of the cast , then this film would even been even better .	4	-2	 her[0] lack[-1] of[0] chemistry[0] with[0] macy[0] which[0] the[0] role[0] calls[0] for[0] and[0] her[0] developed[0] chemistry[0] with[0] jeff[0] daniels[0] is[0] terrific[3] and[0] if[0] daniels[0] would[0] have[0] been[0] as[0] stellar[0] as[0] the[0] rest[0] of[0] the[0] cast[0] then[0] this[0] film[0] would[0] even[0] been[0] even[0] better[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as said before , jeff daniels gives a bad performance . 	as said before , jeff daniels gives a bad performance .	1	-2	 as[0] said[0] before[0] jeff[0] daniels[0] gives[0] a[0] bad[-1] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his character displays the change going on throughout the town , yet he does not display it with enough conviction . 	his character displays the change going on throughout the town , yet he does not display it with enough conviction .	1	-2	 his[0] character[0] displays[0] the[0] change[0] going[0] on[0] throughout[0] the[0] town[0] yet[0] he[0] does[0] not[0] display[0] it[0] with[0] enough[0] conviction[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his character is very confusing and he is not very believable . 	his character is very confusing and he is not very believable .	1	-3	 his[0] character[0] is[0] very[0] confusing[-1][-1 LastWordBoosterStrength] and[0] he[0] is[0] not[0] very[0] believable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this film could have been elevated to a whole new level had daniels been able to give a better performance . 	this film could have been elevated to a whole new level had daniels been able to give a better performance .	1	-1	 this[0] film[0] could[0] have[0] been[0] elevated[0] to[0] a[0] whole[0] new[0] level[0] had[0] daniels[0] been[0] able[0] to[0] give[0] a[0] better[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is very provocative . 	the movie is very provocative .	1	-1	 the[0] movie[0] is[0] very[0] provocative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it challenges the issues of racism that existed in the past and that still exist today . 	it challenges the issues of racism that existed in the past and that still exist today .	1	-2	 it[0] challenges[-1] the[0] issues[0] of[0] racism[-1] that[0] existed[0] in[0] the[0] past[0] and[0] that[0] still[0] exist[0] today[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i really was not expecting all of the elements they brought up , but they pulled them off with such flair that it was mind blowing . 	i really was not expecting all of the elements they brought up , but they pulled them off with such flair that it was mind blowing .	1	-1	 i[0] really[0] was[0] not[0] expecting[0] all[0] of[0] the[0] elements[0] they[0] brought[0] up[0] but[0] they[0] pulled[0] them[0] off[0] with[0] such[0] flair[0] that[0] it[0] was[0] mind[0] blowing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they demonstrate the racism issue without a hitch , but do it in a slow pace . 	they demonstrate the racism issue without a hitch , but do it in a slow pace .	1	-2	 they[0] demonstrate[0] the[0] racism[-1] issue[0] without[0] a[0] hitch[0] but[0] do[0] it[0] in[0] a[0] slow[0] pace[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only major flaw in the film besides the performance by daniels is length . 	the only major flaw in the film besides the performance by daniels is length .	1	-2	 the[0] only[0] major[0] flaw[-1] in[0] the[0] film[0] besides[0] the[0] performance[0] by[0] daniels[0] is[0] length[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some films are not meant to be that long . 	some films are not meant to be that long .	1	-1	 some[0] films[0] are[0] not[0] meant[0] to[0] be[0] that[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pleasantville is one of those films . 	pleasantville is one of those films .	3	-1	 pleasantville[2] is[0] one[0] of[0] those[0] films[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this film could have been so much better had they not moved so slowly to it . 	this film could have been so much better had they not moved so slowly to it .	1	-1	 this[0] film[0] could[0] have[0] been[0] so[0] much[0] better[0] had[0] they[0] not[0] moved[0] so[0] slowly[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first , they are amazed by the implementation of color . 	first , they are amazed by the implementation of color .	3	-1	 first[0] they[0] are[0] amazed[2] by[0] the[0] implementation[0] of[0] color[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then they want to have it . 	then they want to have it .	1	-1	 then[0] they[0] want[0] to[0] have[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then they do not want to . 	then they do not want to .	1	-1	 then[0] they[0] do[0] not[0] want[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then the war ensues between the colored and non-colored . 	then the war ensues between the colored and non-colored .	1	-3	 then[0] the[0] war[-2] ensues[0] between[0] the[0] colored[0] and[0] non[0] colored[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is all strung out over two hours , which was way too long . 	this is all strung out over two hours , which was way too long .	1	-1	 this[0] is[0] all[0] strung[0] out[0] over[0] two[0] hours[0] which[0] was[0] way[0] too[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some movies need a lot of time . 	some movies need a lot of time .	1	-1	 some[0] movies[0] need[0] a[0] lot[0] of[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
saving private ryan was a little bit under three hours long and i thought it could have used more time . 	saving private ryan was a little bit under three hours long and i thought it could have used more time .	1	-1	 saving[0] private[0] ryan[0] was[0] a[0] little[0] bit[0] under[0] three[0] hours[0] long[0] and[0] i[0] thought[0] it[0] could[0] have[0] used[0] more[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is only two hours long , and seems much longer . 	this film is only two hours long , and seems much longer .	1	-1	 this[0] film[0] is[0] only[0] two[0] hours[0] long[0] and[0] seems[0] much[0] longer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
length is everything in films . 	length is everything in films .	1	-1	 length[0] is[0] everything[0] in[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you can nail down the perfect timing and pace , you can win half the battle . 	if you can nail down the perfect timing and pace , you can win half the battle .	2	-2	 if[0] you[0] can[0] nail[0] down[0] the[0] perfect[1] timing[0] and[0] pace[0] you[0] can[0] win[0] half[0] the[0] battle[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
pleasantville can move at a good pace at times , but it is not consistent enough . 	pleasantville can move at a good pace at times , but it is not consistent enough .	3	-1	 pleasantville[2] can[0] move[0] at[0] a[0] good[1] pace[0] at[0] times[0] but[0] it[0] is[0] not[0] consistent[0] enough[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
overall , pleasantville is a very pleasant and provocative departure from the predictability of most films these days . 	overall , pleasantville is a very pleasant and provocative departure from the predictability of most films these days .	4	-1	 overall[0] pleasantville[2] is[0] a[0] very[0] pleasant[2][1 LastWordBoosterStrength] and[0] provocative[0] departure[0] from[0] the[0] predictability[0] of[0] most[0] films[0] these[0] days[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i went in expecting a light-hearted film about change . 	i went in expecting a light-hearted film about change .	1	-1	 i[0] went[0] in[0] expecting[0] a[0] light[0] hearted[0] film[0] about[0] change[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i left learning an important lesson about racism and the way things change . 	i left learning an important lesson about racism and the way things change .	1	-2	 i[0] left[0] learning[0] an[0] important[0] lesson[0] about[0] racism[-1] and[0] the[0] way[0] things[0] change[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
luckily , pleasantville teaches this lesson in such a way to make it appeal to all audiences . 	luckily , pleasantville teaches this lesson in such a way to make it appeal to all audiences .	4	-1	 luckily[2] pleasantville[2][+1 MultiplePositiveWords] teaches[0] this[0] lesson[0] in[0] such[0] a[0] way[0] to[0] make[0] it[0] appeal[0] to[0] all[0] audiences[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
only if it could have done in a shorter amount of time . 	only if it could have done in a shorter amount of time .	1	-1	 only[0] if[0] it[0] could[0] have[0] done[0] in[0] a[0] shorter[0] amount[0] of[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
