labelling is sometimes everything . 	Translation	Positive	Negative	EmotionRationale
police simultaneously raids the gathering , and in the commotion warriors get blamed by the killing , and their leader gets killed by riffs . 	police simultaneously raids the gathering , and in the commotion warriors get blamed by the killing , and their leader gets killed by riffs .	1	-4	 police[0] simultaneously[0] raids[0] the[0] gathering[0] and[0] in[0] the[0] commotion[-1] warriors[0] get[0] blamed[-1] by[0] the[0] killing[-1] and[0] their[0] leader[0] gets[0] killed[-3] by[0] riffs[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the remaining eight , led by cleon's lieutenant swann ( michael beck ) , must now try to get to coney island , but this time unprotected by truce and instead being chased by all the gangs . 	the remaining eight , led by cleon's lieutenant swan ( michael beck ) , must now try to get to coney island , but this time unprotected by truce and instead being chased by all the gangs .	1	-3	 the[0] remaining[0] eight[0] led[0] by[0] cleon's[0] lieutenant[0] swann/swan[0] michael[0] beck[0] must[0] now[0] try[0] to[0] get[0] to[0] coney[0] island[0] but[0] this[0] time[0] unprotected[-2] by[0] truce[0] and[0] instead[0] being[0] chased[-1] by[0] all[0] the[0] gangs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
upon its release , despite the controversies and even some youth riots that were allegedly inspired by it , the warriors enjoyed immense popularity and very quickly received some kind of a cult status . 	upon its release , despite the controversies and even some youth riots that were allegedly inspired by it , the warriors enjoyed immense popularity and very quickly received some kind of a cult status .	3	-2	 upon[0] its[0] release[0] despite[0] the[0] controversies[-1] and[0] even[0] some[0] youth[0] riots[0] that[0] were[0] allegedly[-1] inspired[2] by[0] it[0] the[0] warriors[0] enjoyed[2] immense[0] popularity[1] and[0] very[0] quickly[0] received[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] a[0] cult[0] status[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , despite being one of the best movies of that year , and being directed by talented action director walter hill at the peak of his career , the movie failed to leave as strong impression to the future generations as some other cinematic achievements of that same year . 	however , despite being one of the best movies of that year , and being directed by talented action director walter hill at the peak of his career , the movie failed to leave as strong impression to the future generations as some other cinematic achievements of that same year .	2	-3	 however[0] despite[0] being[0] one[0] of[0] the[0] best[1] movies[0] of[0] that[0] year[0] and[0] being[0] directed[0] by[0] talented[1] action[0] director[0] walter[0] hill[0] at[0] the[0] peak[0] of[0] his[0] career[0] the[0] movie[0] failed[-2] to[0] leave[0] as[0] strong[0] impression[0] to[0] the[0] future[0] generations[0] as[0] some[0] other[0] cinematic[0] achievements[0] of[0] that[0] same[0] year[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the reason for that probably lies in a fact that this movie aged very quickly . 	the reason for that probably lies in a fact that this movie aged very quickly .	1	-3	 the[0] reason[0] for[0] that[0] probably[0] lies[-2] in[0] a[0] fact[0] that[0] this[0] movie[0] aged[0] very[0] quickly[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if walter hill's idea was to warn the public about problems of urban america , he failed miserably . 	if walter hill's idea was to warn the public about problems of urban america , he failed miserably .	1	-4	 if[0] walter[0] hill's[0] idea[0] was[0] to[0] warn[0] the[0] public[0] about[0] problems[-1] of[0] urban[0] america[0] he[0] failed[-2] miserably[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the future was much worse than his vision . 	the future was much worse than his vision .	1	-3	 the[0] future[0] was[0] much[0] worse[-2] than[0] his[0] vision[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the youth gangs , as presented in the warriors , are far from shadowy armies , able to take over entire cities . 	the youth gangs , as presented in the warriors , are far from shadowy armies , able to take over entire cities .	1	-1	 the[0] youth[0] gangs[0] as[0] presented[0] in[0] the[0] warriors[0] are[0] far[0] from[0] shadowy[0] armies[0] able[0] to[0] take[0] over[0] entire[0] cities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their members seem more interested in unorthodox fashion and their little petty feuds than such prosaic , and for the public more annoying , matters like crime . 	their members seem more interested in unorthodox fashion and their little petty feuds than such prosaic , and for the public more annoying , matters like crime .	2	-3	 their[0] members[0] seem[0] more[0] interested[1] in[0] unorthodox[0] fashion[0] and[0] their[0] little[0] petty[0] feuds[-2] than[0] such[0] prosaic[0] and[0] for[0] the[0] public[0] more[0] annoying[-2] matters[0] like[1] crime[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in their vocabulary , word " arms " is reserved for small knives and blunt objects , and only few of them use heavy artillery like handguns . 	in their vocabulary , word " arms " is reserved for small knives and blunt objects , and only few of them use heavy artillery like handguns .	2	-2	 in[0] their[0] vocabulary[0] word[0] arms[0] is[0] reserved[0] for[0] small[0] knives[0] and[0] blunt[-1] objects[0] and[0] only[0] few[0] of[0] them[0] use[0] heavy[0] artillery[0] like[1] handguns[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they even have their own , very strict and detailed laws , upheld more strictly than some governments do with their own . 	they even have their own , very strict and detailed laws , upheld more strictly than some governments do with their own .	1	-3	 they[0] even[0] have[0] their[0] own[0] very[0] strict[-1][-1 LastWordBoosterStrength] and[0] detailed[0] laws[0] upheld[0] more[0] strictly[-1] than[0] some[0] governments[0] do[0] with[0] their[0] own[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
many people in american cities would be more than happy to see their young criminals behaving like those in the warriors . 	many people in american cities would be more than happy to see their young criminals behaving like those in the warriors .	2	-2	 many[0] people[0] in[0] american[0] cities[0] would[0] be[0] more[0] than[0] happy[1] to[0] see[0] their[0] young[0] criminals[-1] behaving[0] like[1] those[0] in[0] the[0] warriors[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
some of the critics who accused hill of actually praising youth crime had a lot arguments in their favour . 	some of the critics who accused hill of actually praising youth crime had a lot arguments in their favour .	3	-2	 some[0] of[0] the[0] critics[0] who[0] accused[-1] hill[0] of[0] actually[0] praising[2] youth[0] crime[-1] had[0] a[0] lot[0] arguments[-1] in[0] their[0] favour[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
despite those objections , the warriors have all the elements of a very good film . 	despite those objections , the warriors have all the elements of a very good film .	3	-2	 despite[0] those[0] objections[-1] the[0] warriors[0] have[0] all[0] the[0] elements[0] of[0] a[0] very[0] good[1][1 LastWordBoosterStrength] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the plot is simple , and serves as good basis for numerous action scenes . 	the plot is simple , and serves as good basis for numerous action scenes .	2	-1	 the[0] plot[0] is[0] simple[0] and[0] serves[0] as[0] good[1] basis[0] for[0] numerous[0] action[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the fights are brilliantly choreographed and quite realistic , although there isn't much bloodshed or gore in the movie . 	the fights are brilliantly choreographed and quite realistic , although there isn't much bloodshed or gore in the movie .	2	-3	 the[0] fights[-2] are[0] brilliantly[1] choreographed[-2] and[0] quite[0] realistic[0] although[0] there[0] isn't[0] much[0] bloodshed[-1][NegatedDueToPreviousWord] or[0] gore[0] in[0] the[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
editing is superb , events happen at quick pace , with the exception of middle , when boring moralistic exchanges between swann and his would-be-girlfriend mercy ( deborah van valkenburgh ) drag the plot from straight action to social drama territory . 	editing is superb , events happen at quick pace , with the exception of middle , when boring moralistic exchanges between swan and his would-be-girlfriend mercy ( deborah van valkenburgh ) drag the plot from straight action to social drama territory .	1	-2	 editing[0] is[0] superb[0] events[0] happen[0] at[0] quick[0] pace[0] with[0] the[0] exception[0] of[0] middle[0] when[0] boring[-1] moralistic[0] exchanges[0] between[0] swann/swan[0] and[0] his[0] would[0] be[0] girlfriend[0] mercy[0] deborah[0] van[0] valkenburgh[0] drag[-1] the[0] plot[0] from[0] straight[0] action[0] to[0] social[0] drama[0] territory[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the soundtrack by barry de vorzon is very suggestive and recognisable . 	the soundtrack by barry de vorzon is very suggestive and recognisable .	1	-1	 the[0] soundtrack[0] by[0] barry[0] de[0] vorzon[0] is[0] very[0] suggestive[0] and[0] recognisable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yet , the trademark of this film are the actors who showed great talent , although most of them later sunk into anonymity . 	yet , the trademark of this film are the actors who showed great talent , although most of them later sunk into anonymity .	3	-1	 yet[0] the[0] trademark[0] of[0] this[0] film[0] are[0] the[0] actors[0] who[0] showed[0] great[2] talent[1] although[0] most[0] of[0] them[0] later[0] sunk[0] into[0] anonymity[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
best known of them is david patrick kelly , whose superb and original performance in this film later subscribed him to the roles of psychopathic villains . 	best known of them is david patrick kelly , whose superb and original performance in this film later subscribed him to the roles of psychopathic villains .	2	-3	 best[1] known[0] of[0] them[0] is[0] david[0] patrick[0] kelly[0] whose[0] superb[0] and[0] original[0] performance[0] in[0] this[0] film[0] later[0] subscribed[0] him[0] to[0] the[0] roles[0] of[0] psychopathic[0] villains[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
michael beck as cool , almost statesman-like leader of a gang , is also very good , and james remar gives good contrast as his hot-shot contender for top spot . 	michael beck as cool , almost statesman-like leader of a gang , is also very good , and james remar gives good contrast as his hot-shot contender for top spot .	3	-2	 michael[0] beck[0] as[0] cool[1] almost[0] statesman[0] like[1] leader[0] of[0] a[0] gang[0] is[0] also[0] very[0] good[1][1 LastWordBoosterStrength] and[0] james[0] remar[0] gives[0] good[1] contrast[0] as[0] his[0] hot[0] shot[-1] contender[0] for[0] top[0] spot[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
all in all , this movie is perhaps dated , yet in its hour and half can give a lot more entertainment than most of the contemporary movies . 	all in all , this movie is perhaps dated , yet in its hour and half can give a lot more entertainment than most of the contemporary movies .	1	-1	 all[0] in[0] all[0] this[0] movie[0] is[0] perhaps[0] dated[0] yet[0] in[0] its[0] hour[0] and[0] half[0] can[0] give[0] a[0] lot[0] more[0] entertainment[0] than[0] most[0] of[0] the[0] contemporary[0] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
