plot : a human space astronaut accidentally falls upon a planet ruled by apes . 	Translation	Positive	Negative	EmotionRationale
i also hated the " kid " character who just got on my nerves and didn't really care for the way that the battle sequence was resolved ( i won't ruin it here but c'mon guys . . . you 	i also hated the " kid " character who just got on my nerves and didn't really care for the way that the battle sequence was resolved ( i won't ruin it here but c'mon guys .<br> .<br> .<br> you	3	-4	 i[0] also[0] hated[-3] the[0] kid[0] character[0] who[0] just[0] got[0] on[0] my[0] nerves[0] and[0] didn't[0] really[0] care[1][1 LastWordBoosterStrength] for[0] the[0] way[0] that[0] the[0] battle[-1] sequence[0] was[0] resolved[1] i[0] won't[0] ruin[-1][NegatedDueToPreviousWord] it[0] here[0] but[0] c'mon[0] guys[0] [[Sentence=-4,3=word max, 1-5]] you[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
coulda thought of something a little more plausible than that , no ? ) . 	coulda thought of something a little more plausible than that , no ?<br> ) .	1	-1	 coulda[0] thought[0] of[0] something[0] a[0] little[0] more[0] plausible[0] than[0] that[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the thing that held this movie back more than anything else was its lead character , his cold demeanor and the zero chemistry that he shared with either one of his inter-species love interests . 	but the thing that held this movie back more than anything else was its lead character , his cold demeanor and the zero chemistry that he shared with either one of his inter-species love interests .	3	-2	 but[0] the[0] thing[0] that[0] held[0] this[0] movie[0] back[0] more[0] than[0] anything[0] else[0] was[0] its[0] lead[0] character[0] his[0] cold[-1] demeanor[0] and[0] the[0] zero[0] chemistry[0] that[0] he[0] shared[0] with[0] either[0] one[0] of[0] his[0] inter[0] species[0] love[2] interests[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this dude didn't seem to give a rat's ass about anyone but himself and i ultimately didn't really care about what happened to him either . 	this dude didn't seem to give a rat's ass about anyone but himself and i ultimately didn't really care about what happened to him either .	3	-1	 this[0] dude[0] didn't[0] seem[0] to[0] give[0] a[0] rat's[0] ass[0] about[0] anyone[0] but[0] himself[0] and[0] i[0] ultimately[0] didn't[0] really[0] care[1][1 LastWordBoosterStrength] about[0] what[0] happened[0] to[0] him[0] either[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now i'm not sure if this was the fault of the actor or the script , but the film suffered because of it . 	now i'm not sure if this was the fault of the actor or the script , but the film suffered because of it .	1	-4	 now[0] i'm[0] not[0] sure[0] if[0] this[0] was[0] the[0] fault[-1] of[0] the[0] actor[0] or[0] the[0] script[0] but[0] the[0] film[0] suffered[-3] because[0] of[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
visually , the movie was also nice to look at ( especially the apes ! ) , but i definitely expected greater coolness from tim burton . 	visually , the movie was also nice to look at ( especially the apes !<br> ) , but i definitely expected greater coolness from tim burton .	3	-2	 visually[0] the[0] movie[0] was[0] also[0] nice[1] to[0] look[0] at[0] especially[0] the[0] apes[0] [[Sentence=-1,2=word max, 1-5]] but[0] i[0] definitely[0] expected[0] greater[2] coolness[-1] from[0] tim[0] burton[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the " surprise ending " that highlighted the original planet of the apes film back in 1968 , felt a little tacked on here , and despite being interesting , didn't really make all that much sense to me ( unless you look at it from a sequel point of view ) . 	the " surprise ending " that highlighted the original planet of the apes film back in 1968 , felt a little tacked on here , and despite being interesting , didn't really make all that much sense to me ( unless you look at it from a sequel point of view ) .	2	-1	 the[0] surprise[0] ending[0] that[0] highlighted[0] the[0] original[0] planet[0] of[0] the[0] apes[0] film[0] back[0] in[0] 1968[0] felt[0] a[0] little[0] tacked[0] on[0] here[0] and[0] despite[0] being[0] interesting[1] didn't[0] really[0] make[0] all[0] that[0] much[0] sense[0] to[0] me[0] unless[0] you[0] look[0] at[0] it[0] from[0] a[0] sequel[0] point[0] of[0] view[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so overall , i loved the whole " feel " of the planet , the apes that ruled it , the manner in which they treated the humans , screamed , shouted and reverted the entire evolution chain , but didn't appreciate the film's lack of human character development ( why was kris kristofferson even in this movie ? ) and the fact that its lead male and female humans were just plain boring . 	so overall , i loved the whole " feel " of the planet , the apes that ruled it , the manner in which they treated the humans , screamed , shouted and reverted the entire evolution chain , but didn't appreciate the film's lack of human character development ( why was kris kristofferson even in this movie ?<br> ) and the fact that its lead male and female humans were just plain boring .	4	-4	 so[0] overall[0] i[0] loved[3] the[0] whole[0] feel[0] of[0] the[0] planet[0] the[0] apes[0] that[0] ruled[0] it[0] the[0] manner[0] in[0] which[0] they[0] treated[0] the[0] humans[0] screamed[-3] shouted[0] and[0] reverted[-1] the[0] entire[0] evolution[0] chain[0] but[0] didn't[0] appreciate[1] the[0] film's[0] lack[-1] of[0] human[0] character[0] development[0] why[0] was[0] kris[0] kristofferson[0] even[0] in[0] this[0] movie[0] [[Sentence=-4,4=word max, 1-5]] and[0] the[0] fact[0] that[0] its[0] lead[0] male[0] and[0] female[0] humans[0] were[0] just[0] plain[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[4,-4 max of sentences]]]
but i would still recommend this film as a fun , summer movie with laughs , creepiness and a really cool premise . 	but i would still recommend this film as a fun , summer movie with laughs , creepiness and a really cool premise .	3	-1	 but[0] i[0] would[0] still[0] recommend[0] this[0] film[0] as[0] a[0] fun[1] summer[0] movie[0] with[0] laughs[1] creepiness[0] and[0] a[0] really[0] cool[1][1 LastWordBoosterStrength] premise[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ps : for anyone who has seen the original , i cannot believe that they didn't at least bring back the scene in which the lead human character ( in this case , mark wahlberg ) goes nuts at the world in which he's suddenly been thrust ( " this is a mad house ! " - 	ps : for anyone who has seen the original , i cannot believe that they didn't at least bring back the scene in which the lead human character ( in this case , mark wahlberg ) goes nuts at the world in which he's suddenly been thrust ( " this is a mad house !<br> " -	1	-2	 ps[0] for[0] anyone[0] who[0] has[0] seen[0] the[0] original[0] i[0] cannot[0] believe[0] that[0] they[0] didn't[0] at[0] least[0] bring[0] back[0] the[0] scene[0] in[0] which[0] the[0] lead[0] human[0] character[0] in[0] this[0] case[0] mark[0] wahlberg[0] goes[0] nuts[0] at[0] the[0] world[0] in[0] which[0] he's[0] suddenly[0] been[0] thrust[0] this[0] is[0] a[0] mad[-1] house[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
type of thing ) . 	type of thing ) .	1	-1	 type[0] of[0] thing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the guy in this film barely seems to be " put off " by the fact that he's surrounded by apes who can speak english ! ! 	the guy in this film barely seems to be " put off " by the fact that he's surrounded by apes who can speak english !<br> !	1	-1	 the[0] guy[0] in[0] this[0] film[0] barely[0] seems[0] to[0] be[0] put[0] off[0] by[0] the[0] fact[0] that[0] he's[0] surrounded[0] by[0] apes[0] who[0] can[0] speak[0] english[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the arrival ( 8/10 ) - battlefield earth ( 7/10 ) - godzilla ( 4/10 ) - instinct ( 6/10 ) - mission to mars ( 3/10 ) - pitch black ( 7/10 ) - ( 1968 ) planet of the apes ( 9/10 ) - sleepy hollow ( 8/10 ) 	the arrival ( 8/10 ) - battlefield earth ( 7/10 ) - godzilla ( 4/10 ) - instinct ( 6/10 ) - mission to mars ( 3/10 ) - pitch black ( 7/10 ) - ( 1968 ) planet of the apes ( 9/10 ) - sleepy hollow ( 8/10 )	1	-2	 the[0] arrival[0] 8/10[0] battlefield[-1] earth[0] 7/10[0] godzilla[0] 4/10[0] instinct[0] 6/10[0] mission[0] to[0] mars[0] 3/10[0] pitch[0] black[0] 7/10[0] 1968[0] planet[0] of[0] the[0] apes[0] 9/10[0] sleepy[0] hollow[-1] 8/10[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
