fritz lang's first american film since leaving nazi germany , is an eye-opener about a lynch mob in a small town . 	Translation	Positive	Negative	EmotionRationale
in the local bar , the town citizens go into a rage when learning that an arrest has been made in the kidnapping . 	in the local bar , the town citizens go into a rage when learning that an arrest has been made in the kidnapping .	1	-4	 in[0] the[0] local[0] bar[0] the[0] town[0] citizens[0] go[0] into[0] a[0] rage[-3] when[0] learning[0] that[0] an[0] arrest[0] has[0] been[0] made[0] in[0] the[0] kidnapping[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
fueled by angry talk about getting back at the kidnapper and of having the deputy inadvertently telling them of the ransom money found on the suspect , a mob storms the jail , burns it down and dynamites it when they can't get through to the prisoner's jail cell . 	fueled by angry talk about getting back at the kidnapper and of having the deputy inadvertently telling them of the ransom money found on the suspect , a mob storms the jail , burns it down and dynamites it when they can't get through to the prisoner's jail cell .	1	-4	 fueled[0] by[0] angry[-3] talk[0] about[0] getting[0] back[0] at[0] the[0] kidnapper[0] and[0] of[0] having[0] the[0] deputy[0] inadvertently[0] telling[0] them[0] of[0] the[0] ransom[0] money[0] found[0] on[0] the[0] suspect[-1] a[0] mob[0] storms[0] the[0] jail[-1] burns[-1] it[0] down[0] and[0] dynamites[0] it[0] when[0] they[0] can't[0] get[0] through[0] to[0] the[0] prisoner's[-1] jail[-1] cell[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the sheriff called the governor for the national guard , but one of his political advisers countermanded that request , saying it wouldn't look right for the governor in an election year to call out troops for those he wants to vote for him . 	the sheriff called the governor for the national guard , but one of his political advisers countermanded that request , saying it wouldn't look right for the governor in an election year to call out troops for those he wants to vote for him .	1	-1	 the[0] sheriff[0] called[0] the[0] governor[0] for[0] the[0] national[0] guard[0] but[0] one[0] of[0] his[0] political[0] advisers[0] countermanded[0] that[0] request[0] saying[0] it[0] wouldn't[0] look[0] right[0] for[0] the[0] governor[0] in[0] an[0] election[0] year[0] to[0] call[0] out[0] troops[0] for[0] those[0] he[0] wants[0] to[0] vote[0] for[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
somehow joe escapes , but his dog rainbow dies . 	somehow joe escapes , but his dog rainbow dies .	1	-1	 somehow[0] joe[0] escapes[0] but[0] his[0] dog[0] rainbow[0] dies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
katherine hears what has happened on the radio and rushes to the neighboring town of strand only to see him engulfed by flames in his cell , and becomes convinced that he died . 	katherine hears what has happened on the radio and rushes to the neighboring town of strand only to see him engulfed by flames in his cell , and becomes convinced that he died .	1	-2	 katherine[0] hears[0] what[0] has[0] happened[0] on[0] the[0] radio[0] and[0] rushes[0] to[0] the[0] neighboring[0] town[0] of[0] strand[0] only[0] to[0] see[0] him[0] engulfed[-1] by[0] flames[0] in[0] his[0] cell[0] and[0] becomes[0] convinced[0] that[0] he[0] died[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the next day the newspapers announce that the guilty kidnapper confesses . 	the next day the newspapers announce that the guilty kidnapper confesses .	1	-4	 the[0] next[0] day[0] the[0] newspapers[0] announce[0] that[0] the[0] guilty[-3] kidnapper[0] confesses[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
joe makes his way back to chicago and tells his brothers , who are startled to see him alive , that he wants revenge . 	joe makes his way back to chicago and tells his brothers , who are startled to see him alive , that he wants revenge .	1	-2	 joe[0] makes[0] his[0] way[0] back[0] to[0] chicago[0] and[0] tells[0] his[0] brothers[0] who[0] are[0] startled[-1] to[0] see[0] him[0] alive[0] that[0] he[0] wants[0] revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he thereby supplies his brothers with the names of the 22 leaders in the lynch mob . 	he thereby supplies his brothers with the names of the 22 leaders in the lynch mob .	1	-1	 he[0] thereby[0] supplies[0] his[0] brothers[0] with[0] the[0] names[0] of[0] the[0] 22[0] leaders[0] in[0] the[0] lynch[0] mob[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an ambitious district attorney ( walter abel ) prosecutes the 22 for murder . 	an ambitious district attorney ( walter abel ) prosecutes the 22 for murder .	1	-4	 an[0] ambitious[0] district[0] attorney[0] walter[0] abel[0] prosecutes[-1] the[0] 22[0] for[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
katherine , not knowing he's alive , remains in a state of shock , but is asked to be a witness that she saw joe burning to death . 	katherine , not knowing he's alive , remains in a state of shock , but is asked to be a witness that she saw joe burning to death .	1	-3	 katherine[0] not[0] knowing[0] he's[0] alive[0] remains[0] in[0] a[0] state[0] of[0] shock[-2] but[0] is[0] asked[0] to[0] be[0] a[0] witness[0] that[0] she[0] saw[0] joe[0] burning[-1] to[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the defense claims that it can't be a charge of murder without a corpse . 	the defense claims that it can't be a charge of murder without a corpse .	1	-4	 the[0] defense[0] claims[0] that[0] it[0] can't[0] be[0] a[0] charge[-1] of[0] murder[-3] without[0] a[0] corpse[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the trial proves to be interesting , as the citizens in this close-knit , respectable community , lie under oath , providing alibis for each other to prove they couldn't have been at the jail . 	the trial proves to be interesting , as the citizens in this close-knit , respectable community , lie under oath , providing alibis for each other to prove they couldn't have been at the jail .	3	-2	 the[0] trial[0] proves[0] to[0] be[0] interesting[1] as[0] the[0] citizens[0] in[0] this[0] close[0] knit[0] respectable[2] community[0] lie[0] under[0] oath[0] providing[0] alibis[-1] for[0] each[0] other[0] to[0] prove[0] they[0] couldn't[0] have[0] been[0] at[0] the[0] jail[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the sheriff also lies , saying he can't identify anyone in the mob . 	the sheriff also lies , saying he can't identify anyone in the mob .	1	-3	 the[0] sheriff[0] also[0] lies[-2] saying[0] he[0] can't[0] identify[0] anyone[0] in[0] the[0] mob[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but proof comes by way of a newsreel cameraman who caught the whole incident on film . 	but proof comes by way of a newsreel cameraman who caught the whole incident on film .	1	-1	 but[0] proof[0] comes[0] by[0] way[0] of[0] a[0] newsreel[0] cameraman[0] who[0] caught[0] the[0] whole[0] incident[0] on[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as for proof of the corpse , an anonymous letter is addressed to the judge enclosed with the wedding ring katherine gave joe . 	as for proof of the corpse , an anonymous letter is addressed to the judge enclosed with the wedding ring katherine gave joe .	1	-1	 as[0] for[0] proof[0] of[0] the[0] corpse[0] an[0] anonymous[0] letter[0] is[0] addressed[0] to[0] the[0] judge[0] enclosed[0] with[0] the[0] wedding[0] ring[0] katherine[0] gave[0] joe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the note , memento is misspelled , which makes katherine realize that joe is alive . 	in the note , memento is misspelled , which makes katherine realize that joe is alive .	1	-1	 in[0] the[0] note[0] memento[0] is[0] misspelled[0] which[0] makes[0] katherine[0] realize[0] that[0] joe[0] is[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the sentence is announced , 20 of the accused are found guilty of murder , but joe marches into the courtroom and gives a pious speech about what happened . 	when the sentence is announced , 20 of the accused are found guilty of murder , but joe marches into the courtroom and gives a pious speech about what happened .	1	-4	 when[0] the[0] sentence[0] is[0] announced[0] 20[0] of[0] the[0] accused[-1] are[0] found[0] guilty[-3] of[0] murder[-3] but[0] joe[0] marches[0] into[0] the[0] courtroom[0] and[0] gives[0] a[0] pious[0] speech[0] about[0] what[0] happened[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
katherine forgives him , and this very strong film ends on a weaker note than i think it should have . 	katherine forgives him , and this very strong film ends on a weaker note than i think it should have .	2	-2	 katherine[0] forgives[1] him[0] and[0] this[0] very[0] strong[0] film[0] ends[0] on[0] a[0] weaker[-1] note[0] than[0] i[0] think[0] it[0] should[0] have[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but don't blame lang for all the changes in the film , of trying to take the town off the hook by introducing this wild revenge motive . 	but don't blame lang for all the changes in the film , of trying to take the town off the hook by introducing this wild revenge motive .	2	-2	 but[0] don't[0] blame[-1][NegatedDueToPreviousWord] lang[0] for[0] all[0] the[0] changes[0] in[0] the[0] film[0] of[0] trying[0] to[0] take[0] the[0] town[0] off[0] the[0] hook[0] by[0] introducing[0] this[0] wild[0] revenge[-1] motive[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mgm couldn't bear to have it made the way lang wanted it , that is , by having tracy die in the lynching . 	mgm couldn't bear to have it made the way lang wanted it , that is , by having tracy die in the lynching .	1	-1	 mgm[0] couldn't[0] bear[0] to[0] have[0] it[0] made[0] the[0] way[0] lang[0] wanted[0] it[0] that[0] is[0] by[0] having[0] tracy[0] die[0] in[0] the[0] lynching[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead they wanted to stop short of condemning so many small american towns where lynchings actually do occur , and they thereby meddled throughout the entire script . 	instead they wanted to stop short of condemning so many small american towns where lynchings actually do occur , and they thereby meddled throughout the entire script .	1	-2	 instead[0] they[0] wanted[0] to[0] stop[0] short[0] of[0] condemning[-1] so[0] many[0] small[0] american[0] towns[0] where[0] lynchings[0] actually[0] do[0] occur[0] and[0] they[0] thereby[0] meddled[0] throughout[0] the[0] entire[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to lang's credit , even if this film failed to be a masterpiece because of the interference , it still did not let the good citizens off the moral hook . 	to lang's credit , even if this film failed to be a masterpiece because of the interference , it still did not let the good citizens off the moral hook .	2	-3	 to[0] lang's[0] credit[0] even[0] if[0] this[0] film[0] failed[-2] to[0] be[0] a[0] masterpiece[0] because[0] of[0] the[0] interference[-1] it[0] still[0] did[0] not[0] let[0] the[0] good[1] citizens[0] off[0] the[0] moral[0] hook[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his portrayal of the attempted lynching was powerfully done and was not compromised . 	his portrayal of the attempted lynching was powerfully done and was not compromised .	1	-1	 his[0] portrayal[0] of[0] the[0] attempted[0] lynching[0] was[0] powerfully[0] done[0] and[0] was[0] not[0] compromised[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you couldn't help get the feeling that the citizens didn't care that much that they almost lynched an innocent man , but cared more about protecting the reputation of their town and would do anything to keep their 22 vigilantes from going to jail , even perjuring themselves . 	you couldn't help get the feeling that the citizens didn't care that much that they almost lynched an innocent man , but cared more about protecting the reputation of their town and would do anything to keep their 22 vigilantes from going to jail , even perjuring themselves .	2	-2	 you[0] couldn't[0] help[0] get[0] the[0] feeling[0] that[0] the[0] citizens[0] didn't[0] care[1] that[0] much[0] that[0] they[0] almost[0] lynched[0] an[0] innocent[1] man[0] but[0] cared[1] more[0] about[0] protecting[0] the[0] reputation[0] of[0] their[0] town[0] and[0] would[0] do[0] anything[0] to[0] keep[0] their[0] 22[0] vigilantes[0] from[0] going[0] to[0] jail[-1] even[0] perjuring[0] themselves[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
their reaction to seeing joe alive was satisfying only in that it meant they weren't going to be convicted . 	their reaction to seeing joe alive was satisfying only in that it meant they weren't going to be convicted .	2	-2	 their[0] reaction[0] to[0] seeing[0] joe[0] alive[0] was[0] satisfying[1] only[0] in[0] that[0] it[0] meant[0] they[0] weren't[0] going[0] to[0] be[0] convicted[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lang by no means implies that the town has learned its lesson from this incident . 	lang by no means implies that the town has learned its lesson from this incident .	1	-1	 lang[0] by[0] no[0] means[0] implies[0] that[0] the[0] town[0] has[0] learned[0] its[0] lesson[0] from[0] this[0] incident[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he does imply that a dark side to joe wilson has been exposed , and the innocent , jovial good-guy , seen in the beginning of the film , has been largely altered forever by this traumatic experience . 	he does imply that a dark side to joe wilson has been exposed , and the innocent , jovial good-guy , seen in the beginning of the film , has been largely altered forever by this traumatic experience .	2	-4	 he[0] does[0] imply[0] that[0] a[0] dark[0] side[0] to[0] joe[0] wilson[0] has[0] been[0] exposed[-1] and[0] the[0] innocent[1] jovial[0] good[1] guy[0] seen[0] in[0] the[0] beginning[0] of[0] the[0] film[0] has[0] been[0] largely[0] altered[0] forever[0] by[0] this[0] traumatic[-3] experience[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
