natural born killers is really a very simple story that , in essence , has already been told in bonnie & clyde with some major variations in emphasis , mood and degree . 	Translation	Positive	Negative	EmotionRationale
vishnu preserved . 	vishnu preserved .	1	-1	 vishnu[0] preserved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and siva destroyed , but he destroyed what needed to be destroyed to make way for the useful creations of brahma . 	and siva destroyed , but he destroyed what needed to be destroyed to make way for the useful creations of brahma .	2	-3	 and[0] siva[0] destroyed[-2] but[0] he[0] destroyed[-2] what[0] needed[0] to[0] be[0] destroyed[-2] to[0] make[0] way[0] for[0] the[0] useful[1] creations[0] of[0] brahma[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the following may be painfully mundane but metaphorically so accurate , i'm forced to say it for clarity's sake : a plumber must remove the old lead and copper pipes , that is , destroy the old plumbing system in order to replace it with the new one made of plastics . 	the following may be painfully mundane but metaphorically so accurate , i'm forced to say it for clarity's sake : a plumber must remove the old lead and copper pipes , that is , destroy the old plumbing system in order to replace it with the new one made of plastics .	1	-4	 the[0] following[0] may[0] be[0] painfully[-3] mundane[-1] but[0] metaphorically[0] so[0] accurate[0] i'm[0] forced[0] to[0] say[0] it[0] for[0] clarity's[0] sake[0] a[0] plumber[0] must[0] remove[0] the[0] old[0] lead[0] and[0] copper[0] pipes[0] that[0] is[0] destroy[-2] the[0] old[0] plumbing[0] system[0] in[0] order[0] to[0] replace[0] it[0] with[0] the[0] new[0] one[0] made[0] of[0] plastics[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
your plumber , bonnie and clyde , mickey and mallory , and siva are all productive destroyers . 	your plumber , bonnie and clyde , mickey and mallory , and siva are all productive destroyers .	1	-3	 your[0] plumber[0] bonnie[0] and[0] clyde[0] mickey[0] and[0] mallory[0] and[0] siva[0] are[0] all[0] productive[0] destroyers[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i think you could say without much of a challenge that religion is responsible for more killing and death , presently and historically , than any other phenomena . 	i think you could say without much of a challenge that religion is responsible for more killing and death , presently and historically , than any other phenomena .	1	-3	 i[0] think[0] you[0] could[0] say[0] without[0] much[0] of[0] a[0] challenge[-1] that[0] religion[0] is[0] responsible[0] for[0] more[0] killing[-1] and[0] death[-2] presently[0] and[0] historically[0] than[0] any[0] other[0] phenomena[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
muslims kill christians . 	muslims kill christians .	1	-2	 muslims[0] kill[-1] christians[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hindus kill muslims . 	hindus kill muslims .	1	-2	 hindus[0] kill[-1] muslims[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
christians kill pagans . 	christians kill pagans .	1	-2	 christians[0] kill[-1] pagans[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jews kill christians , etc . you could reverse subject and predicate in each instance and still not be challenged . 	jews kill christians , etc .<br> you could reverse subject and predicate in each instance and still not be challenged .	2	-2	 jews[0] kill[-1] christians[0] etc[0] [[Sentence=-2,1=word max, 1-5]] you[0] could[0] reverse[0] subject[0] and[0] predicate[0] in[0] each[0] instance[0] and[0] still[0] not[0] be[0] challenged[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
religion is an orgy of killing . 	religion is an orgy of killing .	1	-2	 religion[0] is[0] an[0] orgy[0] of[0] killing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the institution of the state only misses first place for technical reasons like it hasn't been a major player for as long or the two are frequently indistinguishable . 	the institution of the state only misses first place for technical reasons like it hasn't been a major player for as long or the two are frequently indistinguishable .	2	-3	 the[0] institution[0] of[0] the[0] state[0] only[0] misses[-2] first[0] place[0] for[0] technical[0] reasons[0] like[1] it[0] hasn't[0] been[0] a[0] major[0] player[0] for[0] as[0] long[0] or[0] the[0] two[0] are[0] frequently[0] indistinguishable[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " the state is the divine idea upon earth , " hegel said , meaning it is absolute , all-powerful , ineffable , unassailable , infallible , authoritarian and patriarchal just like jhvh , allah , god , etc . 	 " the state is the divine idea upon earth , " hegel said , meaning it is absolute , all-powerful , ineffable , unassailable , infallible , authoritarian and patriarchal just like jhvh , allah , god , etc .	2	-1	 the[0] state[0] is[0] the[0] divine[1] idea[0] upon[0] earth[0] hegel[0] said[0] meaning[0] it[0] is[0] absolute[0] all[0] powerful[0] ineffable[0] unassailable[0] infallible[0] authoritarian[0] and[0] patriarchal[0] just[0] like[1][-1 LastWordBoosterStrength] jhvh[0] allah[0] god[0] etc[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , what does all this have to do with natural born killers ? 	well , what does all this have to do with natural born killers ?	1	-1	 well[0] what[0] does[0] all[0] this[0] have[0] to[0] do[0] with[0] natural[0] born[0] killers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let me first say that religions of this nature , in the ideal , take the place of sex . 	let me first say that religions of this nature , in the ideal , take the place of sex .	1	-1	 let[0] me[0] first[0] say[0] that[0] religions[0] of[0] this[0] nature[0] in[0] the[0] ideal[0] take[0] the[0] place[0] of[0] sex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
consider the catholic church , which in its hey-dey , took religion as seriously as any other religion or institution ever . 	consider the catholic church , which in its hey-dey , took religion as seriously as any other religion or institution ever .	2	-1	 consider[0] the[0] catholic[0] church[0] which[0] in[0] its[0] hey[1] dey[0] took[0] religion[0] as[0] seriously[0] as[0] any[0] other[0] religion[0] or[0] institution[0] ever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
god takes the place of sex as manifested in all those vows of celibacy taken by the pope , cardinals , bishops , monks , etc . they forego the one , in order to come closer to the other . 	god takes the place of sex as manifested in all those vows of celibacy taken by the pope , cardinals , bishops , monks , etc .<br> they forego the one , in order to come closer to the other .	1	-1	 god[0] takes[0] the[0] place[0] of[0] sex[0] as[0] manifested[0] in[0] all[0] those[0] vows[0] of[0] celibacy[0] taken[0] by[0] the[0] pope[0] cardinals[0] bishops[0] monks[0] etc[0] [[Sentence=-1,1=word max, 1-5]] they[0] forego[0] the[0] one[0] in[0] order[0] to[0] come[0] closer[0] to[0] the[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during the middle ages , when this doctrine was unmitigated and unchallenged , the most repressive regime the west has ever known in terms of scope and magnitude rose to power . 	during the middle ages , when this doctrine was unmitigated and unchallenged , the most repressive regime the west has ever known in terms of scope and magnitude rose to power .	1	-2	 during[0] the[0] middle[0] ages[0] when[0] this[0] doctrine[0] was[0] unmitigated[0] and[0] unchallenged[0] the[0] most[0] repressive[-1] regime[0] the[0] west[0] has[0] ever[0] known[0] in[0] terms[0] of[0] scope[0] and[0] magnitude[0] rose[0] to[0] power[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( parenthetically , witness plato as well . 	 ( parenthetically , witness plato as well .	1	-1	 parenthetically[0] witness[0] plato[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the republic , he attempted to launch the first systematic absolutist regime . 	in the republic , he attempted to launch the first systematic absolutist regime .	1	-1	 in[0] the[0] republic[0] he[0] attempted[0] to[0] launch[0] the[0] first[0] systematic[0] absolutist[0] regime[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not coincidentally he was something of a mystic himself , regularly assailing the passions . ) 	not coincidentally he was something of a mystic himself , regularly assailing the passions .<br> )	3	-3	 not[0] coincidentally[0] he[0] was[0] something[0] of[0] a[0] mystic[0] himself[0] regularly[0] assailing[-2] the[0] passions[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
catholicism , as policy , attacks the passions as evil . 	catholicism , as policy , attacks the passions as evil .	3	-3	 catholicism[0] as[0] policy[0] attacks[-2] the[0] passions[2] as[0] evil[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it sees intercourse only as a means to perpetuate the species not as a way to pleasure . 	it sees intercourse only as a means to perpetuate the species not as a way to pleasure .	3	-1	 it[0] sees[0] intercourse[0] only[0] as[0] a[0] means[0] to[0] perpetuate[0] the[0] species[0] not[0] as[0] a[0] way[0] to[0] pleasure[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
masturbation is considered a sin with the sacrament of penance necessary for absolution . 	masturbation is considered a sin with the sacrament of penance necessary for absolution .	1	-2	 masturbation[0] is[0] considered[0] a[0] sin[-1] with[0] the[0] sacrament[0] of[0] penance[0] necessary[0] for[0] absolution[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is religion , this is authoritarianism in its essence . 	this is religion , this is authoritarianism in its essence .	1	-1	 this[0] is[0] religion[0] this[0] is[0] authoritarianism[0] in[0] its[0] essence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as further evidence , the nazis had the same attitudes as the church on these matters . 	as further evidence , the nazis had the same attitudes as the church on these matters .	1	-2	 as[0] further[0] evidence[0] the[0] nazis[-1] had[0] the[0] same[0] attitudes[0] as[0] the[0] church[0] on[0] these[0] matters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
our culture , most of the cultures of the world have been steeped in this tradition for thousands of years . 	our culture , most of the cultures of the world have been steeped in this tradition for thousands of years .	1	-1	 our[0] culture[0] most[0] of[0] the[0] cultures[0] of[0] the[0] world[0] have[0] been[0] steeped[0] in[0] this[0] tradition[0] for[0] thousands[0] of[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we can't help but adopt , even internalize some of these same authoritarian attitudes , leading to a destructive split between the biological and social self . 	we can't help but adopt , even internalize some of these same authoritarian attitudes , leading to a destructive split between the biological and social self .	1	-1	 we[0] can't[0] help[0] but[0] adopt[0] even[0] internalize[0] some[0] of[0] these[0] same[0] authoritarian[0] attitudes[0] leading[0] to[0] a[0] destructive[0] split[0] between[0] the[0] biological[0] and[0] social[0] self[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mickey and mallory knox internalized them , too , then through spontaneous sexual awareness sparked in each one of them by the presence of the other , discovered them , and began expurgating them from themselves and from the world in the process unifying themselves . 	mickey and mallory knox internalized them , too , then through spontaneous sexual awareness sparked in each one of them by the presence of the other , discovered them , and began expurgating them from themselves and from the world in the process unifying themselves .	1	-1	 mickey[0] and[0] mallory[0] knox[0] internalized[0] them[0] too[0] then[0] through[0] spontaneous[0] sexual[0] awareness[0] sparked[0] in[0] each[0] one[0] of[0] them[0] by[0] the[0] presence[0] of[0] the[0] other[0] discovered[0] them[0] and[0] began[0] expurgating[0] them[0] from[0] themselves[0] and[0] from[0] the[0] world[0] in[0] the[0] process[0] unifying[0] themselves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a straightforward liberation through sex . 	it is a straightforward liberation through sex .	1	-1	 it[0] is[0] a[0] straightforward[0] liberation[0] through[0] sex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as some good patriarch once observed , " you can maintain control as long as everyone keeps their clothes on . " 	as some good patriarch once observed , " you can maintain control as long as everyone keeps their clothes on .<br> "	1	-1	 as[0] some[0] good[1][-1 LastWordBoosterStrength] patriarch[0] once[0] observed[0] you[0] can[0] maintain[0] control[0] as[0] long[0] as[0] everyone[0] keeps[0] their[0] clothes[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
m&m had a vision of what the world would be like without contradictions . 	m&m had a vision of what the world would be like without contradictions .	2	-2	 m&m[0] had[0] a[0] vision[0] of[0] what[0] the[0] world[0] would[0] be[0] like[1] without[0] contradictions[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they saw what civilization and culture and everyday life would be like under such conditions . 	they saw what civilization and culture and everyday life would be like under such conditions .	2	-1	 they[0] saw[0] what[0] civilization[0] and[0] culture[0] and[0] everyday[0] life[0] would[0] be[0] like[1] under[0] such[0] conditions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " the moment of realization is worth a thousand prayers , " as mickey says . 	 " the moment of realization is worth a thousand prayers , " as mickey says .	1	-1	 the[0] moment[0] of[0] realization[0] is[0] worth[0] a[0] thousand[0] prayers[0] as[0] mickey[0] says[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a the most consistent and impassioned critic of western culture there is nietzsche applying his typical stridency to the matter : let us look each other in the face . 	as a the most consistent and impassioned critic of western culture there is nietzsche applying his typical stridency to the matter : let us look each other in the face .	1	-2	 as[0] a[0] the[0] most[0] consistent[0] and[0] impassioned[0] critic[-1] of[0] western[0] culture[0] there[0] is[0] nietzsche[0] applying[0] his[0] typical[0] stridency[0] to[0] the[0] matter[0] let[0] us[0] look[0] each[0] other[0] in[0] the[0] face[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we are hyberboreans--we know well enough how remote our place is . 	we are hyberboreans-we know well enough how remote our place is .	1	-1	 we[0] are[0] hyberboreans[0] we[0] know[0] well[0] enough[0] how[0] remote[0] our[0] place[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " neither by land nor by water will you find the road to the hyberboreans " : even pindar , in his day , knew that much about us . 	 " neither by land nor by water will you find the road to the hyberboreans " : even pindar , in his day , knew that much about us .	1	-1	 neither[0] by[0] land[0] nor[0] by[0] water[0] will[0] you[0] find[0] the[0] road[0] to[0] the[0] hyberboreans[0] even[0] pindar[0] in[0] his[0] day[0] knew[0] that[0] much[0] about[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beyond the north , beyond ice , beyond death--our life , our happiness . . . . 	beyond the north , beyond ice , beyond death-our life , our happiness .<br> .<br> .<br> .	3	-3	 beyond[0] the[0] north[0] beyond[0] ice[0] beyond[0] death[-2] our[0] life[0] our[0] happiness[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we have discovered that happiness ; we know the way ; we got our knowledge of it from thousands of years in the labyrinth . 	we have discovered that happiness ; we know the way ; we got our knowledge of it from thousands of years in the labyrinth .	3	-1	 we[0] have[0] discovered[0] that[0] happiness[2] we[0] know[0] the[0] way[0] we[0] got[0] our[0] knowledge[0] of[0] it[0] from[0] thousands[0] of[0] years[0] in[0] the[0] labyrinth[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
who else has found it ? --the 	who else has found it ?<br> -the	1	-1	 who[0] else[0] has[0] found[0] it[0] [[Sentence=-1,1=word max, 1-5]] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
man of today ? -- " i 	man of today ?<br> - " i	1	-1	 man[0] of[0] today[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't know either the way out or the way in ; i am whatever doesn't know either the way out or the way in " --so sighs the man of today . . . . 	don't know either the way out or the way in ; i am whatever doesn't know either the way out or the way in " -so sighs the man of today .<br> .<br> .<br> .	1	-1	 don't[0] know[0] either[0] the[0] way[0] out[0] or[0] the[0] way[0] in[0] i[0] am[0] whatever[0] doesn't[0] know[0] either[0] the[0] way[0] out[0] or[0] the[0] way[0] in[0] so[0] sighs[0] the[0] man[0] of[0] today[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the sort of modernity that made us ill--we sickened in lazy peace , cowardly compromise , the whole virtuous dirtiness of the modern yea and nay . 	this is the sort of modernity that made us ill-we sickened in lazy peace , cowardly compromise , the whole virtuous dirtiness of the modern yea and nay .	3	-4	 this[0] is[0] the[0] sort[0] of[0] modernity[0] that[0] made[0] us[0] ill[-1] we[0] sickened[-3] in[0] lazy[-1] peace[0] cowardly[-1] compromise[0] the[0] whole[0] virtuous[2] dirtiness[0] of[0] the[0] modern[0] yea[0] and[0] nay[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this tolerance and largeur of the heart that " forgives " everything because it " understands " everything is a sirocco to us . 	this tolerance and largeur of the heart that " forgives " everything because it " understands " everything is a sirocco to us .	2	-1	 this[0] tolerance[1] and[0] largeur[0] of[0] the[0] heart[0] that[0] forgives[1] everything[0] because[0] it[0] understands[0] everything[0] is[0] a[0] sirocco[0] to[0] us[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rather live amid the ice than among modern virtues and other such south-winds ! 	rather live amid the ice than among modern virtues and other such south-winds !	3	-1	 rather[0] live[0] amid[0] the[0] ice[0] than[0] among[0] modern[0] virtues[2] and[0] other[0] such[0] south[0] winds[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as far as i can tell , this is what the movie has to say . 	as far as i can tell , this is what the movie has to say .	1	-1	 as[0] far[0] as[0] i[0] can[0] tell[0] this[0] is[0] what[0] the[0] movie[0] has[0] to[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
its alleged critique of the media is only secondary , tertiary , quaternary , subsidiary for sure . 	its alleged critique of the media is only secondary , tertiary , quaternary , subsidiary for sure .	1	-2	 its[0] alleged[-1] critique[0] of[0] the[0] media[0] is[0] only[0] secondary[0] tertiary[0] quaternary[0] subsidiary[0] for[0] sure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example wayne gayle's first report ends with some gen x dude saying , " if i were a mass murderer i'd be mickey and mallory , " in his most excellent bill and ted voice . 	for example wayne gayle's first report ends with some gen x dude saying , " if i were a mass murderer i'd be mickey and mallory , " in his most excellent bill and ted voice .	4	-4	 for[0] example[0] wayne[0] gayle's[0] first[0] report[0] ends[0] with[0] some[0] gen[0] x[1] dude[0] saying[0] if[0] i[0] were[0] a[0] mass[0] murderer[-3] i'd[0] be[0] mickey[0] and[0] mallory[0] in[0] his[0] most[0] excellent[3] bill[0] and[0] ted[0] voice[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
on one level you cd make the humdrum observation that because the media had glamorized these two psychopaths that the uncritical , impressionable gen x dumb guy confused the matter and took them for heroes . 	on one level you cd make the humdrum observation that because the media had glamorized these two psychopaths that the uncritical , impressionable gen x dumb guy confused the matter and took them for heroes .	3	-2	 on[0] one[0] level[0] you[0] cd[0] make[0] the[0] humdrum[0] observation[0] that[0] because[0] the[0] media[0] had[0] glamorized[1] these[0] two[0] psychopaths[0] that[0] the[0] uncritical[0] impressionable[0] gen[0] x[1] dumb[-1] guy[0] confused[-1] the[0] matter[0] and[0] took[0] them[0] for[0] heroes[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it seems more likely that he made an independent judgement at a subconscious level recognizing what m&m were up to and confessing that if he had the balls to be so honest with himself he'd be just like them , killing and destroying what deserves it . 	it seems more likely that he made an independent judgement at a subconscious level recognizing what m&m were up to and confessing that if he had the balls to be so honest with himself he'd be just like them , killing and destroying what deserves it .	1	-3	 it[0] seems[0] more[0] likely[0] that[0] he[0] made[0] an[0] independent[0] judgement[0] at[0] a[0] subconscious[0] level[0] recognizing[0] what[0] m&m[0] were[0] up[0] to[0] and[0] confessing[-1] that[0] if[0] he[0] had[0] the[0] balls[0] to[0] be[0] so[0] honest[0] with[0] himself[0] he'd[0] be[0] just[0] like[1][-1 LastWordBoosterStrength] them[0] killing[-1] and[0] destroying[-2] what[0] deserves[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
let me exemplify what i've been saying by analyzing a scene from the film , namely the scene where mallory fucks the gas station attendant , kills him , and then castigates him for giving her " the worst fuckin' head i've ever had in my life ! ! ! " 	let me exemplify what i've been saying by analyzing a scene from the film , namely the scene where mallory fucks the gas station attendant , kills him , and then castigates him for giving her " the worst fuckin' head i've ever had in my life !<br> !<br> !<br> "	1	-3	 let[0] me[0] exemplify[0] what[0] i've[0] been[0] saying[0] by[0] analyzing[0] a[0] scene[0] from[0] the[0] film[0] namely[0] the[0] scene[0] where[0] mallory[0] fucks[-2] the[0] gas[0] station[0] attendant[0] kills[0] him[0] and[0] then[0] castigates[0] him[0] for[0] giving[0] her[0] the[0] worst[-2] fuckin'[0] head[0] i've[0] ever[0] had[0] in[0] my[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now , i never claimed that mickey and mallory had a perfect relationship , because demonstrably they didn't , and this scene and the ones leading up to it show us this . 	now , i never claimed that mickey and mallory had a perfect relationship , because demonstrably they didn't , and this scene and the ones leading up to it show us this .	2	-1	 now[0] i[0] never[0] claimed[0] that[0] mickey[0] and[0] mallory[0] had[0] a[0] perfect[1] relationship[0] because[0] demonstrably[0] they[0] didn't[0] and[0] this[0] scene[0] and[0] the[0] ones[0] leading[0] up[0] to[0] it[0] show[0] us[0] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sometimes they are the source of each others frustrations , but unwilling to kill each other , since they love each other so much and are responsible for each others liberation , they must kill in place of their lever . 	sometimes they are the source of each others frustrations , but unwilling to kill each other , since they love each other so much and are responsible for each others liberation , they must kill in place of their lever .	3	-3	 sometimes[0] they[0] are[0] the[0] source[-1] of[0] each[0] others[0] frustrations[-2] but[0] unwilling[-1] to[0] kill[-1] each[0] other[0] since[0] they[0] love[2] each[0] other[0] so[0] much[0] and[0] are[0] responsible[0] for[0] each[0] others[0] liberation[0] they[0] must[0] kill[-1] in[0] place[0] of[0] their[0] lever[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's no secret that in this scene mallory fantasized that her victim was mickey . 	it's no secret that in this scene mallory fantasized that her victim was mickey .	1	-3	 it's[0] no[0] secret[0] that[0] in[0] this[0] scene[0] mallory[0] fantasized[0] that[0] her[0] victim[-2] was[0] mickey[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the attendant approached he took on mickey's character in the eyes of mallory . 	as the attendant approached he took on mickey's character in the eyes of mallory .	1	-1	 as[0] the[0] attendant[0] approached[0] he[0] took[0] on[0] mickey's[0] character[0] in[0] the[0] eyes[0] of[0] mallory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she needed to kill him because of he kidnapped that girl in the hotel room and was having secret fantasies about her while making love to mallory . 	she needed to kill him because of he kidnapped that girl in the hotel room and was having secret fantasies about her while making love to mallory .	3	-2	 she[0] needed[0] to[0] kill[-1] him[0] because[0] of[0] he[0] kidnapped[0] that[0] girl[0] in[0] the[0] hotel[0] room[0] and[0] was[0] having[0] secret[0] fantasies[0] about[0] her[0] while[0] making[0] love[2] to[0] mallory[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
upon discovery , mallory views this as a betrayal , judges him , and commutes his sentence on someone else . 	upon discovery , mallory views this as a betrayal , judges him , and commutes his sentence on someone else .	1	-3	 upon[0] discovery[0] mallory[0] views[0] this[0] as[0] a[0] betrayal[-2] judges[0] him[0] and[0] commutes[0] his[0] sentence[0] on[0] someone[0] else[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the style of the movie is a whole 'nother matter that i won't get into very deeply but surely it is partially responsible for its power . 	the style of the movie is a whole 'nother matter that i won't get into very deeply but surely it is partially responsible for its power .	1	-1	 the[0] style[0] of[0] the[0] movie[0] is[0] a[0] whole[0] 'nother[0] matter[0] that[0] i[0] won't[0] get[0] into[0] very[0] deeply[0] but[0] surely[0] it[0] is[0] partially[0] responsible[0] for[0] its[0] power[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
