 " no man is an island , " one character quotes john donne in apt pupil , effectively summarizing the movie's themes . 	Translation	Positive	Negative	EmotionRationale
singer has yet to get keyser s ? ze out of his system . 	singer has yet to get keyser s ?<br> ze out of his system .	1	-1	 singer[0] has[0] yet[0] to[0] get[0] keyser[0] s[0] [[Sentence=-1,1=word max, 1-5]] ze[0] out[0] of[0] his[0] system[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his the usual suspects and apt pupil are both about evil masquerading as innocence ( verbal's tics and todd's golden-boy reputation are plausible ruses ) ; they showcase morally bankrupt anti-heroes to whom telling the truth is not an option if they are to achieve their goals . 	his the usual suspects and apt pupil are both about evil masquerading as innocence ( verbal's tics and todd's golden-boy reputation are plausible ruses ) ; they showcase morally bankrupt anti-heroes to whom telling the truth is not an option if they are to achieve their goals .	3	-3	 his[0] the[0] usual[0] suspects[0] and[0] apt[0] pupil[0] are[0] both[0] about[0] evil[-2] masquerading[0] as[0] innocence[1] verbal's[0] tics[0] and[0] todd's[0] golden[0] boy[0] reputation[0] are[0] plausible[0] ruses[0] they[0] showcase[0] morally[0] bankrupt[-2] anti[0] heroes[2] to[0] whom[0] telling[0] the[0] truth[1] is[0] not[0] an[0] option[0] if[0] they[0] are[0] to[0] achieve[0] their[0] goals[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
apt pupil is a richer film than the usual suspects , a movie famous and popular partly because its plot machinations were not germane to the outcome-there was no way you could see the ending coming , as it was all a hoodwink , anyway . 	apt pupil is a richer film than the usual suspects , a movie famous and popular partly because its plot machinations were not germane to the outcome-there was no way you could see the ending coming , as it was all a hoodwink , anyway .	2	-1	 apt[0] pupil[0] is[0] a[0] richer[0] film[0] than[0] the[0] usual[0] suspects[0] a[0] movie[0] famous[0] and[0] popular[0] partly[0] because[0] its[0] plot[0] machinations[0] were[0] not[0] germane[-1][NegatedDueToPreviousWord] to[0] the[0] outcome[0] there[0] was[0] no[0] way[0] you[0] could[0] see[0] the[0] ending[0] coming[0] as[0] it[0] was[0] all[0] a[0] hoodwink[0] anyway[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thankfully , singer has gotten most of the usual suspects' film-schoolish geek theatrics out of his system . 	thankfully , singer has gotten most of the usual suspects' film-schoolish geek theatrics out of his system .	2	-1	 thankfully[1] singer[0] has[0] gotten[0] most[0] of[0] the[0] usual[0] suspects'[0] film[0] schoolish[0] geek[0] theatrics[0] out[0] of[0] his[0] system[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
some scenes in apt pupil feel overdirected and/or obvious ( the dream sequences were extraneous ) , but the majority of the film is subdued-and singer's handling of the violent scenes is boldly restrained for a film about a murderer and a murderer-in-training . 	some scenes in apt pupil feel overdirected and/or obvious ( the dream sequences were extraneous ) , but the majority of the film is subdued-and singer's handling of the violent scenes is boldly restrained for a film about a murderer and a murderer-in-training .	1	-4	 some[0] scenes[0] in[0] apt[0] pupil[0] feel[0] overdirected[0] and/or[0] obvious[0] the[0] dream[0] sequences[0] were[0] extraneous[0] but[0] the[0] majority[0] of[0] the[0] film[0] is[0] subdued[0] and[0] singer's[0] handling[0] of[0] the[0] violent[-2] scenes[0] is[0] boldly[0] restrained[0] for[0] a[0] film[0] about[0] a[0] murderer[-3] and[0] a[0] murderer[-3] in[0] training[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
mckellan's and renfro's performances contribute enormously to the overall success of the film ; while most people will focus on british stage vet mckellan's finely-tuned realization , i'd like to single out renfro's daring work . 	mckellan's and renfro's performances contribute enormously to the overall success of the film ; while most people will focus on british stage vet mckellan's finely-tuned realization , i'd like to single out renfro's daring work .	3	-1	 mckellan's[0] and[0] renfro's[0] performances[0] contribute[0] enormously[0] to[0] the[0] overall[0] success[2] of[0] the[0] film[0] while[0] most[0] people[0] will[0] focus[0] on[0] british[0] stage[0] vet[0] mckellan's[0] finely[0] tuned[0] realization[0] i'd[0] like[1] to[0] single[0] out[0] renfro's[0] daring[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he isn't afraid to play someone largely unappealing and cold-hearted ; he strips his character of vanity , something many of his peers wouldn't do . 	he isn't afraid to play someone largely unappealing and cold-hearted ; he strips his character of vanity , something many of his peers wouldn't do .	4	-2	 he[0] isn't[0] afraid[-3][NegatedDueToPreviousWord] to[0] play[0] someone[0] largely[0] unappealing[0] and[0] cold[-1] hearted[0] he[0] strips[0] his[0] character[0] of[0] vanity[-1] something[0] many[0] of[0] his[0] peers[0] wouldn't[0] do[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
 ( can you picture kieran culkin or jonathan taylor-thomas in the same role ? ) 	 ( can you picture kieran culkin or jonathan taylor-thomas in the same role ?<br> )	1	-1	 can[0] you[0] picture[0] kieran[0] culkin[0] or[0] jonathan[0] taylor[0] thomas[0] in[0] the[0] same[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
renfro was recently charged with possession of cocaine-i hope he doesn't continue down that path , because he has a big future in good movies waiting for him . 	renfro was recently charged with possession of cocaine-i hope he doesn't continue down that path , because he has a big future in good movies waiting for him .	3	-2	 renfro[0] was[0] recently[0] charged[-1] with[0] possession[0] of[0] cocaine[0] i[0] hope[2] he[0] doesn't[0] continue[0] down[0] that[0] path[0] because[0] he[0] has[0] a[0] big[0] future[0] in[0] good[1] movies[0] waiting[0] for[0] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as guidance counsellor edward french , " friend " schwimmer also deserves mention . 	as guidance counsellor edward french , " friend " schwimmer also deserves mention .	2	-1	 as[0] guidance[0] counsellor[0] edward[0] french[0] friend[1] schwimmer[0] also[0] deserves[0] mention[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he wants to be the parent to todd that todd's own well-to-do folks are not ( todd , like most modern kids-and only-children-has mom and dad wrapped around his pinky finger ) , and his sincerity makes the apt pupil's blackening-heart even more apparent . 	he wants to be the parent to todd that todd's own well-to-do folks are not ( todd , like most modern kids-and only-children-has mom and dad wrapped around his pinky finger ) , and his sincerity makes the apt pupil's blackening-heart even more apparent .	1	-2	 he[0] wants[0] to[0] be[0] the[0] parent[0] to[0] todd[0] that[0] todd's[0] own[0] well[0] to[0] do[0] folks[0] are[0] not[0] todd[0] like[1][NegatedDueToPreviousWord] most[0] modern[0] kids[0] and[0] only[0] children[0] has[0] mom[0] and[0] dad[0] wrapped[0] around[0] his[0] pinky[0] finger[0] and[0] his[0] sincerity[0] makes[0] the[0] apt[0] pupil's[0] blackening[0] heart[0] even[0] more[0] apparent[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but one of the film's ultimate questions , are we born evil or do we learn evil ? , might be answered in french , whose motives are the slightest bit ambiguous . 	but one of the film's ultimate questions , are we born evil or do we learn evil ?<br> , might be answered in french , whose motives are the slightest bit ambiguous .	1	-3	 but[0] one[0] of[0] the[0] film's[0] ultimate[0] questions[0] are[0] we[0] born[0] evil[-2] or[0] do[0] we[0] learn[0] evil[-2] [[Sentence=-3,1=word max, 1-5]] might[0] be[0] answered[0] in[0] french[0] whose[0] motives[0] are[0] the[0] slightest[0] bit[0] ambiguous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
no man is an island , indeed-we all have the capacity to make the " right " or the " wrong " choices . 	no man is an island , indeed-we all have the capacity to make the " right " or the " wrong " choices .	1	-2	 no[0] man[0] is[0] an[0] island[0] indeed[0] we[0] all[0] have[0] the[0] capacity[0] to[0] make[0] the[0] right[0] or[0] the[0] wrong[-1] choices[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
schwimmer winningly plays one of a trio of fascinating characters who make the unconventional apt pupil laudible . 	schwimmer winningly plays one of a trio of fascinating characters who make the unconventional apt pupil laudible .	2	-1	 schwimmer[0] winningly[1] plays[1] one[0] of[0] a[0] trio[0] of[0] fascinating[0] characters[0] who[0] make[0] the[0] unconventional[0] apt[0] pupil[0] laudible[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
-october , 1998 	-october , 1998	1	-1	 october[0] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * the excellent collection king's stories called different seasons spawned not only apt pupil , but the shawshank redemption ( originally titled rita hayworth and the shawshank redemption ) and stand by me ( originally titled the body ) . 	 * the excellent collection king's stories called different seasons spawned not only apt pupil , but the shawshank redemption ( originally titled rita hayworth and the shawshank redemption ) and stand by me ( originally titled the body ) .	4	-1	 the[0] excellent[3] collection[0] king's[0] stories[0] called[0] different[0] seasons[0] spawned[0] not[0] only[0] apt[0] pupil[0] but[0] the[0] shawshank[0] redemption[0] originally[0] titled[0] rita[0] hayworth[0] and[0] the[0] shawshank[0] redemption[0] and[0] stand[0] by[0] me[0] originally[0] titled[0] the[0] body[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
