in the opening shot of midnight cowboy , we see a close-up of a blank movie screen at a drive-in . 	Translation	Positive	Negative	EmotionRationale
a troubled expression comes across joe's face , as he wonders where have all the cowboys gone . 	a troubled expression comes across joe's face , as he wonders where have all the cowboys gone .	1	-2	 a[0] troubled[-1] expression[0] comes[0] across[0] joe's[0] face[0] as[0] he[0] wonders[0] where[0] have[0] all[0] the[0] cowboys[0] gone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
having adopted the image of a cowboy since youth , joe now finds himself deserted by the persona he tried to embody . 	having adopted the image of a cowboy since youth , joe now finds himself deserted by the persona he tried to embody .	1	-1	 having[0] adopted[0] the[0] image[0] of[0] a[0] cowboy[0] since[0] youth[0] joe[0] now[0] finds[0] himself[0] deserted[0] by[0] the[0] persona[0] he[0] tried[0] to[0] embody[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe's persistence in playing the act of the cowboy serves as an analogue to his american dream . 	joe's persistence in playing the act of the cowboy serves as an analogue to his american dream .	2	-1	 joe's[0] persistence[0] in[0] playing[1] the[0] act[0] of[0] the[0] cowboy[0] serves[0] as[0] an[0] analogue[0] to[0] his[0] american[0] dream[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he romanticizes about making it in the big city , but his dreams will desert him as he is forced to compromise his ideals for sustenance . 	he romanticizes about making it in the big city , but his dreams will desert him as he is forced to compromise his ideals for sustenance .	4	-1	 he[0] romanticizes[3] about[0] making[0] it[0] in[0] the[0] big[0] city[0] but[0] his[0] dreams[0] will[0] desert[0] him[0] as[0] he[0] is[0] forced[0] to[0] compromise[0] his[0] ideals[0] for[0] sustenance[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
by the end of midnight cowboy , joe buck loses everything and gains nothing . 	by the end of midnight cowboy , joe buck loses everything and gains nothing .	1	-2	 by[0] the[0] end[0] of[0] midnight[0] cowboy[0] joe[0] buck[0] loses[-1] everything[0] and[0] gains[0] nothing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just as the audience can picture cowboys chasing indians on a blank screen , we can also conjure up scenes from pretty woman as paradigms of american redemption and success . 	just as the audience can picture cowboys chasing indians on a blank screen , we can also conjure up scenes from pretty woman as paradigms of american redemption and success .	3	-1	 just[0] as[0] the[0] audience[0] can[0] picture[0] cowboys[0] chasing[0] indians[0] on[0] a[0] blank[0] screen[0] we[0] can[0] also[0] conjure[0] up[0] scenes[0] from[0] pretty[2] woman[0] as[0] paradigms[0] of[0] american[0] redemption[0] and[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but how realistic are these ideals ? 	but how realistic are these ideals ?	1	-1	 but[0] how[0] realistic[0] are[0] these[0] ideals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe had raped and been raped in texas . 	joe had raped and been raped in texas .	1	-4	 joe[0] had[0] raped[-3] and[0] been[0] raped[-3] in[0] texas[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the scars of his troubled past prompt him to migrate to new york , but he does not know that his aspirations to be a cowboy hero will fail him there just as they had in texas . 	the scars of his troubled past prompt him to migrate to new york , but he does not know that his aspirations to be a cowboy hero will fail him there just as they had in texas .	3	-3	 the[0] scars[0] of[0] his[0] troubled[-1] past[0] prompt[0] him[0] to[0] migrate[0] to[0] new[0] york[0] but[0] he[0] does[0] not[0] know[0] that[0] his[0] aspirations[0] to[0] be[0] a[0] cowboy[0] hero[2] will[0] fail[-2] him[0] there[0] just[0] as[0] they[0] had[0] in[0] texas[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
alongside the dream of success is the dream of salvation . 	alongside the dream of success is the dream of salvation .	3	-1	 alongside[0] the[0] dream[0] of[0] success[2] is[0] the[0] dream[0] of[0] salvation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the ability to pack up one's belongings and start anew seems to be an exclusive american convention . 	the ability to pack up one's belongings and start anew seems to be an exclusive american convention .	1	-1	 the[0] ability[0] to[0] pack[0] up[0] one's[0] belongings[0] and[0] start[0] anew[0] seems[0] to[0] be[0] an[0] exclusive[0] american[0] convention[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
schlesinger provides us with strong hints as to joe's abusive and abused past with flashbacks of improper relationships with crazy anne and granny . 	schlesinger provides us with strong hints as to joe's abusive and abused past with flashbacks of improper relationships with crazy anne and granny .	1	-4	 schlesinger[0] provides[0] us[0] with[0] strong[0] hints[0] as[0] to[0] joe's[0] abusive[-3] and[0] abused[-3] past[0] with[0] flashbacks[0] of[0] improper[-1] relationships[0] with[0] crazy[-1] anne[0] and[0] granny[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we understand that joe adopts the fa ? ade of a cowboy , a symbol of virility and gallantry , as an attempt to neutralize his shame . 	we understand that joe adopts the fa ?<br> ade of a cowboy , a symbol of virility and gallantry , as an attempt to neutralize his shame .	1	-3	 we[0] understand[0] that[0] joe[0] adopts[0] the[0] fa[0] [[Sentence=-1,1=word max, 1-5]] ade[0] of[0] a[0] cowboy[0] a[0] symbol[0] of[0] virility[0] and[0] gallantry[0] as[0] an[0] attempt[0] to[0] neutralize[-1] his[0] shame[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he runs from his past only to be sexually defiled this time by his homosexual experiences in new york . 	he runs from his past only to be sexually defiled this time by his homosexual experiences in new york .	1	-1	 he[0] runs[0] from[0] his[0] past[0] only[0] to[0] be[0] sexually[0] defiled[0] this[0] time[0] by[0] his[0] homosexual[0] experiences[0] in[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the scene at the diner which foreshadows joe's encounter with the gay student , joe buck spills ketchup on himself . 	in the scene at the diner which foreshadows joe's encounter with the gay student , joe buck spills ketchup on himself .	1	-2	 in[0] the[0] scene[0] at[0] the[0] diner[0] which[0] foreshadows[0] joe's[0] encounter[0] with[0] the[0] gay[-1] student[0] joe[0] buck[0] spills[-1] ketchup[0] on[0] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
standing up , we see the ketchup has made a red stain running from the crotch of his pants down his thigh . 	standing up , we see the ketchup has made a red stain running from the crotch of his pants down his thigh .	1	-2	 standing[0] up[0] we[0] see[0] the[0] ketchup[0] has[0] made[0] a[0] red[0] stain[-1] running[0] from[0] the[0] crotch[0] of[0] his[0] pants[0] down[0] his[0] thigh[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
schlesinger visually depicts the degeneration of joe's virility by eliciting an image of bleeding genitals , signifying emasculation . 	schlesinger visually depicts the degeneration of joe's virility by eliciting an image of bleeding genitals , signifying emasculation .	1	-1	 schlesinger[0] visually[0] depicts[0] the[0] degeneration[0] of[0] joe's[0] virility[0] by[0] eliciting[0] an[0] image[0] of[0] bleeding[0] genitals[0] signifying[0] emasculation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beyond the symbol of castration , the scene may also connote the bleeding of a virgin's first sexual encounter , a reference to joe's first homosexual liaison . 	beyond the symbol of castration , the scene may also connote the bleeding of a virgin's first sexual encounter , a reference to joe's first homosexual liaison .	1	-1	 beyond[0] the[0] symbol[0] of[0] castration[0] the[0] scene[0] may[0] also[0] connote[0] the[0] bleeding[0] of[0] a[0] virgin's[0] first[0] sexual[0] encounter[0] a[0] reference[0] to[0] joe's[0] first[0] homosexual[0] liaison[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact that the idea of a bleeding virgin is relegated only to females furthers the imagery of joe's emasculation . 	the fact that the idea of a bleeding virgin is relegated only to females furthers the imagery of joe's emasculation .	1	-1	 the[0] fact[0] that[0] the[0] idea[0] of[0] a[0] bleeding[0] virgin[0] is[0] relegated[0] only[0] to[0] females[0] furthers[0] the[0] imagery[0] of[0] joe's[0] emasculation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is ironic that joe has trouble prospecting for female clients , but effortlessly attracts men . 	it is ironic that joe has trouble prospecting for female clients , but effortlessly attracts men .	2	-2	 it[0] is[0] ironic[-1] that[0] joe[0] has[0] trouble[-1] prospecting[0] for[0] female[0] clients[0] but[0] effortlessly[0] attracts[1] men[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
joe believes his broncobuster getup is emblematic of his masculinity ; new yorkers see his ensemble as camp and  faggot stuff . ' 	joe believes his broncobuster getup is emblematic of his masculinity ; new yorkers see his ensemble as camp and  faggot stuff .<br> '	1	-2	 joe[0] believes[0] his[0] broncobuster[0] getup[0] is[0] emblematic[0] of[0] his[0] masculinity[0] new[0] yorkers[0] see[0] his[0] ensemble[0] as[0] camp[0] and[0] faggot[-1] stuff[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are two predominant images of new york . 	there are two predominant images of new york .	1	-1	 there[0] are[0] two[0] predominant[0] images[0] of[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first is that new york is the rich , cosmopolitan city where hope and opportunity are symbolized by the tall skyscrapers and the statue of liberty . 	the first is that new york is the rich , cosmopolitan city where hope and opportunity are symbolized by the tall skyscrapers and the statue of liberty .	3	-1	 the[0] first[0] is[0] that[0] new[0] york[0] is[0] the[0] rich[0] cosmopolitan[0] city[0] where[0] hope[2] and[0] opportunity[0] are[0] symbolized[0] by[0] the[0] tall[0] skyscrapers[0] and[0] the[0] statue[0] of[0] liberty[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the other new york is travis bickle's new york , a seedy , corruptive hell on earth . 	the other new york is travis bickle's new york , a seedy , corruptive hell on earth .	1	-3	 the[0] other[0] new[0] york[0] is[0] travis[0] bickle's[0] new[0] york[0] a[0] seedy[0] corruptive[-2] hell[-1] on[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
joe envisions new york as the former , but is presented with the latter . 	joe envisions new york as the former , but is presented with the latter .	1	-1	 joe[0] envisions[0] new[0] york[0] as[0] the[0] former[0] but[0] is[0] presented[0] with[0] the[0] latter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mirroring the irony in which joe envisions his cowboy attire as masculine , he mistakenly buys into the fable that new york is filled with lonely women neglected by gay men . 	mirroring the irony in which joe envisions his cowboy attire as masculine , he mistakenly buys into the fable that new york is filled with lonely women neglected by gay men .	1	-2	 mirroring[0] the[0] irony[-1] in[0] which[0] joe[0] envisions[0] his[0] cowboy[0] attire[0] as[0] masculine[0] he[0] mistakenly[-1] buys[0] into[0] the[0] fable[0] that[0] new[0] york[0] is[0] filled[0] with[0] lonely[-1] women[0] neglected[0] by[0] gay[-1] men[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
joe thinks he is performing a great service for new york , but the city rapes him of his pride and possessions . 	joe thinks he is performing a great service for new york , but the city rapes him of his pride and possessions .	3	-4	 joe[0] thinks[0] he[0] is[0] performing[0] a[0] great[2] service[0] for[0] new[0] york[0] but[0] the[0] city[0] rapes[-3] him[0] of[0] his[0] pride[1] and[0] possessions[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the people steal joe's money , the landlord confiscates his luggage , and the homosexuals rob him of his dignity . 	the people steal joe's money , the landlord confiscates his luggage , and the homosexuals rob him of his dignity .	2	-3	 the[0] people[0] steal[-2] joe's[0] money[0] the[0] landlord[0] confiscates[-1] his[0] luggage[0] and[0] the[0] homosexuals[0] rob[0] him[0] of[0] his[0] dignity[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what has become of joe's american dream ? 	what has become of joe's american dream ?	1	-1	 what[0] has[0] become[0] of[0] joe's[0] american[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
schlesinger responds to this question with the scene at the party . 	schlesinger responds to this question with the scene at the party .	1	-1	 schlesinger[0] responds[0] to[0] this[0] question[0] with[0] the[0] scene[0] at[0] the[0] party[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe gets invited to a shindig of sorts and at the gathering is exposed to a dizzying array of food , drugs , and sex . 	joe gets invited to a shindig of sorts and at the gathering is exposed to a dizying array of food , drugs , and sex .	1	-2	 joe[0] gets[0] invited[0] to[0] a[0] shindig[0] of[0] sorts[0] and[0] at[0] the[0] gathering[0] is[0] exposed[-1] to[0] a[0] dizzying/dizying[0] array[0] of[0] food[0] drugs[0] and[0] sex[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the party , all of joe and ratzo's desires are made flesh ; joe flirts successfully with women and ratzo loads up on free salami . 	at the party , all of joe and ratzo's desires are made flesh ; joe flirts successfully with women and ratzo loads up on free salami .	3	-1	 at[0] the[0] party[0] all[0] of[0] joe[0] and[0] ratzo's[0] desires[0] are[0] made[0] flesh[0] joe[0] flirts[1] successfully[2] with[0] women[0] and[0] ratzo[0] loads[0] up[0] on[0] free[0] salami[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
contrasting joe's daily struggles , shots of warhol's crew display wanton indulgence . 	contrasting joe's daily struggles , shots of warhol's crew display wanton indulgence .	1	-2	 contrasting[0] joe's[0] daily[0] struggles[-1] shots[0] of[0] warhol's[0] crew[0] display[0] wanton[0] indulgence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is an irreverence in the partygoers' attitude ; we see a shot of a woman kowtowing to nothing in particular , orgies breaking out in the periphery , and drugs passed around like party favors . 	there is an irreverence in the partygoers' attitude ; we see a shot of a woman kowtowing to nothing in particular , orgies breaking out in the periphery , and drugs passed around like party favors .	2	-2	 there[0] is[0] an[0] irreverence[0] in[0] the[0] partygoers'[0] attitude[0] we[0] see[0] a[0] shot[-1] of[0] a[0] woman[0] kowtowing[0] to[0] nothing[0] in[0] particular[0] orgies[0] breaking[0] out[0] in[0] the[0] periphery[0] and[0] drugs[0] passed[0] around[0] like[1] party[0] favors[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the party makes a mockery of joe' s ideals . 	the party makes a mockery of joe' s ideals .	1	-3	 the[0] party[0] makes[0] a[0] mockery[-2] of[0] joe'[0] s[0] ideals[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
joe believed that hard work and persistence were the elements for success in america ; scenes of the party and his rendezvous with shirley suggest that it is the idle who profit from joe's toils . 	joe believed that hard work and persistence were the elements for success in america ; scenes of the party and his rendezvous with shirley suggest that it is the idle who profit from joe's toils .	3	-1	 joe[0] believed[0] that[0] hard[0] work[0] and[0] persistence[0] were[0] the[0] elements[0] for[0] success[2] in[0] america[0] scenes[0] of[0] the[0] party[0] and[0] his[0] rendezvous[0] with[0] shirley[0] suggest[0] that[0] it[0] is[0] the[0] idle[0] who[0] profit[1] from[0] joe's[0] toils[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the american dream , schlesinger suggests , is merely a proletarian fantasy , for those who are content no longer dream , but become indolent . 	the american dream , schlesinger suggests , is merely a proletarian fantasy , for those who are content no longer dream , but become indolent .	1	-1	 the[0] american[0] dream[0] schlesinger[0] suggests[0] is[0] merely[0] a[0] proletarian[0] fantasy[0] for[0] those[0] who[0] are[0] content[0] no[0] longer[0] dream[0] but[0] become[0] indolent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as joe heads to miami , all that was significant of the cowboy image has left him . 	as joe heads to miami , all that was significant of the cowboy image has left him .	1	-1	 as[0] joe[0] heads[0] to[0] miami[0] all[0] that[0] was[0] significant[0] of[0] the[0] cowboy[0] image[0] has[0] left[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his masculinity is compromised and his morality is relinquished . 	his masculinity is compromised and his morality is relinquished .	1	-1	 his[0] masculinity[0] is[0] compromised[0] and[0] his[0] morality[0] is[0] relinquished[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for joe , nothing is left of the cowboy hero and commensurately , he surrenders the identity . 	for joe , nothing is left of the cowboy hero and commensurately , he surrenders the identity .	3	-1	 for[0] joe[0] nothing[0] is[0] left[0] of[0] the[0] cowboy[0] hero[2] and[0] commensurately[0] he[0] surrenders[0] the[0] identity[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
tossing his boots into the garbage , he returns to the bus for the last leg of his journey to miami . 	tossing his boots into the garbage , he returns to the bus for the last leg of his journey to miami .	1	-3	 tossing[0] his[0] boots[0] into[0] the[0] garbage[-2] he[0] returns[0] to[0] the[0] bus[0] for[0] the[0] last[0] leg[0] of[0] his[0] journey[0] to[0] miami[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the final shot of midnight cowboy shows joe inside the bus , more introspective , taking only a few glances outside the window . 	the final shot of midnight cowboy shows joe inside the bus , more introspective , taking only a few glances outside the window .	1	-2	 the[0] final[0] shot[-1] of[0] midnight[0] cowboy[0] shows[0] joe[0] inside[0] the[0] bus[0] more[0] introspective[0] taking[0] only[0] a[0] few[0] glances[0] outside[0] the[0] window[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead of the frequent pov shots of joe excitedly looking out of the bus on his way to new york , schlesinger sets up this final shot from the exterior of the bus looking in through the window at joe . 	instead of the frequent pov shots of joe excitedly looking out of the bus on his way to new york , schlesinger sets up this final shot from the exterior of the bus looking in through the window at joe .	3	-2	 instead[0] of[0] the[0] frequent[0] pov[0] shots[0] of[0] joe[0] excitedly[2] looking[0] out[0] of[0] the[0] bus[0] on[0] his[0] way[0] to[0] new[0] york[0] schlesinger[0] sets[0] up[0] this[0] final[0] shot[-1] from[0] the[0] exterior[0] of[0] the[0] bus[0] looking[0] in[0] through[0] the[0] window[0] at[0] joe[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
reflections of the palm trees ratzo so raved about run across the bus' window with joe hardly taking notice . 	reflections of the palm trees ratzo so raved about run across the bus' window with joe hardly taking notice .	1	-1	 reflections[0] of[0] the[0] palm[0] trees[0] ratzo[0] so[0] raved[0] about[0] run[0] across[0] the[0] bus'[0] window[0] with[0] joe[0] hardly[0] taking[0] notice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the scenery of miami no longer exacts the same excitement from joe as before . 	the scenery of miami no longer exacts the same excitement from joe as before .	3	-1	 the[0] scenery[0] of[0] miami[0] no[0] longer[0] exacts[0] the[0] same[0] excitement[2] from[0] joe[0] as[0] before[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the world seems smaller to joe now ; the termination of his journey coincides with the termination of his american dream . 	the world seems smaller to joe now ; the termination of his journey coincides with the termination of his american dream .	1	-1	 the[0] world[0] seems[0] smaller[0] to[0] joe[0] now[0] the[0] termination[0] of[0] his[0] journey[0] coincides[0] with[0] the[0] termination[0] of[0] his[0] american[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no longer does joe aspire to be the enterprising gigolo ; he resolves to return to a normal job and resign to basic means . 	no longer does joe aspire to be the enterprising gigolo ; he resolves to return to a normal job and resign to basic means .	2	-2	 no[0] longer[0] does[0] joe[0] aspire[0] to[0] be[0] the[0] enterprising[0] gigolo[0] he[0] resolves[1] to[0] return[0] to[0] a[0] normal[0] job[0] and[0] resign[-1] to[0] basic[0] means[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
midnight cowboy presents two familiar incarnations of the american dream . 	midnight cowboy presents two familiar incarnations of the american dream .	1	-1	 midnight[0] cowboy[0] presents[0] two[0] familiar[0] incarnations[0] of[0] the[0] american[0] dream[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is the frontier fantasy that if you are brave enough to repel a few indians , you can set up a ranch out west and raise a beautiful family . 	there is the frontier fantasy that if you are brave enough to repel a few indians , you can set up a ranch out west and raise a beautiful family .	3	-1	 there[0] is[0] the[0] frontier[0] fantasy[0] that[0] if[0] you[0] are[0] brave[2] enough[0] to[0] repel[0] a[0] few[0] indians[0] you[0] can[0] set[0] up[0] a[0] ranch[0] out[0] west[0] and[0] raise[0] a[0] beautiful[2] family[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then there is the jay gatsby dream that a man of humble stock , with perseverance , can make a fortune in the big city . 	then there is the jay gatsby dream that a man of humble stock , with perseverance , can make a fortune in the big city .	1	-1	 then[0] there[0] is[0] the[0] jay[0] gatsby[0] dream[0] that[0] a[0] man[0] of[0] humble[0] stock[0] with[0] perseverance[0] can[0] make[0] a[0] fortune[0] in[0] the[0] big[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe's attempt to realize these dreams robs him of his innocence in texas and morality in new york . 	joe's attempt to realize these dreams robs him of his innocence in texas and morality in new york .	2	-1	 joe's[0] attempt[0] to[0] realize[0] these[0] dreams[0] robs[0] him[0] of[0] his[0] innocence[1] in[0] texas[0] and[0] morality[0] in[0] new[0] york[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
during his search for an intangible paradise , joe ends up raping a girl and killing a man . 	during his search for an intangible paradise , joe ends up raping a girl and killing a man .	4	-4	 during[0] his[0] search[0] for[0] an[0] intangible[0] paradise[3] joe[0] ends[0] up[0] raping[-3] a[0] girl[0] and[0] killing[-1] a[0] man[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
an allegory of chasing the promise of the american dream , joe buck's progressive moral atrophy is a warning against the pursuit of illusory icons . 	an allegory of chasing the promise of the american dream , joe buck's progressive moral atrophy is a warning against the pursuit of illusory icons .	2	-2	 an[0] allegory[0] of[0] chasing[0] the[0] promise[1] of[0] the[0] american[0] dream[0] joe[0] buck's[0] progressive[0] moral[0] atrophy[-1] is[0] a[0] warning[0] against[-1] the[0] pursuit[0] of[0] illusory[0] icons[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
