one of the funniest carry on movies and the third with a medical setting . 	Translation	Positive	Negative	EmotionRationale
joan sims is entertaining as the wealthy benefactor and jim dale should really head the cast with his excellent portrayal of bumbling nookey . 	joan sims is entertaining as the wealthy benefactor and jim dale should really head the cast with his excellent portrayal of bumbling nookey .	4	-1	 joan[0] sims[0] is[0] entertaining[0] as[0] the[0] wealthy[0] benefactor[0] and[0] jim[0] dale[0] should[0] really[0] head[0] the[0] cast[0] with[0] his[0] excellent[3] portrayal[0] of[0] bumbling[0] nookey[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
charles hawtrey plays an 'out-of-character' role as dr . stoppidge , the nasty and evil practitioner who wants to knock nookey off his perch . 	charles hawtrey plays an 'out-of-character' role as dr .<br> stoppidge , the nasty and evil practitioner who wants to knock nookey off his perch .	2	-3	 charles[0] hawtrey[0] plays[1] an[0] 'out[0] of[0] character'[0] role[0] as[0] dr[0] [[Sentence=-1,2=word max, 1-5]] stoppidge[0] the[0] nasty[-2] and[0] evil[-2] practitioner[0] who[0] wants[0] to[0] knock[0] nookey[0] off[0] his[0] perch[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
some critics have said that this combination of hawtrey and stoppidge does not work well , but i think that it at least gives hawtrey a new part to play instead of the usual dimwit characters . 	some critics have said that this combination of hawtrey and stoppidge does not work well , but i think that it at least gives hawtrey a new part to play instead of the usual dimwit characters .	1	-2	 some[0] critics[0] have[0] said[0] that[0] this[0] combination[0] of[0] hawtrey[0] and[0] stoppidge[0] does[0] not[0] work[0] well[0] but[0] i[0] think[0] that[0] it[0] at[0] least[0] gives[0] hawtrey[0] a[0] new[0] part[0] to[0] play[0] instead[0] of[0] the[0] usual[0] dimwit[-1] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a matter of fact , hawtrey is suitably cunning in the part . 	as a matter of fact , hawtrey is suitably cunning in the part .	1	-1	 as[0] a[0] matter[0] of[0] fact[0] hawtrey[0] is[0] suitably[0] cunning[0] in[0] the[0] part[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other regulars in the movie include hattie jacques as the matron yet again ( but this part is probably her most boring 'matron' ) and barbara windsor as nookey's love interest and unofficial 'women's lib' campaigner , goldie locks . 	other regulars in the movie include hattie jacques as the matron yet again ( but this part is probably her most boring 'matron' ) and barbara windsor as nookey's love interest and unofficial 'women's lib' campaigner , goldie locks .	3	-2	 other[0] regulars[0] in[0] the[0] movie[0] include[0] hattie[0] jacques[0] as[0] the[0] matron[0] yet[0] again[0] but[0] this[0] part[0] is[0] probably[0] her[0] most[0] boring[-1] 'matron'[0] and[0] barbara[0] windsor[0] as[0] nookey's[0] love[2] interest[1] and[0] unofficial[0] 'women's[0] lib'[0] campaigner[0] goldie[0] locks[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
both jacques and windsor play their parts well . 	both jacques and windsor play their parts well .	1	-1	 both[0] jacques[0] and[0] windsor[0] play[0] their[0] parts[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
patsy rowlands appears briefly as miss fosdick , and there are very small cameos from wilfrid brambell ( from 'steptoe and son' fame ) and peter butterworth . 	patsy rowlands appears briefly as miss fosdick , and there are very small cameos from wilfrid brambell ( from 'steptoe and son' fame ) and peter butterworth .	2	-2	 patsy[0] rowlands[0] appears[0] briefly[0] as[0] miss[-1] fosdick[0] and[0] there[0] are[0] very[0] small[0] cameos[0] from[0] wilfrid[0] brambell[0] from[0] 'steptoe[0] and[0] son'[0] fame[0] and[0] peter[0] butterworth[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
the jokes are mostly very funny , the story is quite appealing , and the regulars seem interested in what they're doing . 	the jokes are mostly very funny , the story is quite appealing , and the regulars seem interested in what they're doing .	3	-1	 the[0] jokes[1] are[0] mostly[0] very[0] funny[1][1 LastWordBoosterStrength] the[0] story[0] is[0] quite[0] appealing[0] and[0] the[0] regulars[0] seem[0] interested[1] in[0] what[0] they're[0] doing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although it is another medical carry on movie and some of the jokes are borrowed from previous movies , it still comes out on top ( it is the best medical carry on ) because of the above factors . 	although it is another medical carry on movie and some of the jokes are borrowed from previous movies , it still comes out on top ( it is the best medical carry on ) because of the above factors .	2	-1	 although[0] it[0] is[0] another[0] medical[0] carry[0] on[0] movie[0] and[0] some[0] of[0] the[0] jokes[1] are[0] borrowed[0] from[0] previous[0] movies[0] it[0] still[0] comes[0] out[0] on[0] top[0] it[0] is[0] the[0] best[1] medical[0] carry[0] on[0] because[0] of[0] the[0] above[0] factors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a must-see carry on movie . 	a must-see carry on movie .	1	-1	 a[0] must[0] see[0] carry[0] on[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
