i wish i could say that there is something more to the new star wars installment than what you see in the commercials , but there isn't . 	Translation	Positive	Negative	EmotionRationale
there are hardly any emotional scenes in the film- even when we discover that anakin will be leaving his slave mother behind to begin jedi training , the frenzied excitement of the whole film wears down the poignancy to the size of a crumb . 	there are hardly any emotional scenes in the film- even when we discover that anakin will be leaving his slave mother behind to begin jedi training , the frenzied excitement of the whole film wears down the poignancy to the size of a crumb .	3	-2	 there[0] are[0] hardly[0] any[0] emotional[-1] scenes[0] in[0] the[0] film[0] even[0] when[0] we[0] discover[0] that[0] anakin[0] will[0] be[0] leaving[0] his[0] slave[0] mother[0] behind[0] to[0] begin[0] jedi[0] training[0] the[0] frenzied[0] excitement[2] of[0] the[0] whole[0] film[0] wears[0] down[0] the[0] poignancy[0] to[0] the[0] size[0] of[0] a[0] crumb[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this does not prove that the phantom menace is poorly made for it is brilliantly made . 	this does not prove that the phantom menace is poorly made for it is brilliantly made .	2	-3	 this[0] does[0] not[0] prove[0] that[0] the[0] phantom[0] menace[-2] is[0] poorly[-1] made[0] for[0] it[0] is[0] brilliantly[1] made[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in all the star wars films , human emotions that we , the audience , can identify with are usually nil , but the films are for pure enjoyment , not for uplifting purposes . 	in all the star wars films , human emotions that we , the audience , can identify with are usually nil , but the films are for pure enjoyment , not for uplifting purposes .	3	-3	 in[0] all[0] the[0] star[0] wars[-2] films[0] human[0] emotions[0] that[0] we[0] the[0] audience[0] can[0] identify[0] with[0] are[0] usually[0] nil[0] but[0] the[0] films[0] are[0] for[0] pure[0] enjoyment[2] not[0] for[0] uplifting[0] purposes[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
despite the fun of watching the movie , the phantom menace is not without flaws . 	despite the fun of watching the movie , the phantom menace is not without flaws .	2	-3	 despite[0] the[0] fun[1] of[0] watching[0] the[0] movie[0] the[0] phantom[0] menace[-2] is[0] not[0] without[0] flaws[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for starters , we have the ill-conceived , moronic character jar-jar binks who should be considered a threat to star wars galactic society and to the audience . 	for starters , we have the ill-conceived , moronic character jar-jar binks who should be considered a threat to star wars galactic society and to the audience .	1	-3	 for[0] starters[0] we[0] have[0] the[0] ill[-1] conceived[0] moronic[-2] character[0] jar[0] jar[0] binks[0] who[0] should[0] be[0] considered[0] a[0] threat[-2] to[0] star[0] wars[-2] galactic[0] society[0] and[0] to[0] the[0] audience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what a klutz ! 	what a klutz !	1	-1	 what[0] a[0] klutz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
george lucas clumsily tried to create a fun character that would be as memorable as , say , yoda , r2-d2 , or c3-po , but , alas , his efforts were in vain . 	george lucas clumsily tried to create a fun character that would be as memorable as , say , yoda , r2-d2 , or c3-po , but , alas , his efforts were in vain .	2	-3	 george[0] lucas[0] clumsily[0] tried[0] to[0] create[0] a[0] fun[1] character[0] that[0] would[0] be[0] as[0] memorable[0] as[0] say[0] yoda[0] r2[0] d2[0] or[0] c3[0] po[0] but[0] alas[-1] his[0] efforts[0] were[0] in[0] vain[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
secondly ( this may be good or bad , depending on your point of view ) , the movie's atmosphere is so different from the familiar comic-book feel of the previous three star wars installments . 	secondly ( this may be good or bad , depending on your point of view ) , the movie's atmosphere is so different from the familiar comic-book feel of the previous three star wars instalments .	2	-3	 secondly[0] this[0] may[0] be[0] good[1] or[0] bad[-1] depending[0] on[0] your[0] point[0] of[0] view[0] the[0] movie's[0] atmosphere[0] is[0] so[0] different[0] from[0] the[0] familiar[0] comic[0] book[0] feel[0] of[0] the[0] previous[0] three[0] star[0] wars[-2] installments/instalments[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is due , perhaps , to the utter complexity to this movie's plot and the higher level of sophistication of the visual effects used here . 	this is due , perhaps , to the utter complexity to this movie's plot and the higher level of sophistication of the visual effects used here .	1	-1	 this[0] is[0] due[0] perhaps[0] to[0] the[0] utter[0] complexity[0] to[0] this[0] movie's[0] plot[0] and[0] the[0] higher[0] level[0] of[0] sophistication[0] of[0] the[0] visual[0] effects[0] used[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie seems to be reaching for epic proportions . 	the movie seems to be reaching for epic proportions .	1	-1	 the[0] movie[0] seems[0] to[0] be[0] reaching[0] for[0] epic[0] proportions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can't say much about the acting , though acting has never been what you saw star wars movies for anyway . 	i can't say much about the acting , though acting has never been what you saw star wars movies for anyway .	1	-3	 i[0] can't[0] say[0] much[0] about[0] the[0] acting[0] though[0] acting[0] has[0] never[0] been[0] what[0] you[0] saw[0] star[0] wars[-2] movies[0] for[0] anyway[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , there is absolutely no pizzazz to the performances- they are straightforward and , at times , stale . 	however , there is absolutely no pizaz to the performances- they are straightforward and , at times , stale .	2	-2	 however[0] there[0] is[0] absolutely[0] no[0] pizzazz/pizaz[0][+0.6 MultipleLetters] to[0] the[0] performances[0] they[0] are[0] straightforward[0] and[0] at[0] times[0] stale[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
natalie portman has a great presence , but her turn as queen amadala makes the queen a stoic , unfeeling ? enigma . 	natalie portman has a great presence , but her turn as queen amadala makes the queen a stoic , unfeeling ?<br> enigma .	3	-2	 natalie[0] portman[0] has[0] a[0] great[2] presence[0] but[0] her[0] turn[0] as[0] queen[0] amadala[0] makes[0] the[0] queen[0] a[0] stoic[0] unfeeling[-1] [[Sentence=-2,3=word max, 1-5]] enigma[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
there is nothing we can hold onto in her performance to make us believe the trade predicament is anything of importance . 	there is nothing we can hold onto in her performance to make us believe the trade predicament is anything of importance .	1	-2	 there[0] is[0] nothing[0] we[0] can[0] hold[0] onto[0] in[0] her[0] performance[0] to[0] make[0] us[0] believe[0] the[0] trade[0] predicament[-1] is[0] anything[0] of[0] importance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jake lloyd is the only actor here who has an ounce of evident spunk . 	jake lloyd is the only actor here who has an ounce of evident spunk .	1	-1	 jake[0] lloyd[0] is[0] the[0] only[0] actor[0] here[0] who[0] has[0] an[0] ounce[0] of[0] evident[0] spunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite the inevitable faults , there is so much to enjoy about the movie . 	despite the inevitable faults , there is so much to enjoy about the movie .	3	-2	 despite[0] the[0] inevitable[0] faults[-1] there[0] is[0] so[0] much[0] to[0] enjoy[2] about[0] the[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the heightened excitement of the final sequences doesn't quite surpass the famous the empire strikes back climactic scenes , but they are amazing and edge-of-your-seat fun in their own rite . 	the heightened excitement of the final sequences doesn't quite surpass the famous the empire strikes back climactic scenes , but they are amazing and edge-of-your-seat fun in their own rite .	3	-1	 the[0] heightened[0] excitement[2] of[0] the[0] final[0] sequences[0] doesn't[0] quite[0] surpass[0] the[0] famous[0] the[0] empire[0] strikes[0] back[0] climactic[0] scenes[0] but[0] they[0] are[0] amazing[2] and[0] edge[0] of[0] your[0] seat[0] fun[1] in[0] their[0] own[0] rite[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film is a treasure to look at . 	the film is a treasure to look at .	2	-1	 the[0] film[0] is[0] a[0] treasure[1] to[0] look[0] at[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the visual effects are astonishing 99 . 8% of the time- the awe-inspiring , mouth-opening , eye-popping sight of the underwater city is nothing short of production design and special effects genius . 	the visual effects are astonishing 99 .<br> 8% of the time- the awe-inspiring , mouth-opening , eye-popping sight of the underwater city is nothing short of production design and special effects genius .	3	-1	 the[0] visual[0] effects[0] are[0] astonishing[0] 99[0] [[Sentence=-1,1=word max, 1-5]] 8%[0] of[0] the[0] time[0] the[0] awe[0] inspiring[2] mouth[0] opening[0] eye[0] popping[0] sight[0] of[0] the[0] underwater[0] city[0] is[0] nothing[0] short[0] of[0] production[0] design[0] and[0] special[1] effects[0] genius[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not since 1997's the fifth element has there been a film as drenched in visual treats as this one . 	not since 1997's the fifth element has there been a film as drenched in visual treats as this one .	1	-1	 not[0] since[0] 1997's[0] the[0] fifth[0] element[0] has[0] there[0] been[0] a[0] film[0] as[0] drenched[0] in[0] visual[0] treats[0] as[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the production design is reminiscent of the fifth element , the previous star wars movies , kubrick's 2001 , maybe even of fritz lang's classic silent metropolis . 	the production design is reminiscent of the fifth element , the previous star wars movies , kubrick's 2001 , maybe even of fritz lang's classic silent metropolis .	1	-3	 the[0] production[0] design[0] is[0] reminiscent[0] of[0] the[0] fifth[0] element[0] the[0] previous[0] star[0] wars[-2] movies[0] kubrick's[0] 2001[0] maybe[0] even[0] of[0] fritz[0] lang's[0] classic[0] silent[0] metropolis[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , all the sets are so original . 	however , all the sets are so original .	1	-1	 however[0] all[0] the[0] sets[0] are[0] so[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the original star wars movies can't even match the grandeur of this film's visuals and that is a sheer pleasure for the viewer- it gives us hope of even greater things for the upcoming episode . 	the original star wars movies can't even match the grandeur of this film's visuals and that is a sheer pleasure for the viewer- it gives us hope of even greater things for the upcoming episode .	3	-3	 the[0] original[0] star[0] wars[-2] movies[0] can't[0] even[0] match[0] the[0] grandeur[1] of[0] this[0] film's[0] visuals[0] and[0] that[0] is[0] a[0] sheer[0] pleasure[2] for[0] the[0] viewer[0] it[0] gives[0] us[0] hope[2] of[0] even[0] greater[2] things[0] for[0] the[0] upcoming[0] episode[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the costumes are remarkable and have jean-paul gaultier written all over them . 	the costumes are remarkable and have jean-paul gaultier written all over them .	1	-1	 the[0] costumes[0] are[0] remarkable[0] and[0] have[0] jean[0] paul[0] gaultier[0] written[0] all[0] over[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whether its queen amadala's gigantic wardrobe complete with gold-embroidery and feathers , or the jedis' simple brown uniforms , the costume designer has fused talent with outrageousness . 	whether its queen amadala's gigantic wardrobe complete with gold-embroidery and feathers , or the jedis' simple brown uniforms , the costume designer has fused talent with outrageousness .	2	-3	 whether[0] its[0] queen[0] amadala's[0] gigantic[0] wardrobe[0] complete[0] with[0] gold[0] embroidery[0] and[0] feathers[0] or[0] the[0] jedis'[0] simple[0] brown[0] uniforms[0] the[0] costume[0] designer[0] has[0] fused[0] talent[1] with[0] outrageousness[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the costumes are one of the true delights of watching the movie . 	the costumes are one of the true delights of watching the movie .	3	-1	 the[0] costumes[0] are[0] one[0] of[0] the[0] true[1] delights[2] of[0] watching[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as for john williams' score , i don't think he's done one as complex or powerful since ? i can't even remember . 	as for john williams' score , i don't think he's done one as complex or powerful since ?<br> i can't even remember .	1	-1	 as[0] for[0] john[0] williams'[0] score[0] i[0] don't[0] think[0] he's[0] done[0] one[0] as[0] complex[0] or[0] powerful[0] since[0] [[Sentence=-1,1=word max, 1-5]] i[0] can't[0] even[0] remember[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is as epic as his schindler's list score and as thrilling and zestful as jaws . 	it is as epic as his schindler's list score and as thrilling and zestful as jaws .	4	-1	 it[0] is[0] as[0] epic[0] as[0] his[0] schindler's[0] list[0] score[0] and[0] as[0] thrilling[3] and[0] zestful[1] as[0] jaws[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it includes the bare bones of his music from the previous three films , but williams has added on , made the music much more intense and moving . 	it includes the bare bones of his music from the previous three films , but williams has added on , made the music much more intense and moving .	1	-1	 it[0] includes[0] the[0] bare[0] bones[0] of[0] his[0] music[0] from[0] the[0] previous[0] three[0] films[0] but[0] williams[0] has[0] added[0] on[0] made[0] the[0] music[0] much[0] more[0] intense[0] and[0] moving[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what with the overwhelming hoopla that circled this movie , one might come in with high expectations and be disappointed . 	what with the overwhelming hoopla that circled this movie , one might come in with high expectations and be disappointed .	1	-3	 what[0] with[0] the[0] overwhelming[-2] hoopla[0] that[0] circled[0] this[0] movie[0] one[0] might[0] come[0] in[0] with[0] high[0] expectations[0] and[0] be[0] disappointed[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is very little to hate in the film : it's a very accomplished and skillfully made flick . 	there is very little to hate in the film : it's a very accomplished and skilfully made flick .	3	-4	 there[0] is[0] very[0] little[0] to[0] hate[-3] in[0] the[0] film[0] it's[0] a[0] very[0] accomplished[1][1 LastWordBoosterStrength] and[0] skillfully/skilfully[0] made[0] flick[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it is the best " fun " film and the best big-budget film out today , most definitely . 	it is the best " fun " film and the best big-budget film out today , most definitely .	2	-1	 it[0] is[0] the[0] best[1] fun[1] film[0] and[0] the[0] best[1] big[0] budget[0] film[0] out[0] today[0] most[0] definitely[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
