john sayles' " men with guns " is about what happens to a society when brute force and constant threat of violence are the only means of gaining and maintaining power . 	Translation	Positive	Negative	EmotionRationale
however , when he ventures into that same rainforest to visit his prot ? g ? s , he finds that things have not turned out as he has envisioned . 	however , when he ventures into that same rainforest to visit his prot ?<br> grin� ?<br> s , he finds that things have not turned out as he has envisioned .	1	-1	 however[0] when[0] he[0] ventures[0] into[0] that[0] same[0] rainforest[0] to[0] visit[0] his[0] prot[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] s[0] he[0] finds[0] that[0] things[0] have[0] not[0] turned[0] out[0] as[0] he[0] has[0] envisioned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as he travels deeper into the forest , going from village to village , the story is always the same : the doctors were all killed by either the guerrillas or the army soldiers , usually for helping the other . 	as he travels deeper into the forest , going from village to village , the story is always the same : the doctors were all killed by either the guerrillas or the army soldiers , usually for helping the other .	1	-4	 as[0] he[0] travels[0] deeper[0] into[0] the[0] forest[0] going[0] from[0] village[0] to[0] village[0] the[0] story[0] is[0] always[0] the[0] same[0] the[0] doctors[0] were[0] all[0] killed[-3] by[0] either[0] the[0] guerrillas[-1] or[0] the[0] army[0] soldiers[0] usually[0] for[0] helping[0] the[0] other[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when dr . fuentes asks a village woman why the army killed one of the doctors , she replies simply , " because they had guns , and we didn't . " 	when dr .<br> fuentes asks a village woman why the army killed one of the doctors , she replies simply , " because they had guns , and we didn't .<br> "	1	-4	 when[0] dr[0] [[Sentence=-1,1=word max, 1-5]] fuentes[0] asks[0] a[0] village[0] woman[0] why[0] the[0] army[0] killed[-3] one[0] of[0] the[0] doctors[0] she[0] replies[0] simply[0] because[0] they[0] had[0] guns[-1] and[0] we[0] didn't[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
rational science and all its attempts to cure have been wiped out by the men with guns , because others' sickness and ignorance helps them maintain power . 	rational science and all its attempts to cure have been wiped out by the men with guns , because others' sickness and ignorance helps them maintain power .	1	-3	 rational[0] science[0] and[0] all[0] its[0] attempts[0] to[0] cure[0] have[0] been[0] wiped[0] out[0] by[0] the[0] men[0] with[0] guns[-1] because[0] others'[0] sickness[-1] and[0] ignorance[-2] helps[0] them[0] maintain[0] power[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dr . fuentes picks up several companions during his journey , all of whom are characterized by their loss . 	dr .<br> fuentes picks up several companions during his journey , all of whom are characterized by their loss .	1	-3	 dr[0] [[Sentence=-1,1=word max, 1-5]] fuentes[0] picks[0] up[0] several[0] companions[0] during[0] his[0] journey[0] all[0] of[0] whom[0] are[0] characterized[0] by[0] their[0] loss[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
first , there is a young boy named conejo ( dan rivera gonz ? lez ) , who has neither a mother nor a father . 	first , there is a young boy named conejo ( dan rivera gonz ?<br> lez ) , who has neither a mother nor a father .	1	-1	 first[0] there[0] is[0] a[0] young[0] boy[0] named[0] conejo[0] dan[0] rivera[0] gonz[0] [[Sentence=-1,1=word max, 1-5]] lez[0] who[0] has[0] neither[0] a[0] mother[0] nor[0] a[0] father[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
next , fuentes crosses paths with a thief named domingo ( dami ? n delgado ) , who deserted the army because he was tired of being jeered into committing murderous atrocities . 	next , fuentes crosses paths with a thief named domingo ( dami ?<br> n delgado ) , who deserted the army because he was tired of being jeered into committing murderous atrocities .	1	-4	 next[0] fuentes[0] crosses[0] paths[0] with[0] a[0] thief[-1] named[0] domingo[0] dami[0] [[Sentence=-2,1=word max, 1-5]] n[0] delgado[0] who[0] deserted[0] the[0] army[0] because[0] he[0] was[0] tired[-1] of[0] being[0] jeered[-2] into[0] committing[0] murderous[-3] atrocities[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
through his ordeal in the army , domingo has lost most of his self-respect , and defines himself only by his pistol . 	through his ordeal in the army , domingo has lost most of his self-respect , and defines himself only by his pistol .	3	-3	 through[0] his[0] ordeal[-2] in[0] the[0] army[0] domingo[0] has[0] lost[0] most[0] of[0] his[0] self[0] respect[2] and[0] defines[0] himself[0] only[0] by[0] his[0] pistol[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
along the way , the group also picks up padre portillo ( dami ? n alc ? zar ) , a priest who has lost his faith . 	along the way , the group also picks up padre portillo ( dami ?<br> n alc ?<br> zar ) , a priest who has lost his faith .	2	-1	 along[0] the[0] way[0] the[0] group[0] also[0] picks[0] up[0] padre[0] portillo[0] dami[0] [[Sentence=-1,1=word max, 1-5]] n[0] alc[0] [[Sentence=-1,1=word max, 1-5]] zar[0] a[0] priest[0] who[0] has[0] lost[0] his[0] faith[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as domingo is running from the army , so is portillo - he has been labeled a guerrilla sympathizer , and ran away from the village in which he was preaching . 	as domingo is running from the army , so is portillo - he has been labeled a guerrilla sympathizer , and ran away from the village in which he was preaching .	1	-2	 as[0] domingo[0] is[0] running[0] from[0] the[0] army[0] so[0] is[0] portillo[0] he[0] has[0] been[0] labeled[0] a[0] guerrilla[-1] sympathizer[0] and[0] ran[0] away[0] from[0] the[0] village[0] in[0] which[0] he[0] was[0] preaching[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
last , the group takes on a mute girl named graciela ( tania cruz ) , who hasn't spoken since she was raped two years earlier , her innocence and even her will to live forcefully taken from her . 	last , the group takes on a mute girl named graciela ( tania cruz ) , who hasn't spoken since she was raped two years earlier , her innocence and even her will to live forcefully taken from her .	2	-4	 last[0] the[0] group[0] takes[0] on[0] a[0] mute[0] girl[0] named[0] graciela[1] tania[0] cruz[0] who[0] hasn't[0] spoken[0] since[0] she[0] was[0] raped[-3] two[0] years[0] earlier[0] her[0] innocence[1] and[0] even[0] her[0] will[0] to[0] live[0] forcefully[0] taken[0] from[0] her[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
sayles two major strengths as a director - characters and setting - are abundantly evident in " men with guns . " 	sayles two major strengths as a director - characters and setting - are abundantly evident in " men with guns .<br> "	1	-2	 sayles[0] two[0] major[0] strengths[0] as[0] a[0] director[0] characters[0] and[0] setting[0] are[0] abundantly[0] evident[0] in[0] men[0] with[0] guns[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( like many of his films , sayles might have tightened this one somewhat in the editing room , but a longer-than-necessary running time is a sin almost always committed when the director is also the editor . ) 	 ( like many of his films , sayles might have tightened this one somewhat in the editing room , but a longer-than-necessary running time is a sin almost always committed when the director is also the editor .<br> )	2	-2	 like[1] many[0] of[0] his[0] films[0] sayles[0] might[0] have[0] tightened[0] this[0] one[0] somewhat[0] in[0] the[0] editing[0] room[0] but[0] a[0] longer[0] than[0] necessary[0] running[0] time[0] is[0] a[0] sin[-1] almost[0] always[0] committed[0] when[0] the[0] director[0] is[0] also[0] the[0] editor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he creates fascinating , complex characters , especially dr . fuentes and domingo . 	he creates fascinating , complex characters , especially dr .<br> fuentes and domingo .	1	-1	 he[0] creates[0] fascinating[0] complex[0] characters[0] especially[0] dr[0] [[Sentence=-1,1=word max, 1-5]] fuentes[0] and[0] domingo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their uneasy relationship is also somewhat humorous in context of the film's overarching theme of violence as power - domingo's attempts to control fuentes with his revolver are constantly undermined by fuentes' belief that the revolver is unloaded ( at first it is , but later is isn't ) . 	their uneasy relationship is also somewhat humorous in context of the film's overarching theme of violence as power - domingo's attempts to control fuentes with his revolver are constantly undermined by fuentes' belief that the revolver is unloaded ( at first it is , but later is isn't ) .	3	-4	 their[0] uneasy[-1] relationship[0] is[0] also[0] somewhat[0] humorous[2] in[0] context[0] of[0] the[0] film's[0] overarching[0] theme[0] of[0] violence[-3] as[0] power[0] domingo's[0] attempts[0] to[0] control[0] fuentes[0] with[0] his[0] revolver[0] are[0] constantly[0] undermined[-1] by[0] fuentes'[0] belief[0] that[0] the[0] revolver[0] is[0] unloaded[0] at[0] first[0] it[0] is[0] but[0] later[0] is[0] isn't[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the setting is also as thick with detail as the rainforest itself . 	the setting is also as thick with detail as the rainforest itself .	1	-1	 the[0] setting[0] is[0] also[0] as[0] thick[0] with[0] detail[0] as[0] the[0] rainforest[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sayles knows how to bring a location to life , whether it be an early twentieth-century coal mining town in " matewan " ( 1987 ) or a contemporary texas/mexico bordertown in " lone star " ( 1996 ) . 	sayles knows how to bring a location to life , whether it be an early twentieth-century coal mining town in " matewan " ( 1987 ) or a contemporary texas/mexico bordertown in " lone star " ( 1996 ) .	1	-2	 sayles[0] knows[0] how[0] to[0] bring[0] a[0] location[0] to[0] life[0] whether[0] it[0] be[0] an[0] early[0] twentieth[0] century[0] coal[0] mining[0] town[0] in[0] matewan[0] 1987[0] or[0] a[0] contemporary[0] texas/mexico[0] bordertown[0] in[0] lone[-1] star[0] 1996[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sayles is not a particularly inventive director - he likes to let his actors do most of the work - but he and cinematographer slavomir idziak ( " gattaca " ) successfully evoke both the beauty and the danger of the central american terrain . 	sayles is not a particularly inventive director - he likes to let his actors do most of the work - but he and cinematographer slavomir idziak ( " gattaca " ) successfully evoke both the beauty and the danger of the central american terrain .	3	-2	 sayles[0] is[0] not[0] a[0] particularly[0] inventive[0] director[0] he[0] likes[2] to[0] let[0] his[0] actors[0] do[0] most[0] of[0] the[0] work[0] but[0] he[0] and[0] cinematographer[0] slavomir[0] idziak[0] gattaca[0] successfully[2] evoke[0] both[0] the[0] beauty[2] and[0] the[0] danger[-1] of[0] the[0] central[0] american[0] terrain[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sayles also maintains a strong sense of authenticity by filming everything on location in mexico , using all latin american actors , and having all the dialogue spoken in either spanish or native indian dialects . 	sayles also maintains a strong sense of authenticity by filming everything on location in mexico , using all latin american actors , and having all the dialogue spoken in either spanish or native indian dialects .	1	-1	 sayles[0] also[0] maintains[0] a[0] strong[0] sense[0] of[0] authenticity[0] by[0] filming[0] everything[0] on[0] location[0] in[0] mexico[0] using[0] all[0] latin[0] american[0] actors[0] and[0] having[0] all[0] the[0] dialogue[0] spoken[0] in[0] either[0] spanish[0] or[0] native[0] indian[0] dialects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one exception is a couple of bumbling american tourists who work not only as comic relief , but as evidence of just how clueless the united states is about what is going on a few hundred miles south of the texas border . 	the one exception is a couple of bumbling american tourists who work not only as comic relief , but as evidence of just how clueless the united states is about what is going on a few hundred miles south of the texas border .	2	-1	 the[0] one[0] exception[0] is[0] a[0] couple[0] of[0] bumbling[0] american[0] tourists[0] who[0] work[0] not[0] only[0] as[0] comic[0] relief[1] but[0] as[0] evidence[0] of[0] just[0] how[0] clueless[0] the[0] united[0] states[0] is[0] about[0] what[0] is[0] going[0] on[0] a[0] few[0] hundred[0] miles[0] south[0] of[0] the[0] texas[0] border[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it would not be a stretch to say that " men with guns " is a depressing film . 	it would not be a stretch to say that " men with guns " is a depressing film .	1	-4	 it[0] would[0] not[0] be[0] a[0] stretch[0] to[0] say[0] that[0] men[0] with[0] guns[-1] is[0] a[0] depressing[-3] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in fact , the two feelings it evokes most are hopelessness and failure . 	in fact , the two feelings it evokes most are hopelessness and failure .	1	-4	 in[0] fact[0] the[0] two[0] feelings[0] it[0] evokes[0] most[0] are[0] hopelessness[-3] and[0] failure[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in addition to loss , the main characters are also failures at something , whether that be dr . fuentes failure to change anything through medicine , or padre portillo's inability to stand up and be the martyr he always dreamed of being . 	in addition to loss , the main characters are also failures at something , whether that be dr .<br> fuentes failure to change anything through medicine , or padre portillo's inability to stand up and be the martyr he always dreamed of being .	1	-3	 in[0] addition[0] to[0] loss[-2] the[0] main[0] characters[0] are[0] also[0] failures[-2] at[0] something[0] whether[0] that[0] be[0] dr[0] [[Sentence=-3,1=word max, 1-5]] fuentes[0] failure[-2] to[0] change[0] anything[0] through[0] medicine[0] or[0] padre[0] portillo's[0] inability[-1] to[0] stand[0] up[0] and[0] be[0] the[0] martyr[-1] he[0] always[0] dreamed[0] of[0] being[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nevertheless , it is bleak material sayles has chosen , and he deals with it accordingly . 	nevertheless , it is bleak material sayles has chosen , and he deals with it accordingly .	1	-2	 nevertheless[0] it[0] is[0] bleak[-1] material[0] sayles[0] has[0] chosen[0] and[0] he[0] deals[0] with[0] it[0] accordingly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the last shot of the film does offer a hint of hope , even in a world where , as one character puts it , " nobody refuses the men with guns . " 	the last shot of the film does offer a hint of hope , even in a world where , as one character puts it , " nobody refuses the men with guns .<br> "	3	-2	 the[0] last[0] shot[-1] of[0] the[0] film[0] does[0] offer[0] a[0] hint[0] of[0] hope[2] even[0] in[0] a[0] world[0] where[0] as[0] one[0] character[0] puts[0] it[0] nobody[0] refuses[-1] the[0] men[0] with[0] guns[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
