 " very bad things , " is the most delightfully morbid film of the year , a movie that goes so far over the deep end with its outrageousness and violence that i couldn't help but be won over by the material . 	Translation	Positive	Negative	EmotionRationale
it pulls out all the stops to create something fresh , original , and hilarious , even if that requires surprisingly graphic violence , gore , and a slew of truly hateful characters that all get what they deserve by the end . 	it pulls out all the stops to create something fresh , original , and hilarious , even if that requires surprisingly graphic violence , gore , and a slew of truly hateful characters that all get what they deserve by the end .	3	-4	 it[0] pulls[0] out[0] all[0] the[0] stops[0] to[0] create[0] something[0] fresh[0] original[0] and[0] hilarious[2] even[0] if[0] that[0] requires[0] surprisingly[0] graphic[0] violence[-3] gore[0] and[0] a[0] slew[0] of[0] truly[1] hateful[-3] characters[0] that[0] all[0] get[0] what[0] they[0] deserve[0] by[0] the[0] end[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the screenplay , also written by berg , is , to put it mildly , very funny and courageous . 	the screenplay , also written by berg , is , to put it mildly , very funny and courageous .	3	-1	 the[0] screenplay[0] also[0] written[0] by[0] berg[0] is[0] to[0] put[0] it[0] mildly[0] very[0] funny[1][1 LastWordBoosterStrength] and[0] courageous[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
during the second act of the film , some of the fun was beginning to slightly dwindle due to so much death , which was beginning to undermine the humor , but it eventually recouped itself with a climax that has to be seen to be believed . 	during the second act of the film , some of the fun was beginning to slightly dwindle due to so much death , which was beginning to undermine the humor , but it eventually recouped itself with a climax that has to be seen to be believed .	3	-3	 during[0] the[0] second[0] act[0] of[0] the[0] film[0] some[0] of[0] the[0] fun[1] was[0] beginning[0] to[0] slightly[0] dwindle[-1][--1 LastWordBoosterStrength] due[0] to[0] so[0] much[0] death[-2] which[0] was[0] beginning[0] to[0] undermine[-1] the[0] humor[2] but[0] it[0] eventually[0] recouped[0] itself[0] with[0] a[0] climax[0] that[0] has[0] to[0] be[0] seen[0] to[0] be[0] believed[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the dialogue is edgy and inventive , and this film proves that a movie doesn't necessarily require likable character to be extremely enjoyable . 	the dialogue is edgy and inventive , and this film proves that a movie doesn't necessarily require likable character to be extremely enjoyable .	5	-1	 the[0] dialogue[0] is[0] edgy[0] and[0] inventive[0] and[0] this[0] film[0] proves[0] that[0] a[0] movie[0] doesn't[0] necessarily[0] require[0] likable[0] character[0] to[0] be[0] extremely[0] enjoyable[2][2 LastWordBoosterStrength] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
there's more fun , i think , in showing ignorable people getting their just desserts . 	there's more fun , i think , in showing ignorable people getting their just desserts .	2	-3	 there's[0] more[0] fun[1] i[0] think[0] in[0] showing[0] ignorable[-2] people[0] getting[0] their[0] just[0] desserts[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
cameron diaz gives her best performance to date here , and has a lot of fun in playing the hateful laura , who eventually turns out to be more crazy than any of the five male friends . 	cameron diaz gives her best performance to date here , and has a lot of fun in playing the hateful laura , who eventually turns out to be more crazy than any of the five male friends .	2	-4	 cameron[0] diaz[0] gives[0] her[0] best[1] performance[0] to[0] date[0] here[0] and[0] has[0] a[0] lot[0] of[0] fun[1] in[0] playing[1] the[0] hateful[-3] laura[0] who[0] eventually[0] turns[0] out[0] to[0] be[0] more[0] crazy[-1] than[0] any[0] of[0] the[0] five[0] male[0] friends[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
diaz puts so much overblown energy to her character that i really do think she deserves a supporting actress oscar nomination come next january . 	diaz puts so much overblown energy to her character that i really do think she deserves a supporting actress oscar nomination come next january .	2	-1	 diaz[0] puts[0] so[0] much[0] overblown[0] energy[0] to[0] her[0] character[0] that[0] i[0] really[0] do[0] think[0] she[0] deserves[0] a[0] supporting[1] actress[0] oscar[0] nomination[0] come[0] next[0] january[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by the time she is beating someone to death with a coat hanger , and reciting lines like , " stuff him in the crapper and get your ass upstairs , " i couldn't help but crack up at how " balls-to-the-wall " this film had become . 	by the time she is beating someone to death with a coat hanger , and reciting lines like , " stuff him in the crapper and get your ass upstairs , " i couldn't help but crack up at how " balls-to-the-wall " this film had become .	2	-3	 by[0] the[0] time[0] she[0] is[0] beating[0] someone[0] to[0] death[-2] with[0] a[0] coat[0] hanger[0] and[0] reciting[0] lines[0] like[1] stuff[0] him[0] in[0] the[0] crapper[0] and[0] get[0] your[0] ass[0] upstairs[0] i[0] couldn't[0] help[0] but[0] crack[0] up[0] at[0] how[0] balls[0] to[0] the[0] wall[0] this[0] film[0] had[0] become[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
jeanne tripplehorn creates another character original , as daniel stern's wife , who late in the picture , we discover , is a tough kick-boxer that should not be messed around with . 	jeanne tripplehorn creates another character original , as daniel stern's wife , who late in the picture , we discover , is a tough kick-boxer that should not be messed around with .	1	-2	 jeanne[0] tripplehorn[0] creates[0] another[0] character[0] original[0] as[0] daniel[0] stern's[0] wife[0] who[0] late[0] in[0] the[0] picture[0] we[0] discover[0] is[0] a[0] tough[-1] kick[-1] boxer[0] that[0] should[0] not[0] be[0] messed[0] around[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is at this level that , " very bad things , " was so entertaining and surprising . 	it is at this level that , " very bad things , " was so entertaining and surprising .	1	-3	 it[0] is[0] at[0] this[0] level[0] that[0] very[0] bad[-1][-1 LastWordBoosterStrength] things[0] was[0] so[0] entertaining[0] and[0] surprising[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
just when you thought you could predict what was going to happen , there would be a little twist involving the characters that would be absolutely wacky . 	just when you thought you could predict what was going to happen , there would be a little twist involving the characters that would be absolutely wacky .	1	-1	 just[0] when[0] you[0] thought[0] you[0] could[0] predict[0] what[0] was[0] going[0] to[0] happen[0] there[0] would[0] be[0] a[0] little[0] twist[0] involving[0] the[0] characters[0] that[0] would[0] be[0] absolutely[0] wacky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the last sequence was perfect and managed to go even further over-the-top . 	the last sequence was perfect and managed to go even further over-the-top .	2	-1	 the[0] last[0] sequence[0] was[0] perfect[1] and[0] managed[0] to[0] go[0] even[0] further[0] over[0] the[0] top[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although i enjoyed the film immensely , let me make this clear : " very bad things , " is not a movie for everyone . 	although i enjoyed the film immensely , let me make this clear : " very bad things , " is not a movie for everyone .	3	-3	 although[0] i[0] enjoyed[2] the[0] film[0] immensely[0] let[0] me[0] make[0] this[0] clear[0] very[0] bad[-1][-1 LastWordBoosterStrength] things[0] is[0] not[0] a[0] movie[0] for[0] everyone[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it is more tasteless than anything i have ever seen , it is more violent and bloody than a r-rated film usually is , and it is offensive . 	it is more tasteless than anything i have ever seen , it is more violent and bloody than a are-rated film usually is , and it is offensive .	1	-3	 it[0] is[0] more[0] tasteless[0] than[0] anything[0] i[0] have[0] ever[0] seen[0] it[0] is[0] more[0] violent[-2] and[0] bloody[-1] than[0] a[0] r[0] rated[0] film[0] usually[0] is[0] and[0] it[0] is[0] offensive[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
luckily , these are elements that i would prefer in a comedy , since it clearly shows the filmmakers were set on making a no-holds-barred , politically incorrect comedy . 	luckily , these are elements that i would prefer in a comedy , since it clearly shows the filmmakers were set on making a no-holds-barred , politically incorrect comedy .	3	-2	 luckily[2] these[0] are[0] elements[0] that[0] i[0] would[0] prefer[0] in[0] a[0] comedy[0] since[0] it[0] clearly[0] shows[0] the[0] filmmakers[0] were[0] set[0] on[0] making[0] a[0] no[0] holds[0] barred[0] politically[0] incorrect[-1] comedy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the fact that this film slipped through the cracks of the usually mainstream and " safe " wide-releases coming out lately , still gives me hope for the hollywood film industry . 	the fact that this film slipped through the cracks of the usually mainstream and " safe " wide-releases coming out lately , still gives me hope for the hollywood film industry .	3	-1	 the[0] fact[0] that[0] this[0] film[0] slipped[0] through[0] the[0] cracks[0] of[0] the[0] usually[0] mainstream[0] and[0] safe[1] wide[0] releases[0] coming[0] out[0] lately[0] still[0] gives[0] me[0] hope[2] for[0] the[0] hollywood[0] film[0] industry[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
