the central focus of michael winterbottom's " welcome to sarajevo " is sarajevo itself , the city under siege , and its different effect on the characters unfortunate enough to be stuck there . 	Translation	Positive	Negative	EmotionRationale
running time : 110 mins . 	running time : 110 mins .	1	-1	 running[0] time[0] 110[0] mins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rated r . __________________________________________________________ 	rated are .<br> __	2	-1	 rated[0] r[0] [[Sentence=-1,1=word max, 1-5]] __________________________________________________________/__[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
atom egoyan's powerfully meditative " the sweet hereafter " is as anything as haunting and transcendental as i've seen this year . 	atom egoyan's powerfully meditative " the sweet hereafter " is as anything as haunting and transcendental as i've seen this year .	2	-1	 atom[0] egoyan's[0] powerfully[0] meditative[0] the[0] sweet[1] hereafter[0] is[0] as[0] anything[0] as[0] haunting[0] and[0] transcendental[0] as[0] i've[0] seen[0] this[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it not only explores the aftermaths of a terrible tragedy with magnificent subtlety , with cold , and stunning shots of the backdrop of this mistfortune but also by telegraphing the sense of devastation that has permeated the small town with an enormous amount of dignity and respect for each and every soul affected . 	it not only explores the aftermaths of a terrible tragedy with magnificent subtlety , with cold , and stunning shots of the backdrop of this mistfortune but also by telegraphing the sense of devastation that has permeated the small town with an enormous amount of dignity and respect for each and every soul affected .	4	-5	 it[0] not[0] only[0] explores[0] the[0] aftermaths[0] of[0] a[0] terrible[-3] tragedy[-2][-1 MultiplePositiveWords] with[0] magnificent[3] subtlety[0] with[0] cold[-1] and[0] stunning[0] shots[0] of[0] the[0] backdrop[0] of[0] this[0] mistfortune[0] but[0] also[0] by[0] telegraphing[0] the[0] sense[0] of[0] devastation[-4] that[0] has[0] permeated[0] the[0] small[0] town[0] with[0] an[0] enormous[0] amount[0] of[0] dignity[1] and[0] respect[2] for[0] each[0] and[0] every[0] soul[0] affected[0] [[Sentence=-5,4=word max, 1-5]][[[4,-5 max of sentences]]]
ian holm as the somber , lonely lawyer seeking compensation for the townspeople , has a decency and a restraint uncommon with lawyers , he's a lion for the wrong reasons : the pain for having lost his daughter ( she's a druggie who frequently calls him begging for money ) is reflected on the town . 	ian holm as the somber , lonely lawyer seeking compensation for the townspeople , has a decency and a restraint uncommon with lawyers , he's a lion for the wrong reasons : the pain for having lost his daughter ( she's a druggie who frequently calls him begging for money ) is reflected on the town .	1	-4	 ian[0] holm[0] as[0] the[0] somber[-1] lonely[-1] lawyer[0] seeking[0] compensation[0] for[0] the[0] townspeople[0] has[0] a[0] decency[0] and[0] a[0] restraint[0] uncommon[0] with[0] lawyers[0] he's[0] a[0] lion[0] for[0] the[0] wrong[-1] reasons[0] the[0] pain[-3] for[0] having[0] lost[0] his[0] daughter[0] she's[0] a[0] druggie[0] who[0] frequently[0] calls[0] him[0] begging[0] for[0] money[0] is[0] reflected[0] on[0] the[0] town[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and in some mesmerizing flashbacks , we witness how she lost her purity . 	and in some mesmerizing flashbacks , we witness how she lost her purity .	1	-1	 and[0] in[0] some[0] mesmerizing[0] flashbacks[0] we[0] witness[0] how[0] she[0] lost[0] her[0] purity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's one of the most strikingly breathtaking takes on the loss of innocence i've ever seen . 	it's one of the most strikingly breathtaking takes on the loss of innocence i've ever seen .	2	-3	 it's[0] one[0] of[0] the[0] most[0] strikingly[0] breathtaking[0] takes[0] on[0] the[0] loss[-2] of[0] innocence[1] i've[0] ever[0] seen[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but the most astounding part goes to sarah polly , the peaceful , benevolent girl who , in contrast to the other characters , remains the most mentally stable during past , present or future . 	but the most astounding part goes to sarah polly , the peaceful , benevolent girl who , in contrast to the other characters , remains the most mentally stable during past , present or future .	2	-2	 but[0] the[0] most[0] astounding[0] part[0] goes[0] to[0] sarah[0] polly[0] the[0] peaceful[0] benevolent[1] girl[0] who[0] in[0] contrast[0] to[0] the[0] other[0] characters[0] remains[0] the[0] most[0] mentally[0] stable[-1] during[0] past[0] present[0] or[0] future[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her ability to convey concealed pain and unconditional love is the opposite , yet near-revolutionary role that won emily watson an oscar nomination for " breaking the waves " . 	her ability to convey concealed pain and unconditional love is the opposite , yet near-revolutionary role that won emily watson an oscar nomination for " breaking the waves " .	3	-4	 her[0] ability[0] to[0] convey[0] concealed[-1] pain[-3] and[0] unconditional[0] love[2] is[0] the[0] opposite[0] yet[0] near[0] revolutionary[-1] role[0] that[0] won[0] emily[0] watson[0] an[0] oscar[0] nomination[0] for[0] breaking[0] the[0] waves[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
both women are torn apart by an extraordinary incident but it is only then that we truly see , truly feel , their wordless , omnipotent love . 	both women are torn apart by an extraordinary incident but it is only then that we truly see , truly feel , their wordless , omnipotent love .	3	-1	 both[0] women[0] are[0] torn[0] apart[0] by[0] an[0] extraordinary[0] incident[0] but[0] it[0] is[0] only[0] then[0] that[0] we[0] truly[1] see[0] truly[1] feel[0] their[0] wordless[0] omnipotent[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " the sweet hereafter " though , is atom egoyan's movie and as of now , he is emerging as the definite face of independent cinema . 	 " the sweet hereafter " though , is atom egoyan's movie and as of now , he is emerging as the definite face of independent cinema .	2	-1	 the[0] sweet[1] hereafter[0] though[0] is[0] atom[0] egoyan's[0] movie[0] and[0] as[0] of[0] now[0] he[0] is[0] emerging[0] as[0] the[0] definite[0] face[0] of[0] independent[0] cinema[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after surging to worldwide recognition with 1994's " exotica " , " the sweet hereafter " makes him something few people in this industry can call themselves : an artist . 	after surging to worldwide recognition with 1994's " exotica " , " the sweet hereafter " makes him something few people in this industry can call themselves : an artist .	2	-1	 after[0] surging[0] to[0] worldwide[0] recognition[0] with[0] 1994's[0] exotica[0] the[0] sweet[1] hereafter[0] makes[0] him[0] something[0] few[0] people[0] in[0] this[0] industry[0] can[0] call[0] themselves[0] an[0] artist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he interweaves time with a delicacy and sees a soul with a purity that is just not common . 	he interweaves time with a delicacy and sees a soul with a purity that is just not common .	1	-1	 he[0] interweaves[0] time[0] with[0] a[0] delicacy[0] and[0] sees[0] a[0] soul[0] with[0] a[0] purity[0] that[0] is[0] just[0] not[0] common[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
