he has spent his entire life in an awful little apartment , raised and cared for and imprisoned by his domineering mother . 	Translation	Positive	Negative	EmotionRationale
the father's arrival disturbs his precarious balance , causing an oedipal conflict which ends--freud would be pleased--in violence and , as a result , freedom . 	the father's arrival disturbs his precarious balance , causing an oedipal conflict which ends-freud would be pleased-in violence and , as a result , freedom .	2	-4	 the[0] father's[0] arrival[0] disturbs[-1] his[0] precarious[-1] balance[0] causing[0] an[0] oedipal[0] conflict[-1] which[0] ends[0] freud[0] would[0] be[0] pleased[1] in[0] violence[-3] and[0] as[0] a[0] result[0] freedom[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
bubby intuits from his father's arrival that the air outside is breathable : he leaves the apartment , his past , his world , behind . 	bubby intuits from his father's arrival that the air outside is breathable : he leaves the apartment , his past , his world , behind .	1	-1	 bubby[0] intuits[0] from[0] his[0] father's[0] arrival[0] that[0] the[0] air[0] outside[0] is[0] breathable[0] he[0] leaves[0] the[0] apartment[0] his[0] past[0] his[0] world[0] behind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so far , so good . 	so far , so good .	2	-1	 so[0] far[0] so[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first thirty minutes or so of bad boy bubby , which bring us to this point , are quite brilliant . 	the first thirty minutes or so of bad boy bubby , which bring us to this point , are quite brilliant .	2	-2	 the[0] first[0] thirty[0] minutes[0] or[0] so[0] of[0] bad[-1] boy[0] bubby[0] which[0] bring[0] us[0] to[0] this[0] point[0] are[0] quite[0] brilliant[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie is at its best when its stays within the constraints of bubby's hermetic two-room universe . 	the movie is at its best when its stays within the constraints of bubby's hermetic two-room universe .	2	-2	 the[0] movie[0] is[0] at[0] its[0] best[1] when[0] its[0] stays[0] within[0] the[0] constraints[-1] of[0] bubby's[0] hermetic[0] two[0] room[0] universe[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it follows through unrelentingly on the implications of its premise : bubby is used by his mother for sex , he unwittingly suffocates the pet cat with cellophane , he is terrifed by the notion that jesus will beat him senseless if he sins . 	it follows through unrelentingly on the implications of its premise : bubby is used by his mother for sex , he unwittingly suffocates the pet cat with cellophane , he is terrifed by the notion that jesus will beat him senseless if he sins .	1	-3	 it[0] follows[0] through[0] unrelentingly[0] on[0] the[0] implications[0] of[0] its[0] premise[0] bubby[0] is[0] used[0] by[0] his[0] mother[0] for[0] sex[0] he[0] unwittingly[0] suffocates[-2] the[0] pet[0] cat[0] with[0] cellophane[0] he[0] is[0] terrifed[0] by[0] the[0] notion[0] that[0] jesus[0] will[0] beat[0] him[0] senseless[-1] if[0] he[0] sins[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is grim and savage and appalling , but also strangely tender--de heer , having imagined a life as bizarre as bubby's , does not exaggerate for comic or grotesqe purposes , but simply empathizes . 	it is grim and savage and appalling , but also strangely tender-de her , having imagined a life as bizarre as bubby's , does not exaggerate for comic or grotesqe purposes , but simply empathizes .	3	-4	 it[0] is[0] grim[-2] and[0] savage[-2] and[0] appalling[-3] but[0] also[0] strangely[0] tender[2] de[0] heer/her[0] having[0] imagined[0] a[0] life[0] as[0] bizarre[-1] as[0] bubby's[0] does[0] not[0] exaggerate[-1][NegatedDueToPreviousWord] for[0] comic[0] or[0] grotesqe[0] purposes[0] but[0] simply[0] empathizes[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he observes what it might be like . 	he observes what it might be like .	2	-1	 he[0] observes[0] what[0] it[0] might[0] be[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the intensity of these opening scenes , with their minimalist mise-en-scene , immerses us in a claustrophobic environment which seems to be a decayed stratum of our own world , and owes much to david lynch's eraserhead , not least the ambient industrial white noise of the soundtrack . 	the intensity of these opening scenes , with their minimalist mise-en-scene , immerses us in a claustrophobic environment which seems to be a decayed stratum of our own world , and owes much to david lynch's eraserhead , not least the ambient industrial white noise of the soundtrack .	1	-2	 the[0] intensity[0] of[0] these[0] opening[0] scenes[0] with[0] their[0] minimalist[0] mise[0] en[0] scene[0] immerses[0] us[0] in[0] a[0] claustrophobic[0] environment[0] which[0] seems[0] to[0] be[0] a[0] decayed[-1] stratum[0] of[0] our[0] own[0] world[0] and[0] owes[0] much[0] to[0] david[0] lynch's[0] eraserhead[-1] not[0] least[0] the[0] ambient[0] industrial[0] white[0] noise[0] of[0] the[0] soundtrack[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for thirty minutes , the movie maintains the feel and mood of a reality that does not seem far removed from our own . 	for thirty minutes , the movie maintains the feel and mood of a reality that does not seem far removed from our own .	1	-1	 for[0] thirty[0] minutes[0] the[0] movie[0] maintains[0] the[0] feel[0] and[0] mood[0] of[0] a[0] reality[0] that[0] does[0] not[0] seem[0] far[0] removed[0] from[0] our[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then de heer lets bubby out , brings him into contact with our world , and the film never quite recovers . 	then de her lets bubby out , brings him into contact with our world , and the film never quite recovers .	1	-1	 then[0] de[0] heer/her[0] lets[0] bubby[0] out[0] brings[0] him[0] into[0] contact[0] with[0] our[0] world[0] and[0] the[0] film[0] never[0] quite[0] recovers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
our unlikely hero finds himself in port adelaide , where he wanders the streets and meets people , where he suffers and learns and survives . 	our unlikely hero finds himself in port adelaide , where he wanders the streets and meets people , where he suffers and learns and survives .	3	-4	 our[0] unlikely[0] hero[2] finds[0] himself[0] in[0] port[0] adelaide[0] where[0] he[0] wanders[0] the[0] streets[0] and[0] meets[0] people[0] where[0] he[0] suffers[-3] and[0] learns[0] and[0] survives[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he is seduced by a young woman from a salvation army band ( how an anti-social half-wit with no sense of hygiene manages to get laid mere hours after his escape is not the sort of question the film encourages , wisely ) ; he is given free pizza by a sympathetic waitress ; he insults a traffic cop and is punched in the stomach ; he shares a few beers in the back of a truck with a rock group ; he is imprisoned and raped ; he becomes a translator for mentally handicapped people whose speech is impaired beyond comprehension ; he is loved by a motherly large-breasted nurse ( carmel johnson ) . 	he is seduced by a young woman from a salvation army band ( how an anti-social half-wit with no sense of hygiene manages to get laid mere hours after his escape is not the sort of question the film encourages , wisely ) ; he is given free piza by a sympathetic waitress ; he insults a traffic cop and is punched in the stomach ; he shares a few beers in the back of a truck with a rock group ; he is imprisoned and raped ; he becomes a translator for mentally handicapped people whose speech is impaired beyond comprehension ; he is loved by a motherly large-breasted nurse ( carmel johnson ) .	4	-4	 he[0] is[0] seduced[0] by[0] a[0] young[0] woman[0] from[0] a[0] salvation[0] army[0] band[0] how[0] an[0] anti[0] social[0] half[0] wit[0] with[0] no[0] sense[0] of[0] hygiene[0] manages[0] to[0] get[0] laid[0] mere[0] hours[0] after[0] his[0] escape[0] is[0] not[0] the[0] sort[0] of[0] question[0] the[0] film[0] encourages[1] wisely[0] he[0] is[0] given[0] free[0] pizza/piza[0] by[0] a[0] sympathetic[0] waitress[0] he[0] insults[-2] a[0] traffic[0] cop[0] and[0] is[0] punched[-1] in[0] the[0] stomach[0] he[0] shares[0] a[0] few[0] beers[0] in[0] the[0] back[0] of[0] a[0] truck[0] with[0] a[0] rock[1] group[0] he[0] is[0] imprisoned[-1] and[0] raped[-3] he[0] becomes[0] a[0] translator[0] for[0] mentally[0] handicapped[0] people[0] whose[0] speech[0] is[0] impaired[-1] beyond[0] comprehension[0] he[0] is[0] loved[3] by[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
it goes on , by turns inventive , silly , tasteless , endearing , and sometimes all of these things at once . 	it goes on , by turns inventive , silly , tasteless , endearing , and sometimes all of these things at once .	1	-2	 it[0] goes[0] on[0] by[0] turns[0] inventive[0] silly[-1] tasteless[0] endearing[0] and[0] sometimes[0] all[0] of[0] these[0] things[0] at[0] once[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
de heer never seems to be sure how bubby should interface with the real world : the tone shifts , uneasily , from fable to realism to satire and back again . 	de her never seems to be sure how bubby should interface with the real world : the tone shifts , uneasily , from fable to realism to satire and back again .	1	-2	 de[0] heer/her[0] never[0] seems[0] to[0] be[0] sure[0] how[0] bubby[0] should[0] interface[0] with[0] the[0] real[0] world[0] the[0] tone[0] shifts[0] uneasily[-1] from[0] fable[0] to[0] realism[0] to[0] satire[0] and[0] back[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the scenes which try to touch base with a believable version of reality are the weakest ; the film is best understood as a kind of parable , and , indeed , the religious implications of bubby's experiences are foregrounded : icons of jesus on the cross hang from the mother's walls , bubby dons a priest's collar stolen from his father , a church organ-playing atheist lectures him on the necessity of unbelief , the woman who redeems him is named angel . 	the scenes which try to touch base with a believable version of reality are the weakest ; the film is best understood as a kind of parable , and , indeed , the religious implications of bubby's experiences are foregrounded : icons of jesus on the cross hang from the mother's walls , bubby dons a priest's collar stolen from his father , a church organ-playing atheist lectures him on the necessity of unbelief , the woman who redeems him is named angel .	2	-2	 the[0] scenes[0] which[0] try[0] to[0] touch[0] base[0] with[0] a[0] believable[0] version[0] of[0] reality[0] are[0] the[0] weakest[-1] the[0] film[0] is[0] best[1] understood[0] as[0] a[0] kind[1] of[0] parable[0] and[0] indeed[0] the[0] religious[0] implications[0] of[0] bubby's[0] experiences[0] are[0] foregrounded[0] icons[0] of[0] jesus[0] on[0] the[0] cross[-1] hang[-1] from[0] the[0] mother's[0] walls[0] bubby[0] dons[0] a[0] priest's[0] collar[0] stolen[-1] from[0] his[0] father[0] a[0] church[0] organ[0] playing[1] atheist[0] lectures[0] him[0] on[0] the[0] necessity[0] of[0] unbelief[0] the[0] woman[0] who[0] redeems[0] him[0] is[0] named[0] angel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the manifold stresses of our world do not shatter bubby's mind , do not fragment him into psychosis ; rather , the world accomodates him , and heals him . 	the manifold stresses of our world do not shatter bubby's mind , do not fragment him into psychosis ; rather , the world accomodates him , and heals him .	1	-2	 the[0] manifold[0] stresses[-1] of[0] our[0] world[0] do[0] not[0] shatter[0] bubby's[0] mind[0] do[0] not[0] fragment[0] him[0] into[0] psychosis[0] rather[0] the[0] world[0] accomodates[0] him[0] and[0] heals[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although de heer's touch is at times overbearing , bubby's salvation is touching ; what seemd at first a harsh lesson in the damaging effects of the social construction of reality becomes a na ? ve humanist tale of improbable hope . 	although de heer's touch is at times overbearing , bubby's salvation is touching ; what seemd at first a harsh lesson in the damaging effects of the social construction of reality becomes a na ?<br> ve humanist tale of improbable hope .	3	-2	 although[0] de[0] heer's[0] touch[0] is[0] at[0] times[0] overbearing[-1] bubby's[0] salvation[0] is[0] touching[0] what[0] seemd[0] at[0] first[0] a[0] harsh[-1] lesson[0] in[0] the[0] damaging[0] effects[0] of[0] the[0] social[0] construction[0] of[0] reality[0] becomes[0] a[0] na[0] [[Sentence=-2,1=word max, 1-5]] ve[0] humanist[0] tale[0] of[0] improbable[0] hope[2] [[Sentence=-1,3=word max, 1-5]][[[3,-2 max of sentences]]]
a hapless rock group write a song about bubby and sing it for him and so give him the gift of community . 	a hapless rock group write a song about bubby and sing it for him and so give him the gift of community .	2	-2	 a[0] hapless[-1] rock[1] group[0] write[0] a[0] song[0] about[0] bubby[0] and[0] sing[0] it[0] for[0] him[0] and[0] so[0] give[0] him[0] the[0] gift[0] of[0] community[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he returns the favour when he steps on stage one night and becomes their frontman , turning the fragmented impressions of his experiences into performance art , and turning the band into a popular draw . 	he returns the favour when he steps on stage one night and becomes their frontman , turning the fragmented impressions of his experiences into performance art , and turning the band into a popular draw .	2	-1	 he[0] returns[0] the[0] favour[1] when[0] he[0] steps[0] on[0] stage[0] one[0] night[0] and[0] becomes[0] their[0] frontman[0] turning[0] the[0] fragmented[0] impressions[0] of[0] his[0] experiences[0] into[0] performance[0] art[0] and[0] turning[0] the[0] band[0] into[0] a[0] popular[0] draw[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
innocence triumphs . 	innocence triumphs .	3	-1	 innocence[1] triumphs[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bubby becomes a holy fool , an idiot savant , and graces us with wisdom . 	bubby becomes a holy fool , an idiot savant , and graces us with wisdom .	2	-3	 bubby[0] becomes[0] a[0] holy[0] fool[-1] an[0] idiot[-2] savant[0] and[0] graces[1] us[0] with[0] wisdom[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's a strange turn of events , but by now we shouldn't be surprised , because bad boy bubby ain't like other movies . 	it's a strange turn of events , but by now we shouldn't be surprised , because bad boy bubby ain't like other movies .	2	-2	 it's[0] a[0] strange[0] turn[0] of[0] events[0] but[0] by[0] now[0] we[0] shouldn't[0] be[0] surprised[0] because[0] bad[-1] boy[0] bubby[0] ain't[0] like[1] other[0] movies[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
