while it was part of former yugoslavia , my country , croatia , used to be almost completely ignored by western films in general . 	Translation	Positive	Negative	EmotionRationale
unlike wild geese , that used it as a pretext for conventional action adventure , script by george malko and gary de vore ( author whose death last year became real life mystery ) is serious , and instead of action puts emphasis on characters and prosaic details of their work . 	unlike wild geese , that used it as a pretext for conventional action adventure , script by george malko and gary de vore ( author whose death last year became real life mystery ) is serious , and instead of action puts emphasis on characters and prosaic details of their work .	1	-3	 unlike[0] wild[0] geese[0] that[0] used[0] it[0] as[0] a[0] pretext[0] for[0] conventional[0] action[0] adventure[0] script[0] by[0] george[0] malko[0] and[0] gary[0] de[0] vore[0] author[0] whose[0] death[-2] last[0] year[0] became[0] real[0] life[0] mystery[0] is[0] serious[-1] and[0] instead[0] of[0] action[0] puts[0] emphasis[0] on[0] characters[0] and[0] prosaic[0] details[0] of[0] their[0] work[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie doesn't try to romanticise the mercenary profession nor glorify mercenaries as some kind of superheroes ; they are simply shown as deadly yet expendable tool of powerful forces with questionable agenda . 	the movie doesn't try to romanticise the mercenary profession nor glorify mercenaries as some kind of superheroes ; they are simply shown as deadly yet expendable tool of powerful forces with questionable agenda .	4	-2	 the[0] movie[0] doesn't[0] try[0] to[0] romanticise[3] the[0] mercenary[0] profession[0] nor[0] glorify[1] mercenaries[0] as[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] superheroes[0] they[0] are[0] simply[0] shown[0] as[0] deadly[-1] yet[0] expendable[0] tool[0] of[0] powerful[0] forces[0] with[0] questionable[-1] agenda[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
christopher walken played in many movies , yet very rarely we can see him in a leading role . 	christopher walken played in many movies , yet very rarely we can see him in a leading role .	1	-1	 christopher[0] walken[0] played[0] in[0] many[0] movies[0] yet[0] very[0] rarely[0] we[0] can[0] see[0] him[0] in[0] a[0] leading[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his performance in this film perhaps isn't breathtaking , yet adequate . 	his performance in this film perhaps isn't breathtaking , yet adequate .	1	-1	 his[0] performance[0] in[0] this[0] film[0] perhaps[0] isn't[0] breathtaking[0] yet[0] adequate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his notoriously expressionless face is perfect illustration of the disillusioned , world- weary man whose alienation from the " normal " way of life becomes complete and only remaining ideal is loyalty to the shrinking circle of friends . 	his notoriously expressionless face is perfect illustration of the disillusioned , world- weary man whose alienation from the " normal " way of life becomes complete and only remaining ideal is loyalty to the shrinking circle of friends .	2	-2	 his[0] notoriously[-1] expressionless[0] face[0] is[0] perfect[1] illustration[0] of[0] the[0] disillusioned[-1] world[0] weary[0] man[0] whose[0] alienation[-1] from[0] the[0] normal[0] way[0] of[0] life[0] becomes[0] complete[0] and[0] only[0] remaining[0] ideal[0] is[0] loyalty[1] to[0] the[0] shrinking[0] circle[0] of[0] friends[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although the movie doesn't lack capable actors , their roles are miniature compared with walken's , and only colin blakely as cynical reporter has opportunity to portray his character . 	although the movie doesn't lack capable actors , their roles are miniature compared with walken's , and only colin blakely as cynical reporter has opportunity to portray his character .	1	-2	 although[0] the[0] movie[0] doesn't[0] lack[-1] capable[0] actors[0] their[0] roles[0] are[0] miniature[0] compared[0] with[0] walken's[0] and[0] only[0] colin[0] blakely[0] as[0] cynical[-1] reporter[0] has[0] opportunity[0] to[0] portray[0] his[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , those who look familiar faces would find them plenty in the dogs of war - tom berenger , paul freeman , jo beth williams , victoria tennant ( in brief cameo ) , and biggest surprise is ed o'neill ( of married with children fame ) as shannon's reluctant colleague . 	however , those who look familiar faces would find them plenty in the dogs of war - tom berenger , paul freeman , jo beth williams , victoria tenant ( in brief cameo ) , and biggest surprise is ed o'neill ( of married with children fame ) as shannon's reluctant colleague .	1	-3	 however[0] those[0] who[0] look[0] familiar[0] faces[0] would[0] find[0] them[0] plenty[0] in[0] the[0] dogs[0] of[0] war[-2] tom[0] berenger[0] paul[0] freeman[0] jo[0] beth[0] williams[0] victoria[0] tennant/tenant[0] in[0] brief[0] cameo[0] and[0] biggest[0] surprise[0] is[0] ed[0] o'neill[0] of[0] married[0] with[0] children[0] fame[0] as[0] shannon's[0] reluctant[-1] colleague[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this was the first major production for john irvin , and it shows why he earned the reputation of capable , yet second class director . 	this was the first major production for john irvin , and it shows why he earned the reputation of capable , yet second class director .	1	-1	 this[0] was[0] the[0] first[0] major[0] production[0] for[0] john[0] irvin[0] and[0] it[0] shows[0] why[0] he[0] earned[0] the[0] reputation[0] of[0] capable[0] yet[0] second[0] class[0] director[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the good script he can make very good movie , with the bad script he can make real mess . 	with the good script he can make very good movie , with the bad script he can make real mess .	3	-2	 with[0] the[0] good[1] script[0] he[0] can[0] make[0] very[0] good[1][1 LastWordBoosterStrength] movie[0] with[0] the[0] bad[-1] script[0] he[0] can[0] make[0] real[0] mess[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
luckily , the dogs of war had a good script . 	luckily , the dogs of war had a good script .	3	-3	 luckily[2] the[0] dogs[0] of[0] war[-2] had[0] a[0] good[1] script[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
irvin's direction was very ascetic and it gave the movie almost documentary feel . 	irvin's direction was very ascetic and it gave the movie almost documentary feel .	1	-1	 irvin's[0] direction[0] was[0] very[0] ascetic[0] and[0] it[0] gave[0] the[0] movie[0] almost[0] documentary[0] feel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only distraction is dramatic music of geoffrey burgon , used on the wrong places . 	the only distraction is dramatic music of geoffrey burgon , used on the wrong places .	1	-2	 the[0] only[0] distraction[-1] is[0] dramatic[0] music[0] of[0] geoffrey[0] burgon[0] used[0] on[0] the[0] wrong[-1] places[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the final battle scene , where we can see mercenaries at work , irvin shows us that modern warfare means superior firepower and tactics , unlike 1980s ramboesque fantasies that rely on macho superheroes . 	in the final battle scene , where we can see mercenaries at work , irvin shows us that modern warfare means superior firepower and tactics , unlike 1980s ramboesque fantasies that rely on macho superheroes .	3	-3	 in[0] the[0] final[0] battle[-1] scene[0] where[0] we[0] can[0] see[0] mercenaries[0] at[0] work[0] irvin[0] shows[0] us[0] that[0] modern[0] warfare[-2] means[0] superior[2] firepower[0] and[0] tactics[0] unlike[0] 1980s[0] ramboesque[0] fantasies[0] that[0] rely[0] on[0] macho[0] superheroes[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
unfortunately , by making battle realistic irvin made it somewhat less attractive and his sloppy editing also didn't help . 	unfortunately , by making battle realistic irvin made it somewhat less attractive and his sloppy editing also didn't help .	2	-2	 unfortunately[-1] by[0] making[0] battle[-1] realistic[0] irvin[0] made[0] it[0] somewhat[0] less[0] attractive[1] and[0] his[0] sloppy[-1] editing[0] also[0] didn't[0] help[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but , despite those shortcomings , this movie remains interesting and rare combination of action thriller and gritty , realistic political drama . 	but , despite those shortcomings , this movie remains interesting and rare combination of action thriller and gritty , realistic political drama .	2	-2	 but[0] despite[0] those[0] shortcomings[-1] this[0] movie[0] remains[0] interesting[1] and[0] rare[0] combination[0] of[0] action[0] thriller[1] and[0] gritty[0] realistic[0] political[0] drama[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
