corey yuen's latest film , " hero " is notable on two fronts . 	Translation	Positive	Negative	EmotionRationale
first they rob two foreigner's of their money and cloths , and set up a midnight rendezvous . 	first they rob two foreigner's of their money and cloths , and set up a midnight rendezvous .	1	-1	 first[0] they[0] rob[0] two[0] foreigner's[0] of[0] their[0] money[0] and[0] cloths[0] and[0] set[0] up[0] a[0] midnight[0] rendezvous[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , wing jing has run afoul of a rival gangster , yeung seung who has bribed the police in an effort to gain control of see's night club . 	unfortunately , wing jing has run afoul of a rival gangster , yeung seung who has bribed the police in an effort to gain control of see's night club .	1	-2	 unfortunately[-1] wing[0] jing[0] has[0] run[0] afoul[0] of[0] a[0] rival[-1] gangster[0] yeung[0] seung[0] who[0] has[0] bribed[-1] the[0] police[0] in[0] an[0] effort[0] to[0] gain[0] control[0] of[0] see's[0] night[0] club[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the two bothers are arrested and held until they manage to escape just before dawn . 	the two bothers are arrested and held until they manage to escape just before dawn .	1	-2	 the[0] two[0] bothers[-1] are[0] arrested[0] and[0] held[0] until[0] they[0] manage[0] to[0] escape[0] just[0] before[0] dawn[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jessica , having waited outside in the cold with her manager all night , gives up and returns home . 	jessica , having waited outside in the cold with her manager all night , gives up and returns home .	1	-2	 jessica[0] having[0] waited[0] outside[0] in[0] the[0] cold[-1] with[0] her[0] manager[0] all[0] night[0] gives[0] up[0] and[0] returns[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
see decides to retire , he gives the night club to wing jing , as repayment for saving his life during an attempted murder . 	see decides to retire , he gives the night club to wing jing , as repayment for saving his life during an attempted murder .	1	-4	 see[0] decides[0] to[0] retire[-1] he[0] gives[0] the[0] night[0] club[0] to[0] wing[0] jing[0] as[0] repayment[0] for[0] saving[0] his[0] life[0] during[0] an[0] attempted[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
see arranges the trade and ask his lover ( valerie chow ) to take care of wing jing . 	see arranges the trade and ask his lover ( valerie chow ) to take care of wing jing .	4	-1	 see[0] arranges[0] the[0] trade[0] and[0] ask[0] his[0] lover[3] valerie[0] chow[0] to[0] take[0] care[1] of[0] wing[0] jing[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
unfortunately , she has sided with yeung seung . 	unfortunately , she has sided with yeung seung .	1	-2	 unfortunately[-1] she[0] has[0] sided[0] with[0] yeung[0] seung[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the performances in the film are all top notch , with fine turns by takeshi kaneshiro as ma wing jing and jessica hester and valerie chow . 	the performances in the film are all top notch , with fine turns by takeshi kaneshiro as ma wing jing and jessica hester and valerie chow .	3	-1	 the[0] performances[0] in[0] the[0] film[0] are[0] all[0] top[0] notch[0] with[0] fine[2] turns[0] by[0] takeshi[0] kaneshiro[0] as[0] ma[0] wing[0] jing[0] and[0] jessica[0] hester[0] and[0] valerie[0] chow[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the comic turn by yuen wah , previously known as the mad vietnamese in samo hung's " eastern condors " , is a marvelous surprise . 	the comic turn by yuen wah , previously known as the mad vietnamese in samo hung's " eastern condors " , is a marvelous surprise .	1	-2	 the[0] comic[0] turn[0] by[0] yuen[0] wah[0] previously[0] known[0] as[0] the[0] mad[-1] vietnamese[0] in[0] samo[0] hung's[0] eastern[0] condors[0] is[0] a[0] marvelous[0] surprise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his gift for comedy is marvelously understated and hilarious . 	his gift for comedy is marvelously understated and hilarious .	3	-1	 his[0] gift[0] for[0] comedy[0] is[0] marvelously[0] understated[0] and[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the stand-out is by yuen biao who returns to the screen after a string of disappointments , with a stellar performance . 	the stand-out is by yuen biao who returns to the screen after a string of disappointments , with a stellar performance .	1	-2	 the[0] stand[0] out[0] is[0] by[0] yuen[0] biao[0] who[0] returns[0] to[0] the[0] screen[0] after[0] a[0] string[0] of[0] disappointments[-1] with[0] a[0] stellar[0] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his tam see is a triad boss who knows that his time is coming to an end but still has the cunning and craft to uphold his pride . 	his tam see is a triad boss who knows that his time is coming to an end but still has the cunning and craft to uphold his pride .	2	-1	 his[0] tam[0] see[0] is[0] a[0] triad[0] boss[0] who[0] knows[0] that[0] his[0] time[0] is[0] coming[0] to[0] an[0] end[0] but[0] still[0] has[0] the[0] cunning[0] and[0] craft[0] to[0] uphold[0] his[0] pride[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his gangster is almost non-violent , in that he only retaliates , never instigates violence . 	his gangster is almost non-violent , in that he only retaliates , never instigates violence .	4	-3	 his[0] gangster[0] is[0] almost[0] non[0] violent[-2] in[0] that[0] he[0] only[0] retaliates[-1] never[0] instigates[0] violence[-3][NegatedDueToPreviousWord] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
but when the time comes to fight , yuen biao has never looked better . 	but when the time comes to fight , yuen biao has never looked better .	1	-3	 but[0] when[0] the[0] time[0] comes[0] to[0] fight[-2] yuen[0] biao[0] has[0] never[0] looked[0] better[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
corey yuen directs the film with a maturity and a sense of pacing that has been lacking in hong kong movies as of late . 	corey yuen directs the film with a maturity and a sense of pacing that has been lacking in hong kong movies as of late .	1	-1	 corey[0] yuen[0] directs[0] the[0] film[0] with[0] a[0] maturity[0] and[0] a[0] sense[0] of[0] pacing[0] that[0] has[0] been[0] lacking[0] in[0] hong[0] kong[0] movies[0] as[0] of[0] late[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the lighting , cinematography and staging of the film are beautiful to watch . 	the lighting , cinematography and staging of the film are beautiful to watch .	3	-1	 the[0] lighting[0] cinematography[0] and[0] staging[0] of[0] the[0] film[0] are[0] beautiful[2] to[0] watch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the action scenes do not disappoint either . 	the action scenes do not disappoint either .	2	-1	 the[0] action[0] scenes[0] do[0] not[0] disappoint[-1][NegatedDueToPreviousWord] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is the most aggressive and inventive martial art choreography i've seen in some time , actually surpassing jackie chan's work in both 'rumble in the bronx' and 'first strike' . 	this is the most aggressive and inventive martial art choreography i've seen in some time , actually surpassing jackie chan's work in both 'rumble in the bronx' and 'first strike' .	1	-3	 this[0] is[0] the[0] most[0] aggressive[-2] and[0] inventive[0] martial[0] art[0] choreography[-2] i've[0] seen[0] in[0] some[0] time[0] actually[0] surpassing[0] jackie[0] chan's[0] work[0] in[0] both[0] 'rumble[0] in[0] the[0] bronx'[0] and[0] 'first[0] strike'[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the special effects team deserves praise for a fantastic job of making the impossible look possible . 	the special effects team deserves praise for a fantastic job of making the impossible look possible .	3	-1	 the[0] special[1] effects[0] team[0] deserves[0] praise[2] for[0] a[0] fantastic[2] job[0] of[0] making[0] the[0] impossible[0] look[0] possible[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
an early fight between takeshi kaneshiro and yuen biao on the back of a horse is to be seen to be believed . 	an early fight between takeshi kaneshiro and yuen biao on the back of a horse is to be seen to be believed .	1	-3	 an[0] early[0] fight[-2] between[0] takeshi[0] kaneshiro[0] and[0] yuen[0] biao[0] on[0] the[0] back[0] of[0] a[0] horse[0] is[0] to[0] be[0] seen[0] to[0] be[0] believed[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also noteworthy is the score for the film , done in a marvelously lush orchestral style , not representative of most hong kong fare . 	also noteworthy is the score for the film , done in a marvelously lush orchestral style , not representative of most hong kong fare .	1	-1	 also[0] noteworthy[0] is[0] the[0] score[0] for[0] the[0] film[0] done[0] in[0] a[0] marvelously[0] lush[0] orchestral[0] style[0] not[0] representative[0] of[0] most[0] hong[0] kong[0] fare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i would dare to say it ranks as high as the scores for both " titanic " and " rosewood " as best of the year . 	i would dare to say it ranks as high as the scores for both " titanic " and " rosewood " as best of the year .	2	-1	 i[0] would[0] dare[0] to[0] say[0] it[0] ranks[0] as[0] high[0] as[0] the[0] scores[0] for[0] both[0] titanic[0] and[0] rosewood[0] as[0] best[1] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all in all , " hero " marks a grand return to filmmaking for shaw brothers . 	all in all , " hero " marks a grand return to filmmaking for shaw brothers .	3	-1	 all[0] in[0] all[0] hero[2] marks[0] a[0] grand[1] return[0] to[0] filmmaking[0] for[0] shaw[0] brothers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is the film that gives us faith that hong kong cinema is alive and flourishing . 	this is the film that gives us faith that hong kong cinema is alive and flourishing .	2	-1	 this[0] is[0] the[0] film[0] that[0] gives[0] us[0] faith[1] that[0] hong[0] kong[0] cinema[0] is[0] alive[0] and[0] flourishing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
