as i write the review for the new hanks/ryan romantic comedy you've got mail , i am acutely aware that i am typing it on a computer and sending it a billion miles away on the internet . 	Translation	Positive	Negative	EmotionRationale
she is so adorably perky/cute that together with hanks , they are the most amazing onscreen duo in my short lifetime . 	she is so adorably perky/cute that together with hanks , they are the most amazing onscreen duo in my short lifetime .	4	-1	 she[0] is[0] so[0] adorably[3] perky/cute[0] that[0] together[0] with[0] hanks[0] they[0] are[0] the[0] most[0] amazing[2] onscreen[0] duo[0] in[0] my[0] short[0] lifetime[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
some people have them going back to really old classic romantic couples , but i don't really know . 	some people have them going back to really old classic romantic couples , but i don't really know .	4	-1	 some[0] people[0] have[0] them[0] going[0] back[0] to[0] really[0] old[0] classic[0] romantic[3] couples[0] but[0] i[0] don't[0] really[0] know[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
all i know is that i just like them both . 	all i know is that i just like them both .	1	-1	 all[0] i[0] know[0] is[0] that[0] i[0] just[0] like[1][-1 LastWordBoosterStrength] them[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they have such wonderfully kinetic chemistry that's really hard to resist , and i'm not going to even try . 	they have such wonderfully kinetic chemistry that's really hard to resist , and i'm not going to even try .	3	-1	 they[0] have[0] such[0] wonderfully[2] kinetic[0] chemistry[0] that's[0] really[0] hard[0] to[0] resist[0] and[0] i'm[0] not[0] going[0] to[0] even[0] try[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they're just really , really cute , sweet , and charming . 	they're just really , really cute , sweet , and charming .	3	-1	 they're[0] just[0] really[0] really[0] cute[1][1 LastWordBoosterStrength] sweet[1] and[0] charming[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hanks and ryan collaborate once again with nora ephron , who directed them in the megahit sleepless in seattle . 	hanks and ryan collaborate once again with nora ephron , who directed them in the megahit sleepless in seattle .	1	-2	 hanks[0] and[0] ryan[0] collaborate[0] once[0] again[0] with[0] nora[0] ephron[0] who[0] directed[0] them[0] in[0] the[0] megahit[0] sleepless[-1] in[0] seattle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here , the setup is a little different . 	here , the setup is a little different .	1	-1	 here[0] the[0] setup[0] is[0] a[0] little[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kathleen kelly ( ryan ) owns a small children's bookstore which her mother founded 42 years ago and passed down to her . 	kathleen kelly ( ryan ) owns a small children's bookstore which her mother founded 42 years ago and passed down to her .	1	-1	 kathleen[0] kelly[0] ryan[0] owns[0] a[0] small[0] children's[0] bookstore[0] which[0] her[0] mother[0] founded[0] 42[0] years[0] ago[0] and[0] passed[0] down[0] to[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is successful , beautiful , and dates a well-known columnist with very radical idea ( kinnear ) . 	she is successful , beautiful , and dates a well-known columnist with very radical idea ( kinnear ) .	4	-3	 she[0] is[0] successful[2] beautiful[2][+1 MultiplePositiveWords] and[0] dates[0] a[0] well[0] known[0] columnist[0] with[0] very[0] radical[-1][-1 LastWordBoosterStrength] idea[0] kinnear[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
she is also having an affair , of sorts . 	she is also having an affair , of sorts .	1	-1	 she[0] is[0] also[0] having[0] an[0] affair[0] of[0] sorts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you see , kathleen , with the handle shopgirl , is secretly emailing ny152 . 	you see , kathleen , with the handle shopgirl , is secretly emailing ny152 .	1	-1	 you[0] see[0] kathleen[0] with[0] the[0] handle[0] shopgirl[0] is[0] secretly[0] emailing[0] ny152[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they have a strictly un-detailed relationship : there are no specifics , and they have no idea who each other is . 	they have a strictly un-detailed relationship : there are no specifics , and they have no idea who each other is .	1	-2	 they[0] have[0] a[0] strictly[-1] un[0] detailed[0] relationship[0] there[0] are[0] no[0] specifics[0] and[0] they[0] have[0] no[0] idea[0] who[0] each[0] other[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ny152 happens to be joe fox ( hanks ) , a multimillionaire bookseller who is the heir to the fortune of the fox chain of mega-bookstores , run by his father ( coleman ) . 	ny152 happens to be joe fox ( hanks ) , a multimillionaire bookseller who is the heir to the fortune of the fox chain of mega-bookstores , run by his father ( coleman ) .	1	-1	 ny152[0] happens[0] to[0] be[0] joe[0] fox[0] hanks[0] a[0] multimillionaire[0] bookseller[0] who[0] is[0] the[0] heir[0] to[0] the[0] fortune[0] of[0] the[0] fox[0] chain[0] of[0] mega[0] bookstores[0] run[0] by[0] his[0] father[0] coleman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fox books has decided to open a store on the west side , right across from a little children's bookseller named " shop around the corner " , run by a perky girl named kathleen kelly . 	fox books has decided to open a store on the west side , right across from a little children's bookseller named " shop around the corner " , run by a perky girl named kathleen kelly .	1	-1	 fox[0] books[0] has[0] decided[0] to[0] open[0] a[0] store[0] on[0] the[0] west[0] side[0] right[0] across[0] from[0] a[0] little[0] children's[0] bookseller[0] named[0] shop[0] around[0] the[0] corner[0] run[0] by[0] a[0] perky[0] girl[0] named[0] kathleen[0] kelly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every morning , these two email each other silly , and every day , they fight " to the death ! ! " . 	every morning , these two email each other silly , and every day , they fight " to the death !<br> !<br> " .	1	-3	 every[0] morning[0] these[0] two[0] email[0] each[0] other[0] silly[-1] and[0] every[0] day[0] they[0] fight[-2] to[0] the[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a charming premise , and one that works nicely , balancing the immense troubles kathleen is in with the romance she wants to have . 	it's a charming premise , and one that works nicely , balancing the immense troubles kathleen is in with the romance she wants to have .	4	-2	 it's[0] a[0] charming[1] premise[0] and[0] one[0] that[0] works[0] nicely[1] balancing[0] the[0] immense[0] troubles[-1] kathleen[0] is[0] in[0] with[0] the[0] romance[3] she[0] wants[0] to[0] have[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it also has the great sense of being a classic romance : there is no " let's have sex tonight " mantra , if you'll excuse my bluntness . 	it also has the great sense of being a classic romance : there is no " let's have sex tonight " mantra , if you'll excuse my bluntness .	4	-2	 it[0] also[0] has[0] the[0] great[2] sense[0] of[0] being[0] a[0] classic[0] romance[3] there[0] is[0] no[0] let's[0] have[0] sex[0] tonight[0] mantra[0] if[0] you'll[0] excuse[0] my[0] bluntness[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
this is a solid romance built around that vague concept of love . 	this is a solid romance built around that vague concept of love .	4	-2	 this[0] is[0] a[0] solid[0] romance[3] built[0] around[0] that[0] vague[-1] concept[0] of[0] love[2] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
hmm . well , the movie goes through twists and turns , having some sad moments and happy ones , until at one moment tom hanks and meg ryan " hook up " , to use modern terminology , and kiss their way into happiness . 	hm .<br> well , the movie goes through twists and turns , having some sad moments and happy ones , until at one moment tom hanks and meg ryan " hook up " , to use modern terminology , and kiss their way into happiness .	3	-3	 hmm/hm[0] [[Sentence=-1,1=word max, 1-5]] well[0] the[0] movie[0] goes[0] through[0] twists[0] and[0] turns[0] having[0] some[0] sad[-3][--1 LastWordBoosterStrength] moments[0] and[0] happy[1] ones[0] until[0] at[0] one[0] moment[0] tom[0] hanks[0] and[0] meg[0] ryan[0] hook[0] up[0] to[0] use[0] modern[0] terminology[0] and[0] kiss[2] their[0] way[0] into[0] happiness[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
you know it's going to happen , the question is now ? 	you know it's going to happen , the question is now ?	1	-1	 you[0] know[0] it's[0] going[0] to[0] happen[0] the[0] question[0] is[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thankfully , ephron has a wonderful supporting cast with posey , kinnear , chappelle , and a host of others , including a great scene involving brothers , aunts , and two sweet kids . 	thankfully , ephron has a wonderful supporting cast with posey , kinnear , chappelle , and a host of others , including a great scene involving brothers , aunts , and two sweet kids .	3	-1	 thankfully[1] ephron[0] has[0] a[0] wonderful[2] supporting[1] cast[0] with[0] posey[0] kinnear[0] chappelle[0] and[0] a[0] host[0] of[0] others[0] including[0] a[0] great[2] scene[0] involving[0] brothers[0] aunts[0] and[0] two[0] sweet[1] kids[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's all cute and wonderful , and for all of the idealism , it makes me feel good . 	it's all cute and wonderful , and for all of the idealism , it makes me feel good .	3	-1	 it's[0] all[0] cute[1] and[0] wonderful[2] and[0] for[0] all[0] of[0] the[0] idealism[0] it[0] makes[0] me[0] feel[0] good[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hanks is as obnoxious as ever on the outside and as warm on the inside as he always is . 	hanks is as obnoxious as ever on the outside and as warm on the inside as he always is .	1	-3	 hanks[0] is[0] as[0] obnoxious[-2] as[0] ever[0] on[0] the[0] outside[0] and[0] as[0] warm[0] on[0] the[0] inside[0] as[0] he[0] always[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is , i believe , america's greatest actor . 	he is , i believe , america's greatest actor .	3	-1	 he[0] is[0] i[0] believe[0] america's[0] greatest[2] actor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
does he show it here ? 	does he show it here ?	1	-1	 does[0] he[0] show[0] it[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nah . 	nah .	1	-1	 nah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but he's still tom hanks , and she's still meg ryan . 	but he's still tom hanks , and she's still meg ryan .	1	-1	 but[0] he's[0] still[0] tom[0] hanks[0] and[0] she's[0] still[0] meg[0] ryan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which is what this movie boils down to . 	which is what this movie boils down to .	1	-1	 which[0] is[0] what[0] this[0] movie[0] boils[0] down[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's pure confection . 	it's pure confection .	1	-1	 it's[0] pure[0] confection[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the bits about the godfather , the jokes , the superb script , it's all really sweet . 	all the bits about the godfather , the jokes , the superb script , it's all really sweet .	3	-1	 all[0] the[0] bits[0] about[0] the[0] godfather[0] the[0] jokes[1] the[0] superb[0] script[0] it's[0] all[0] really[0] sweet[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are some immense flaws , like pacing . 	there are some immense flaws , like pacing .	2	-1	 there[0] are[0] some[0] immense[0] flaws[0] like[1] pacing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the last third of the movie really doesn't work as well as i would have liked , and for a romantic comedy , it's slow . 	the last third of the movie really doesn't work as well as i would have liked , and for a romantic comedy , it's slow .	4	-1	 the[0] last[0] third[0] of[0] the[0] movie[0] really[0] doesn't[0] work[0] as[0] well[0] as[0] i[0] would[0] have[0] liked[2] and[0] for[0] a[0] romantic[3] comedy[0] it's[0] slow[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
once hanks knows the secret , it gets really slow . 	once hanks knows the secret , it gets really slow .	1	-1	 once[0] hanks[0] knows[0] the[0] secret[0] it[0] gets[0] really[0] slow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i even looked at my watch a couple times , to make sure ephron was going to deliver the big onscreen kiss i was waiting for , so that i could get home at a reasonable hour . 	i even looked at my watch a couple times , to make sure ephron was going to deliver the big onscreen kiss i was waiting for , so that i could get home at a reasonable hour .	3	-1	 i[0] even[0] looked[0] at[0] my[0] watch[0] a[0] couple[0] times[0] to[0] make[0] sure[0] ephron[0] was[0] going[0] to[0] deliver[0] the[0] big[0] onscreen[0] kiss[2] i[0] was[0] waiting[0] for[0] so[0] that[0] i[0] could[0] get[0] home[0] at[0] a[0] reasonable[0] hour[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the other problem is that this movie is shaping up to be really dated . 	the other problem is that this movie is shaping up to be really dated .	1	-2	 the[0] other[0] problem[-1] is[0] that[0] this[0] movie[0] is[0] shaping[0] up[0] to[0] be[0] really[0] dated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
e-mail ? 	e-mail ?	1	-1	 e[0] mail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when my kids are my age , i don't know what we'll be using . 	when my kids are my age , i don't know what we'll be using .	1	-1	 when[0] my[0] kids[0] are[0] my[0] age[0] i[0] don't[0] know[0] what[0] we'll[0] be[0] using[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but hanks can do more with one eyeroll than anybody , and meg ryan just loves to dive into a pillow better than anyone in movie history . 	but hanks can do more with one eyeroll than anybody , and meg ryan just loves to dive into a pillow better than anyone in movie history .	2	-1	 but[0] hanks[0] can[0] do[0] more[0] with[0] one[0] eyeroll[0] than[0] anybody[0] and[0] meg[0] ryan[0] just[0] loves[2][-1 LastWordBoosterStrength] to[0] dive[0] into[0] a[0] pillow[0] better[0] than[0] anyone[0] in[0] movie[0] history[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they just work together , and it's nice to see . 	they just work together , and it's nice to see .	2	-1	 they[0] just[0] work[0] together[0] and[0] it's[0] nice[1] to[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it gives you , well , a smile . 	it gives you , well , a smile .	3	-1	 it[0] gives[0] you[0] well[0] a[0] smile[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the script helps with some great lines that are absolutely hilarious , and that always come at the exact right time to keep the audience awake . 	the script helps with some great lines that are absolutely hilarious , and that always come at the exact right time to keep the audience awake .	4	-1	 the[0] script[0] helps[0] with[0] some[0] great[2][-1 LastWordBoosterStrength] lines[0] that[0] are[0] absolutely[0] hilarious[2][1 LastWordBoosterStrength] and[0] that[0] always[0] come[0] at[0] the[0] exact[0] right[0] time[0] to[0] keep[0] the[0] audience[0] awake[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i was arguing with my father on the drive back home on what the purpose of movies was . 	i was arguing with my father on the drive back home on what the purpose of movies was .	1	-2	 i[0] was[0] arguing[-1] with[0] my[0] father[0] on[0] the[0] drive[0] back[0] home[0] on[0] what[0] the[0] purpose[0] of[0] movies[0] was[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i've always believed that movies are very powerful , very powerful indeed . 	i've always believed that movies are very powerful , very powerful indeed .	1	-1	 i've[0] always[0] believed[0] that[0] movies[0] are[0] very[0] powerful[0] very[0] powerful[0] indeed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you see , mankind has three abilities he needs to survive : the ability to think , entertain , and procreate . 	you see , mankind has three abilities he needs to survive : the ability to think , entertain , and procreate .	1	-1	 you[0] see[0] mankind[0] has[0] three[0] abilities[0] he[0] needs[0] to[0] survive[0] the[0] ability[0] to[0] think[0] entertain[0] and[0] procreate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
movies can definitely do the first two , and as for the third , well , i'd rather not think about that . 	movies can definitely do the first two , and as for the third , well , i'd rather not think about that .	1	-1	 movies[0] can[0] definitely[0] do[0] the[0] first[0] two[0] and[0] as[0] for[0] the[0] third[0] well[0] i'd[0] rather[0] not[0] think[0] about[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i always thought films that made you think enlightened you and made you see something from another viewpoint , and that films that entertained you were good , because you forgot about your troubles and thought about something nice for a night . 	i always thought films that made you think enlightened you and made you see something from another viewpoint , and that films that entertained you were good , because you forgot about your troubles and thought about something nice for a night .	2	-2	 i[0] always[0] thought[0] films[0] that[0] made[0] you[0] think[0] enlightened[0] you[0] and[0] made[0] you[0] see[0] something[0] from[0] another[0] viewpoint[0] and[0] that[0] films[0] that[0] entertained[0] you[0] were[0] good[1] because[0] you[0] forgot[0] about[0] your[0] troubles[-1] and[0] thought[0] about[0] something[0] nice[1] for[0] a[0] night[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and i was thinking about how incredible a year tom hanks has had . 	and i was thinking about how incredible a year tom hanks has had .	1	-1	 and[0] i[0] was[0] thinking[0] about[0] how[0] incredible[0] a[0] year[0] tom[0] hanks[0] has[0] had[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hanks was the driving force behind one of the year's best films in saving private ryan , which is one of those thinking films that truly made someone wonder about the world . 	hanks was the driving force behind one of the year's best films in saving private ryan , which is one of those thinking films that truly made someone wonder about the world .	2	-2	 hanks[0] was[0] the[0] driving[0] force[-1] behind[0] one[0] of[0] the[0] year's[0] best[1] films[0] in[0] saving[0] private[0] ryan[0] which[0] is[0] one[0] of[0] those[0] thinking[0] films[0] that[0] truly[1] made[0] someone[0] wonder[0] about[0] the[0] world[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he's also half of the glue behind the year's best example of pure entertainment . 	he's also half of the glue behind the year's best example of pure entertainment .	2	-1	 he's[0] also[0] half[0] of[0] the[0] glue[0] behind[0] the[0] year's[0] best[1] example[0] of[0] pure[0] entertainment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tom hanks and meg ryan are magical , as is this movie . 	tom hanks and meg ryan are magical , as is this movie .	1	-1	 tom[0] hanks[0] and[0] meg[0] ryan[0] are[0] magical[0] as[0] is[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a sweet , lovely affair with a technology twist . 	it's a sweet , lovely affair with a technology twist .	2	-1	 it's[0] a[0] sweet[1] lovely[1] affair[0] with[0] a[0] technology[0] twist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it may be a long commercial , but it gave me a pretty big smile on my face . 	it may be a long commercial , but it gave me a pretty big smile on my face .	3	-1	 it[0] may[0] be[0] a[0] long[0] commercial[0] but[0] it[0] gave[0] me[0] a[0] pretty[2] big[0] smile[2] on[0] my[0] face[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
