luckily , some people got starship troopers . 	Translation	Positive	Negative	EmotionRationale
if you saw these three on the street , you'd automatically start searching for the fashion designers and photographers , for never has a movie's cast looked so much like the cut-out cover of " seventeen " magazine . 	if you saw these three on the street , you'd automatically start searching for the fashion designers and photographers , for never has a movie's cast looked so much like the cut-out cover of " seventeen " magazine .	2	-1	 if[0] you[0] saw[0] these[0] three[0] on[0] the[0] street[0] you'd[0] automatically[0] start[0] searching[0] for[0] the[0] fashion[0] designers[0] and[0] photographers[0] for[0] never[0] has[0] a[0] movie's[0] cast[0] looked[0] so[0] much[0] like[1] the[0] cut[0] out[0] cover[0] of[0] seventeen[0] magazine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the lone non-supermodel , carl jenkins ( played by doogie howser himself , neil patrick harris ) is the brainiac who gets into the military intelligence division , the top secret department that pretty much leaves doogie - er , carl out of the picture . 	the lone non-supermodel , carl jenkins ( played by doogie howser himself , neil patrick harris ) is the brainiac who gets into the military intelligence division , the top secret department that pretty much leaves doogie - er , carl out of the picture .	3	-2	 the[0] lone[-1] non[0] supermodel[0] carl[0] jenkins[0] played[0] by[0] doogie[0] howser[0] himself[0] neil[0] patrick[0] harris[0] is[0] the[0] brainiac[0] who[0] gets[0] into[0] the[0] military[0] intelligence[0] division[-1] the[0] top[0] secret[0] department[0] that[0] pretty[2] much[0] leaves[0] doogie[0] er[0] carl[0] out[0] of[0] the[0] picture[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( good call - now we can put all our drooling efforts into only the most deserving of characters ) . 	 ( good call - now we can put all our drooling efforts into only the most deserving of characters ) .	2	-1	 good[1] call[0] now[0] we[0] can[0] put[0] all[0] our[0] drooling[0] efforts[0] into[0] only[0] the[0] most[0] deserving[0] of[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
right off the bat , rico becomes the star of the show , far surpassing all the other soldiers and becoming squadron leader in a short period of time . 	right off the bat , rico becomes the star of the show , far surpassing all the other soldiers and becoming squadron leader in a short period of time .	1	-1	 right[0] off[0] the[0] bat[0] rico[0] becomes[0] the[0] star[0] of[0] the[0] show[0] far[0] surpassing[0] all[0] the[0] other[0] soldiers[0] and[0] becoming[0] squadron[0] leader[0] in[0] a[0] short[0] period[0] of[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but a horrific accident during a standard training exercise ( which follows all to closely to his breakup with carmen ) leaves rico ready to call it quits . 	but a horrific accident during a standard training exercise ( which follows all to closely to his breakup with carmen ) leaves rico ready to call it quits .	1	-4	 but[0] a[0] horrific[-3] accident[-1] during[0] a[0] standard[0] training[0] exercise[0] which[0] follows[0] all[0] to[0] closely[0] to[0] his[0] breakup[0] with[0] carmen[0] leaves[0] rico[0] ready[0] to[0] call[0] it[0] quits[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with his bags packed and his civilian clothes back on , johnny is ready to walk off base and catch the next flight home . 	with his bags packed and his civilian clothes back on , johnny is ready to walk off base and catch the next flight home .	1	-1	 with[0] his[0] bags[0] packed[0] and[0] his[0] civilian[0] clothes[0] back[0] on[0] johnny[0] is[0] ready[0] to[0] walk[0] off[0] base[0] and[0] catch[0] the[0] next[0] flight[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well sorry , rico suave , but there's no place like home , especially after gigantic alien insects have destroyed it . 	well sorry , rico suave , but there's no place like home , especially after gigantic alien insects have destroyed it .	2	-3	 well[0] sorry[-1] rico[0] suave[0] but[0] there's[0] no[0] place[0] like[1] home[0] especially[0] after[0] gigantic[0] alien[-1] insects[0] have[0] destroyed[-2] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that's right , the planet is being attacked by a colony of arachnid-like alien beings that a can of raid just isn't going to destroy . 	that's right , the planet is being attacked by a colony of arachnid-like alien beings that a can of raid just isn't going to destroy .	2	-3	 that's[0] right[0] the[0] planet[0] is[0] being[0] attacked[-2] by[0] a[0] colony[0] of[0] arachnid[0] like[1] alien[-1] beings[0] that[0] a[0] can[0] of[0] raid[-1] just[0] isn't[0] going[0] to[0] destroy[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
with a sudden change of heart ( and clothes ) , rico is back in the game , following his fellow starship troopers off to fight a mean group of daddy long legs . 	with a sudden change of heart ( and clothes ) , rico is back in the game , following his fellow starship troopers off to fight a mean group of daddy long legs .	1	-3	 with[0] a[0] sudden[0] change[0] of[0] heart[0] and[0] clothes[0] rico[0] is[0] back[0] in[0] the[0] game[0] following[0] his[0] fellow[0] starship[0] troopers[0] off[0] to[0] fight[-2] a[0] mean[0] group[0] of[0] daddy[0] long[0] legs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what starship troopers really is , is a spoof of all that it even remotely touches on - the soap opera like love affairs of high school , the love for sci-fi and thirst for gore shared by this same age group , etc . nothing is taken seriously . 	what starship troopers really is , is a spoof of all that it even remotely touches on - the soap opera like love affairs of high school , the love for sci-fi and thirst for gore shared by this same age group , etc .<br> nothing is taken seriously .	3	-2	 what[0] starship[0] troopers[0] really[0] is[0] is[0] a[0] spoof[0] of[0] all[0] that[0] it[0] even[0] remotely[0] touches[0] on[0] the[0] soap[0] opera[0] like[1] love[2] affairs[0] of[0] high[0] school[0] the[0] love[2] for[0] sci[0] fi[0] and[0] thirst[-1] for[0] gore[0] shared[0] by[0] this[0] same[0] age[0] group[0] etc[0] [[Sentence=-2,3=word max, 1-5]] nothing[0] is[0] taken[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
it's almost as much a satire on young adults as clueless , but with its sly and futuristic approach , it's not as recognizably so . 	it's almost as much a satire on young adults as clueless , but with its sly and futuristic approach , it's not as recognizably so .	1	-2	 it's[0] almost[0] as[0] much[0] a[0] satire[0] on[0] young[0] adults[0] as[0] clueless[0] but[0] with[0] its[0] sly[-1] and[0] futuristic[0] approach[0] it's[0] not[0] as[0] recognizably[0] so[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a spoof so subtle that many won't recognize the spoofery . 	it's a spoof so subtle that many won't recognize the spoofery .	1	-1	 it's[0] a[0] spoof[0] so[0] subtle[0] that[0] many[0] won't[0] recognize[0] the[0] spoofery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you deem this as sci-fi/action , you're wrong . 	if you deem this as sci-fi/action , you're wrong .	1	-2	 if[0] you[0] deem[0] this[0] as[0] sci[0] fi/action[0] you're[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's sci-fi/action/comedy , with the comedy being on the level of such cult favorites as evil dead 2 . starship troopers just may be on the road to cult status as well . 	it's sci-fi/action/comedy , with the comedy being on the level of such cult favorites as evil dead 2 .<br> starship troopers just may be on the road to cult status as well .	2	-4	 it's[0] sci[0] fi/action/comedy[0] with[0] the[0] comedy[0] being[0] on[0] the[0] level[0] of[0] such[0] cult[0] favorites[1] as[0] evil[-2] dead[-2][-1 MultiplePositiveWords] 2[0] [[Sentence=-4,2=word max, 1-5]] starship[0] troopers[0] just[0] may[0] be[0] on[0] the[0] road[0] to[0] cult[0] status[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
gore is a factor heavily brought up in reviews of this film , but the gore , too , is meant to be cheesy . 	gore is a factor heavily brought up in reviews of this film , but the gore , too , is meant to be cheesy .	1	-1	 gore[0] is[0] a[0] factor[0] heavily[0] brought[0] up[0] in[0] reviews[0] of[0] this[0] film[0] but[0] the[0] gore[0] too[0] is[0] meant[0] to[0] be[0] cheesy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes , it's graphic , but it's also brutally phony , and that's what makes it such great fun to watch . 	yes , it's graphic , but it's also brutally phony , and that's what makes it such great fun to watch .	3	-3	 yes[0] it's[0] graphic[0] but[0] it's[0] also[0] brutally[-2] phony[0] and[0] that's[0] what[0] makes[0] it[0] such[0] great[2] fun[1] to[0] watch[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
not since the old " mr . bill " skits on " saturday night live " has torture and mutilation been such a joy to watch . 	not since the old " mr .<br> bill " skits on " saturday night live " has torture and mutilation been such a joy to watch .	3	-4	 not[0] since[0] the[0] old[0] mr[0] [[Sentence=-1,1=word max, 1-5]] bill[0] skits[0] on[0] saturday[0] night[0] live[0] has[0] torture[-3] and[0] mutilation[0] been[0] such[0] a[0] joy[2] to[0] watch[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
people were laughing out loud every time a body was severed in half or a head was viciously decapitated . 	people were laughing out loud every time a body was severed in half or a head was viciously decapitated .	2	-4	 people[0] were[0] laughing[1] out[0] loud[0] every[0] time[0] a[0] body[0] was[0] severed[-1] in[0] half[0] or[0] a[0] head[0] was[0] viciously[-3] decapitated[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
perhaps it brings back fond memories of the severities we inflicted upon our sisters' barbie dolls as young children . 	perhaps it brings back fond memories of the severities we inflicted upon our sisters' barbie dolls as young children .	3	-1	 perhaps[0] it[0] brings[0] back[0] fond[2] memories[0] of[0] the[0] severities[0] we[0] inflicted[0] upon[0] our[0] sisters'[0] barbie[0] dolls[0] as[0] young[0] children[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with the actors resembling ken and barbie so closely , it's a good chance this is the case , whether we're fully aware of it or not . 	with the actors resembling ken and barbie so closely , it's a good chance this is the case , whether we're fully aware of it or not .	2	-1	 with[0] the[0] actors[0] resembling[0] ken[0] and[0] barbie[0] so[0] closely[0] it's[0] a[0] good[1] chance[0] this[0] is[0] the[0] case[0] whether[0] we're[0] fully[0] aware[0] of[0] it[0] or[0] not[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
starship troopers has it's slow parts , but it's truly an alternative to your typical sci-fi/action flick or lame juvenile comedy . 	starship troopers has it's slow parts , but it's truly an alternative to your typical sci-fi/action flick or lame juvenile comedy .	2	-3	 starship[0] troopers[0] has[0] it's[0] slow[0] parts[0] but[0] it's[0] truly[1] an[0] alternative[0] to[0] your[0] typical[0] sci[0] fi/action[0] flick[0] or[0] lame[-2] juvenile[0] comedy[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
aside from the intentionally cheesy gore , the special effects are quite astounding . 	aside from the intentionally cheesy gore , the special effects are quite astounding .	2	-1	 aside[0] from[0] the[0] intentionally[0] cheesy[0] gore[0] the[0] special[1] effects[0] are[0] quite[0] astounding[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when the spaceship passes a meteor , it's quite an awesome spectacle , visually crisp and captivating . 	when the spaceship passes a meteor , it's quite an awesome spectacle , visually crisp and captivating .	3	-1	 when[0] the[0] spaceship[0] passes[0] a[0] meteor[0] it's[0] quite[0] an[0] awesome[2] spectacle[0] visually[0] crisp[0] and[0] captivating[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you're looking for brainless fun , this is the epitome of your search . 	if you're looking for brainless fun , this is the epitome of your search .	2	-1	 if[0] you're[0] looking[0] for[0] brainless[0] fun[1] this[0] is[0] the[0] epitome[0] of[0] your[0] search[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a beautiful cast , awesome special effects , fast-paced action , campy acting , and a whole lot of gore . 	a beautiful cast , awesome special effects , fast-paced action , campy acting , and a whole lot of gore .	3	-1	 a[0] beautiful[2] cast[0] awesome[2] special[1] effects[0] fast[0] paced[0] action[0] campy[0] acting[0] and[0] a[0] whole[0] lot[0] of[0] gore[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is brainless heaven . 	this is brainless heaven .	2	-1	 this[0] is[0] brainless[0] heaven[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
just remember not to think . 	just remember not to think .	1	-1	 just[0] remember[0] not[0] to[0] think[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
