 " dangerous beauty " is a really nothing more than a grandiose soap opera set in venice circa 1583 . 	Translation	Positive	Negative	EmotionRationale
however , because she is beautiful and intelligent , veronica has a chance to enter marco's world , albeit not as his wife . 	however , because she is beautiful and intelligent , veronica has a chance to enter marco's world , albeit not as his wife .	3	-1	 however[0] because[0] she[0] is[0] beautiful[2] and[0] intelligent[1] veronica[0] has[0] a[0] chance[0] to[0] enter[0] marco's[0] world[0] albeit[0] not[0] as[0] his[0] wife[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she decides to become a courtesan -- a class of women who were as well-educated as they were ravishing , and sold their sexuality to wealthy men for the privilege of wining and dining with the elite . 	she decides to become a courtesan - a class of women who were as well-educated as they were ravishing , and sold their sexuality to wealthy men for the privilege of wining and dining with the elite .	2	-1	 she[0] decides[0] to[0] become[0] a[0] courtesan[0] a[0] class[0] of[0] women[0] who[0] were[0] as[0] well[0] educated[0] as[0] they[0] were[0] ravishing[0] and[0] sold[0] their[0] sexuality[0] to[0] wealthy[0] men[0] for[0] the[0] privilege[1] of[0] wining[0] and[0] dining[0] with[0] the[0] elite[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a courtesan was not a mere prostitute ; they were afforded a special place in society , and they were greatly revered , respected , and often envied . 	a courtesan was not a mere prostitute ; they were afforded a special place in society , and they were greatly revered , respected , and often envied .	3	-3	 a[0] courtesan[0] was[0] not[0] a[0] mere[0] prostitute[0] they[0] were[0] afforded[0] a[0] special[1] place[0] in[0] society[0] and[0] they[0] were[0] greatly[2] revered[0] respected[2] and[0] often[0] envied[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
at one point , a character mentions that some rulers obtain more political advice from their courtesans than from their lieutenants . 	at one point , a character mentions that some rulers obtain more political advice from their courtesans than from their lieutenants .	1	-1	 at[0] one[0] point[0] a[0] character[0] mentions[0] that[0] some[0] rulers[0] obtain[0] more[0] political[0] advice[0] from[0] their[0] courtesans[0] than[0] from[0] their[0] lieutenants[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
veronica goes through the transformation with the help of her mother , paola ( jacqueline bisset ) , who was once a famed courtesan herself . 	veronica goes through the transformation with the help of her mother , paola ( jacqueline bisset ) , who was once a famed courtesan herself .	1	-1	 veronica[0] goes[0] through[0] the[0] transformation[0] with[0] the[0] help[0] of[0] her[0] mother[0] paola[0] jacqueline[0] bisset[0] who[0] was[0] once[0] a[0] famed[0] courtesan[0] herself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once she enters the lifestyle , veronica finds that it suits her quite well . 	once she enters the lifestyle , veronica finds that it suits her quite well .	1	-1	 once[0] she[0] enters[0] the[0] lifestyle[0] veronica[0] finds[0] that[0] it[0] suits[0] her[0] quite[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is allowed to read all the books she wants , she is given the opportunity to publish her poetry , and she has the richest and most powerful men in the republic throwing themselves at her feet , including the awestruck marco . 	she is allowed to read all the books she wants , she is given the opportunity to publish her poetry , and she has the richest and most powerful men in the republic throwing themselves at her feet , including the awestruck marco .	1	-1	 she[0] is[0] allowed[0] to[0] read[0] all[0] the[0] books[0] she[0] wants[0] she[0] is[0] given[0] the[0] opportunity[0] to[0] publish[0] her[0] poetry[0] and[0] she[0] has[0] the[0] richest[0] and[0] most[0] powerful[0] men[0] in[0] the[0] republic[0] throwing[0] themselves[0] at[0] her[0] feet[0] including[0] the[0] awestruck[0] marco[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their relationship develops into a playful bantering , with veronica utilizing her newfound power by constantly rejecting marco's advances . 	their relationship develops into a playful bantering , with veronica utilizing her newfound power by constantly rejecting marco's advances .	2	-2	 their[0] relationship[0] develops[0] into[0] a[0] playful[1] bantering[0] with[0] veronica[0] utilizing[0] her[0] newfound[0] power[0] by[0] constantly[0] rejecting[-1] marco's[0] advances[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in many ways , their relationship is sad because marco is married to a women he is unable to love , and veronica is consumed by multiple relationships with men she is unwilling to love . 	in many ways , their relationship is sad because marco is married to a women he is unable to love , and veronica is consumed by multiple relationships with men she is unwilling to love .	3	-4	 in[0] many[0] ways[0] their[0] relationship[0] is[0] sad[-3] because[0] marco[0] is[0] married[0] to[0] a[0] women[0] he[0] is[0] unable[0] to[0] love[2] and[0] veronica[0] is[0] consumed[0] by[0] multiple[0] relationships[0] with[0] men[0] she[0] is[0] unwilling[-1] to[0] love[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " love the love , not the man , " as her mother told her . 	 " love the love , not the man , " as her mother told her .	3	-1	 love[2] the[0] love[2] not[0] the[0] man[0] as[0] her[0] mother[0] told[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " dangerous beauty , " which was based on a factual book by margaret rosenthal , flows along as smoothly and serenely as the grand canal running through the heart of venice . 	 " dangerous beauty , " which was based on a factual book by margaret rosenthal , flows along as smoothly and serenely as the grand canal running through the heart of venice .	3	-2	 dangerous[-1] beauty[2] which[0] was[0] based[0] on[0] a[0] factual[0] book[0] by[0] margaret[0] rosenthal[0] flows[0] along[0] as[0] smoothly[0] and[0] serenely[0] as[0] the[0] grand[1] canal[0] running[0] through[0] the[0] heart[0] of[0] venice[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it has multiple plot lines -- including veronica's adversarial relationship with a court poet ( oliver platt ) , her role in obtaining france's military assistance in venice's battle against the turks , and even the dreaded shadow of the plague and the encroachment of the spanish inquisition -- yet it is never confusing or overbearing . 	it has multiple plot lines - including veronica's adversarial relationship with a court poet ( oliver platt ) , her role in obtaining france's military assistance in venice's battle against the turks , and even the dreaded shadow of the plague and the encroachment of the spanish inquisition - yet it is never confusing or overbearing .	2	-4	 it[0] has[0] multiple[0] plot[0] lines[0] including[0] veronica's[0] adversarial[-1] relationship[0] with[0] a[0] court[0] poet[0] oliver[0] platt[0] her[0] role[0] in[0] obtaining[0] france's[0] military[0] assistance[0] in[0] venice's[0] battle[-1] against[-1] the[0] turks[0] and[0] even[0] the[0] dreaded[-3] shadow[0] of[0] the[0] plague[-1] and[0] the[0] encroachment[-1] of[0] the[0] spanish[0] inquisition[0] yet[0] it[0] is[0] never[0] confusing[-1][NegatedDueToPreviousWord] or[0] overbearing[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
much of the film's success is due to the glowing performance by catherine mccormack in the lead role . 	much of the film's success is due to the glowing performance by catherine mccormack in the lead role .	3	-1	 much[0] of[0] the[0] film's[0] success[2] is[0] due[0] to[0] the[0] glowing[0] performance[0] by[0] catherine[0] mccormack[0] in[0] the[0] lead[0] role[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
known chiefly for the small part she played as the lover whose murder raised mel gibson's ire in " braveheart " ( 1995 ) , mccormack shows the true gifts and inarguable talent of a leading lady . 	known chiefly for the small part she played as the lover whose murder raised mel gibson's ire in " braveheart " ( 1995 ) , mccormack shows the true gifts and inarguable talent of a leading lady .	4	-4	 known[0] chiefly[0] for[0] the[0] small[0] part[0] she[0] played[0] as[0] the[0] lover[3] whose[0] murder[-3] raised[0] mel[0] gibson's[0] ire[0] in[0] braveheart[2] 1995[0] mccormack[0] shows[0] the[0] true[1] gifts[0] and[0] inarguable[0] talent[1] of[0] a[0] leading[0] lady[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
she has the kind of exquisite classical beauty that would be treasured in a courtesan ; her character is intelligent , witty , and both sensual and vulnerable , all of which mccormack easily transmits with a single flash of her eyes . 	she has the kind of exquisite classical beauty that would be treasured in a courtesan ; her character is intelligent , witty , and both sensual and vulnerable , all of which mccormack easily transmits with a single flash of her eyes .	3	-3	 she[0] has[0] the[0] kind[1] of[0] exquisite[0] classical[0] beauty[2] that[0] would[0] be[0] treasured[1] in[0] a[0] courtesan[0] her[0] character[0] is[0] intelligent[1] witty[0] and[0] both[0] sensual[0] and[0] vulnerable[-2] all[0] of[0] which[0] mccormack[0] easily[0] transmits[0] with[0] a[0] single[0] flash[0] of[0] her[0] eyes[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the rest of the roles are also filled well , including rufus sewell whose performance here and earlier this month in " dark city " have assured him a solid place in hollywood . 	the rest of the roles are also filled well , including rufus sewell whose performance here and earlier this month in " dark city " have assured him a solid place in hollywood .	1	-1	 the[0] rest[0] of[0] the[0] roles[0] are[0] also[0] filled[0] well[0] including[0] rufus[0] sewell[0] whose[0] performance[0] here[0] and[0] earlier[0] this[0] month[0] in[0] dark[0] city[0] have[0] assured[0] him[0] a[0] solid[0] place[0] in[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has the same kind of unusual good looks and charm of ray liotta , and he seems perfectly at home in period dramas . 	he has the same kind of unusual good looks and charm of ray liotta , and he seems perfectly at home in period dramas .	2	-1	 he[0] has[0] the[0] same[0] kind[1] of[0] unusual[0] good[1] looks[0] and[0] charm[1] of[0] ray[0] liotta[0] and[0] he[0] seems[0] perfectly[1] at[0] home[0] in[0] period[0] dramas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oliver platt plays a variation of the comic relief role that he has come to inhabit like a second skin , although the film deals his character a cheap blow at the end by having him improbably join the inquisition and turn into the bad guy . 	oliver platt plays a variation of the comic relief role that he has come to inhabit like a second skin , although the film deals his character a cheap blow at the end by having him improbably join the inquisition and turn into the bad guy .	2	-2	 oliver[0] platt[0] plays[1] a[0] variation[0] of[0] the[0] comic[0] relief[1] role[0] that[0] he[0] has[0] come[0] to[0] inhabit[0] like[1] a[0] second[0] skin[0] although[0] the[0] film[0] deals[0] his[0] character[0] a[0] cheap[-1] blow[0] at[0] the[0] end[0] by[0] having[0] him[0] improbably[0] join[0] the[0] inquisition[0] and[0] turn[0] into[0] the[0] bad[-1] guy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
platt is a good actor , but he's just too hard to hate . 	platt is a good actor , but he's just too hard to hate .	2	-4	 platt[0] is[0] a[0] good[1] actor[0] but[0] he's[0] just[0] too[0] hard[0] to[0] hate[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
jacqueline bisset proves that she is every bit as stirring as she ever was , and even fred ward turns up in a small , but moving performance as marco's uncle . 	jacqueline bisset proves that she is every bit as stirring as she ever was , and even fred ward turns up in a small , but moving performance as marco's uncle .	1	-1	 jacqueline[0] bisset[0] proves[0] that[0] she[0] is[0] every[0] bit[0] as[0] stirring[0] as[0] she[0] ever[0] was[0] and[0] even[0] fred[0] ward[0] turns[0] up[0] in[0] a[0] small[0] but[0] moving[0] performance[0] as[0] marco's[0] uncle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " dangerous beauty " is marshall herskovitz's sophomore directorial effort , after the overlooked 1993 film " jack the bear . " 	 " dangerous beauty " is marshal herskovitz's sophomore directorial effort , after the overlooked 1993 film " jack the bear .<br> "	3	-2	 dangerous[-1] beauty[2] is[0] marshall/marshal[0] herskovitz's[0] sophomore[0] directorial[0] effort[0] after[0] the[0] overlooked[-1] 1993[0] film[0] jack[0] the[0] bear[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
partnered with edward zwick , herskovitz has spent most of his time as a producer on television ( " thirtysomething , " " my so-called life " ) and in the movies ( " legends of the fall " ) . 	partnered with edward zwick , herskovitz has spent most of his time as a producer on television ( " thirtysomething , " " my so-called life " ) and in the movies ( " legends of the fall " ) .	1	-1	 partnered[0] with[0] edward[0] zwick[0] herskovitz[0] has[0] spent[0] most[0] of[0] his[0] time[0] as[0] a[0] producer[0] on[0] television[0] thirtysomething[0] my[0] so[0] called[0] life[0] and[0] in[0] the[0] movies[0] legends[0] of[0] the[0] fall[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his directing style can be best described as transparent -- it never gets in the way of the story , yet it has no discernible flourish or particular distinctions . 	his directing style can be best described as transparent - it never gets in the way of the story , yet it has no discernible flourish or particular distinctions .	2	-1	 his[0] directing[0] style[0] can[0] be[0] best[1] described[0] as[0] transparent[0] it[0] never[0] gets[0] in[0] the[0] way[0] of[0] the[0] story[0] yet[0] it[0] has[0] no[0] discernible[0] flourish[0] or[0] particular[0] distinctions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he could have approached the film in any number of ways , including overdosing on the sexual aspect , which he wisely avoids . 	he could have approached the film in any number of ways , including overdosing on the sexual aspect , which he wisely avoids .	1	-2	 he[0] could[0] have[0] approached[0] the[0] film[0] in[0] any[0] number[0] of[0] ways[0] including[0] overdosing[0] on[0] the[0] sexual[0] aspect[0] which[0] he[0] wisely[0] avoids[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " dangerous beauty " contains just enough bare flesh and ribald sex to make it appropriately erotic , but not so much that it seems exploitative . 	 " dangerous beauty " contains just enough bare flesh and ribald sex to make it appropriately erotic , but not so much that it seems exploitative .	3	-2	 dangerous[-1] beauty[2] contains[0] just[0] enough[0] bare[0] flesh[0] and[0] ribald[0] sex[0] to[0] make[0] it[0] appropriately[0] erotic[0] but[0] not[0] so[0] much[0] that[0] it[0] seems[0] exploitative[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
herskovitz is also aided by a strong supporting crew , including the luscious photography by bojan bazelli , whose previous efforts include the highly-stylized thriller " kalifornia " ( 1993 ) and abel ferrara's dark sci-fi film " body snatchers " ( 1994 ) . 	herskovitz is also aided by a strong supporting crew , including the luscious photography by bojan bazelli , whose previous efforts include the highly-stylized thriller " kalifornia " ( 1993 ) and abel ferrara's dark sci-fi film " body snatchers " ( 1994 ) .	2	-2	 herskovitz[0] is[0] also[0] aided[0] by[0] a[0] strong[0] supporting[1] crew[0] including[0] the[0] luscious[0] photography[0] by[0] bojan[0] bazelli[0] whose[0] previous[0] efforts[0] include[0] the[0] highly[0] stylized[0] thriller[1] kalifornia[0] 1993[0] and[0] abel[0] ferrara's[0] dark[0] sci[0] fi[0] film[0] body[0] snatchers[-1] 1994[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bazelli captures the film in strong , bold colors , and be brings sixteenth-century venice to life in wide , panoramic shots that are often enhanced with digital imagery . 	bazelli captures the film in strong , bold colors , and be brings sixteenth-century venice to life in wide , panoramic shots that are often enhanced with digital imagery .	1	-2	 bazelli[0] captures[-1] the[0] film[0] in[0] strong[0] bold[0] colors[0] and[0] be[0] brings[0] sixteenth[0] century[0] venice[0] to[0] life[0] in[0] wide[0] panoramic[0] shots[0] that[0] are[0] often[0] enhanced[0] with[0] digital[0] imagery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , the real details are found in the production design by norman garwood ( " brazil , " " the princess bride " ) and the costumes by gabriella pescucci ( " the age of innocence " ) . 	however , the real details are found in the production design by norman garwood ( " brazil , " " the princess bride " ) and the costumes by gabriella pescucci ( " the age of innocence " ) .	2	-1	 however[0] the[0] real[0] details[0] are[0] found[0] in[0] the[0] production[0] design[0] by[0] norman[0] garwood[0] brazil[0] the[0] princess[0] bride[0] and[0] the[0] costumes[0] by[0] gabriella[0] pescucci[0] the[0] age[0] of[0] innocence[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only problem with " dangerous beauty " is that it doesn't stick with you . 	the only problem with " dangerous beauty " is that it doesn't stick with you .	3	-2	 the[0] only[0] problem[-1] with[0] dangerous[-1] beauty[2] is[0] that[0] it[0] doesn't[0] stick[0] with[0] you[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's a good story well-told with interesting characters , but it's easy to shrug off once you've left the theater . 	it's a good story well-told with interesting characters , but it's easy to shrug off once you've left the theater .	2	-1	 it's[0] a[0] good[1] story[0] well[0] told[0] with[0] interesting[1] characters[0] but[0] it's[0] easy[0] to[0] shrug[0] off[0] once[0] you've[0] left[0] the[0] theater[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only sequence that has the chance to be truly indelible is veronica being pulled in front of the hypocrisy of the inquisition and threatened with the death penalty for her transgressions , but it never quite comes off because it's simply too melodramatic and conventional . 	the only sequence that has the chance to be truly indelible is veronica being pulled in front of the hypocrisy of the inquisition and threatened with the death penalty for her transgressions , but it never quite comes off because it's simply too melodramatic and conventional .	2	-3	 the[0] only[0] sequence[0] that[0] has[0] the[0] chance[0] to[0] be[0] truly[1] indelible[0] is[0] veronica[0] being[0] pulled[0] in[0] front[0] of[0] the[0] hypocrisy[-1] of[0] the[0] inquisition[0] and[0] threatened[-2] with[0] the[0] death[-2] penalty[0] for[0] her[0] transgressions[-1] but[0] it[0] never[0] quite[0] comes[0] off[0] because[0] it's[0] simply[0] too[0] melodramatic[-1] and[0] conventional[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
herskovitz tries with all his might to make it a nailbiter , but somehow its outcome is a foregone conclusion , and like the rest of the film , it carries no real weight , despite the potential severity of the subject matter . 	herskovitz tries with all his might to make it a nailbiter , but somehow its outcome is a foregone conclusion , and like the rest of the film , it carries no real weight , despite the potential severity of the subject matter .	2	-2	 herskovitz[0] tries[0] with[0] all[0] his[0] might[0] to[0] make[0] it[0] a[0] nailbiter[0] but[0] somehow[0] its[0] outcome[0] is[0] a[0] foregone[0] conclusion[0] and[0] like[1] the[0] rest[0] of[0] the[0] film[0] it[0] carries[0] no[0] real[0] weight[0] despite[0] the[0] potential[0] severity[-1] of[0] the[0] subject[0] matter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
