this is the best british gangster film since the long good friday . 	Translation	Positive	Negative	EmotionRationale
here he creates one of the best screen villains in recent years . 	here he creates one of the best screen villains in recent years .	2	-3	 here[0] he[0] creates[0] one[0] of[0] the[0] best[1] screen[0] villains[-2] in[0] recent[0] years[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he is at once seductive and repellent like a beautiful venomous snake . 	he is at once seductive and repellent like a beautiful venomous snake .	3	-4	 he[0] is[0] at[0] once[0] seductive[0] and[0] repellent[0] like[1] a[0] beautiful[2] venomous[-3] snake[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
his lair is underground , apparently in a sewer , where he lives like the king of sewer rats . 	his lair is underground , apparently in a sewer , where he lives like the king of sewer rats .	2	-1	 his[0] lair[0] is[0] underground[0] apparently[0] in[0] a[0] sewer[0] where[0] he[0] lives[0] like[1] the[0] king[0] of[0] sewer[0] rats[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is the kingpin who pulls the strings that will control bennet's life . 	it is the kingpin who pulls the strings that will control bennet's life .	1	-1	 it[0] is[0] the[0] kingpin[0] who[0] pulls[0] the[0] strings[0] that[0] will[0] control[0] bennet's[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paul sarossy who directs spent most of his career as a cinematographer and like the kingpin's lair , he has molded images of class and style out of the darkness . 	paul sarossy who directs spent most of his career as a cinematographer and like the kingpin's lair , he has molded images of class and style out of the darkness .	2	-1	 paul[0] sarossy[0] who[0] directs[0] spent[0] most[0] of[0] his[0] career[0] as[0] a[0] cinematographer[0] and[0] like[1] the[0] kingpin's[0] lair[0] he[0] has[0] molded[0] images[0] of[0] class[0] and[0] style[0] out[0] of[0] the[0] darkness[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by using semi-darkness and letting the colors of deep blue and black dominate every scene he makes the film visually as ominous as anything in this nether world . 	by using semi-darkness and letting the colors of deep blue and black dominate every scene he makes the film visually as ominous as anything in this nether world .	1	-3	 by[0] using[0] semi[0] darkness[0] and[0] letting[0] the[0] colors[0] of[0] deep[0] blue[0] and[0] black[0] dominate[-1] every[0] scene[0] he[0] makes[0] the[0] film[0] visually[0] as[0] ominous[-2] as[0] anything[0] in[0] this[0] nether[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is a world that is cold and unfriendly . 	this is a world that is cold and unfriendly .	1	-3	 this[0] is[0] a[0] world[0] that[0] is[0] cold[-1] and[0] unfriendly[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sorossy creates a world of violence much more by what we hear than what we see . 	sorossy creates a world of violence much more by what we hear than what we see .	1	-4	 sorossy[0] creates[0] a[0] world[0] of[0] violence[-3] much[0] more[0] by[0] what[0] we[0] hear[0] than[0] what[0] we[0] see[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is a film with a great deal of physical violence occurring just out of reach . 	this is a film with a great deal of physical violence occurring just out of reach .	3	-4	 this[0] is[0] a[0] film[0] with[0] a[0] great[2] deal[0] of[0] physical[0] violence[-3] occurring[0] just[0] out[0] of[0] reach[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
we see very little but we hear a great deal more and we imagine more than that . 	we see very little but we hear a great deal more and we imagine more than that .	3	-1	 we[0] see[0] very[0] little[0] but[0] we[0] hear[0] a[0] great[2] deal[0] more[0] and[0] we[0] imagine[0] more[0] than[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the screenplay is by peter waddington based on the novel by neil cross , but it is sarossy's film all the way . 	the screenplay is by peter waddington based on the novel by neil cross , but it is sarossy's film all the way .	1	-2	 the[0] screenplay[0] is[0] by[0] peter[0] waddington[0] based[0] on[0] the[0] novel[0] by[0] neil[0] cross[-1] but[0] it[0] is[0] sarossy's[0] film[0] all[0] the[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it creates indelible images of evil . 	it creates indelible images of evil .	1	-3	 it[0] creates[0] indelible[0] images[0] of[0] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i rate it an 8 on the 0 to 10 scale and a low  3 on the -4 to  4 scale . 	i rate it an 8 on the 0 to 10 scale and a low  3 on the -4 to  4 scale .	1	-2	 i[0] rate[0] it[0] an[0] 8[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] low[-1] 3[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( i do hope they do not use the tagline " don't mess with mr . in-between . " ) 	 ( i do hope they do not use the tagline " don't mess with mr .<br> in-between .<br> " )	3	-1	 i[0] do[0] hope[2] they[0] do[0] not[0] use[0] the[0] tagline[0] don't[0] mess[0] with[0] mr[0] [[Sentence=-1,3=word max, 1-5]] in[0] between[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
