catherine deane ( jennifer lopez ) is a psychologist who has been hired to participate in a project where she can enter the minds of comatose victims and try to interact with their subconscious in an attempt to wake them up . 	Translation	Positive	Negative	EmotionRationale
despite the borrowed elements from the aforementioned films and a script that contains several logically questionable moments , the cell does feature some remarkable imagery . 	despite the borrowed elements from the aforementioned films and a script that contains several logically questionable moments , the cell does feature some remarkable imagery .	1	-2	 despite[0] the[0] borrowed[0] elements[0] from[0] the[0] aforementioned[0] films[0] and[0] a[0] script[0] that[0] contains[0] several[0] logically[0] questionable[-1] moments[0] the[0] cell[0] does[0] feature[0] some[0] remarkable[0] imagery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all of the sequences where we delve into someone's mind are incredibly beautiful ( including the dank mind of stargher , whose thoughts are reminiscent of an h . r . giger painting come to life mixed with a tool music video ) , proving that singh is as adept at filming strange and wonderful images as his acclaim would lead us to believe . 	all of the sequences where we delve into someone's mind are incredibly beautiful ( including the dank mind of stargher , whose thoughts are reminiscent of an h .<br> are .<br> giger painting come to life mixed with a tool music video ) , proving that singh is as adept at filming strange and wonderful images as his acclaim would lead us to believe .	5	-1	 all[0] of[0] the[0] sequences[0] where[0] we[0] delve[0] into[0] someone's[0] mind[0] are[0] incredibly[0] beautiful[2][2 LastWordBoosterStrength] including[0] the[0] dank[0] mind[0] of[0] stargher[0] whose[0] thoughts[0] are[0] reminiscent[0] of[0] an[0] h[0] [[Sentence=-1,5=word max, 1-5]] r[0] [[Sentence=-1,1=word max, 1-5]] giger[0] painting[0] come[0] to[0] life[0] mixed[0] with[0] a[0] tool[0] music[0] video[0] proving[0] that[0] singh[0] is[0] as[0] adept[0] at[0] filming[0] strange[0] and[0] wonderful[2] images[0] as[0] his[0] acclaim[0] would[0] lead[0] us[0] to[0] believe[0] [[Sentence=-1,3=word max, 1-5]][[[5,-1 max of sentences]]]
the first sequence that takes place in stargher's mind is by far the best , featuring one of the most ingenious traps i've ever seen in a film ( involving a horse , which no one seeing this film will probably forget ) , a zoo-like display of stargher's victims which are animated like marionettes , and stargher himself in a giant purple cape that spans the walls of his mental throne room . 	the first sequence that takes place in stargher's mind is by far the best , featuring one of the most ingenious traps i've ever seen in a film ( involving a horse , which no one seeing this film will probably forget ) , a zoo-like display of stargher's victims which are animated like marionettes , and stargher himself in a giant purple cape that spans the walls of his mental throne room .	2	-3	 the[0] first[0] sequence[0] that[0] takes[0] place[0] in[0] stargher's[0] mind[0] is[0] by[0] far[0] the[0] best[1] featuring[0] one[0] of[0] the[0] most[0] ingenious[0] traps[0] i've[0] ever[0] seen[0] in[0] a[0] film[0] involving[0] a[0] horse[0] which[0] no[0] one[0] seeing[0] this[0] film[0] will[0] probably[0] forget[0] a[0] zoo[0] like[1] display[0] of[0] stargher's[0] victims[-2] which[0] are[0] animated[0] like[1] marionettes[0] and[0] stargher[0] himself[0] in[0] a[0] giant[0] purple[0] cape[0] that[0] spans[0] the[0] walls[0] of[0] his[0] mental[0] throne[0] room[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if the film had continued within this dirty monstrous world i would have deemed the film brilliant , but alas , the sequences only become more silly as they go along ( despite a painful nipple ring removal later in the film ) . 	if the film had continued within this dirty monstrous world i would have deemed the film brilliant , but alas , the sequences only become more silly as they go along ( despite a painful nipple ring removal later in the film ) .	2	-4	 if[0] the[0] film[0] had[0] continued[0] within[0] this[0] dirty[-1] monstrous[-2] world[0] i[0] would[0] have[0] deemed[0] the[0] film[0] brilliant[1] but[0] alas[-1] the[0] sequences[0] only[0] become[0] more[0] silly[-1] as[0] they[0] go[0] along[0] despite[0] a[0] painful[-3] nipple[0] ring[0] removal[0] later[0] in[0] the[0] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the cast is basically just an excuse for there to be some moderate plot semblance during the parade of images , but at least vincent d'onofrio turns in his usual bizarre and psychotic performance ( magnified by ten , thanks to the environment in which the film has been placed ) . 	the cast is basically just an excuse for there to be some moderate plot semblance during the parade of images , but at least vincent d'onofrio turns in his usual bizarre and psychotic performance ( magnified by ten , thanks to the environment in which the film has been placed ) .	2	-2	 the[0] cast[0] is[0] basically[0] just[0] an[0] excuse[0] for[0] there[0] to[0] be[0] some[0] moderate[0] plot[0] semblance[0] during[0] the[0] parade[0] of[0] images[0] but[0] at[0] least[0] vincent[0] d'onofrio[0] turns[0] in[0] his[0] usual[0] bizarre[-1] and[0] psychotic[0] performance[0] magnified[0] by[0] ten[0] thanks[1] to[0] the[0] environment[0] in[0] which[0] the[0] film[0] has[0] been[0] placed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in my opinion , d'onofrio was one of the best creepy actors i have ever seen in a film , but his film choices as of late have been so completely awful ( i . e . - 	in my opinion , d'onofrio was one of the best creepy actors i have ever seen in a film , but his film choices as of late have been so completely awful ( i .<br> e .<br> -	2	-5	 in[0] my[0] opinion[0] d'onofrio[0] was[0] one[0] of[0] the[0] best[1] creepy[0] actors[0] i[0] have[0] ever[0] seen[0] in[0] a[0] film[0] but[0] his[0] film[0] choices[0] as[0] of[0] late[0] have[0] been[0] so[0] completely[0] awful[-3][-1 LastWordBoosterStrength] i[0] [[Sentence=-5,2=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[2,-5 max of sentences]]]
the newton boys , feeling minnesota , the thirteenth floor , and the velocity of gary ) that i have begun to rethink my initial assessment of him . 	the newton boys , feeling minnesota , the thirteenth floor , and the velocity of gary ) that i have begun to rethink my initial assessment of him .	1	-1	 the[0] newton[0] boys[0] feeling[0] minnesota[0] the[0] thirteenth[0] floor[0] and[0] the[0] velocity[0] of[0] gary[0] that[0] i[0] have[0] begun[0] to[0] rethink[0] my[0] initial[0] assessment[0] of[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the character of stargher is an excellent role for him though , and will probably lead to a bit of typecasting for him . 	the character of stargher is an excellent role for him though , and will probably lead to a bit of typecasting for him .	4	-1	 the[0] character[0] of[0] stargher[0] is[0] an[0] excellent[3] role[0] for[0] him[0] though[0] and[0] will[0] probably[0] lead[0] to[0] a[0] bit[0] of[0] typecasting[0] for[0] him[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
detractors of violence and disturbing images will want to stay far away from this film , as it contains heavy doses of both . 	detractors of violence and disturbing images will want to stay far away from this film , as it contains heavy doses of both .	1	-4	 detractors[-1] of[0] violence[-3] and[0] disturbing[-1] images[0] will[0] want[0] to[0] stay[0] far[0] away[0] from[0] this[0] film[0] as[0] it[0] contains[0] heavy[0] doses[0] of[0] both[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
besides the nipple ring removal i mention above , there is also stargher's penchant for hanging suspended off of the floor by the rings that pierce his back and legs ( prior to his catatonia and capture ) which will have audiences recoiling . 	besides the nipple ring removal i mention above , there is also stargher's penchant for hanging suspended off of the floor by the rings that pierce his back and legs ( prior to his catatonia and capture ) which will have audiences recoiling .	1	-2	 besides[0] the[0] nipple[0] ring[0] removal[0] i[0] mention[0] above[0] there[0] is[0] also[0] stargher's[0] penchant[0] for[0] hanging[0] suspended[0] off[0] of[0] the[0] floor[0] by[0] the[0] rings[0] that[0] pierce[0] his[0] back[0] and[0] legs[0] prior[0] to[0] his[0] catatonia[0] and[0] capture[-1] which[0] will[0] have[0] audiences[0] recoiling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a sequence where catherine enters stargher's mind and finds him recreating the disemboweling of his first victim is also pretty disquieting . 	a sequence where catherine enters stargher's mind and finds him recreating the disemboweling of his first victim is also pretty disquieting .	3	-3	 a[0] sequence[0] where[0] catherine[0] enters[0] stargher's[0] mind[0] and[0] finds[0] him[0] recreating[0] the[0] disemboweling[0] of[0] his[0] first[0] victim[-2] is[0] also[0] pretty[2] disquieting[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
one moment also features a character having his intestines slowly removed from his body by an old fashioned hand cranked spit-like device . 	one moment also features a character having his intestines slowly removed from his body by an old fashioned hand cranked spit-like device .	2	-1	 one[0] moment[0] also[0] features[0] a[0] character[0] having[0] his[0] intestines[0] slowly[0] removed[0] from[0] his[0] body[0] by[0] an[0] old[0] fashioned[0] hand[0] cranked[0] spit[0] like[1] device[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as a narrative film , the cell is sorely lacking . 	as a narrative film , the cell is sorely lacking .	1	-1	 as[0] a[0] narrative[0] film[0] the[0] cell[0] is[0] sorely[0] lacking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a collection of images though , the cell is extremely well done . 	as a collection of images though , the cell is extremely well done .	1	-1	 as[0] a[0] collection[0] of[0] images[0] though[0] the[0] cell[0] is[0] extremely[0] well[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the latter sequences in the film contain fewer disturbing imagery than the first half , singh has done what he supposedly set out to do : make a film solely for the purpose of stringing some remarkable images together . 	although the latter sequences in the film contain fewer disturbing imagery than the first half , singh has done what he supposedly set out to do : make a film solely for the purpose of stringing some remarkable images together .	1	-2	 although[0] the[0] latter[0] sequences[0] in[0] the[0] film[0] contain[0] fewer[0] disturbing[-1] imagery[0] than[0] the[0] first[0] half[0] singh[0] has[0] done[0] what[0] he[0] supposedly[0] set[0] out[0] to[0] do[0] make[0] a[0] film[0] solely[0] for[0] the[0] purpose[0] of[0] stringing[0] some[0] remarkable[0] images[0] together[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , a well-written script should have been considered too , because without it the cell just seems like any other music video we could see on mtv ( provided , of course , that mtv allowed for the use of graphic violence and language in music videos ) . 	unfortunately , a well-written script should have been considered too , because without it the cell just seems like any other music video we could see on mtv ( provided , of course , that mtv allowed for the use of graphic violence and language in music videos ) .	2	-4	 unfortunately[-1] a[0] well[0] written[0] script[0] should[0] have[0] been[0] considered[0] too[0] because[0] without[0] it[0] the[0] cell[0] just[0] seems[0] like[1] any[0] other[0] music[0] video[0] we[0] could[0] see[0] on[0] mtv[0] provided[0] of[0] course[0] that[0] mtv[0] allowed[0] for[0] the[0] use[0] of[0] graphic[0] violence[-3] and[0] language[0] in[0] music[0] videos[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
