the deer hunter , directed by michael cimino , is truly one of the greatest movies ever made . 	Translation	Positive	Negative	EmotionRationale
the second act of the movie begins with the trio of men on the front lines in vietnam , stationed in a south vietnamese village being attacked by the viet cong . 	the second act of the movie begins with the trio of men on the front lines in vietnam , stationed in a south vietnamese village being attacked by the viet cong .	1	-3	 the[0] second[0] act[0] of[0] the[0] movie[0] begins[0] with[0] the[0] trio[0] of[0] men[0] on[0] the[0] front[0] lines[0] in[0] vietnam[0] stationed[0] in[0] a[0] south[0] vietnamese[0] village[0] being[0] attacked[-2] by[0] the[0] viet[0] cong[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the men are eventually captured and held in a floating prison on a river . 	the men are eventually captured and held in a floating prison on a river .	1	-2	 the[0] men[0] are[0] eventually[0] captured[-1] and[0] held[0] in[0] a[0] floating[0] prison[-1] on[0] a[0] river[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this prison , run by the v . c . , 	this prison , run by the v .<br> c .<br> ,	1	-2	 this[0] prison[-1] run[0] by[0] the[0] v[0] [[Sentence=-2,1=word max, 1-5]] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
initiates the horrifying scenes in the movie , where the prisoners are forced to play russian roulette against each other . 	initiates the horrifying scenes in the movie , where the prisoners are forced to play russian roulette against each other .	1	-4	 initiates[0] the[0] horrifying[-3] scenes[0] in[0] the[0] movie[0] where[0] the[0] prisoners[-1] are[0] forced[0] to[0] play[0] russian[0] roulette[0] against[-1] each[0] other[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
steven , who is emotionally marred by this turn of events , is secluded in a tiger cage with water up to his face when he refuses to participate . 	steven , who is emotionally marred by this turn of events , is secluded in a tiger cage with water up to his face when he refuses to participate .	1	-2	 steven[0] who[0] is[0] emotionally[0] marred[0] by[0] this[0] turn[0] of[0] events[0] is[0] secluded[0] in[0] a[0] tiger[0] cage[0] with[0] water[0] up[0] to[0] his[0] face[0] when[0] he[0] refuses[-1] to[0] participate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
michael shows his leadership again by convincing nick that the only way that steven will survive is if the two friends play against each other , and moreover , they must play with 3 bullets in the gun . 	michael shows his leadership again by convincing nick that the only way that steven will survive is if the two friends play against each other , and moreover , they must play with 3 bullets in the gun .	2	-2	 michael[0] shows[0] his[0] leadership[0] again[0] by[0] convincing[0] nick[0] that[0] the[0] only[0] way[0] that[0] steven[0] will[0] survive[0] is[0] if[0] the[0] two[0] friends[1] play[0] against[-1] each[0] other[0] and[0] moreover[0] they[0] must[0] play[0] with[0] 3[0] bullets[-1] in[0] the[0] gun[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
personally , i felt that de niro's absolutely gripping portrayal really was displayed in a brilliant way in these and the following scenes . 	personally , i felt that de niro's absolutely gripping portrayal really was displayed in a brilliant way in these and the following scenes .	2	-1	 personally[0] i[0] felt[0] that[0] de[0] niro's[0] absolutely[0] gripping[0] portrayal[0] really[0] was[0] displayed[0] in[0] a[0] brilliant[1] way[0] in[0] these[0] and[0] the[0] following[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the men are eventually able to escape , but are separated . 	the men are eventually able to escape , but are separated .	1	-1	 the[0] men[0] are[0] eventually[0] able[0] to[0] escape[0] but[0] are[0] separated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
michael is able to get steven , who ends up losing his legs , to medical care , while nick finds his way to saigon and a u . s . army hospital . 	michael is able to get steven , who ends up losing his legs , to medical care , while nick finds his way to saigon and a you .<br> s .<br> army hospital .	2	-3	 michael[0] is[0] able[0] to[0] get[0] steven[0] who[0] ends[0] up[0] losing[-2] his[0] legs[0] to[0] medical[0] care[1] while[0] nick[0] finds[0] his[0] way[0] to[0] saigon[0] and[0] a[0] u[0] [[Sentence=-3,2=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] army[0] hospital[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
michael returns home and does not feel at all like a hero . 	michael returns home and does not feel at all like a hero .	3	-1	 michael[0] returns[0] home[0] and[0] does[0] not[0] feel[0] at[0] all[0] like[1] a[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he wants to avoid the celebrations and recognition that his friends would like to bestow upon him . 	he wants to avoid the celebrations and recognition that his friends would like to bestow upon him .	2	-2	 he[0] wants[0] to[0] avoid[-1] the[0] celebrations[1] and[0] recognition[0] that[0] his[0] friends[1] would[0] like[1][-1 LastWordBoosterStrength] to[0] bestow[0] upon[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he assumes that nick is still lost in vietnam . 	he assumes that nick is still lost in vietnam .	1	-1	 he[0] assumes[0] that[0] nick[0] is[0] still[0] lost[0] in[0] vietnam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the third act concentrates more on walken's character , who eventually stumbles upon a small gambling operation where the game is , again , russian roulette . 	the third act concentrates more on walken's character , who eventually stumbles upon a small gambling operation where the game is , again , russian roulette .	1	-1	 the[0] third[0] act[0] concentrates[0] more[0] on[0] walken's[0] character[0] who[0] eventually[0] stumbles[0] upon[0] a[0] small[0] gambling[0] operation[0] where[0] the[0] game[0] is[0] again[0] russian[0] roulette[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only in this game , you play for money . 	only in this game , you play for money .	1	-1	 only[0] in[0] this[0] game[0] you[0] play[0] for[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
michael has learned that nick is possibly still alive and returns to saigon to attempt to find him . 	michael has learned that nick is possibly still alive and returns to saigon to attempt to find him .	1	-1	 michael[0] has[0] learned[0] that[0] nick[0] is[0] possibly[0] still[0] alive[0] and[0] returns[0] to[0] saigon[0] to[0] attempt[0] to[0] find[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two narrowly find each other at the russian roulette games , but do not link up until michael discovers nick participating in the games and tries to bring him home . 	the two narrowly find each other at the russian roulette games , but do not link up until michael discovers nick participating in the games and tries to bring him home .	1	-1	 the[0] two[0] narrowly[0] find[0] each[0] other[0] at[0] the[0] russian[0] roulette[0] games[0] but[0] do[0] not[0] link[0] up[0] until[0] michael[0] discovers[0] nick[0] participating[0] in[0] the[0] games[0] and[0] tries[0] to[0] bring[0] him[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a very emotional , and , for many , a very disturbing movie , the deer hunter is a truly magnificent movie that should not be missed . 	a very emotional , and , for many , a very disturbing movie , the deer hunter is a truly magnificent movie that should not be missed .	4	-3	 a[0] very[0] emotional[-1][-1 LastWordBoosterStrength] and[0] for[0] many[0] a[0] very[0] disturbing[-1][-1 LastWordBoosterStrength] movie[0] the[0] deer[0] hunter[-1] is[0] a[0] truly[1] magnificent[3] movie[0] that[0] should[0] not[0] be[0] missed[-1][NegatedDueToPreviousWord] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the greatest performances possible are turned in by all actors , and cimino's directing , which is considered to be at his all-time best in this film , is equally dazzling . 	the greatest performances possible are turned in by all actors , and cimino's directing , which is considered to be at his all-time best in this film , is equally dazling .	3	-1	 the[0] greatest[2] performances[0] possible[0] are[0] turned[0] in[0] by[0] all[0] actors[0] and[0] cimino's[0] directing[0] which[0] is[0] considered[0] to[0] be[0] at[0] his[0] all[0] time[0] best[1] in[0] this[0] film[0] is[0] equally[0] dazzling/dazling[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
do not miss this film , it will captivate and astound you . 	do not miss this film , it will captivate and astound you .	2	-1	 do[0] not[0] miss[-1][NegatedDueToPreviousWord] this[0] film[0] it[0] will[0] captivate[0] and[0] astound[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
