meteor threat set to blow away all volcanoes & twisters ! 	Translation	Positive	Negative	EmotionRationale
a team of astronauts , led by the ageing veteran   astronaut spurgeon tanner ( robert duvall ) , was secretly trained to carry   out the mission to land on the comet and create and explosion with a   nuclear device , with the hope of blowing it out of its current path   towards earth . 	a team of astronauts , led by the ageing veteran   astronaut spurgeon tanner ( robert duvall ) , was secretly trained to carry   out the mission to land on the comet and create and explosion with a   nuclear device , with the hope of blowing it out of its current path   towards earth .	3	-2	 a[0] team[0] of[0] astronauts[0] led[0] by[0] the[0] ageing[0] veteran[0] astronaut[0] spurgeon[0] tanner[0] robert[0] duvall[0] was[0] secretly[0] trained[0] to[0] carry[0] out[0] the[0] mission[0] to[0] land[0] on[0] the[0] comet[0] and[0] create[0] and[0] explosion[-1] with[0] a[0] nuclear[0] device[0] with[0] the[0] hope[2] of[0] blowing[0] it[0] out[0] of[0] its[0] current[0] path[0] towards[0] earth[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
despite him being the most experienced in the team , the   younger generation of astronauts in the team doubts tanner's ability due   to his age . 	despite him being the most experienced in the team , the   younger generation of astronauts in the team doubts tanner's ability due   to his age .	1	-2	 despite[0] him[0] being[0] the[0] most[0] experienced[0] in[0] the[0] team[0] the[0] younger[0] generation[0] of[0] astronauts[0] in[0] the[0] team[0] doubts[-1] tanner's[0] ability[0] due[0] to[0] his[0] age[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but these are just problems of individuals . 	but these are just problems of individuals .	1	-1	 but[0] these[0] are[0] just[0] problems[-1][--1 LastWordBoosterStrength] of[0] individuals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
life on earth   goes on as any other day , confident that the comet will be destroyed . 	life on earth   goes on as any other day , confident that the comet will be destroyed .	2	-3	 life[0] on[0] earth[0] goes[0] on[0] as[0] any[0] other[0] day[0] confident[1] that[0] the[0] comet[0] will[0] be[0] destroyed[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
when the attempt to avert wolf-beiderman's path failed and caused the   comet to split into two : comet wolf and comet beiderman , the president   unfolds his contingency plan to evacuate part of the population , leaving   the rest to die . 	when the attempt to avert wolf-beiderman's path failed and caused the   comet to split into two : comet wolf and comet beiderman , the president   unfolds his contingency plan to evacuate part of the population , leaving   the rest to die .	1	-3	 when[0] the[0] attempt[0] to[0] avert[-1] wolf[0] beiderman's[0] path[0] failed[-2] and[0] caused[0] the[0] comet[0] to[0] split[0] into[0] two[0] comet[0] wolf[0] and[0] comet[0] beiderman[0] the[0] president[0] unfolds[0] his[0] contingency[0] plan[0] to[0] evacuate[0] part[0] of[0] the[0] population[0] leaving[0] the[0] rest[0] to[0] die[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
citizens are randomly chosen to live underground for 2   years prior to impact , when the dust due to the impact around earth have   settled , by then all life on the surface would have died . 	citizens are randomly chosen to live underground for 2   years prior to impact , when the dust due to the impact around earth have   settled , by then all life on the surface would have died .	1	-1	 citizens[0] are[0] randomly[0] chosen[0] to[0] live[0] underground[0] for[0] 2[0] years[0] prior[0] to[0] impact[0] when[0] the[0] dust[0] due[0] to[0] the[0] impact[0] around[0] earth[0] have[0] settled[0] by[0] then[0] all[0] life[0] on[0] the[0] surface[0] would[0] have[0] died[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jenny and leo   were picked but many of their loved ones were not , only a handful of   earth's population will be saved from destruction . 	jenny and leo   were picked but many of their loved ones were not , only a handful of   earth's population will be saved from destruction .	4	-2	 jenny[0] and[0] leo[0] were[0] picked[0] but[0] many[0] of[0] their[0] loved[3] ones[0] were[0] not[0] only[0] a[0] handful[0] of[0] earth's[0] population[0] will[0] be[0] saved[1] from[0] destruction[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
 20 	 20	1	-1	 20[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deep impact's moving moments occur in the least special-effect laced   scenes . 	deep impact's moving moments occur in the least special-effect laced   scenes .	2	-1	 deep[0] impact's[0] moving[0] moments[0] occur[0] in[0] the[0] least[0] special[1] effect[0] laced[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while the effects are fantastic , they only form a small part of   the film , which indulges itself in the development of its main   characters ; leo , lerner and tanner . 	while the effects are fantastic , they only form a small part of   the film , which indulges itself in the development of its main   characters ; leo , lerner and tanner .	3	-1	 while[0] the[0] effects[0] are[0] fantastic[2] they[0] only[0] form[0] a[0] small[0] part[0] of[0] the[0] film[0] which[0] indulges[0] itself[0] in[0] the[0] development[0] of[0] its[0] main[0] characters[0] leo[0] lerner[0] and[0] tanner[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
leo's struggle when he learns that   his girlfriend is not part of the population to be saved , lerner's   dwindling relationship with her father and her pain for the mother's   loneliness , tanner's strive to gain the respect he deserves from his   crew and his ultimate sacrifice , all form the backbone of deep impact's   moving moments . 	leo's struggle when he learns that   his girlfriend is not part of the population to be saved , lerner's   dwindling relationship with her father and her pain for the mother's   loneliness , tanner's strive to gain the respect he deserves from his   crew and his ultimate sacrifice , all form the backbone of deep impact's   moving moments .	3	-4	 leo's[0] struggle[-1] when[0] he[0] learns[0] that[0] his[0] girlfriend[0] is[0] not[0] part[0] of[0] the[0] population[0] to[0] be[0] saved[1] lerner's[0] dwindling[0] relationship[0] with[0] her[0] father[0] and[0] her[0] pain[-3] for[0] the[0] mother's[0] loneliness[-1] tanner's[0] strive[0] to[0] gain[0] the[0] respect[2] he[0] deserves[0] from[0] his[0] crew[0] and[0] his[0] ultimate[0] sacrifice[0] all[0] form[0] the[0] backbone[0] of[0] deep[0] impact's[0] moving[0] moments[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
deep impact smells suspiciously like the previous year   release contact despite vivid differences . 	deep impact smells suspiciously like the previous year   release contact despite vivid differences .	2	-2	 deep[0] impact[0] smells[0] suspiciously[-1] like[1] the[0] previous[0] year[0] release[0] contact[0] despite[0] vivid[0] differences[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i think its probably because   they both delve in a story of global proportions and indulges in the   premise of hope , faith and life itself . 	i think its probably because   they both delve in a story of global proportions and indulges in the   premise of hope , faith and life itself .	3	-1	 i[0] think[0] its[0] probably[0] because[0] they[0] both[0] delve[0] in[0] a[0] story[0] of[0] global[0] proportions[0] and[0] indulges[0] in[0] the[0] premise[0] of[0] hope[2] faith[1] and[0] life[0] itself[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
both do not depend heavily on   eye-candy in the form of cgi effects . 	both do not depend heavily on   eye-candy in the form of cgi effects .	1	-1	 both[0] do[0] not[0] depend[0] heavily[0] on[0] eye[0] candy[0] in[0] the[0] form[0] of[0] cgi[0] effects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director mimi leder ( who won   numerous awards directing television series , and made her debut with   peacekeeper last year ) is definitely a director to watch .  20 	director mimi leder ( who won   numerous awards directing television series , and made her debut with   peacekeeper last year ) is definitely a director to watch .<br>  20	1	-1	 director[0] mimi[0] leder[0] who[0] won[0] numerous[0] awards[0] directing[0] television[0] series[0] and[0] made[0] her[0] debut[0] with[0] peacekeeper[0] last[0] year[0] is[0] definitely[0] a[0] director[0] to[0] watch[0] [[Sentence=-1,1=word max, 1-5]] 20[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite this being the first of the two meteor movies this summer ( the   other being armageddon ) , i think there will be stark differences in the   approach to the subject matter . 	despite this being the first of the two meteor movies this summer ( the   other being armageddon ) , i think there will be stark differences in the   approach to the subject matter .	1	-2	 despite[0] this[0] being[0] the[0] first[0] of[0] the[0] two[0] meteor[0] movies[0] this[0] summer[0] the[0] other[0] being[0] armageddon[0] i[0] think[0] there[0] will[0] be[0] stark[-1] differences[0] in[0] the[0] approach[0] to[0] the[0] subject[0] matter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while the premise of both may be the   same , execution and focus of the films will in fact show that deep   impact has more focus on human elements than armageddon , which is done   by the team which brought us bad boys , crimson tide and the rock . 	while the premise of both may be the   same , execution and focus of the films will in fact show that deep   impact has more focus on human elements than armageddon , which is done   by the team which brought us bad boys , crimson tide and the rock .	2	-2	 while[0] the[0] premise[0] of[0] both[0] may[0] be[0] the[0] same[0] execution[0] and[0] focus[0] of[0] the[0] films[0] will[0] in[0] fact[0] show[0] that[0] deep[0] impact[0] has[0] more[0] focus[0] on[0] human[0] elements[0] than[0] armageddon[0] which[0] is[0] done[0] by[0] the[0] team[0] which[0] brought[0] us[0] bad[-1] boys[0] crimson[0] tide[0] and[0] the[0] rock[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 20 	 20	1	-1	 20[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deep impact should be able to satisfy a variety of audiences ; from the   most action-craving to those who just want to immerse into its   manipulative but nonetheless dramatic premise . 	deep impact should be able to satisfy a variety of audiences ; from the   most action-craving to those who just want to immerse into its   manipulative but nonetheless dramatic premise .	2	-2	 deep[0] impact[0] should[0] be[0] able[0] to[0] satisfy[1] a[0] variety[0] of[0] audiences[0] from[0] the[0] most[0] action[0] craving[0] to[0] those[0] who[0] just[0] want[0] to[0] immerse[0] into[0] its[0] manipulative[-1] but[0] nonetheless[0] dramatic[0] premise[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
