what is a scary movie anyhow ? 	Translation	Positive	Negative	EmotionRationale
excrutiatingly scary , the exorcist is a classic horror film , which twenty seven years later still scares audiences half to death . 	excrutiatingly scary , the exorcist is a classic horror film , which twenty seven years later still scares audiences half to death .	1	-4	 excrutiatingly[0] scary[-3] the[0] exorcist[0] is[0] a[0] classic[0] horror[-3] film[0] which[0] twenty[0] seven[0] years[0] later[0] still[0] scares[-3] audiences[0] half[0] to[0] death[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
now we get to the experience " the exorcist " the way it was meant to be seen in a director's cut which incorpates fifteen minutes of new footage cut by friedkin at the time of the release for content and time , a new ending has been added as well , and adds more of a lighter feeling to the movie , which i prefer the original darker ending more . 	now we get to the experience " the exorcist " the way it was meant to be seen in a director's cut which incorpates fifteen minutes of new footage cut by friedkin at the time of the release for content and time , a new ending has been added as well , and adds more of a lighter feeling to the movie , which i prefer the original darker ending more .	1	-1	 now[0] we[0] get[0] to[0] the[0] experience[0] the[0] exorcist[0] the[0] way[0] it[0] was[0] meant[0] to[0] be[0] seen[0] in[0] a[0] director's[0] cut[0] which[0] incorpates[0] fifteen[0] minutes[0] of[0] new[0] footage[0] cut[0] by[0] friedkin[0] at[0] the[0] time[0] of[0] the[0] release[0] for[0] content[0] and[0] time[0] a[0] new[0] ending[0] has[0] been[0] added[0] as[0] well[0] and[0] adds[0] more[0] of[0] a[0] lighter[0] feeling[0] to[0] the[0] movie[0] which[0] i[0] prefer[0] the[0] original[0] darker[0] ending[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie has also been remastered in a wonderful six channel digital sound mix , and is amazing . 	the movie has also been remastered in a wonderful six channel digital sound mix , and is amazing .	3	-1	 the[0] movie[0] has[0] also[0] been[0] remastered[0] in[0] a[0] wonderful[2] six[0] channel[0] digital[0] sound[0] mix[0] and[0] is[0] amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the voices are all clear , the music pours out on you and engulfs you in richness . 	the voices are all clear , the music pours out on you and engulfs you in richness .	2	-2	 the[0] voices[0] are[0] all[0] clear[0] the[0] music[0] pours[0] out[0] on[0] you[0] and[0] engulfs[-1] you[0] in[0] richness[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as a director friedkin has been well known for other films , but his standout film is " the exorcist " nominated for several academy awards it one a few , but was somehow doubted best picture , best actress ( ellen burstyn ) and best supporting actress ( linda blair ) who at the age of i believe thirteen does a wonderful job of being a little girl , alone , possessed and unable to stop what is going on . 	as a director friedkin has been well known for other films , but his standout film is " the exorcist " nominated for several academy awards it one a few , but was somehow doubted best picture , best actress ( ellen burstyn ) and best supporting actress ( linda blair ) who at the age of i believe thirteen does a wonderful job of being a little girl , alone , possessed and unable to stop what is going on .	3	-2	 as[0] a[0] director[0] friedkin[0] has[0] been[0] well[0] known[0] for[0] other[0] films[0] but[0] his[0] standout[0] film[0] is[0] the[0] exorcist[0] nominated[0] for[0] several[0] academy[0] awards[0] it[0] one[0] a[0] few[0] but[0] was[0] somehow[0] doubted[-1] best[1] picture[0] best[1] actress[0] ellen[0] burstyn[0] and[0] best[1] supporting[1] actress[0] linda[0] blair[0] who[0] at[0] the[0] age[0] of[0] i[0] believe[0] thirteen[0] does[0] a[0] wonderful[2] job[0] of[0] being[0] a[0] little[0] girl[0] alone[0] possessed[0] and[0] unable[0] to[0] stop[0] what[0] is[0] going[0] on[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ellen burstyn i think gives her best performance to date , and can be seen currently in " requiem for a dream " to which she is getting rave reviews for . 	ellen burstyn i think gives her best performance to date , and can be seen currently in " requiem for a dream " to which she is getting rave reviews for .	2	-1	 ellen[0] burstyn[0] i[0] think[0] gives[0] her[0] best[1] performance[0] to[0] date[0] and[0] can[0] be[0] seen[0] currently[0] in[0] requiem[0] for[0] a[0] dream[0] to[0] which[0] she[0] is[0] getting[0] rave[0] reviews[0] for[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jason miller ( jason patrik's dad ) is amazing as father karras , and his performance will be forever embedded in my mind , to me he is the character who makes the entire film float along . 	jason miller ( jason patrik's dad ) is amazing as father karras , and his performance will be forever embedded in my mind , to me he is the character who makes the entire film float along .	3	-1	 jason[0] miller[0] jason[0] patrik's[0] dad[0] is[0] amazing[2] as[0] father[0] karras[0] and[0] his[0] performance[0] will[0] be[0] forever[0] embedded[0] in[0] my[0] mind[0] to[0] me[0] he[0] is[0] the[0] character[0] who[0] makes[0] the[0] entire[0] film[0] float[0] along[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i was saddened when i saw this film with an audience of mostly younger people to see them laughing at this movie , i in no way , think that this movie is comical , yes some of the stuff regan says is funny , but they were laughing at her head spinning , and the green pea soup , come on people this is some creepy stuff ! 	i was saddened when i saw this film with an audience of mostly younger people to see them laughing at this movie , i in no way , think that this movie is comical , yes some of the stuff regan says is funny , but they were laughing at her head spinning , and the green pea soup , come on people this is some creepy stuff !	2	-4	 i[0] was[0] saddened[-3] when[0] i[0] saw[0] this[0] film[0] with[0] an[0] audience[0] of[0] mostly[0] younger[0] people[0] to[0] see[0] them[0] laughing[1] at[0] this[0] movie[0] i[0] in[0] no[0] way[0] think[0] that[0] this[0] movie[0] is[0] comical[0] yes[0] some[0] of[0] the[0] stuff[0] regan[0] says[0] is[0] funny[1] but[0] they[0] were[0] laughing[1] at[0] her[0] head[0] spinning[0] and[0] the[0] green[0] pea[0] soup[0] come[0] on[0] people[0] this[0] is[0] some[0] creepy[0] stuff[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
anyway the re-release of the film has managed to make  40 million dollars , and is still going . 	anyway the re-release of the film has managed to make  40 million dollars , and is still going .	1	-1	 anyway[0] the[0] re[0] release[0] of[0] the[0] film[0] has[0] managed[0] to[0] make[0] 40[0] million[0] dollars[0] and[0] is[0] still[0] going[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hopefully one day they re-release it again in twenty years for more generations to come to enjoy . 	hopefully one day they re-release it again in twenty years for more generations to come to enjoy .	3	-1	 hopefully[0] one[0] day[0] they[0] re[0] release[0] it[0] again[0] in[0] twenty[0] years[0] for[0] more[0] generations[0] to[0] come[0] to[0] enjoy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
