 " when you get out of jail , you can kill him . " 	Translation	Positive	Negative	EmotionRationale
at that convenient moment , the coast guard shows up and libby is arrested . 	at that convenient moment , the coast guard shows up and libby is arrested .	1	-1	 at[0] that[0] convenient[0] moment[0] the[0] coast[0] guard[0] shows[0] up[0] and[0] libby[0] is[0] arrested[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her lawyer , a friend , puts up a defense in court , but though we know she is innocent , the evidence against her is too compelling . 	her lawyer , a friend , puts up a defense in court , but though we know she is innocent , the evidence against her is too compelling .	2	-2	 her[0] lawyer[0] a[0] friend[1] puts[0] up[0] a[0] defense[0] in[0] court[0] but[0] though[0] we[0] know[0] she[0] is[0] innocent[1] the[0] evidence[0] against[-1] her[0] is[0] too[0] compelling[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her friend adopts her son and she goes to prison . 	her friend adopts her son and she goes to prison .	2	-2	 her[0] friend[1] adopts[0] her[0] son[0] and[0] she[0] goes[0] to[0] prison[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
once in prison , she makes a phone call to her friend . 	once in prison , she makes a phone call to her friend .	2	-2	 once[0] in[0] prison[-1] she[0] makes[0] a[0] phone[0] call[0] to[0] her[0] friend[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
her friend gives her son the phone . 	her friend gives her son the phone .	2	-1	 her[0] friend[1] gives[0] her[0] son[0] the[0] phone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nick walks in the room . 	nick walks in the room .	1	-1	 nick[0] walks[0] in[0] the[0] room[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
little matty screams " daddy ! " 	little matty screams " daddy !<br> "	1	-4	 little[0] matty[0] screams[-3] daddy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the phone goes dead . 	the phone goes dead .	1	-3	 the[0] phone[0] goes[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
libby realizes that the man she is imprisoned for killing isn't even dead . 	libby realizes that the man she is imprisoned for killing isn't even dead .	3	-2	 libby[0] realizes[0] that[0] the[0] man[0] she[0] is[0] imprisoned[-1] for[0] killing[-1] isn't[0] even[0] dead[-2][NegatedDueToPreviousWord] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she gets some advice from a prisoner/former lawyer , who tells her that since the state already convicted her of killing her husband , they can't convict her of the same crime again , meaning that when she gets paroled she can kill him and they can't touch her . 	she gets some advice from a prisoner/former lawyer , who tells her that since the state already convicted her of killing her husband , they can't convict her of the same crime again , meaning that when she gets paroled she can kill him and they can't touch her .	2	-2	 she[0] gets[0] some[0] advice[0] from[0] a[0] prisoner/former[-1] lawyer[0] who[0] tells[0] her[0] that[0] since[0] the[0] state[0] already[0] convicted[-1] her[0] of[0] killing[-1] her[0] husband[0] they[0] can't[0] convict[-1][NegatedDueToPreviousWord] her[0] of[0] the[0] same[0] crime[-1] again[0] meaning[0] that[0] when[0] she[0] gets[0] paroled[0] she[0] can[0] kill[-1] him[0] and[0] they[0] can't[0] touch[0] her[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after a weirdly short amount of time , she gets out of parole . 	after a weirdly short amount of time , she gets out of parole .	1	-2	 after[0] a[0] weirdly[-1] short[0] amount[0] of[0] time[0] she[0] gets[0] out[0] of[0] parole[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she is sent to live at a house with other recent parolees , under the command of parole officer travis lehman ( tommy lee jones ) . 	she is sent to live at a house with other recent parolees , under the command of parole officer travis lehman ( tommy lee jones ) .	1	-1	 she[0] is[0] sent[0] to[0] live[0] at[0] a[0] house[0] with[0] other[0] recent[0] parolees[0] under[0] the[0] command[0] of[0] parole[0] officer[0] travis[0] lehman[0] tommy[0] lee[0] jones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she sets out on a mission to find her husband and get her son back , which turns out to be much more difficult than anticipated . 	she sets out on a mission to find her husband and get her son back , which turns out to be much more difficult than anticipated .	1	-2	 she[0] sets[0] out[0] on[0] a[0] mission[0] to[0] find[0] her[0] husband[0] and[0] get[0] her[0] son[0] back[0] which[0] turns[0] out[0] to[0] be[0] much[0] more[0] difficult[-1] than[0] anticipated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she winds up tracking him all the way to new orleans where she finds out that he has long killed his girlfriend and her son's " adopter " . 	she winds up tracking him all the way to new orleans where she finds out that he has long killed his girlfriend and her son's " adopter " .	1	-4	 she[0] winds[0] up[0] tracking[0] him[0] all[0] the[0] way[0] to[0] new[0] orleans[0] where[0] she[0] finds[0] out[0] that[0] he[0] has[0] long[0] killed[-3] his[0] girlfriend[0] and[0] her[0] son's[0] adopter[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
double jeopardy is based on an assumption that is legally false . 	double jeopardy is based on an assumption that is legally false .	1	-2	 double[0] jeopardy[-1] is[0] based[0] on[0] an[0] assumption[0] that[0] is[0] legally[0] false[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the law stating that nobody can be convicted twice for the same crime assumes that it is the same crime : same time , same place , same circumstances . 	the law stating that nobody can be convicted twice for the same crime assumes that it is the same crime : same time , same place , same circumstances .	1	-2	 the[0] law[0] stating[0] that[0] nobody[0] can[0] be[0] convicted[-1] twice[0] for[0] the[0] same[0] crime[-1] assumes[0] that[0] it[0] is[0] the[0] same[0] crime[-1] same[0] time[0] same[0] place[0] same[0] circumstances[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not like it matters . 	it's not like it matters .	1	-2	 it's[0] not[0] like[1][NegatedDueToPreviousWord] it[0] matters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a rollickingly good thriller ; intense , exciting , fast and furious . 	this is a rollickingly good thriller ; intense , exciting , fast and furious .	3	-4	 this[0] is[0] a[0] rollickingly[0] good[1] thriller[1] intense[0] exciting[2] fast[0] and[0] furious[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it's silly alright , but this is the kind of film you just don't question . 	it's silly alright , but this is the kind of film you just don't question .	2	-2	 it's[0] silly[-1] alright[0] but[0] this[0] is[0] the[0] kind[1] of[0] film[0] you[0] just[0] don't[0] question[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in some films , plausibility is everything . 	in some films , plausibility is everything .	1	-1	 in[0] some[0] films[0] plausibility[0] is[0] everything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
double jeopardy , however , is not concerned with making sense : its sole purpose is to entertain , and it does . 	double jeopardy , however , is not concerned with making sense : its sole purpose is to entertain , and it does .	2	-2	 double[0] jeopardy[-1] however[0] is[0] not[0] concerned[-1][NegatedDueToPreviousWord] with[0] making[0] sense[0] its[0] sole[0] purpose[0] is[0] to[0] entertain[0] and[0] it[0] does[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
judd helps the film tremendously in a difficult role . 	judd helps the film tremendously in a difficult role .	1	-2	 judd[0] helps[0] the[0] film[0] tremendously[0] in[0] a[0] difficult[-1] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is her breakout box-office performance , and she is terrific . 	this is her breakout box-office performance , and she is terrific .	4	-1	 this[0] is[0] her[0] breakout[0] box[0] office[0] performance[0] and[0] she[0] is[0] terrific[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
she brings some emotion to what could have been a one-dimensional role , giving the movie a little soul to go along with its effective chase scenes and action set pieces . 	she brings some emotion to what could have been a one-dimensional role , giving the movie a little soul to go along with its effective chase scenes and action set pieces .	1	-2	 she[0] brings[0] some[0] emotion[0] to[0] what[0] could[0] have[0] been[0] a[0] one[0] dimensional[0] role[0] giving[0] the[0] movie[0] a[0] little[0] soul[0] to[0] go[0] along[0] with[0] its[0] effective[0] chase[-1] scenes[0] and[0] action[0] set[0] pieces[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
tommy lee jones basically just reprises the role for which he won an oscar in the fugitive , but the movie makes good use of his stone-faced wit . 	tommy lee jones basically just reprises the role for which he won an oscar in the fugitive , but the movie makes good use of his stone-faced wit .	2	-2	 tommy[0] lee[0] jones[0] basically[0] just[0] reprises[0] the[0] role[0] for[0] which[0] he[0] won[0] an[0] oscar[0] in[0] the[0] fugitive[-1] but[0] the[0] movie[0] makes[0] good[1] use[0] of[0] his[0] stone[0] faced[0] wit[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
thankfully , too , double jeopardy refrains from developing a romance between libby and travis ; a subplot which doubtlessly would have interfered with the film's story . 	thankfully , too , double jeopardy refrains from developing a romance between libby and travis ; a subplot which doubtlessly would have interfered with the film's story .	4	-2	 thankfully[1] too[0] double[0] jeopardy[-1] refrains[-1] from[0] developing[0] a[0] romance[3] between[0] libby[0] and[0] travis[0] a[0] subplot[0] which[0] doubtlessly[-1] would[0] have[0] interfered[-1] with[0] the[0] film's[0] story[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
this is one of those movies where cops are the bad guys , and i took a sort of sick pleasure in that . 	this is one of those movies where cops are the bad guys , and i took a sort of sick pleasure in that .	3	-2	 this[0] is[0] one[0] of[0] those[0] movies[0] where[0] cops[0] are[0] the[0] bad[-1] guys[0] and[0] i[0] took[0] a[0] sort[0] of[0] sick[-1] pleasure[2] in[0] that[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the sheer anarchy of the proceedings was nothing short of wonderful , as ashley judd kicks the crap out of every authority figure in the book . 	the sheer anarchy of the proceedings was nothing short of wonderful , as ashley judd kicks the crap out of every authority figure in the book .	3	-3	 the[0] sheer[0] anarchy[-1] of[0] the[0] proceedings[0] was[0] nothing[0] short[0] of[0] wonderful[2] as[0] ashley[0] judd[0] kicks[-1] the[0] crap[-2] out[0] of[0] every[0] authority[0] figure[0] in[0] the[0] book[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
after all the idealistic hollywood features featuring hero cops , deft fbi agents and the virtues of the american legal system , it's great to see a movie that doesn't so much demonstrate their fallacy as it delights in their failure . 	after all the idealistic hollywood features featuring hero cops , deft fbi agents and the virtues of the american legal system , it's great to see a movie that doesn't so much demonstrate their fallacy as it delights in their failure .	3	-3	 after[0] all[0] the[0] idealistic[0] hollywood[0] features[0] featuring[0] hero[2] cops[0] deft[0] fbi[0] agents[0] and[0] the[0] virtues[2] of[0] the[0] american[0] legal[0] system[0] it's[0] great[2] to[0] see[0] a[0] movie[0] that[0] doesn't[0] so[0] much[0] demonstrate[0] their[0] fallacy[-1] as[0] it[0] delights[2] in[0] their[0] failure[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
double jeopardy is really good , but it isn't the kind of good that is remembered or recognized with awards . 	double jeopardy is really good , but it isn't the kind of good that is remembered or recognized with awards .	3	-2	 double[0] jeopardy[-1] is[0] really[0] good[1][1 LastWordBoosterStrength] but[0] it[0] isn't[0] the[0] kind[1][NegatedDueToPreviousWord] of[0] good[1] that[0] is[0] remembered[0] or[0] recognized[0] with[0] awards[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's one of those movies better viewed with the brain turned off , otherwise , your brain will be busy ruining your experience . 	it's one of those movies better viewed with the brain turned off , otherwise , your brain will be busy ruining your experience .	1	-2	 it's[0] one[0] of[0] those[0] movies[0] better[0] viewed[0] with[0] the[0] brain[0] turned[0] off[0] otherwise[0] your[0] brain[0] will[0] be[0] busy[0] ruining[-1] your[0] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a thriller that isn't concerned with being smart or plausible . 	this is a thriller that isn't concerned with being smart or plausible .	2	-1	 this[0] is[0] a[0] thriller[1] that[0] isn't[0] concerned[-1][NegatedDueToPreviousWord] with[0] being[0] smart[1] or[0] plausible[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead it diverts all attention to the action , which , this year , is second to none . 	instead it diverts all attention to the action , which , this year , is second to none .	1	-1	 instead[0] it[0] diverts[0] all[0] attention[0] to[0] the[0] action[0] which[0] this[0] year[0] is[0] second[0] to[0] none[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
