there is a striking scene early in " city of angels , " where all the angels who live unseen in our midst , gather at the beach to watch the sun rise . 	Translation	Positive	Negative	EmotionRationale
they eternally walk the earth , listening to our thoughts , touching us in our pain , and leading the dying to heaven . 	they eternally walk the earth , listening to our thoughts , touching us in our pain , and leading the dying to heaven .	2	-4	 they[0] eternally[0] walk[0] the[0] earth[0] listening[0] to[0] our[0] thoughts[0] touching[0] us[0] in[0] our[0] pain[-3] and[0] leading[0] the[0] dying[-1] to[0] heaven[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
like human existence , being an angel is often confused and unsure . 	like human existence , being an angel is often confused and unsure .	2	-2	 like[1] human[0] existence[0] being[0] an[0] angel[0] is[0] often[0] confused[-1] and[0] unsure[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " city of angels " is essentially a love story , between seth and a human , a beautiful but sad heart surgeon named maggie ( meg ryan ) . 	 " city of angels " is essentially a love story , between seth and a human , a beautiful but sad heart surgeon named maggie ( meg ryan ) .	3	-4	 city[0] of[0] angels[0] is[0] essentially[0] a[0] love[2] story[0] between[0] seth[0] and[0] a[0] human[0] a[0] beautiful[2] but[0] sad[-3] heart[0] surgeon[0] named[0] maggie[0] meg[0] ryan[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he first sees her when he is in her operating room , waiting to lead the soul of her dying patient to heaven . 	he first sees her when he is in her operating room , waiting to lead the soul of her dying patient to heaven .	2	-2	 he[0] first[0] sees[0] her[0] when[0] he[0] is[0] in[0] her[0] operating[0] room[0] waiting[0] to[0] lead[0] the[0] soul[0] of[0] her[0] dying[-1] patient[0] to[0] heaven[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
maggie is distraught , doing everything in her power to stop the man from dying on her table , and seth is moved by her efforts and , more importantly , her overwhelming sadness when the patient dies . 	maggie is distraught , doing everything in her power to stop the man from dying on her table , and seth is moved by her efforts and , more importantly , her overwhelming sadness when the patient dies .	1	-5	 maggie[0] is[0] distraught[-3] doing[0] everything[0] in[0] her[0] power[0] to[0] stop[0] the[0] man[0] from[0] dying[-1] on[0] her[0] table[0] and[0] seth[0] is[0] moved[0] by[0] her[0] efforts[0] and[0] more[0] importantly[0] her[0] overwhelming[-2] sadness[-3][-1 MultiplePositiveWords] when[0] the[0] patient[0] dies[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
angels have the limited power to soothe humans in time of misery and pain , and seth does what he can with his invisible touch , but it's not enough . 	angels have the limited power to soothe humans in time of misery and pain , and seth does what he can with his invisible touch , but it's not enough .	1	-4	 angels[0] have[0] the[0] limited[0] power[0] to[0] soothe[0] humans[0] in[0] time[0] of[0] misery[-2] and[0] pain[-3] and[0] seth[0] does[0] what[0] he[0] can[0] with[0] his[0] invisible[-1] touch[0] but[0] it's[0] not[0] enough[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he wants to be with her and share her pain , not just stand back at a distance . 	he wants to be with her and share her pain , not just stand back at a distance .	1	-4	 he[0] wants[0] to[0] be[0] with[0] her[0] and[0] share[0] her[0] pain[-3] not[0] just[0] stand[0] back[0] at[0] a[0] distance[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he learns that the only way to fulfill his desire for human love and touch is for him to " fall " and become human . 	he learns that the only way to fulfil his desire for human love and touch is for him to " fall " and become human .	3	-1	 he[0] learns[0] that[0] the[0] only[0] way[0] to[0] fulfill/fulfil[0] his[0] desire[0] for[0] human[0] love[2] and[0] touch[0] is[0] for[0] him[0] to[0] fall[0] and[0] become[0] human[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he learns this from another fallen angel , played by dennis franz ( " n . y . p . d . 	he learns this from another fallen angel , played by dennis franz ( " n .<br> y .<br> p .<br> d .	1	-1	 he[0] learns[0] this[0] from[0] another[0] fallen[0] angel[0] played[0] by[0] dennis[0] franz[0] n[0] [[Sentence=-1,1=word max, 1-5]] y[0] [[Sentence=-1,1=word max, 1-5]] p[0] [[Sentence=-1,1=word max, 1-5]] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blue " ) in a touching and humorous performance . 	blue " ) in a touching and humorous performance .	3	-1	 blue[0] in[0] a[0] touching[0] and[0] humorous[2] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sitting at a diner together , franz tells cage's character about how wonderful it is to be human - to be able to taste food , feel another person's skin , smell the air , and most importantly , have a loving wife and children . 	sitting at a diner together , franz tells cage's character about how wonderful it is to be human - to be able to taste food , feel another person's skin , smell the air , and most importantly , have a loving wife and children .	4	-1	 sitting[0] at[0] a[0] diner[0] together[0] franz[0] tells[0] cage's[0] character[0] about[0] how[0] wonderful[2] it[0] is[0] to[0] be[0] human[0] to[0] be[0] able[0] to[0] taste[0] food[0] feel[0] another[0] person's[0] skin[0] smell[0] the[0] air[0] and[0] most[0] importantly[0] have[0] a[0] loving[3] wife[0] and[0] children[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
of course , there is pain to go along with all this , but for seth , it will be worth it . 	of course , there is pain to go along with all this , but for seth , it will be worth it .	1	-4	 of[0] course[0] there[0] is[0] pain[-3] to[0] go[0] along[0] with[0] all[0] this[0] but[0] for[0] seth[0] it[0] will[0] be[0] worth[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " city of angels " is something of a reinterpretation of wim wender's haunting 1988 film " wings of desire . " 	 " city of angels " is something of a reinterpretation of wim wender's haunting 1988 film " wings of desire .<br> "	1	-1	 city[0] of[0] angels[0] is[0] something[0] of[0] a[0] reinterpretation[0] of[0] wim[0] wender's[0] haunting[0] 1988[0] film[0] wings[0] of[0] desire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wenders' film was more like a poem - it was the feeling , the emotion that truly mattered over what actually happened . 	wenders' film was more like a poem - it was the feeling , the emotion that truly mattered over what actually happened .	2	-1	 wenders'[0] film[0] was[0] more[0] like[1] a[0] poem[0] it[0] was[0] the[0] feeling[0] the[0] emotion[0] that[0] truly[1] mattered[0] over[0] what[0] actually[0] happened[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the americanized version moves the location from divided berlin to broken los angeles , and the emphasis shifts onto the relationship between the immortal angel and the mortal human . 	the americanized version moves the location from divided berlin to broken los angeles , and the emphasis shifts onto the relationship between the immortal angel and the mortal human .	2	-2	 the[0] americanized[0] version[0] moves[0] the[0] location[0] from[0] divided[0] berlin[0] to[0] broken[-1] los[0] angeles[0] and[0] the[0] emphasis[0] shifts[0] onto[0] the[0] relationship[0] between[0] the[0] immortal[1] angel[0] and[0] the[0] mortal[0] human[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and , unlike most foreign films that are re-made into hollywood fare , it doesn't suffer extensive damage . 	and , unlike most foreign films that are re-made into hollywood fare , it doesn't suffer extensive damage .	1	-4	 and[0] unlike[0] most[0] foreign[-1] films[0] that[0] are[0] re[0] made[0] into[0] hollywood[0] fare[0] it[0] doesn't[0] suffer[-3] extensive[0] damage[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this may be because director brad silberling ( " casper " ) and screenwriter dana stevens ( " blink " ) wanted to make " city of angels " its own movie - inspired by " wings of desire , " but not an attempt to copy it . 	this may be because director brad silberling ( " casper " ) and screenwriter dana stevens ( " blink " ) wanted to make " city of angels " its own movie - inspired by " wings of desire , " but not an attempt to copy it .	3	-1	 this[0] may[0] be[0] because[0] director[0] brad[0] silberling[0] casper[0] and[0] screenwriter[0] dana[0] stevens[0] blink[0] wanted[0] to[0] make[0] city[0] of[0] angels[0] its[0] own[0] movie[0] inspired[2] by[0] wings[0] of[0] desire[0] but[0] not[0] an[0] attempt[0] to[0] copy[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and yet , " city of angels " is not a typical hollywood movie . 	and yet , " city of angels " is not a typical hollywood movie .	1	-1	 and[0] yet[0] city[0] of[0] angels[0] is[0] not[0] a[0] typical[0] hollywood[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is beautifully filmed in lush colors by cinematographer john seale ( " the english patient " ) , whose sweeping aerial shots and golden lighting make los angeles into an almost unrecognizable new world . 	it is beautifully filmed in lush colors by cinematographer john seale ( " the english patient " ) , whose sweeping aerial shots and golden lighting make los angeles into an almost unrecognizable new world .	3	-1	 it[0] is[0] beautifully[2] filmed[0] in[0] lush[0] colors[0] by[0] cinematographer[0] john[0] seale[0] the[0] english[0] patient[0] whose[0] sweeping[0] aerial[0] shots[0] and[0] golden[0] lighting[0] make[0] los[0] angeles[0] into[0] an[0] almost[0] unrecognizable[0] new[0] world[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
seale creates many striking visuals : in addition to the beach scene , there is a wonderful sequence in a circular library where all the angels appear at banisters all around , looking down at seth as he watches maggie walk by . 	seale creates many striking visuals : in addition to the beach scene , there is a wonderful sequence in a circular library where all the angels appear at banisters all around , looking down at seth as he watches maggie walk by .	3	-1	 seale[0] creates[0] many[0] striking[0] visuals[0] in[0] addition[0] to[0] the[0] beach[0] scene[0] there[0] is[0] a[0] wonderful[2] sequence[0] in[0] a[0] circular[0] library[0] where[0] all[0] the[0] angels[0] appear[0] at[0] banisters[0] all[0] around[0] looking[0] down[0] at[0] seth[0] as[0] he[0] watches[0] maggie[0] walk[0] by[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while the film travels along a charted plot , it takes time to develop its characters and situations ; it sheds light on the boundaries between what is earthly and what is heavenly , and shows just how thin those boundaries are . 	while the film travels along a charted plot , it takes time to develop its characters and situations ; it sheds light on the boundaries between what is earthly and what is heavenly , and shows just how thin those boundaries are .	2	-1	 while[0] the[0] film[0] travels[0] along[0] a[0] charted[0] plot[0] it[0] takes[0] time[0] to[0] develop[0] its[0] characters[0] and[0] situations[0] it[0] sheds[0] light[0] on[0] the[0] boundaries[0] between[0] what[0] is[0] earthly[0] and[0] what[0] is[0] heavenly[1] and[0] shows[0] just[0] how[0] thin[0] those[0] boundaries[0] are[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
both cage and ryan give soulful , soft-spoken performances . 	both cage and ryan give soulful , soft-spoken performances .	1	-1	 both[0] cage[0] and[0] ryan[0] give[0] soulful[0] soft[0] spoken[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ryan , who is usually so bouncy and energetic , truly embodies a sadness that can only be alleviated by a heavenly touch . 	ryan , who is usually so bouncy and energetic , truly embodies a sadness that can only be alleviated by a heavenly touch .	2	-4	 ryan[0] who[0] is[0] usually[0] so[0] bouncy[0] and[0] energetic[0] truly[1] embodies[0] a[0] sadness[-3] that[0] can[0] only[0] be[0] alleviated[0] by[0] a[0] heavenly[1] touch[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
cage projects all his desire and longing to be human in simple , heartfelt gazes , and speaks with the comforting , knowing voice that only an angel could have . 	cage projects all his desire and longing to be human in simple , heartfelt gazes , and speaks with the comforting , knowing voice that only an angel could have .	2	-3	 cage[0] projects[0] all[0] his[0] desire[0] and[0] longing[-2] to[0] be[0] human[0] in[0] simple[0] heartfelt[1] gazes[0] and[0] speaks[0] with[0] the[0] comforting[1] knowing[0] voice[0] that[0] only[0] an[0] angel[0] could[0] have[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what is most striking about " city of angels " is that stevens has added a new ending to the screenplay , which is both unexpected and challenging . 	what is most striking about " city of angels " is that stevens has added a new ending to the screenplay , which is both unexpected and challenging .	1	-1	 what[0] is[0] most[0] striking[0] about[0] city[0] of[0] angels[0] is[0] that[0] stevens[0] has[0] added[0] a[0] new[0] ending[0] to[0] the[0] screenplay[0] which[0] is[0] both[0] unexpected[0] and[0] challenging[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not a formulaic hollywood ending , because it is both sad and uplifting at the same time . 	it's not a formulaic hollywood ending , because it is both sad and uplifting at the same time .	1	-4	 it's[0] not[0] a[0] formulaic[0] hollywood[0] ending[0] because[0] it[0] is[0] both[0] sad[-3] and[0] uplifting[0] at[0] the[0] same[0] time[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it doesn't give the audience what it thinks it wants at the end of a romance . 	it doesn't give the audience what it thinks it wants at the end of a romance .	4	-1	 it[0] doesn't[0] give[0] the[0] audience[0] what[0] it[0] thinks[0] it[0] wants[0] at[0] the[0] end[0] of[0] a[0] romance[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
instead , it offers something much better , something that speaks to the depths of what it means to be human and alive . 	instead , it offers something much better , something that speaks to the depths of what it means to be human and alive .	1	-1	 instead[0] it[0] offers[0] something[0] much[0] better[0] something[0] that[0] speaks[0] to[0] the[0] depths[0] of[0] what[0] it[0] means[0] to[0] be[0] human[0] and[0] alive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
____________________________________________ visit " charlie don't surf ! " 	__ visit " charlie don't surf !<br> "	2	-1	 ____________________________________________/__[0][+0.6 MultipleLetters] visit[0] charlie[0] don't[0] surf[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
an eclectic collection of film reviews by james kendrick http : //www . bigfoot . com/ jimkendrick 	an eclectic collection of film reviews by james kendrick http : //w .<br> bigfoot .<br> com/ jimkendrick	1	-1	 an[0] eclectic[0] collection[0] of[0] film[0] reviews[0] by[0] james[0] kendrick[0] http[0] //www///w[0] [[Sentence=-1,1=word max, 1-5]] bigfoot[0] [[Sentence=-1,1=word max, 1-5]] com/[0] jimkendrick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
   e-mail : jimkendrick@bigfoot . com 	   e-mail : jimkendrick@bigfoot .<br> com	1	-1	 e[0] mail[0] jimkendrick@bigfoot[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
