the event of events is upon us . 	Translation	Positive	Negative	EmotionRationale
the film focuses on the fledgling republic of planets and the conflict that is raging : the trade federation , angry at some tax raise that was recently put in place has invaded the small , peaceful planet of naboo . 	the film focuses on the fledgling republic of planets and the conflict that is raging : the trade federation , angry at some tax raise that was recently put in place has invaded the small , peaceful planet of naboo .	1	-4	 the[0] film[0] focuses[0] on[0] the[0] fledgling[0] republic[0] of[0] planets[0] and[0] the[0] conflict[-1] that[0] is[0] raging[-3] the[0] trade[0] federation[0] angry[-3] at[0] some[0] tax[-1][--1 LastWordBoosterStrength] raise[0] that[0] was[0] recently[0] put[0] in[0] place[0] has[0] invaded[-1] the[0] small[0] peaceful[0] planet[0] of[0] naboo[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the republic sent two jedi knights ( people that can actively communicate with what is affectionately known as " the force " ) , qui-gon jinn ( liam neeson ) and obi-wan kenobi ( ewan mcgregor ) to negotiate . 	the republic sent two jedi knights ( people that can actively communicate with what is affectionately known as " the force " ) , qui-gon jin ( liam neeson ) and obi-wan kenobi ( ewan mcgregor ) to negotiate .	3	-2	 the[0] republic[0] sent[0] two[0] jedi[0] knights[0] people[0] that[0] can[0] actively[0] communicate[0] with[0] what[0] is[0] affectionately[2] known[0] as[0] the[0] force[-1] qui[0] gon[0] jinn/jin[0] liam[0] neeson[0] and[0] obi[0] wan[0] kenobi[0] ewan[0] mcgregor[0] to[0] negotiate[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unable to stop the tide of events that was about to occur , the jedi and the queen of naboo ( natalie portman ) escape naboo and head for coruscant to try and get the republic senate to intervene . 	unable to stop the tide of events that was about to occur , the jedi and the queen of naboo ( natalie portman ) escape naboo and head for coruscant to try and get the republic senate to intervene .	1	-1	 unable[0] to[0] stop[0] the[0] tide[0] of[0] events[0] that[0] was[0] about[0] to[0] occur[0] the[0] jedi[0] and[0] the[0] queen[0] of[0] naboo[0] natalie[0] portman[0] escape[0] naboo[0] and[0] head[0] for[0] coruscant[0] to[0] try[0] and[0] get[0] the[0] republic[0] senate[0] to[0] intervene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the way they get sidetracked to a planet called tatooine , where they meet the movie's real focal point , young anakin skywalker ( jake lloyd ) . 	on the way they get sidetracked to a planet called tatooine , where they meet the movie's real focal point , young anakin skywalker ( jake lloyd ) .	1	-1	 on[0] the[0] way[0] they[0] get[0] sidetracked[0] to[0] a[0] planet[0] called[0] tatooine[0] where[0] they[0] meet[0] the[0] movie's[0] real[0] focal[0] point[0] young[0] anakin[0] skywalker[0] jake[0] lloyd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is an innocent slave boy , but " the force is strong with him " so qui- gon is determined to take him with them to the jedi counsel and get him trained as a jedi . 	he is an innocent slave boy , but " the force is strong with him " so qui- gon is determined to take him with them to the jedi counsel and get him trained as a jedi .	2	-2	 he[0] is[0] an[0] innocent[1] slave[0] boy[0] but[0] the[0] force[-1] is[0] strong[0] with[0] him[0] so[0] qui[0] gon[0] is[0] determined[0] to[0] take[0] him[0] with[0] them[0] to[0] the[0] jedi[0] counsel[0] and[0] get[0] him[0] trained[0] as[0] a[0] jedi[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as any self-respecting star wars fan should know , anakin will grow up to be darth vader and give birth to luke skywalker . 	as any self-respecting star wars fan should know , anakin will grow up to be darth vader and give birth to luke skywalker .	3	-3	 as[0] any[0] self[0] respecting[2] star[0] wars[-2] fan[0] should[0] know[0] anakin[0] will[0] grow[0] up[0] to[0] be[0] darth[0] vader[0] and[0] give[0] birth[0] to[0] luke[0] skywalker[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 from the beginning it is evident that this is not an actor's movie . 	 from the beginning it is evident that this is not an actor's movie .	1	-1	 from[0] the[0] beginning[0] it[0] is[0] evident[0] that[0] this[0] is[0] not[0] an[0] actor's[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
around 70% of the characters , if not more , are computer generated in one form or another , and though the effects are seamless , the movie lacks soul . 	around 70% of the characters , if not more , are computer generated in one form or another , and though the effects are seamless , the movie lacks soul .	1	-1	 around[0] 70%[0] of[0] the[0] characters[0] if[0] not[0] more[0] are[0] computer[0] generated[0] in[0] one[0] form[0] or[0] another[0] and[0] though[0] the[0] effects[0] are[0] seamless[0] the[0] movie[0] lacks[0] soul[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think that although the computer has played an incredibly instrumental part in moviemaking this decade , cinema should still be a human art and the phantom menace nearly defies this . 	i think that although the computer has played an incredibly instrumental part in moviemaking this decade , cinema should still be a human art and the phantom menace nearly defies this .	1	-3	 i[0] think[0] that[0] although[0] the[0] computer[0] has[0] played[0] an[0] incredibly[0] instrumental[0] part[0] in[0] moviemaking[0] this[0] decade[0] cinema[0] should[0] still[0] be[0] a[0] human[0] art[0] and[0] the[0] phantom[0] menace[-2] nearly[0] defies[0] this[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is the lightest installment in the star wars saga thus far , with plenty of broad comic relief to go around , much of it courtesy of an irritating knew character named jar-jar binks . 	this is the lightest instalment in the star wars saga thus far , with plenty of broad comic relief to go around , much of it courtesy of an irritating knew character named jar-jar binks .	2	-3	 this[0] is[0] the[0] lightest[0] installment/instalment[0] in[0] the[0] star[0] wars[-2] saga[-1] thus[0] far[0] with[0] plenty[0] of[0] broad[0] comic[0] relief[1] to[0] go[0] around[0] much[0] of[0] it[0] courtesy[0] of[0] an[0] irritating[-2] knew[0] character[0] named[0] jar[0] jar[0] binks[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he's essentially a computer-animated sidekick who says things like " exqueeze me ? " 	he's essentially a computer-animated sidekick who says things like " exqueeze me ?<br> "	2	-1	 he's[0] essentially[0] a[0] computer[0] animated[0] sidekick[0] who[0] says[0] things[0] like[1] exqueeze[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and " mesa go now , okeday ? " , and although it is often amusing it is also inherently annoying . 	and " mesa go now , okeday ?<br> " , and although it is often amusing it is also inherently annoying .	2	-3	 and[0] mesa[0] go[0] now[0] okeday[0] [[Sentence=-1,1=word max, 1-5]] and[0] although[0] it[0] is[0] often[0] amusing[1] it[0] is[0] also[0] inherently[0] annoying[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the visual effects are astounding ( although director george lucas often chickens out by cutting away from them ) and the movie is a thrilling triumph . 	the visual effects are astounding ( although director george lucas often chickens out by cutting away from them ) and the movie is a thrilling triumph .	4	-1	 the[0] visual[0] effects[0] are[0] astounding[0] although[0] director[0] george[0] lucas[0] often[0] chickens[0] out[0] by[0] cutting[0] away[0] from[0] them[0] and[0] the[0] movie[0] is[0] a[0] thrilling[3] triumph[2][+1 MultiplePositiveWords] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
if it lacks in plot and in acting it makes up for it through imagination and excitement . 	if it lacks in plot and in acting it makes up for it through imagination and excitement .	3	-1	 if[0] it[0] lacks[0] in[0] plot[0] and[0] in[0] acting[0] it[0] makes[0] up[0] for[0] it[0] through[0] imagination[0] and[0] excitement[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the climactic lightsaber battle ( oh , come on , as if you didn't already know ) , among other things , is outrageously entertaining and defines the term " popcorn movie " . 	the climactic lightsaber battle ( oh , come on , as if you didn't already know ) , among other things , is outrageously entertaining and defines the term " popcorn movie " .	1	-3	 the[0] climactic[0] lightsaber[0] battle[-1] oh[0] come[0] on[0] as[0] if[0] you[0] didn't[0] already[0] know[0] among[0] other[0] things[0] is[0] outrageously[-2] entertaining[0] and[0] defines[0] the[0] term[0] popcorn[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what made me surrender and give this movie * * * 1/2 stars was the score by john williams . 	what made me surrender and give this movie * * * 1/2 stars was the score by john williams .	1	-1	 what[0] made[0] me[0] surrender[0] and[0] give[0] this[0] movie[0] 1/2[0] stars[0] was[0] the[0] score[0] by[0] john[0] williams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even though it does seem like the man scores every single movie that comes out these days , his work here is nothing short of brilliant . 	even though it does seem like the man scores every single movie that comes out these days , his work here is nothing short of brilliant .	2	-1	 even[0] though[0] it[0] does[0] seem[0] like[1] the[0] man[0] scores[0] every[0] single[0] movie[0] that[0] comes[0] out[0] these[0] days[0] his[0] work[0] here[0] is[0] nothing[0] short[0] of[0] brilliant[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his use of opera during the climax really does add a punch and his ingenious way of utilizing the imperial march as a sort of prophecy is chilling . 	his use of opera during the climax really does add a punch and his ingenious way of utilizing the imperial march as a sort of prophecy is chilling .	1	-2	 his[0] use[0] of[0] opera[0] during[0] the[0] climax[0] really[0] does[0] add[0] a[0] punch[-1] and[0] his[0] ingenious[0] way[0] of[0] utilizing[0] the[0] imperial[0] march[0] as[0] a[0] sort[0] of[0] prophecy[0] is[0] chilling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the phantom menace is probably most effective as pop nostalgia . 	the phantom menace is probably most effective as pop nostalgia .	1	-3	 the[0] phantom[0] menace[-2] is[0] probably[0] most[0] effective[0] as[0] pop[0] nostalgia[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when you see " a long time ago , in a galaxy far , far away " , when the familiar music plays , when the words " star wars " appear on screen , you'll feel a tingle even if you didn't see the movie when it first came out in '77 . 	when you see " a long time ago , in a galaxy far , far away " , when the familiar music plays , when the words " star wars " appear on screen , you'll feel a tingle even if you didn't see the movie when it first came out in '77 .	2	-3	 when[0] you[0] see[0] a[0] long[0] time[0] ago[0] in[0] a[0] galaxy[0] far[0] far[0] away[0] when[0] the[0] familiar[0] music[0] plays[1] when[0] the[0] words[0] star[0] wars[-2] appear[0] on[0] screen[0] you'll[0] feel[0] a[0] tingle[0] even[0] if[0] you[0] didn't[0] see[0] the[0] movie[0] when[0] it[0] first[0] came[0] out[0] in[0] '77[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it feels oddly exciting to be introduced to young anakin , a boy whose innocence , we know , will be taken away and who will soon cross over to the dark side . 	it feels oddly exciting to be introduced to young anakin , a boy whose innocence , we know , will be taken away and who will soon cross over to the dark side .	3	-2	 it[0] feels[0] oddly[0] exciting[2] to[0] be[0] introduced[0] to[0] young[0] anakin[0] a[0] boy[0] whose[0] innocence[1] we[0] know[0] will[0] be[0] taken[0] away[0] and[0] who[0] will[0] soon[0] cross[-1] over[0] to[0] the[0] dark[0] side[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is the perfect example of dramatic irony to see the jedi masters aspire to get him trained in the jedi arts ; we know that it will do more harm than good , but they do not . 	it is the perfect example of dramatic irony to see the jedi masters aspire to get him trained in the jedi arts ; we know that it will do more harm than good , but they do not .	2	-3	 it[0] is[0] the[0] perfect[1] example[0] of[0] dramatic[0] irony[-1] to[0] see[0] the[0] jedi[0] masters[0] aspire[0] to[0] get[0] him[0] trained[0] in[0] the[0] jedi[0] arts[0] we[0] know[0] that[0] it[0] will[0] do[0] more[0] harm[-2] than[0] good[1] but[0] they[0] do[0] not[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we not only feel more involved in the story , but we feel like we're seeing the beginning of a saga that we have cherished for years . 	we not only feel more involved in the story , but we feel like we're seeing the beginning of a saga that we have cherished for years .	3	-2	 we[0] not[0] only[0] feel[0] more[0] involved[0] in[0] the[0] story[0] but[0] we[0] feel[0] like[1] we're[0] seeing[0] the[0] beginning[0] of[0] a[0] saga[-1] that[0] we[0] have[0] cherished[2] for[0] years[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the phantom menace , although lacking in human aspects of the story , is a very worthy installment in the star wars . 	the phantom menace , although lacking in human aspects of the story , is a very worthy instalment in the star wars .	1	-3	 the[0] phantom[0] menace[-2] although[0] lacking[0] in[0] human[0] aspects[0] of[0] the[0] story[0] is[0] a[0] very[0] worthy[0] installment/instalment[0] in[0] the[0] star[0] wars[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it works as an action flick , visually eye-popping and often paralyzingly exciting ; it also works as an elicitor of memories , a piece of exquisite nostalgia . 	it works as an action flick , visually eye-popping and often paralyzingly exciting ; it also works as an elicitor of memories , a piece of exquisite nostalgia .	3	-1	 it[0] works[0] as[0] an[0] action[0] flick[0] visually[0] eye[0] popping[0] and[0] often[0] paralyzingly[0] exciting[2] it[0] also[0] works[0] as[0] an[0] elicitor[0] of[0] memories[0] a[0] piece[0] of[0] exquisite[0] nostalgia[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ? 1999 eugene novikov&#137 ; 	 ?<br> 199 eugene novikov&#137 ;	1	-1	 1999/199[0] eugene[0] novikov&#137[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
